gisco_id,name,registered,turnout,invalid,blank,ΔΗΜΟΚΡΑΤΙΚΟΣ ΣΥΝΑΓΕΡΜΟΣ,ΔΗΜΟΚΡΑΤΙΚΟ ΚΟΜΜΑ,ΑΚΕΛ - ΑΡΙΣΤΕΡΑ - ΝΕΕΣ ΔΥΝΑΜΕΙΣ,ΕΔΕΚ - ΟΙΚΟΛΟΓΟΙ,ΣΥΜΜΑΧΙΑ ΠΟΛΙΤΩΝ,ΜΗΝΥΜΑ ΕΛΠΙΔΑΣ,ΕΘΝΙΚΟ ΛΑΪΚΟ ΜΕΤΩΠΟ (Ε.ΛΑ.Μ),ΛΕΒΕΝΤ ΣΕΝΕΡ,ΔΡΑΣΥ -  EYLEM,ΚΟΜΜΑ ΓΙΑ ΤΑ ΖΩΑ ΚΥΠΡΟΥ,ΜΗΝΑΣ ΜΙΧΑΛΗΣ,ΕΥΣΤΡΑΤΙΟΥ ΑΝΔΡΕΑΣ,ΧΡΙΣΤΟΦΟΡΟΥ ΑΔΑΜΟΣ,ΘΕΟΔΟΥΛΟΥ ΘΕΟΔΟΥΛΟΣ,ΣΟΣΙΑΛΙΣΤΙΚΟ ΚΟΜΜΑ ΚΥΠΡΟΥ,ΚΥΡΙΑΚΟY ΚΩΣΤΑΣ (ΟΥΤΟΠΟΣ),ΙΩΑΝΝΟΥ ΑΝΔΡΕΑΣ,ΣΤΑΥΡΟΥ ΛΟΥΚΑΣ
CY_1403,Καννάβια,274,172,2,3,53,44,25,11,14,2,12,1,1,3,0,0,0,0,1,0,0,0
CY_1404,Kakopetria,1107,599,6,3,234,51,130,90,34,25,18,3,2,1,0,0,1,0,0,0,1,0
CY_1405,Άγιος Θεόδωρος Σολέας,91,57,0,0,14,8,9,21,2,2,0,0,0,0,1,0,0,0,0,0,0,0
CY_1406,Galata,668,362,4,5,84,143,47,33,18,8,6,1,0,2,0,4,0,0,0,0,7,0
CY_1407,Sinaoros,210,117,2,1,18,25,13,41,8,3,2,0,0,0,0,0,0,0,0,0,4,0
CY_1408,Kaliana,259,156,2,4,58,36,19,27,8,0,0,0,0,1,0,0,0,0,0,0,1,0
CY_1409,Τεμβριά,551,333,4,4,42,39,152,37,30,7,0,1,1,0,0,1,0,0,1,1,13,0
CY_1410,Korakou,569,285,4,3,70,23,105,52,10,7,4,0,2,1,0,0,0,0,0,0,4,0
CY_1411,Ευρύχου,726,401,7,3,130,77,79,63,12,13,6,0,1,1,0,0,0,0,0,0,9,0
CY_1412,Φλάσου,266,161,6,0,44,19,46,18,6,6,13,1,2,0,0,0,0,0,0,0,0,0
CY_1415,Ληνού,215,115,1,0,38,15,24,21,10,3,1,0,0,1,0,1,0,0,0,0,0,0
CY_1416,Κατύδατα,203,114,7,1,35,6,25,21,12,2,4,0,0,0,0,1,0,0,0,0,0,0
CY_1420,Pedoulas,204,91,0,0,46,22,3,15,2,2,1,0,0,0,0,0,0,0,0,0,0,0
CY_1422,Moutoullas,291,153,4,1,35,35,31,23,18,1,2,0,1,2,0,0,0,0,0,0,0,0
CY_1423,Oikos,207,115,1,0,34,13,6,50,7,1,2,0,0,1,0,0,0,0,0,0,0,0
CY_1424,Καλοπαναγιώτης,316,147,1,0,56,19,40,11,7,5,7,0,1,0,0,0,0,0,0,0,0,0
CY_1425,Gerakies,273,116,4,1,37,16,11,37,8,1,1,0,0,0,0,0,0,0,0,0,0,0
CY_1426,Tsakistra,86,57,0,0,32,5,8,6,3,1,1,0,1,0,0,0,0,0,0,0,0,0
CY_1427,Kampos,359,148,4,0,36,17,50,20,7,1,8,0,2,2,0,0,0,1,0,0,0,0
CY_1457,Κάτω Πύργος,4723,697,15,2,248,68,95,193,18,16,18,4,10,4,0,1,0,0,1,3,0,1
CY_1460,Πηγένια,137,88,2,0,24,4,8,42,2,2,3,0,1,0,0,0,0,0,0,0,0,0
CY_1461,Παχύαμμος,117,68,0,0,14,5,11,30,0,6,1,0,0,0,0,0,0,0,1,0,0,0
CY_3100,Agia Napa,2532,1114,31,15,390,49,408,66,45,52,23,10,5,6,2,4,4,0,0,1,2,1
CY_3101,Paralimni,8031,3749,77,42,2339,297,420,148,111,138,100,21,11,20,1,2,2,5,4,5,4,2
CY_3102,Δερύνεια,3932,2068,60,59,540,55,1036,73,50,98,22,23,13,18,0,1,0,3,0,12,5,0
CY_3103,Σωτήρα Αμμοχώστου,3510,1300,45,23,683,244,133,53,36,28,32,4,2,11,0,2,0,0,0,0,1,3
CY_3104,Liopetri,3269,1223,52,17,646,30,254,67,33,32,78,3,1,3,0,1,1,1,0,4,0,0
CY_3105,Φρέναρος,2816,1189,28,20,383,60,517,90,19,33,10,7,6,11,0,1,0,0,1,3,0,0
CY_3110,Αυγόρου,3357,1662,48,32,811,113,455,60,56,33,40,0,5,6,0,0,0,0,0,2,1,0
CY_3111,Αχνα,1733,799,19,5,444,28,155,40,28,16,56,2,1,3,0,0,0,0,1,1,0,0
CY_3114,Αχερίτου,12279,1128,26,6,286,81,412,74,45,15,7,68,76,8,0,1,0,1,21,1,0,0
CY_4000,Λάρνακα,34519,16595,355,183,6251,1597,4811,929,1132,611,313,134,64,149,5,10,3,8,6,20,12,2
CY_4010,Aradippou,9925,5012,80,70,1891,271,1752,276,234,182,148,38,17,35,1,2,2,0,1,7,5,0
CY_4011,Λιβάδια Λάρνακας,8888,2164,38,25,625,96,1057,81,99,33,38,27,21,19,0,1,1,0,1,1,1,0
CY_4014,Δρομολαξιά-Μενεού,5177,2510,47,48,897,184,1021,98,88,53,28,14,4,20,0,3,0,2,1,0,2,0
CY_4100,Kellia,317,172,0,1,54,23,62,0,17,2,10,0,0,1,0,0,1,0,0,0,1,0
CY_4101,Troulloi,880,534,17,5,350,73,33,19,20,5,10,0,0,2,0,0,0,0,0,0,0,0
CY_4102,Bορόκληνη(Ορόκληνη),2214,1256,34,14,586,56,379,25,71,35,25,8,10,10,0,0,0,0,1,0,2,0
CY_4103,Αβδελλερό,133,64,3,2,20,4,20,5,1,1,6,0,1,1,0,0,0,0,0,0,0,0
CY_4104,Πύλα,1147,490,14,8,203,23,190,14,17,13,3,1,1,2,1,0,0,0,0,0,0,0
CY_4105,Ξυλοτύμβου,2759,1352,24,19,559,89,358,112,94,39,37,4,2,12,0,0,0,0,0,1,0,2
CY_4106,Ormideia,3310,1666,26,21,662,83,700,35,61,19,43,5,0,6,1,0,1,1,1,0,1,0
CY_4107,Ξυλοφάγου,3969,1732,47,34,888,56,478,71,48,48,30,8,3,6,1,1,2,0,3,6,1,1
CY_4110,Kiti,2543,1341,25,31,312,41,766,62,44,29,10,5,5,9,0,0,0,0,1,0,1,0
CY_4111,Περιβόλια Λάρνακας,1531,864,17,9,160,20,576,23,28,10,5,5,6,3,0,0,1,0,0,1,0,0
CY_4112,Τερσεφάνου,845,477,2,5,138,13,265,13,21,2,10,2,0,5,0,0,0,0,0,1,0,0
CY_4120,Mazotos,636,375,7,8,170,14,99,14,40,8,9,0,0,4,0,1,0,0,1,0,0,0
CY_4121,Alaminos,220,130,2,3,64,33,10,5,1,1,6,2,0,3,0,0,0,0,0,0,0,0
CY_4122,Αναφωτίδα,561,313,5,5,179,22,74,5,12,3,6,0,0,1,0,0,0,0,0,0,1,0
CY_4124,Κιβισίλι,183,115,1,1,86,8,6,3,2,3,4,0,0,0,0,0,0,0,1,0,0,0
CY_4125,Alethriko,743,337,5,7,138,29,117,11,19,6,3,0,0,2,0,0,0,0,0,0,0,0
CY_4126,Κλαυδιά,468,284,5,2,144,37,41,9,19,8,16,0,1,1,0,0,0,0,1,0,0,0
CY_4127,Αγγλισίδες,906,413,9,6,215,32,69,34,22,13,10,1,0,1,0,0,0,0,0,0,1,0
CY_4202,Athienou,3754,2125,24,16,775,300,559,240,93,58,33,8,5,5,0,2,1,0,0,5,1,0
CY_4210,Καλό Χωριό Λάρνακας,1264,623,15,9,247,41,211,51,22,5,5,4,7,4,0,1,0,0,0,0,1,0
CY_4211,Agia Anna,193,95,0,0,29,2,26,10,14,2,1,0,0,0,11,0,0,0,0,0,0,0
CY_4212,Μοσφιλωτή,984,541,5,7,203,40,200,35,19,11,12,2,0,6,0,0,0,0,0,1,0,0
CY_4213,Ψευδάς,836,552,12,2,127,15,302,66,12,7,3,0,3,2,0,0,0,0,0,0,1,0
CY_4214,Πυργά (τα) Λάρνακας,589,262,8,1,54,17,116,21,26,14,3,0,0,2,0,0,0,0,0,0,0,0
CY_4215,Kornos,1496,733,9,9,199,27,271,118,37,38,13,3,1,2,0,0,0,0,1,3,2,0
CY_4300,Ζύγι,467,251,6,1,109,23,60,4,17,12,16,0,1,1,0,1,0,0,0,0,0,0
CY_4301,Mari,191,112,1,0,78,5,14,4,5,0,4,1,0,0,0,0,0,0,0,0,0,0
CY_4302,Καλαβασός,619,306,6,6,104,20,111,23,17,8,5,0,1,2,0,1,0,0,0,2,0,0
CY_4303,Τόχνη,289,133,3,2,42,10,15,35,10,10,4,0,0,0,0,0,0,0,0,2,0,0
CY_4304,Χοιροκoιτία,411,183,3,3,103,25,25,5,11,2,3,1,0,1,0,0,0,0,0,1,0,0
CY_4305,Psematismenos,138,87,0,2,54,2,2,9,5,10,1,1,0,0,0,1,0,0,0,0,0,0
CY_4306,Maroni,435,238,4,1,131,47,6,29,6,1,11,1,0,1,0,0,0,0,0,0,0,0
CY_4307,Άγιος Θεόδωρος Λάρνακας,532,342,4,2,220,19,19,37,5,3,32,0,0,0,0,0,0,1,0,0,0,0
CY_4308,Skarinou,178,93,1,1,41,11,16,7,5,5,2,0,0,4,0,0,0,0,0,0,0,0
CY_4309,Κοφίνου,1042,519,19,4,189,36,201,19,12,8,30,1,0,0,0,0,0,0,0,0,0,0
CY_4310,Κάτω Λεύκαρα,152,89,0,2,27,7,18,32,2,0,1,0,0,0,0,0,0,0,0,0,0,0
CY_4311,Πάνω Λεύκαρα,905,645,10,7,100,29,79,380,22,10,2,1,1,0,0,0,0,0,2,1,1,0
CY_4312,Κάτω Δρυς,133,87,0,1,65,5,0,9,1,3,2,0,1,0,0,0,0,0,0,0,0,0
CY_4313,Βάβλα,135,70,2,0,36,1,5,12,8,2,1,0,0,2,0,0,0,0,0,1,0,0
CY_4315,Ora,165,101,2,0,63,9,6,7,8,0,4,0,0,1,0,0,0,0,0,1,0,0
CY_4316,Μελίνη,84,61,2,0,5,3,42,1,0,2,6,0,0,0,0,0,0,0,0,0,0,0
CY_4317,Odou,136,66,0,0,36,6,14,1,6,2,0,0,0,0,0,0,0,0,1,0,0,0
CY_4318,'Αγιοι Βαβατσινιάς,167,88,1,0,43,4,18,10,7,1,4,0,0,0,0,0,0,0,0,0,0,0
CY_4319,Βαβατσινιά,93,65,1,0,33,7,7,14,2,0,1,0,0,0,0,0,0,0,0,0,0,0
CY_5000,Λεμεσός,64179,28288,482,282,10515,3223,6943,1988,2162,1252,640,240,144,314,4,27,2,5,22,23,14,6
CY_5011,Mesa Geitonia,9609,4224,98,49,1386,468,1176,281,289,253,94,31,23,62,1,3,0,0,0,6,4,0
CY_5012,Agios Athanasios,8053,3618,68,34,1163,331,1164,232,292,130,88,40,16,45,0,7,1,0,3,4,0,0
CY_5013,Germasogeia,6265,2676,48,26,1155,246,618,143,177,118,59,22,16,32,2,4,3,0,2,2,1,2
CY_5020,Pano Polemidia,3485,1686,23,11,530,134,751,73,83,30,17,4,6,14,0,7,0,0,2,0,1,0
CY_5021,'Υψωνας,5377,2189,43,22,980,179,390,162,211,83,65,14,5,18,1,6,0,1,2,2,1,4
CY_5022,Kato Polemidia,13540,5945,123,62,2127,616,1930,327,354,173,109,22,17,44,2,17,0,2,4,10,3,3
CY_5100,Palodeia,765,368,7,3,140,46,88,19,32,15,8,6,2,2,0,0,0,0,0,0,0,0
CY_5101,Παραμύθα,346,149,4,4,65,21,18,9,11,7,4,1,2,3,0,0,0,0,0,0,0,0
CY_5102,Spitali,209,115,3,1,76,11,7,2,3,3,5,1,0,0,0,3,0,0,0,0,0,0
CY_5103,Φασούλα Λεμεσού,447,211,2,1,86,24,59,13,11,5,5,2,0,2,0,1,0,0,0,0,0,0
CY_5104,Μαθικολώνη,128,82,0,8,37,12,12,5,5,1,2,0,0,0,0,0,0,0,0,0,0,0
CY_5105,Gerasa,138,84,3,0,37,9,15,11,1,3,5,0,0,0,0,0,0,0,0,0,0,0
CY_5106,Apsiou,213,133,0,1,14,8,95,3,4,2,0,0,1,5,0,0,0,0,0,0,0,0
CY_5107,Apesia,346,174,4,3,109,11,11,3,7,0,18,0,0,3,0,3,0,1,0,1,0,0
CY_5108,Κορφή,251,139,4,4,79,10,12,9,8,10,1,0,0,2,0,0,0,0,0,0,0,0
CY_5109,Λιμνάτης,320,200,4,4,84,35,35,13,6,3,13,1,0,2,0,0,0,0,0,0,0,0
CY_5120,Mouttagiaka,1714,661,21,6,216,42,244,35,41,13,24,3,1,6,0,7,0,0,1,0,1,0
CY_5121,Αρμενοχώρι,149,61,3,0,8,6,32,3,4,0,1,0,3,0,0,1,0,0,0,0,0,0
CY_5122,Φοινικάρια,258,97,0,1,41,6,19,3,16,7,1,0,1,1,0,0,0,0,0,1,0,0
CY_5123,Akrounta,371,155,5,2,38,54,28,13,7,0,5,3,0,0,0,0,0,0,0,0,0,0
CY_5124,'Αγιος Τύχων,1384,518,9,3,259,40,84,24,42,20,17,7,3,8,0,0,0,0,0,2,0,0
CY_5125,Παρεκκλησιά,1183,492,15,13,181,69,112,14,30,22,20,8,2,2,0,0,1,0,0,2,1,0
CY_5126,Pentakomo,462,247,11,4,105,15,54,22,15,8,8,1,0,2,0,2,0,0,0,0,0,0
CY_5127,Monagroulli,389,224,10,0,83,11,101,7,6,0,2,2,0,1,0,1,0,0,0,0,0,0
CY_5128,Μονή,373,208,2,7,102,2,59,9,18,2,1,2,0,3,0,0,0,0,1,0,0,0
CY_5129,Πύργος Λεμεσού,1212,624,13,5,312,37,132,30,38,9,33,2,2,5,1,3,0,0,1,0,0,1
CY_5130,Asgata,336,210,4,2,52,21,84,20,9,7,6,0,0,5,0,0,0,0,0,0,0,0
CY_5131,Βάσα Κελλακίου,71,42,0,0,11,2,14,4,7,1,3,0,0,0,0,0,0,0,0,0,0,0
CY_5133,Πραστιό Κελλακίου,91,58,2,0,5,11,38,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CY_5136,Kellaki,340,177,3,2,49,19,67,3,23,3,1,1,1,1,0,1,0,0,0,2,1,0
CY_5138,Eptagoneia,346,170,1,1,99,8,42,7,7,3,0,0,1,1,0,0,0,0,0,0,0,0
CY_5140,Dierona,238,163,9,2,37,3,81,4,15,4,2,0,0,0,0,2,0,1,1,0,2,0
CY_5141,Arakapas,305,161,1,1,69,5,55,9,8,3,9,0,0,1,0,0,0,0,0,0,0,0
CY_5142,'Αγιος Παύλος,150,80,1,0,32,4,24,11,5,2,0,1,0,0,0,0,0,0,0,0,0,0
CY_5143,Agios Konstantinos,190,110,5,1,61,15,11,4,8,3,0,0,0,0,0,0,0,0,0,1,0,1
CY_5144,Συκόπετρα,133,79,1,2,11,2,26,26,6,1,1,0,0,0,0,0,0,0,0,1,2,0
CY_5145,Λουβαράς,366,191,3,2,50,6,100,13,9,2,2,0,0,0,0,4,0,0,0,0,0,0
CY_5146,Καλό Χωριό Λεμεσού,411,253,5,0,136,17,73,12,7,3,0,0,0,0,0,0,0,0,0,0,0,0
CY_5147,Ζωοπηγή,188,116,2,2,39,21,9,9,8,2,20,0,0,4,0,0,0,0,0,0,0,0
CY_5200,Ακρωτήρι,695,331,9,5,170,37,54,16,17,6,12,1,0,2,0,0,0,0,0,2,0,0
CY_5201,Ασώματος Λεμεσού,306,124,3,3,45,18,32,15,3,2,0,1,0,2,0,0,0,0,0,0,0,0
CY_5203,Τραχώνι Λεμεσού,2912,1119,21,6,438,117,332,81,45,33,38,1,1,3,0,1,0,0,0,1,1,0
CY_5210,Kolossi,3255,1299,27,24,484,83,397,56,94,30,60,11,4,15,0,4,0,5,2,2,1,0
