gisco_id,name,registered,turnout,invalid,blank,CDU,SPD,CSU,GRÜNE,PDS,FDP,REP,Die Tierschutzpartei,GRAUE,NPD,DIE FRAUEN,ödp,PBC,CM,BP,BüSo,ZENTRUM,FAMILIE,Deutschland,Unabhängige Kandidaten,AUFBRUCH,DKP,DP,PSG
DEF01,"Flensburg, Stadt",66793,19820,330,0,7486,5516,0,3246,507,1201,113,316,352,102,115,30,55,30,0,16,12,128,69,38,31,48,51,28
DEF02,"Kiel, Landeshauptstadt",176936,62414,898,0,21356,17032,0,13146,1918,3698,363,786,1312,365,200,120,175,53,0,42,31,312,160,123,58,108,109,49
DEF03,"Lübeck, Hansestadt",164951,54750,870,0,21763,16040,0,8453,1466,2961,330,562,670,310,181,90,117,69,0,37,26,295,185,87,48,54,98,38
DEF04,"Neumünster, Stadt",61258,17010,332,0,7354,5040,0,1726,338,956,100,240,200,144,74,36,128,23,0,14,15,100,71,37,7,25,39,11
DEF05,Dithmarschen,107791,37076,802,0,20040,8669,0,2433,544,2400,209,376,445,184,119,41,61,43,0,21,23,266,137,62,35,42,96,28
DEF06,Herzogtum Lauenburg,143823,54727,967,0,25588,13336,0,6850,867,3617,395,632,635,470,170,73,110,81,0,41,36,353,202,59,43,51,111,40
DEF07,Nordfriesland,129007,45441,709,0,23358,10753,0,4506,552,2763,163,528,584,328,156,65,102,56,0,27,25,372,110,73,57,40,84,30
DEF08,Ostholstein,162055,57791,1012,0,28725,14990,0,5705,654,3638,268,604,637,269,110,66,171,72,0,26,43,332,153,87,65,34,94,36
DEF09,Pinneberg,225624,85670,1517,0,38283,20779,0,12433,1246,5939,398,930,1504,397,257,118,296,99,0,63,69,492,288,135,74,187,119,47
DEF0A,Plön,102961,40744,629,0,18673,10323,0,5488,629,2326,195,502,789,261,120,51,95,40,0,27,30,232,102,70,31,40,64,27
DEF0B,Rendsburg-Eckernförde,213766,82807,1635,0,39734,20250,0,10328,1212,4751,317,962,1249,307,280,106,235,82,0,54,73,580,235,106,61,76,130,44
DEF0C,Schleswig-Flensburg,153316,54955,988,0,28362,13113,0,5385,746,2987,259,687,754,177,218,87,124,58,0,32,40,441,137,112,71,46,91,40
DEF0D,Segeberg,198646,76052,1554,0,36596,17219,0,9277,1381,5273,365,849,1288,377,243,101,205,86,0,50,43,475,201,106,66,75,175,47
DEF0E,Steinburg,105279,37544,794,0,18874,9079,0,3804,649,2115,188,402,410,235,126,42,112,50,0,23,23,238,120,43,33,45,110,29
DEF0F,Stormarn,175106,69438,1121,0,31195,16846,0,10368,1074,4775,298,817,1036,282,193,110,164,82,0,49,47,347,221,107,67,70,137,32
DE600,"Hamburg, Freie und Hansestadt",1227905,428863,7834,0,154690,106325,0,103454,11872,22991,1589,3237,5640,1831,1351,677,1027,255,0,315,172,1534,1217,613,395,900,684,260
DE911,"Braunschweig, Stadt",187660,78326,935,0,29003,23233,0,12517,2249,5146,859,966,857,471,297,130,201,88,0,48,51,463,283,119,68,136,151,55
DE912,"Salzgitter, Stadt",80901,29865,586,0,11664,10052,0,1868,638,1396,1845,383,399,167,128,29,103,50,0,15,40,175,136,29,26,26,93,17
DE913,"Wolfsburg, Stadt",92024,33908,549,0,14758,10411,0,3166,708,1787,281,306,531,461,117,52,94,58,0,17,15,208,151,49,33,28,106,22
DE914,Gifhorn,130857,59441,1068,0,28818,16648,0,5238,882,2796,510,593,544,416,211,71,470,67,0,31,61,443,188,104,54,42,140,46
DE915,Göttingen,198129,81503,1226,0,31158,21966,0,15684,1996,4593,412,650,802,855,212,149,165,137,0,42,57,484,294,153,81,170,157,60
