gisco_id,name,registered,turnout,invalid,blank,CDU,SPD,GRÜNE,CSU,DIE LINKE,FDP,REP,Die Tierschutzpartei,FAMILIE,ödp,DIE FRAUEN,Volksabstimmung,PBC,CM,AUFBRUCH,DKP,BP,PSG,BüSo,50Plus,AUF,DVU,DIE GRAUEN,DIE VIOLETTEN,EDE,FBI,FÜR VOLKSENTSCHEIDE,FW FREIE WÄHLER,Newropeans,PIRATEN,RRP,RENTNER
DE_07339031,Jugenheim in Rheinhessen,1159,555,15,0,144,212,64,0,10,70,10,5,4,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,5,1,8,0,0
DE_07339032,Klein-Winternheim,2685,1355,26,0,567,281,196,0,32,143,25,16,8,11,2,4,3,1,1,0,0,1,0,1,0,0,1,1,1,1,1,5,0,21,3,3
DE_07339033,Köngernheim,1039,558,30,0,189,111,68,0,25,74,17,9,6,3,2,0,0,0,0,0,0,1,0,2,1,1,0,2,0,1,0,5,0,3,0,8
DE_07339034,Lörzweiler,1650,864,36,0,311,241,97,0,10,93,24,7,10,4,3,2,0,0,0,1,0,0,1,2,0,0,3,1,0,1,0,4,0,5,4,4
DE_07339035,Ludwigshöhe,434,202,11,0,86,38,13,0,4,21,9,13,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0
DE_07339036,Manubach,294,182,7,0,53,64,22,0,5,20,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,2,0,0,0,0,0,2,0,1
DE_07339037,Mommenheim,2351,1110,25,0,415,229,143,0,23,147,32,12,17,3,2,3,0,3,3,0,1,0,0,3,1,1,2,0,0,2,1,21,0,11,4,6
DE_07339038,Münster-Sarmsheim,2269,900,34,0,361,204,121,0,26,73,13,9,11,3,3,4,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,13,0,11,3,4
DE_07339039,Nackenheim,3923,1745,72,0,635,448,214,0,45,158,48,16,19,8,6,3,2,1,6,0,0,0,2,1,0,1,2,4,1,1,1,18,2,17,2,12
DE_07339040,Niederheimbach,623,306,21,0,105,83,27,0,10,24,6,6,2,0,2,2,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,8,0,2,0,2
DE_07339041,Nieder-Hilbersheim,502,290,29,0,82,74,19,0,4,34,28,9,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,1
DE_07339042,Nieder-Olm,6657,2705,85,0,945,683,397,0,61,276,71,33,18,20,9,1,6,3,2,1,1,0,0,5,6,2,3,6,0,4,2,12,0,35,4,14
