gisco_id,name,registered,turnout,invalid,blank,CDU,Grüne,SPD,AfD,CSU,Linke,FDP,PARTEI,FW,Tierschutzpartei,ÖDP,Familie,Volt,Piraten,MERA25,Heimat,TIERSCHUTZ hier!,Verjüngungsforschung,BIG,Bündnis C,PdH,Menschliche Welt,DKP,MLPD,SGP,ABG,dieBasis,BD,BSW,DAVA,Klimaliste,Letzte Generation,PDV,PdF,V-Partei³
DE_08327004,Bärenthal,353,286,4,0,136,15,8,79,0,0,16,1,12,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0
DE_08327005,Balgheim,924,673,11,0,280,48,38,134,0,8,41,11,25,6,4,6,6,1,1,0,2,1,1,2,1,0,0,0,0,0,4,4,27,2,1,0,1,2,5
DE_08327006,Böttingen,1086,780,18,0,359,36,33,169,0,6,45,5,29,6,3,4,3,2,0,2,2,1,1,0,0,1,0,0,0,0,0,3,43,1,1,1,0,5,1
DE_08327007,Bubsheim,783,538,14,0,237,14,11,144,0,2,37,9,18,3,2,2,2,1,0,0,0,0,0,0,0,2,0,0,0,0,1,2,29,0,0,1,0,7,0
DE_08327008,Buchheim,565,450,6,0,224,26,19,93,0,3,14,4,14,5,5,5,1,4,0,0,1,0,0,0,0,1,2,0,0,2,2,2,12,0,0,1,1,2,1
DE_08327009,Deilingen,1310,888,13,0,432,45,41,152,0,5,71,9,14,8,3,4,8,4,0,0,3,1,0,4,2,0,0,0,0,0,0,6,44,11,0,2,0,6,0
DE_08327010,Denkingen,2101,1420,27,0,542,81,82,339,0,7,109,13,48,22,6,7,15,0,1,1,3,2,0,10,2,4,0,0,0,1,3,6,76,6,0,3,1,2,1
DE_08327011,Dürbheim,1293,949,24,0,461,71,45,157,0,6,71,3,29,7,6,6,7,3,0,2,3,2,2,0,1,2,0,0,0,0,0,1,34,0,1,0,1,1,3
DE_08327012,Durchhausen,773,536,12,0,181,42,36,127,0,8,36,7,31,9,3,1,11,2,1,0,5,1,0,4,0,0,0,1,0,1,1,1,13,0,0,0,0,2,0
DE_08327013,Egesheim,411,280,9,0,142,7,5,55,0,0,20,2,7,1,1,1,0,0,0,1,0,0,0,1,1,2,0,0,0,0,3,0,20,0,0,0,1,1,0
DE_08327016,Fridingen an der Donau,2269,1618,31,0,615,132,159,265,0,16,104,24,66,25,9,11,12,2,2,2,8,1,0,0,5,2,0,0,0,1,6,23,85,3,2,3,0,4,0
DE_08327017,Frittlingen,1486,1005,13,0,428,82,76,146,0,13,67,15,34,6,13,6,16,3,0,0,2,0,0,7,4,1,0,1,0,1,1,2,53,13,0,1,0,0,1
DE_08327018,Geisingen,4562,2951,56,0,1201,177,204,490,0,34,268,46,110,39,8,12,41,9,5,6,12,2,3,9,2,5,0,0,1,7,9,18,145,0,1,4,1,22,4
DE_08327019,Gosheim,2669,1662,31,0,740,75,61,351,0,25,117,26,50,21,10,10,14,12,1,1,8,0,1,0,4,3,0,1,0,5,8,10,65,2,0,1,1,8,0
DE_08327020,Gunningen,584,390,10,0,141,27,12,87,0,1,28,3,18,4,3,5,3,2,0,1,1,1,0,1,1,2,0,0,0,0,1,6,29,0,1,1,0,1,0
DE_08327023,Hausen ob Verena,642,497,6,0,163,54,45,89,0,4,30,4,25,8,3,2,11,4,0,0,4,0,1,0,1,0,0,0,0,1,3,0,30,3,1,2,0,3,0
DE_08327025,Immendingen,4447,2827,42,0,1104,151,239,626,0,30,168,45,61,25,16,19,29,18,9,7,16,1,3,1,10,4,0,0,1,2,18,13,135,8,2,3,5,16,0
DE_08327027,Irndorf,574,455,12,0,175,25,23,107,0,1,18,8,22,7,3,1,5,1,1,0,0,1,0,4,2,0,0,0,0,0,7,7,22,1,0,1,0,1,0
DE_08327029,Königsheim,443,330,9,0,174,6,18,51,0,0,19,4,14,5,0,1,0,2,0,0,3,0,1,0,0,0,0,0,0,2,1,1,13,0,0,0,1,3,2
DE_08327030,Kolbingen,982,759,9,0,366,28,46,118,0,3,51,2,38,9,5,5,6,8,0,0,5,0,0,3,1,1,0,0,0,0,3,7,36,0,0,1,3,3,2
DE_08327033,Mahlstetten,619,473,9,0,209,26,35,69,0,4,29,2,18,5,6,3,8,3,0,0,5,0,2,1,0,0,0,0,0,1,2,2,31,0,0,1,0,2,0
DE_08327036,Mühlheim an der Donau,2753,1977,34,0,840,122,180,339,0,13,132,17,64,22,6,11,22,6,0,3,6,0,1,2,10,7,1,0,0,4,8,14,93,2,0,4,1,13,0
DE_08327038,Neuhausen ob Eck,2927,1886,22,0,701,110,126,437,0,35,130,21,73,19,12,16,12,6,1,5,6,0,4,3,1,2,0,1,0,0,9,11,97,4,1,1,0,17,3
DE_08327040,Reichenbach am Heuberg,326,218,6,0,103,11,8,46,0,2,3,2,5,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,13,8,0,0,0,1,0
DE_08327041,Renquishausen,627,502,15,0,230,22,11,105,0,2,36,4,33,2,1,2,4,0,0,0,2,0,0,1,1,0,0,0,0,1,0,1,21,0,0,2,3,3,0
DE_08327046,Spaichingen,9145,5608,87,0,2143,488,366,1084,0,81,404,67,182,61,30,24,74,28,11,3,17,0,6,22,11,8,1,0,1,7,15,23,213,98,1,5,6,33,8
DE_08327048,Talheim,990,722,11,0,273,45,67,128,0,10,47,8,23,4,2,6,9,2,0,0,6,0,0,2,1,1,0,0,0,2,3,2,64,2,1,0,0,3,0
DE_08327049,Trossingen,11045,6317,114,0,1768,498,579,1525,0,87,546,77,240,55,26,29,100,24,14,2,26,1,6,87,13,13,1,3,1,9,15,31,350,23,5,6,5,32,6
DE_08327050,Tuttlingen,22427,12636,182,0,4127,1351,1190,2358,0,191,965,186,387,125,59,53,195,40,25,8,44,6,11,26,38,24,3,2,2,10,33,46,665,151,15,19,9,78,12
DE_08327051,Wehingen,2410,1494,23,0,600,70,82,365,0,16,84,20,55,14,8,7,11,5,0,0,9,0,1,4,4,1,1,1,0,0,4,5,59,30,6,0,4,4,1
DE_08327054,Wurmlingen,2933,2039,23,0,924,179,178,341,0,14,117,22,39,21,5,9,42,7,1,1,6,0,0,1,7,3,1,0,0,1,2,3,76,3,2,1,1,8,1
DE_08327055,Seitingen-Oberflacht,1892,1266,16,0,480,117,125,237,0,7,95,16,43,12,4,6,12,6,3,2,7,0,2,3,2,1,2,0,0,2,0,7,42,3,1,2,2,6,3
DE_08327056,Rietheim-Weilheim,2140,1460,29,0,576,82,113,271,0,14,139,17,37,17,7,5,21,9,1,0,5,1,0,3,5,1,0,0,0,1,3,6,77,9,0,2,1,5,3
DE_08327057,Emmingen-Liptingen,3672,2577,44,0,951,157,170,590,0,29,219,27,72,26,15,20,26,9,1,1,10,3,0,10,3,6,0,0,0,1,7,10,147,3,0,2,1,13,4
DE_08335001,Aach,1813,1180,21,0,382,125,115,239,0,8,82,28,58,9,7,8,13,3,3,0,5,1,1,0,0,2,1,0,0,2,0,6,51,0,1,1,1,6,1
DE_08335002,Allensbach,5493,4035,55,0,1361,790,428,326,0,73,338,68,129,52,15,13,111,17,3,2,15,1,4,16,2,3,1,1,0,0,13,12,140,1,1,16,2,21,5
DE_08335015,Büsingen am Hochrhein,870,492,9,0,119,73,47,85,0,9,40,4,17,9,4,2,8,4,0,3,5,1,0,12,0,2,0,0,0,0,0,0,34,1,0,0,0,2,2
DE_08335021,Eigeltingen,2917,1991,17,0,770,184,146,371,0,23,129,41,70,28,12,3,32,8,3,3,8,1,1,6,2,1,0,0,0,2,2,1,103,4,1,1,4,10,4
DE_08335022,Engen,8252,5345,82,0,1951,548,584,849,0,57,386,112,174,65,27,23,92,10,10,1,23,3,3,17,8,5,3,1,0,3,12,13,233,2,4,10,6,22,6
DE_08335025,Gaienhofen,2632,1868,31,0,609,281,159,222,0,33,206,33,63,25,12,5,42,5,1,0,2,3,0,6,3,2,0,1,1,0,1,3,100,1,1,2,1,10,4
DE_08335026,Gailingen am Hochrhein,2148,1420,21,0,444,190,135,215,0,23,100,28,63,21,12,7,20,7,6,0,11,0,1,5,2,3,0,0,0,1,6,15,62,2,2,0,1,13,4
DE_08335028,Gottmadingen,7737,4714,65,0,1373,587,564,825,0,58,308,100,252,57,30,20,36,27,7,6,24,2,2,18,7,10,1,0,0,3,12,25,236,2,2,7,5,34,9
DE_08335035,Hilzingen,6721,4606,54,0,1673,456,421,799,0,31,388,100,205,53,26,26,40,18,6,0,20,4,1,10,5,6,1,0,0,4,11,10,199,1,1,1,5,27,4
DE_08335043,Konstanz,63290,41212,203,0,8705,10856,5009,2762,0,1569,3348,958,1045,526,300,102,2563,234,144,10,127,14,19,80,153,60,14,10,8,10,98,131,1495,66,59,200,33,238,63
DE_08335055,Moos,2767,2039,26,0,704,291,177,289,0,17,182,54,64,28,12,8,42,4,1,1,5,0,0,2,1,1,1,1,0,0,10,7,91,1,0,4,1,13,1
DE_08335057,Mühlingen,1921,1342,22,0,487,95,86,289,0,22,83,26,45,19,6,14,13,5,2,1,14,0,0,10,3,2,1,1,0,2,7,0,73,1,0,2,1,7,3
DE_08335061,Öhningen,2893,2140,39,0,720,340,167,271,0,22,229,48,52,23,14,3,38,4,5,1,7,0,2,5,3,0,0,1,0,4,13,12,101,0,1,3,0,9,3
DE_08335063,Radolfzell am Bodensee,23746,15714,191,0,4603,2679,1899,1816,0,298,1386,309,458,196,105,61,373,69,19,4,40,2,5,63,22,25,3,4,3,10,45,55,738,28,19,49,18,95,24
DE_08335066,Reichenau,3954,2887,29,0,1066,460,295,224,0,41,251,37,162,33,20,9,74,9,3,4,12,1,0,13,6,5,0,0,0,0,5,4,90,2,3,11,1,15,2
DE_08335075,Singen(Hohentwiel),29586,15789,242,0,4797,1540,1718,3521,0,289,961,312,468,187,67,68,214,65,28,12,63,6,10,45,26,37,4,4,2,10,28,44,799,95,9,18,9,77,14
DE_08335077,Steißlingen,3924,2844,35,0,1080,320,275,391,0,37,186,58,166,33,13,7,56,8,3,1,10,1,1,9,9,5,0,0,0,2,1,15,102,5,2,2,0,10,1
DE_08335079,Stockach,12481,7713,95,0,2637,927,707,1238,0,114,518,150,320,77,59,24,123,31,12,4,37,1,5,32,15,13,0,2,0,3,27,20,422,12,5,15,8,48,12
DE_08335080,Tengen,3614,2626,48,0,1083,207,248,428,0,32,140,75,117,28,10,13,26,10,3,2,15,2,0,5,1,4,1,0,0,2,3,11,94,1,1,2,3,7,4
DE_08335081,Volkertshausen,2390,1697,23,0,535,160,216,286,0,15,118,40,89,23,5,7,12,5,2,4,7,0,1,7,6,4,0,0,0,3,5,6,96,0,0,3,3,15,1
DE_08335096,Hohenfels,1615,1193,15,0,477,122,75,204,0,14,74,12,32,18,8,6,16,7,4,1,1,1,0,7,2,2,0,0,0,0,8,10,55,1,3,3,1,12,2
DE_08335097,Mühlhausen-Ehingen,3014,2067,35,0,775,151,184,379,0,18,128,45,90,27,13,21,15,6,1,1,8,2,0,6,4,2,0,0,0,0,8,11,117,1,1,1,0,16,1
DE_08335098,Bodman-Ludwigshafen,3695,2661,44,0,1003,313,247,290,0,33,234,39,126,27,48,8,44,7,2,1,14,0,1,2,5,4,0,0,0,0,4,13,126,1,2,4,2,16,1
DE_08335099,Orsingen-Nenzingen,2718,2029,41,0,754,178,198,292,0,31,124,44,96,35,14,6,37,6,3,0,7,1,0,7,1,2,0,1,0,2,2,7,115,1,0,7,5,12,0
DE_08335100,Rielasingen-Worblingen,8917,5772,101,0,1815,581,609,1154,0,69,384,96,314,81,22,25,60,14,5,4,28,0,2,25,5,2,0,5,0,7,11,27,262,5,4,9,6,30,10
DE_08336004,Aitern,409,316,11,0,146,29,37,36,0,5,15,3,12,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,1,13,0,0,1,0,0,0
DE_08336006,Bad Bellingen,3437,2068,28,0,676,228,214,320,0,21,144,34,129,34,6,15,29,11,4,1,7,1,2,8,1,4,0,0,0,1,6,3,108,2,0,8,0,23,0
DE_08336008,Binzen,2240,1641,14,0,510,252,210,170,0,28,138,26,57,21,14,4,48,9,1,1,13,0,2,16,7,0,0,0,0,1,0,7,71,5,2,4,0,9,1
DE_08336010,Böllen,80,70,1,0,29,5,8,7,0,1,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,3,0,0,0
DE_08336014,Efringen-Kirchen,6630,4554,49,0,1399,627,585,489,0,46,491,77,181,61,18,23,87,34,7,4,21,0,1,63,9,3,0,1,0,5,7,25,185,3,1,16,3,25,8
DE_08336019,Eimeldingen,1896,1234,6,0,429,150,150,145,0,19,88,12,55,9,10,7,25,7,2,1,7,0,0,19,0,2,0,1,0,1,4,5,58,1,0,3,0,15,3
DE_08336024,Fischingen,578,448,2,0,149,69,53,42,0,12,37,10,16,6,2,1,12,2,1,0,0,0,0,10,0,0,0,0,0,1,2,1,14,0,0,0,0,5,1
DE_08336025,Fröhnd,383,323,5,0,167,16,16,49,0,6,20,2,13,2,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,3,1,16,0,0,0,0,0,0
DE_08336034,Hasel,903,614,11,0,180,67,79,130,0,10,30,4,26,6,6,3,5,5,2,1,5,0,0,2,1,0,0,1,0,1,3,3,25,0,0,2,1,3,2
DE_08336036,Hausen im Wiesental,1705,1235,17,0,355,140,194,167,0,21,58,25,59,31,1,5,26,5,7,2,10,1,0,3,1,0,0,0,0,1,5,4,72,0,5,2,1,12,5
DE_08336043,Inzlingen,1897,1330,10,0,414,222,188,140,0,21,112,9,54,14,3,6,41,0,1,0,6,0,1,8,2,4,0,0,0,0,6,4,49,0,0,5,1,8,1
DE_08336045,Kandern,6068,4248,57,0,1307,600,582,524,0,51,271,73,238,59,13,24,60,25,3,3,16,1,1,36,9,6,3,0,0,6,22,10,192,1,5,14,2,27,7
DE_08336050,Lörrach,33688,20300,177,0,4901,3755,2669,2456,0,460,1478,396,791,222,110,69,727,181,58,13,84,5,11,136,45,26,5,7,2,11,44,78,1044,70,18,63,14,133,41
DE_08336057,Maulburg,3011,1928,27,0,505,216,296,298,0,27,137,48,103,25,8,8,45,14,5,0,13,0,3,9,2,1,0,1,0,2,8,2,85,7,1,9,1,20,2
DE_08336069,Rheinfelden(Baden),22820,13615,183,0,4142,1599,2014,1971,0,205,885,158,550,190,51,63,353,79,33,11,60,4,10,18,20,18,1,7,0,10,28,45,695,36,12,26,9,106,23
