gisco_id,name,registered,turnout,invalid,blank,SOC,UMP,PRG,DVG,DVD,FN,COM,VEC,UDF,RPF,PREP,DIV,REG
FR_27699,Voiscreville,93,62,6,0,25,31,0,0,0,0,0,0,0,0,0,0,0
FR_27700,Vraiville,359,207,4,0,90,113,0,0,0,0,0,0,0,0,0,0,0
FR_27701,Val-de-Reuil,5862,2589,94,0,1746,749,0,0,0,0,0,0,0,0,0,0,0
FR_28001,Abondant,1208,741,28,0,240,473,0,0,0,0,0,0,0,0,0,0,0
FR_28002,Allaines-Mervilliers,200,130,0,0,0,86,0,0,0,0,0,44,0,0,0,0,0
FR_28003,Allainville,89,51,4,0,12,35,0,0,0,0,0,0,0,0,0,0,0
FR_28004,Allonnes,207,135,6,0,0,47,0,0,0,0,0,82,0,0,0,0,0
FR_28005,Alluyes,468,320,11,0,0,138,0,0,0,0,0,171,0,0,0,0,0
FR_28006,Amilly,1459,902,32,0,0,438,432,0,0,0,0,0,0,0,0,0,0
FR_28007,Anet,1886,1108,61,0,371,676,0,0,0,0,0,0,0,0,0,0,0
FR_28008,Ardelles,112,69,10,0,16,43,0,0,0,0,0,0,0,0,0,0,0
FR_28009,Ardelu,65,48,2,0,0,17,0,0,0,0,0,29,0,0,0,0,0
FR_28010,Argenvilliers,277,192,6,0,0,115,71,0,0,0,0,0,0,0,0,0,0
FR_28012,Vald'Yerre,1384,818,36,0,0,448,0,0,0,0,0,334,0,0,0,0,0
FR_28013,Aunay-sous-Auneau,914,511,28,0,0,275,0,0,0,0,0,208,0,0,0,0,0
FR_28014,Aunay-sous-Crécy,441,223,25,0,81,117,0,0,0,0,0,0,0,0,0,0,0
FR_28015,Auneau,2287,1286,57,0,0,675,0,0,0,0,0,554,0,0,0,0,0
FR_28016,Les Autels-Villevillon,120,89,4,0,0,51,34,0,0,0,0,0,0,0,0,0,0
FR_28017,Autheuil,184,111,9,0,0,66,0,0,0,0,0,36,0,0,0,0,0
FR_28018,Authon-du-Perche,968,588,17,0,0,391,180,0,0,0,0,0,0,0,0,0,0
FR_28019,Baigneaux,141,95,7,0,0,63,0,0,0,0,0,25,0,0,0,0,0
FR_28020,Baignolet,91,68,2,0,0,40,0,0,0,0,0,26,0,0,0,0,0
FR_28021,Bailleau-le-Pin,1076,616,29,0,0,323,264,0,0,0,0,0,0,0,0,0,0
FR_28022,Bailleau-lÉvêque,784,464,26,0,0,283,155,0,0,0,0,0,0,0,0,0,0
FR_28023,Bailleau-Armenonville,916,545,23,0,205,317,0,0,0,0,0,0,0,0,0,0,0
FR_28024,Barjouville,1005,670,32,0,314,324,0,0,0,0,0,0,0,0,0,0,0
FR_28025,Barmainville,75,49,0,0,0,34,0,0,0,0,0,15,0,0,0,0,0
FR_28026,Baudreville,191,111,4,0,0,70,0,0,0,0,0,37,0,0,0,0,0
FR_28027,La Bazoche-Gouet,1084,646,29,0,0,387,230,0,0,0,0,0,0,0,0,0,0
FR_28028,Bazoches-en-Dunois,197,151,8,0,0,99,0,0,0,0,0,44,0,0,0,0,0
FR_28029,Bazoches-les-Hautes,241,173,4,0,0,118,0,0,0,0,0,51,0,0,0,0,0
FR_28030,Beauche,233,127,9,0,54,64,0,0,0,0,0,0,0,0,0,0,0
FR_28031,Beaumont-les-Autels,357,218,6,0,0,143,69,0,0,0,0,0,0,0,0,0,0
FR_28032,Beauvilliers,201,136,2,0,0,64,0,0,0,0,0,70,0,0,0,0,0
FR_28033,Belhomert-Guéhouville,570,348,7,0,0,192,149,0,0,0,0,0,0,0,0,0,0
FR_28034,Berchères-Saint-Germain,477,294,14,0,136,144,0,0,0,0,0,0,0,0,0,0,0
FR_28035,Berchères-les-Pierres,719,483,14,0,236,233,0,0,0,0,0,0,0,0,0,0,0
FR_28036,Berchères-sur-Vesgre,567,389,22,0,99,268,0,0,0,0,0,0,0,0,0,0,0
FR_28037,Bérou-la-Mulotière,235,148,6,0,66,76,0,0,0,0,0,0,0,0,0,0,0
FR_28038,Béthonvilliers,116,80,5,0,0,47,28,0,0,0,0,0,0,0,0,0,0
FR_28039,Béville-le-Comte,969,610,26,0,0,306,0,0,0,0,0,278,0,0,0,0,0
FR_28040,Billancelles,184,113,1,0,0,63,49,0,0,0,0,0,0,0,0,0,0
FR_28041,Blandainville,164,112,4,0,0,55,53,0,0,0,0,0,0,0,0,0,0
FR_28042,Bleury,325,247,4,0,129,114,0,0,0,0,0,0,0,0,0,0,0
FR_28044,Boisgasson,93,62,9,0,0,32,0,0,0,0,0,21,0,0,0,0,0
FR_28045,Boissy-en-Drouais,189,108,4,0,51,53,0,0,0,0,0,0,0,0,0,0,0
FR_28046,Boissy-lès-Perche,422,260,2,0,74,184,0,0,0,0,0,0,0,0,0,0,0
FR_28047,Boisville-la-Saint-Père,507,309,22,0,0,120,0,0,0,0,0,167,0,0,0,0,0
FR_28048,La Bourdinière-Saint-Loup,413,253,12,0,0,137,104,0,0,0,0,0,0,0,0,0,0
FR_28049,Boncé,160,101,10,0,0,42,0,0,0,0,0,49,0,0,0,0,0
FR_28050,Boncourt,195,152,7,0,56,89,0,0,0,0,0,0,0,0,0,0,0
FR_28051,Bonneval,3077,2005,85,0,0,999,0,0,0,0,0,921,0,0,0,0,0
FR_28052,Bouglainval,567,331,12,0,154,165,0,0,0,0,0,0,0,0,0,0,0
FR_28053,Le Boullay-les-Deux-Églises,175,113,15,0,25,73,0,0,0,0,0,0,0,0,0,0,0
FR_28054,Le Boullay-Mivoye,281,184,12,0,69,103,0,0,0,0,0,0,0,0,0,0,0
FR_28055,Le Boullay-Thierry,355,230,7,0,69,154,0,0,0,0,0,0,0,0,0,0,0
FR_28056,Boutigny-Prouais,1077,609,13,0,210,386,0,0,0,0,0,0,0,0,0,0,0
FR_28057,Bouville,384,228,12,0,0,114,0,0,0,0,0,102,0,0,0,0,0
FR_28058,Bréchamps,263,168,12,0,65,91,0,0,0,0,0,0,0,0,0,0,0
FR_28059,Brezolles,1002,550,31,0,166,353,0,0,0,0,0,0,0,0,0,0,0
