gisco_id,name,registered,turnout,invalid,blank,UG,DIV,EXG,ENS,RN,LR,ECO,DVD,REC,UXD,DSV,EXD,DVG,UDI,REG,DVC,HOR,COM,SOC,VEC,FI,RDG
FR_56122,Loyat,1287,949,7,7,104,0,5,105,332,0,11,0,0,0,10,0,0,0,368,0,0,0,0,0,0,0
FR_56123,Malansac,1972,1416,8,14,254,0,5,203,376,0,17,0,0,0,27,0,0,0,512,0,0,0,0,0,0,0
FR_56124,Malestroit,2051,1496,5,9,180,0,3,418,319,0,3,0,0,0,18,0,0,0,541,0,0,0,0,0,0,0
FR_56125,Malguénac,1521,1102,13,26,226,0,13,334,408,0,0,59,0,0,23,0,0,0,0,0,0,0,0,0,0,0
FR_56126,Marzan,1960,1444,5,18,240,0,10,213,501,0,10,0,0,0,22,0,0,0,425,0,0,0,0,0,0,0
FR_56127,Mauron,2369,1652,4,21,194,0,8,260,567,0,10,0,0,0,21,0,0,0,567,0,0,0,0,0,0,0
FR_56128,Melrand,1273,905,10,8,217,0,12,203,317,0,35,76,0,0,11,0,0,0,16,0,0,0,0,0,0,0
FR_56129,Ménéac,1168,804,4,9,77,0,6,111,308,0,3,0,0,0,13,0,0,0,273,0,0,0,0,0,0,0
FR_56130,Merlevenez,2598,1882,15,39,442,0,26,461,731,0,0,134,0,0,0,0,0,0,34,0,0,0,0,0,0,0
FR_56131,Meslan,1157,816,9,15,171,0,19,218,333,0,0,37,0,0,14,0,0,0,0,0,0,0,0,0,0,0
FR_56132,Meucon,1733,1358,9,23,301,0,13,430,371,0,15,158,0,0,12,0,0,0,26,0,0,0,0,0,0,0
FR_56133,Missiriac,930,694,3,6,96,0,3,164,156,0,7,0,0,0,5,0,0,0,254,0,0,0,0,0,0,0
FR_56134,Mohon,736,505,0,5,49,0,2,59,175,0,5,0,0,0,8,0,0,0,202,0,0,0,0,0,0,0
FR_56135,Molac,1219,842,4,8,155,0,9,91,262,0,9,0,0,0,5,0,0,0,299,0,0,0,0,0,0,0
FR_56136,Monteneuf,617,404,7,1,61,0,1,39,151,0,2,0,0,0,2,0,0,0,140,0,0,0,0,0,0,0
FR_56137,Monterblanc,2737,1966,11,44,470,0,11,453,656,0,34,243,0,0,17,0,0,0,27,0,0,0,0,0,0,0
FR_56139,Montertelot,356,268,3,4,22,0,0,31,80,0,2,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0
FR_56140,Moréac,2867,2110,17,40,285,0,19,536,936,0,16,217,0,0,18,0,0,0,26,0,0,0,0,0,0,0
FR_56141,Moustoir-Ac,1438,1052,10,17,205,0,12,324,360,0,11,86,0,0,12,0,0,0,15,0,0,0,0,0,0,0
FR_56143,Muzillac,4415,3255,19,48,761,2,17,1385,922,0,0,0,0,0,0,0,62,0,39,0,0,0,0,0,0,0
FR_56144,Évellys,2681,1836,18,46,228,0,24,485,775,0,24,183,0,0,25,0,0,0,28,0,0,0,0,0,0,0
