gisco_id,name,registered,turnout,blank,invalid,A,B,C,D,F,K,M,O,V,Ø,Ind.
DK_723,Nørhald,6333,5428,24,6,1631,263,358,37,220,115,13,751,1893,116,1
DK_725,Nørre Djurs,5720,4762,35,10,1290,253,383,31,217,90,17,624,1675,135,2
DK_727,Odder,15508,13645,76,16,3961,1088,1280,134,771,202,38,1347,4314,415,3
DK_729,Purhus,6227,5413,38,7,1614,229,444,46,157,86,11,811,1902,67,1
DK_731,Randers,47701,39101,203,77,14252,2182,3232,286,1768,732,85,5106,10203,969,6
DK_733,Rosenholm,7492,6516,36,19,1788,430,575,55,304,77,17,855,2201,159,0
DK_735,Rougsø,6070,4980,30,15,1514,290,338,33,202,96,13,682,1615,152,0
DK_737,Ry,7949,7153,38,13,1630,815,592,72,557,111,21,636,2329,339,0
DK_739,Rønde,5188,4634,19,8,1142,403,470,33,253,77,16,582,1485,145,1
DK_741,Samsø,3231,2680,11,10,699,217,231,28,135,21,10,312,855,151,0
DK_743,Silkeborg,40742,35217,197,63,8840,2979,3880,339,2077,742,68,3981,10894,1153,4
DK_745,Skanderborg,16048,13836,79,26,3678,1120,1475,132,666,169,35,1420,4660,372,4
DK_747,Sønderhald,6255,5488,21,11,1461,294,474,35,173,76,9,706,2130,97,1
DK_749,Them,5050,4344,28,4,919,312,402,47,275,71,12,573,1577,124,0
DK_751,Aarhus,219811,188996,1052,298,54938,24359,19155,2097,14099,3379,701,17240,42617,9012,49
DK_761,Bjerringbro,10182,8606,57,11,2049,503,752,81,318,271,10,1112,3346,96,0
DK_763,Fjends,5862,5058,40,13,1245,332,308,31,210,73,6,736,2018,46,0
DK_765,Hanstholm,4122,3327,21,9,838,201,276,36,149,65,5,546,1117,64,0
DK_767,Hvorslev,5057,4278,30,9,1114,212,336,40,139,65,5,552,1719,57,0
DK_769,Karup,5014,4255,17,2,1134,202,291,32,119,105,6,663,1637,47,0
DK_771,Kjellerup,10261,8978,52,18,2091,444,604,70,272,378,12,1211,3712,114,0
DK_773,Morsø,17034,14348,98,22,4302,839,908,105,614,290,24,1834,5086,226,0
DK_775,Møldrup,5583,4917,27,9,1000,217,383,29,152,113,7,624,2301,55,0
DK_777,Sallingsund,4554,3860,21,8,1050,235,271,33,141,71,2,437,1548,43,0
DK_779,Skive,21091,17740,102,50,5272,1239,1393,120,1138,256,19,2340,5588,223,0
DK_781,Spøttrup,5729,4918,41,4,1353,468,255,41,195,54,5,619,1813,70,0
DK_783,Sundsøre,4768,4164,18,8,993,272,146,28,185,66,12,420,1956,60,0
DK_785,Sydthy,8418,7059,41,4,1689,350,632,47,277,347,14,865,2700,93,0
DK_787,Thisted,21622,18538,84,47,5262,1002,1372,123,924,579,26,2355,6418,346,0
DK_789,Tjele,6170,5375,46,16,1152,295,343,33,237,145,5,628,2402,73,0
DK_791,Viborg,32980,27872,166,92,7732,1983,2393,254,1521,485,44,2726,9990,486,0
DK_793,Aalestrup,5630,4643,26,18,1121,218,279,42,133,151,3,622,1986,44,0
DK_801,Arden,6113,5088,24,11,1739,244,386,45,178,74,9,535,1756,86,1
DK_803,Brovst,6246,5183,27,11,1470,355,505,43,155,156,11,672,1676,98,4
DK_805,Brønderslev,15216,12855,83,22,4105,765,1578,79,505,296,32,1548,3626,212,4
