gisco_id,name,registered,turnout,blank,invalid,A,B,C,F,I,K,O,V,Ø,Å,D,P,E,Ind.
DK_740,Silkeborg,68419,59386,461,140,14665,4108,5309,4428,1439,1841,4507,15334,3108,1645,1052,900,449,0
DK_741,Samsø,2914,2483,34,8,638,124,170,216,52,46,196,586,230,98,34,30,20,1
DK_746,Skanderborg,44202,39531,282,66,10121,3623,2498,3161,1000,702,3129,10010,2060,1291,783,464,298,43
DK_751,Aarhus,253808,220899,1676,546,49167,31591,12829,22019,7275,4610,10525,40424,21448,10664,3731,2566,1548,280
DK_756,Ikast-Brande,29300,24738,215,87,5428,945,1683,1099,543,1045,3015,8560,665,336,502,450,165,0
DK_760,Ringkøbing-Skjern,40918,34644,236,66,6668,1207,2063,1586,619,5624,3383,10858,758,396,536,477,167,0
DK_766,Hedensted,34129,29358,282,77,6917,1205,1569,1258,706,1390,4127,9024,905,373,695,575,235,20
DK_773,Morsø,15722,13127,82,27,4938,382,494,460,139,213,1252,4084,425,152,176,215,88,0
DK_779,Skive,35316,29743,253,65,8879,1826,1728,1681,442,508,2261,9555,971,328,533,565,148,0
DK_787,Thisted,32475,27404,153,57,9272,984,1696,1061,393,677,2783,7830,1042,466,424,384,182,0
DK_791,Viborg,70717,59919,476,207,14983,2969,9940,4581,1148,1401,4469,14505,2076,1131,851,856,326,0
DK_810,Brønderslev,26974,22597,185,45,7910,850,1047,1041,378,347,2464,6254,717,308,431,419,201,0
DK_813,Frederikshavn,46217,37741,254,210,14268,1065,1734,1425,454,661,4513,9439,1181,442,1017,794,284,0
DK_820,Vesthimmerland,27403,22189,156,45,6144,725,1300,1628,243,336,2578,7156,545,214,532,431,156,0
DK_825,Læsø,1494,1229,7,1,353,36,77,45,10,25,228,316,70,15,19,18,9,0
DK_840,Rebild,21692,18789,133,37,5842,1120,899,960,361,261,1710,5674,672,384,339,246,151,0
DK_846,Mariagerfjord,31745,26166,207,47,8795,1270,1384,1170,494,369,2787,7202,968,376,483,407,207,0
DK_849,Jammerbugt,29127,24203,163,53,8391,815,1020,997,408,391,2689,7001,653,357,686,380,199,0
DK_851,Aalborg,163111,136040,1146,269,45011,9800,5930,8952,3657,1786,9652,31807,8098,3982,2359,2293,1298,0
DK_860,Hjørring,48991,40608,296,124,13147,1558,2518,1966,504,665,4078,11609,1550,572,976,756,289,0
