gisco_id,name,registered,turnout,blank,invalid,A,B,C,D,F,I,K,M,O,Q,V,Æ,Ø,Å,Ind.
DK_787,Thisted,32095,27125,250,89,8893,335,1205,908,1086,1589,216,1459,508,35,4532,4775,664,567,14
DK_791,Viborg,71013,60305,744,208,15479,1051,9442,1864,4433,3919,404,3304,1066,77,8766,6915,1448,1124,61
DK_810,Brønderslev,26988,22933,266,37,8165,361,909,912,1093,1437,87,1309,500,20,3233,3911,412,262,19
DK_813,Frederikshavn,45045,37195,366,331,14404,349,1354,1671,1472,2109,173,2213,954,30,4565,6222,626,326,30
DK_820,Vesthimmerland,26858,22198,210,50,6114,253,1190,997,1687,1105,79,1031,510,15,3861,4598,290,192,16
DK_825,Læsø,1474,1255,14,11,322,10,75,85,61,50,9,76,58,3,183,246,32,20,0
DK_840,Rebild,22265,19640,213,66,5854,568,1017,711,1165,1319,68,1254,250,36,2956,3274,501,371,17
DK_846,Mariagerfjord,31658,26486,280,70,8626,401,1317,919,1272,1505,92,1368,474,20,3047,6089,594,385,27
DK_849,Jammerbugt,29058,24643,251,85,8638,269,832,1073,1001,1406,159,1380,554,21,3761,4499,374,319,21
DK_851,Aalborg,168280,140659,1926,296,46098,5621,5906,3491,9731,12720,493,10023,2202,743,18180,13059,6212,3803,155
DK_860,Hjørring,48489,40491,431,133,14049,615,2116,1667,1915,2334,213,2530,815,49,5416,6672,1018,468,50
