gisco_id,name,registered,turnout,invalid,blank,A-HSP,BM365,Deblokirajmo Hrvatsku,NHR-HSP,DSS,Hrast-HKS-HSP AS-UHD,HBPS,HDS,HDZ,HNS-LD,HSS-GLAS-IDS-HSU-PGS-Demokrati-Laburisti,HSLS,HSR,Kolakušić,MVH,Most,Možemo!-NL-OraH,NS-R,P-UK,Petir,PMH,RF-SRP,SDSS,SSH,SH,SNAGA,SDP,START,SHZ,ZSZ,ZL,ŽZ
HR_04669,Tuhelj,1751,580,9,0,3,16,2,5,1,21,1,10,184,6,9,2,1,26,0,5,7,3,2,21,0,2,0,0,0,0,195,3,1,3,2,40
HR_HRZZTR,Turkey,13,13,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0
HR_05932,Tucepi,1695,543,20,0,2,1,3,21,0,28,1,5,139,4,3,0,1,24,1,35,9,0,10,12,1,9,0,1,1,0,160,12,2,0,1,37
HR_04677,Udbina,1455,555,7,0,4,4,1,1,2,21,1,4,84,3,2,0,1,11,0,8,0,0,0,11,2,1,345,1,0,0,24,8,0,0,1,8
HR_HRZZUA,Ukraine,20,20,0,0,0,0,0,1,0,0,0,3,2,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,4,0,0,0,0,2
HR_04685,Umag - Umago,12863,2815,82,0,13,4,12,37,5,99,3,18,239,102,787,8,3,275,3,55,32,4,18,26,6,8,50,1,7,29,563,67,0,1,11,247
HR_04693,Unesic,1249,589,10,0,3,2,2,30,0,49,4,5,389,3,1,2,0,18,3,39,0,2,0,8,1,0,0,0,0,0,1,2,1,0,2,12
HR_04715,Valpovo,9286,2722,64,0,10,11,11,123,1,274,3,24,780,31,55,9,3,266,3,148,15,6,11,90,2,4,17,1,2,4,522,33,0,1,8,190
HR_04723,Varazdin,39649,12776,282,0,19,52,65,165,3,722,18,43,1663,716,356,35,7,1433,9,263,166,1421,314,309,21,31,57,3,15,70,3220,388,14,13,133,750
HR_04731,Varazdinske Toplice,5381,1733,62,0,6,6,6,30,0,77,3,12,338,67,47,27,2,98,3,34,4,374,8,45,2,2,4,3,2,5,240,25,0,1,6,194
HR_04740,Vela Luka,3547,1204,54,0,4,1,2,27,1,150,0,3,291,14,23,45,0,44,0,32,7,3,17,5,1,1,1,3,0,1,411,12,2,2,2,45
HR_04758,Velika,4601,1390,51,0,6,19,1,42,3,118,4,16,519,11,35,4,3,93,2,83,3,2,9,58,3,3,18,0,0,1,165,16,1,0,8,93
HR_HRZZGB,United Kingdom,59,59,1,0,0,0,0,4,0,3,0,0,12,0,3,0,0,5,0,1,9,0,2,0,0,1,2,0,0,0,10,4,0,0,0,2
HR_05410,Velika Gorica,54937,17105,370,0,67,588,75,815,13,1715,33,126,3259,115,498,79,8,1767,22,924,205,57,222,1100,47,35,119,7,19,51,3320,328,11,21,115,974
HR_04766,Velika Kopanica,2807,874,31,0,3,4,5,20,2,105,3,7,231,2,10,1,3,41,0,269,4,2,2,27,0,0,1,2,1,1,53,4,1,0,2,37
HR_04774,Velika Ludina,2082,658,22,0,6,5,2,8,0,50,0,14,81,6,10,0,0,47,1,14,5,5,6,239,0,4,0,1,1,1,76,7,1,0,3,43
HR_04782,Velika Pisanica,1351,349,8,0,3,10,0,20,2,25,3,6,90,1,12,1,0,16,0,9,0,0,0,31,0,1,21,0,1,0,52,6,0,0,1,30
HR_05657,Velika Trnovitica,1084,307,8,0,1,1,3,21,0,26,0,3,109,2,28,5,0,8,0,7,1,2,0,20,0,0,0,0,0,0,36,2,0,0,6,18
HR_05584,Veliki Bukovec,1147,356,13,0,2,2,2,3,0,30,2,4,71,34,21,0,0,16,0,8,0,23,0,20,1,0,0,0,0,0,50,5,1,0,1,47
HR_04804,Veliki Grđevac,2261,552,24,0,14,11,1,27,0,56,3,3,155,25,4,9,1,21,1,18,5,3,0,34,2,1,5,1,0,1,68,8,1,0,3,47
HR_04812,Veliko Trgovisce,3988,896,30,0,3,33,3,11,0,42,1,9,233,10,25,2,2,92,3,31,11,4,3,65,1,1,4,0,4,0,176,10,0,9,7,71
HR_04839,Veliko Trojstvo,2225,561,18,0,0,9,2,10,0,29,3,6,106,5,104,9,0,62,0,17,0,3,0,35,1,0,1,0,0,1,94,3,1,0,2,40
HR_04847,Vidovec,4408,1003,35,0,8,9,5,13,0,26,3,7,301,66,32,5,1,79,2,17,4,117,11,29,7,3,0,0,1,4,127,13,0,1,4,73
HR_04855,Viljevo,1618,393,17,0,3,4,2,18,1,48,0,7,148,3,8,0,0,10,2,18,0,2,0,17,1,0,56,2,0,0,15,1,1,0,0,9
HR_04863,Vinica,2751,779,19,0,3,6,2,9,0,22,0,8,193,162,8,2,3,58,0,17,3,79,2,9,2,0,0,0,2,0,89,6,1,1,4,69
HR_04871,Vinkovci,29337,9386,311,0,30,38,40,576,5,1174,18,61,2516,74,283,65,6,881,13,595,52,22,70,257,20,12,176,5,8,39,1321,126,10,5,34,543
HR_04880,Vinodolska opcina,3300,750,17,0,2,4,3,19,1,26,2,8,162,5,15,9,0,84,1,29,6,4,13,17,2,3,3,1,1,0,237,12,1,0,5,58
HR_04898,Vir,4002,1186,33,0,4,129,3,52,2,102,5,7,254,5,14,12,1,112,1,50,16,3,1,32,3,0,5,0,1,1,237,14,4,1,0,82
HR_04901,Virje,3522,781,21,0,19,14,6,18,1,44,3,11,176,22,24,4,2,84,0,26,5,7,6,45,1,2,0,1,1,2,154,18,1,0,3,60
HR_04910,Virovitica,18356,6407,175,0,31,26,17,171,11,416,7,65,2312,52,133,16,0,571,8,317,37,16,41,159,22,9,64,12,4,15,1172,116,4,3,30,375
HR_04928,Vis,1936,642,20,0,9,0,3,20,0,41,0,4,119,8,17,1,1,73,0,31,13,3,11,22,0,4,3,0,0,0,195,10,0,0,3,31
HR_04936,Visoko,1194,497,10,0,3,1,0,3,1,13,0,10,289,14,13,3,0,18,2,5,2,15,1,16,1,1,0,1,0,1,45,1,0,1,2,25
HR_04944,Viskovci,1527,310,11,0,3,3,1,37,0,46,0,2,68,2,4,0,0,28,0,18,0,2,2,13,2,0,1,0,0,0,42,0,0,0,5,20
HR_04952,Viskovo,13851,3169,80,0,8,28,18,90,9,263,5,19,554,17,214,9,1,334,3,184,59,5,62,68,2,6,100,0,9,35,652,116,1,0,17,201
HR_04979,Višnjan - Visignano,1982,481,15,0,2,0,5,7,0,12,1,4,19,3,222,1,1,19,2,7,4,1,2,5,3,0,2,0,0,5,67,8,4,0,2,58
HR_04987,Vižinada - Visinada,992,312,15,0,0,0,1,2,0,5,1,0,12,0,148,1,0,9,0,3,2,0,0,2,2,3,1,0,1,0,81,3,0,0,1,19
HR_05797,Vladislavci,1579,432,16,0,5,1,4,13,2,44,3,5,161,6,5,1,0,25,1,26,0,1,2,10,1,1,7,1,0,0,47,1,1,0,3,39
HR_05002,Vodice,9527,2772,81,0,8,17,13,126,1,389,5,26,865,11,51,5,1,234,5,137,23,9,19,65,6,5,31,2,8,7,439,28,4,2,6,143
HR_05029,Vodnjan - Dignano,5415,1620,86,0,4,4,13,12,3,51,1,10,77,22,747,1,1,125,0,40,15,5,12,18,4,11,12,0,1,6,187,23,0,1,5,123
HR_05037,Vojnic,3688,883,39,0,6,11,3,9,19,24,1,10,239,17,4,3,0,13,0,19,1,1,1,9,4,0,244,2,0,4,158,3,1,0,0,38
HR_04995,Vocin,1813,498,28,0,2,2,3,4,1,20,1,5,234,4,1,5,0,11,1,14,0,3,2,4,0,0,49,0,0,1,73,0,0,2,1,27
HR_05843,Vođinci,1546,488,17,0,2,2,0,20,0,237,0,4,71,9,5,3,0,27,0,19,0,3,1,12,0,0,1,0,1,0,22,2,1,0,1,28
HR_05045,Vratisinec,1671,443,13,0,1,1,1,6,1,12,0,3,42,161,11,2,1,25,1,6,1,3,0,12,1,0,0,1,1,0,97,2,0,0,0,38
HR_05053,Vrbanja,3299,671,24,0,3,3,3,32,1,116,1,8,248,5,9,6,2,38,0,44,3,1,1,35,1,0,1,0,0,0,31,2,1,0,7,45
HR_05061,Vrbje,1920,535,16,0,5,2,11,21,0,47,1,15,250,5,29,0,2,13,2,14,1,0,1,34,1,1,0,0,0,0,20,3,0,0,1,40
HR_05070,Vrbnik,1214,452,6,0,3,3,2,14,0,56,0,6,95,3,23,1,0,22,0,21,2,0,13,42,0,1,3,0,0,0,93,9,0,0,5,29
HR_05088,Vrbovec,12028,3779,104,0,17,328,16,63,2,206,7,27,659,114,201,17,4,264,1,204,30,38,64,198,8,7,7,1,2,9,837,58,3,6,26,251
HR_05096,Vrbovsko,4284,1035,37,0,4,75,6,34,10,83,0,8,199,3,26,2,0,46,0,26,7,0,8,24,3,2,149,0,1,1,203,14,1,0,4,59
HR_05118,Vrgorac,5522,1613,63,0,9,2,7,54,0,64,6,56,595,21,13,7,2,68,2,229,2,4,18,24,3,1,0,2,1,0,316,10,1,1,3,29
HR_05126,Vrhovine,796,344,5,0,0,1,0,0,3,5,2,1,11,3,1,0,0,8,0,2,0,1,0,1,2,0,256,5,0,0,26,2,2,0,0,7
HR_05134,Vrlika,1859,679,17,0,10,1,2,68,1,51,1,14,318,10,4,0,0,17,1,61,1,2,0,18,2,0,32,0,1,0,30,3,0,0,1,13
HR_05142,Vrpolje,2928,781,26,0,6,1,2,24,0,99,0,8,340,3,10,2,0,38,2,56,1,0,1,54,3,0,1,2,0,0,55,2,2,0,2,41
HR_05169,Vrsar - Orsera,2006,551,12,0,1,1,0,4,1,18,0,4,52,6,235,0,1,42,2,7,2,1,0,4,1,1,4,0,0,0,85,9,1,0,1,56
HR_06254,Vrsi,1954,510,12,0,3,1,1,24,1,70,1,1,161,2,4,2,1,51,1,28,2,2,1,10,0,0,20,0,1,0,71,11,0,1,3,24
HR_05177,Vuka,962,217,8,0,0,2,0,4,0,31,1,1,83,7,2,0,0,14,0,4,2,0,1,5,0,0,0,1,0,0,29,3,0,0,0,19
HR_05185,Vukovar,23466,7470,182,0,28,43,22,251,131,1567,12,42,1836,125,47,9,0,253,4,181,21,4,20,129,4,18,1500,2,6,16,675,48,5,4,17,268
HR_05193,Zabok,7645,2587,99,0,8,111,14,40,4,103,5,25,402,61,56,6,4,214,3,56,51,8,23,100,7,1,8,2,2,13,877,64,3,11,9,197
HR_05207,Zadar,64246,16992,391,0,67,100,49,974,19,1765,16,117,4161,98,344,165,12,1450,17,935,276,58,229,526,41,33,208,4,13,44,3550,469,21,3,93,744
HR_05959,Zadvarje,232,96,7,0,0,3,1,5,0,14,0,0,21,11,1,0,0,5,0,10,0,0,4,4,0,0,0,0,0,0,5,1,0,0,2,2
HR_05215,Zagorska Sela,822,224,12,0,2,6,0,2,0,16,0,3,32,18,5,15,0,19,1,6,1,2,2,11,1,2,0,0,0,0,46,4,0,4,1,13
