gisco_id,name,registered,turnout,invalid,blank,ΔΗΜΟΚΡΑΤΙΚΟΣ ΣΥΝΑΓΕΡΜΟΣ (ΔΗ.ΣΥ),ΑΚΕΛ-ΑΡΙΣΤΕΡΑ-ΝΕΕΣ ΔΥΝΑΜΕΙΣ,ΔΗΜΟΚΡΑΤΙΚΟ ΚΟΜΜΑ (ΔΗ.ΚΟ),ΕΥΡΩΠΑΪΚΟ ΚΟΜΜΑ (ΕΥΡΩ.ΚΟ),ΕΔΕΚ ΚΙΝΗΜΑ ΣΟΣΙΑΛΔΗΜΟΚΡΑΤΩΝ,ΚΙΝΗΜΑ ΕΛΕΥΘΕΡΟΙ ΠΟΛΙΤΕΣ,ΚΙΝΗΜΑ ΟΙΚΟΛΟΓΩΝ ΠΕΡΙΒΑΛΛΟΝΤΙΣΤΩΝ,ΕΝΩΜΕΝΟΙ ΔΗΜΟΚΡΑΤΕΣ (Ε.ΔΗ),ΕΥΡΩΠΑΪΚΗ ΔΗΜΟΚΡΑΤΙΑ,ΠΟΛΙΤΙΚΟ ΚΙΝΗΜΑ ΚΥΝΗΓΩΝ,ΛΑΪΚΟ ΣΟΣΙΑΛΙΣΤΙΚΟ ΚΙΝΗΜΑ,ΚΩΣΤΑ ΧΡΙΣΤΑΚΗΣ,ΚΩΝΣΤΑΝΤΙΝΟΥ ΑΝΔΡΕΑΣ,ΜΙΧΑΗΛ ΑΝΑΣΤΑΣΗΣ,ΚΥΡΙΑΚΟΥ (ΟΥΤΟΠΟΣ) ΚΩΣΤΑΣ,ΕΥΣΤΡΑΤΙΟΥ ΑΝΔΡΕΑΣ,ΚΩΝΣΤΑΝΤΙΝΟΥ ΜΑΡΙΟΣ
CY_1210,Arediou,1237,1147,26,35,358,400,157,42,84,7,19,10,4,2,2,0,0,0,0,0,1
CY_1211,Άγιος Ιωάννης Μαλούντας,269,253,11,4,81,36,62,18,28,0,9,2,0,2,0,0,0,0,0,0,0
CY_1212,Αγροκηπιά,358,326,6,7,72,88,95,20,25,1,3,3,2,0,1,0,3,0,0,0,0
CY_1213,Mitsero,552,504,17,8,83,229,64,11,56,1,3,21,1,0,10,0,0,0,0,0,0
CY_1220,Kapedes,370,342,4,9,162,48,47,3,57,2,10,0,0,0,0,0,0,0,0,0,0
CY_1222,Analiontas,214,204,7,0,73,77,5,5,29,5,1,1,0,0,0,0,1,0,0,0,0
CY_1223,Kampia,314,304,12,9,98,128,34,9,10,0,1,1,0,1,1,0,0,0,0,0,0
CY_1225,Tseri,3526,3245,119,82,629,1345,512,154,231,29,63,56,9,13,2,0,1,0,0,0,0
CY_1226,Politiko,273,210,11,4,88,30,51,12,7,1,4,0,1,1,0,0,0,0,0,0,0
CY_1227,Pera,749,670,29,12,149,161,104,49,131,4,18,6,5,1,0,0,1,0,0,0,0
CY_1228,Episkopeio,344,323,10,11,140,62,40,21,26,4,5,2,0,2,0,0,0,0,0,0,0
CY_1229,Ψιμολόφου,1087,1000,20,21,284,372,144,58,64,8,15,7,3,3,0,0,1,0,0,0,0
CY_1230,Ergates,990,920,35,16,355,214,121,41,97,7,19,3,4,2,3,0,3,0,0,0,0
CY_1231,Anageia,937,864,25,24,205,351,109,67,40,10,17,8,0,2,2,0,4,0,0,0,0
CY_1232,Πάνω Δευτερά,1941,1793,47,26,562,641,255,97,85,7,38,14,7,5,1,0,8,0,0,0,0
