gisco_id,name,registered,turnout,invalid,blank,ΔΗΜΟΚΡΑΤΙΚΟΣ ΣΥΝΑΓΕΡΜΟΣ (ΔΗ.ΣΥ),ΑΚΕΛ-ΑΡΙΣΤΕΡΑ-ΝΕΕΣ ΔΥΝΑΜΕΙΣ,ΔΗΜΟΚΡΑΤΙΚΟ ΚΟΜΜΑ (ΔΗ.ΚΟ),ΕΔΕΚ ΚΙΝΗΜΑ ΣΟΣΙΑΛΔΗΜΟΚΡΑΤΩΝ,ΕΥΡΩΠΑΪΚΟ ΚΟΜΜΑ (ΕΥΡΩ.ΚΟ),ΚΙΝΗΜΑ ΟΙΚΟΛΟΓΩΝ ΠΕΡΙΒΑΛΛΟΝΤΙΣΤΩΝ,ΕΘΝΙΚΟ ΛΑΪΚΟ ΜΕΤΩΠΟ (Ε.ΛΑ.Μ),ΓΡΑΦΕΙΟ ΔΙΚΑΙΩΜΑΤΩΝ ΠΟΛΙΤΗ(ΛΑ.ΣΟ.Κ),ΚΥΠΡΙΑΚΗ ΠΡΟΟΔΕΥΤΙΚΗ ΣΥΝΕΡΓΑΣΙΑ (ΚΥ.ΠΡΟ.Σ),ΖΥΓΟΣ ΚΙΝΗΜΑ ΑΝΕΞΑΡΤΗΤΩΝ ΠΟΛΙΤΩΝ,ΣΤΑΥΡΟΥ ΛΟΥΚΑΣ,ΕΥΣΤΡΑΤΙΟΥ ΑΝΔΡΕΑΣ,ΣΤΑΥΡΟΥ ΠΑΜΠΟΣ,ΚΥΡΙΑΚΟΥ (ΟΥΤΟΠΟΣ) ΚΩΣΤΑΣ,ΚΩΝΣΤΑΝΤΙΝΟΥ ΝΕΟΦΥΤΟΣ,ΠΙΕΡΙΔΗΣ ΑΝΤΩΝΗΣ
CY_1423,Oikos,202,174,2,2,30,37,33,55,0,12,1,2,0,0,0,0,0,0,0,0
CY_1424,Καλοπαναγιώτης,284,202,2,2,47,82,38,15,4,6,6,0,0,0,0,0,0,0,0,0
CY_1425,Gerakies,222,160,1,1,33,27,20,74,0,1,1,1,0,0,0,0,0,1,0,0
CY_1426,Tsakistra,92,76,0,1,30,19,11,11,1,0,3,0,0,0,0,0,0,0,0,0
CY_1427,Kampos,390,297,10,3,52,121,65,40,2,2,0,1,1,0,0,0,0,0,0,0
CY_1457,Κάτω Πύργος,1067,953,28,3,246,213,189,173,18,74,6,0,0,0,0,0,0,3,0,0
CY_1460,Πηγένια,131,115,4,1,24,14,20,39,3,9,0,0,0,1,0,0,0,0,0,0
CY_1461,Παχύαμμος,99,88,3,2,13,24,11,30,1,1,1,0,0,2,0,0,0,0,0,0
CY_3100,Agia Napa,2245,1800,33,17,557,780,159,99,49,78,9,19,0,0,0,0,0,0,0,0
CY_3101,Paralimni,7756,6529,109,46,3163,1334,1160,213,266,138,39,55,4,2,0,0,0,0,0,0
CY_3102,Δερύνεια,3703,3211,93,34,772,1852,159,179,42,42,10,16,1,11,0,0,0,0,0,0
CY_3103,Σωτήρα Αμμοχώστου,3174,2671,71,30,1454,365,373,210,82,38,15,24,5,4,0,0,0,0,0,0
CY_3104,Liopetri,3124,2563,68,25,1296,717,137,164,121,10,14,9,2,0,0,0,0,0,0,0
CY_3105,Φρέναρος,2688,2293,47,33,598,1146,203,209,15,21,1,18,1,1,0,0,0,0,0,0
CY_3110,Αυγόρου,3172,2643,60,25,1158,785,267,154,64,25,7,96,1,1,0,0,0,0,0,0
CY_3111,Αχνα,1591,1349,18,10,730,312,132,64,40,7,28,6,0,2,0,0,0,0,0,0
CY_3114,Αχερίτου,1505,1285,19,12,476,497,120,117,16,10,3,11,2,2,0,0,0,0,0,0
CY_4000,Λάρνακα,34155,26456,620,376,8807,8774,4103,1799,976,384,261,269,35,51,0,0,0,1,0,0
CY_4010,Aradippou,8905,7276,109,66,2540,2860,855,491,145,62,50,53,9,36,0,0,0,0,0,0
CY_4011,Λιβάδια Λάρνακας,3669,3019,55,29,818,1538,252,196,66,27,17,19,2,0,0,0,0,0,0,0
CY_4012,Dromolaxia,4378,3507,89,44,970,1692,411,165,60,26,19,25,4,2,0,0,0,0,0,0
CY_4013,Meneou,925,746,14,16,242,314,64,57,8,14,8,7,0,2,0,0,0,0,0,0
CY_4100,Kellia,247,205,5,4,61,80,27,4,21,1,2,0,0,0,0,0,0,0,0,0
CY_4101,Troulloi,852,772,9,5,358,68,289,14,10,6,5,4,3,1,0,0,0,0,0,0
CY_4102,Bορόκληνη(Ορόκληνη),1973,1635,34,21,695,617,127,61,29,23,13,14,0,1,0,0,0,0,0,0
CY_4103,Αβδελλερό,96,86,0,1,25,33,22,2,1,0,2,0,0,0,0,0,0,0,0,0
CY_4104,Πύλα,940,769,10,9,266,343,67,36,10,8,4,14,2,0,0,0,0,0,0,0
CY_4105,Ξυλοτύμβου,2674,2302,47,23,995,634,269,143,86,13,16,72,2,2,0,0,0,0,0,0
CY_4106,Ormideia,3320,2785,55,28,1050,1186,259,98,51,23,10,23,2,0,0,0,0,0,0,0
CY_4107,Ξυλοφάγου,3839,3130,97,54,1507,894,288,134,56,34,38,23,4,1,0,0,0,0,0,0
CY_4110,Kiti,2327,1955,39,16,443,1172,112,111,34,12,8,7,0,1,0,0,0,0,0,0
CY_4111,Περιβόλια Λάρνακας,1464,1239,32,17,239,812,66,49,8,6,2,7,0,1,0,0,0,0,0,0
