gisco_id,name,registered,turnout,invalid,blank,Slovenská ľudová strana Andreja Hlinku,DOBRÁ VOĽBA,Sloboda a Solidarita,SME RODINA,Slovenské Hnutie Obrody,ZA ĽUDÍ,MÁME TOHO DOSŤ !,Slovenská národná strana,Demokratická strana,"OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), NOVA, Kresťanská únia (KÚ), ZMENA ZDOLA",Koalícia Progresívne Slovensko a SPOLU - občianska demokracia,STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI,99 % - občiansky hlas,Kresťanskodemokratické hnutie,Slovenská liga,VLASŤ,MOST - HÍD,SMER - sociálna demokracia,SOLIDARITA - Hnutie pracujúcej chudoby,HLAS ĽUDU,Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť,Práca slovenského národa,Kotlebovci - Ľudová strana Naše Slovensko,Socialisti.sk
SK_543101,Krnca,1130,745,8,0,1,38,23,71,0,16,2,41,2,109,33,0,0,33,1,13,3,276,1,2,0,0,66,6
SK_543110,Krtovce,258,177,0,0,0,3,7,7,0,2,2,7,1,36,7,0,0,18,1,8,1,44,0,0,0,0,29,4
SK_556149,Krusovce,1472,999,11,0,4,34,39,101,0,29,3,47,0,204,42,0,0,50,0,30,2,291,0,4,0,0,95,13
SK_581704,Kuzmice (okres Topoľčany),587,417,0,0,1,7,12,51,0,15,3,6,0,87,25,1,0,14,1,26,0,111,0,1,1,1,44,10
SK_505021,Lipovník (okres Topoľčany),271,204,0,0,1,7,3,28,0,11,0,8,0,36,6,0,0,15,0,5,0,58,0,1,0,0,25,0
SK_505048,Ludanice,1487,1014,4,0,3,65,32,105,0,24,1,54,1,194,27,1,0,81,0,31,1,295,2,0,0,1,89,3
SK_505064,Luzany,186,141,3,0,0,2,3,19,0,5,0,7,0,34,7,0,0,12,0,1,0,27,0,0,0,0,21,0
SK_505137,Male Ripnany,442,292,4,0,0,14,4,27,0,13,1,10,0,52,6,1,0,14,0,11,0,97,0,0,1,0,37,0
SK_581305,Nemcice,824,611,5,0,0,16,29,63,0,23,0,31,0,131,34,0,0,47,1,9,0,149,2,1,0,0,68,2
SK_505226,Nemecky,271,203,1,0,0,6,2,22,0,3,1,11,0,46,9,0,0,3,0,6,0,80,0,0,0,0,12,1
SK_505234,Nitrianska Blatnica,1044,728,5,0,2,20,21,105,0,14,1,23,3,139,19,1,0,41,1,32,1,221,1,0,0,1,73,4
SK_505242,Nitrianska Streda,632,436,1,0,0,15,29,38,0,11,0,22,1,59,24,0,0,3,1,14,1,175,1,2,0,0,34,5
SK_505251,Norovce,283,192,3,0,0,4,4,25,0,3,0,7,0,48,5,0,0,11,0,2,0,57,0,0,0,0,23,0
SK_505285,Oponice,729,490,6,0,2,14,9,53,0,8,2,20,0,110,17,1,0,6,0,12,1,152,0,0,0,0,75,2
SK_556211,Oresany,276,192,5,0,0,1,6,29,0,4,0,17,0,35,9,0,0,2,0,1,0,57,2,0,0,0,24,0
SK_505340,Podhradie (okres Topoľčany),252,176,2,0,2,6,5,12,0,5,1,11,0,22,6,0,0,16,0,1,0,66,0,0,0,0,20,1
SK_505374,Prasice,1737,1168,9,0,2,55,49,134,0,29,8,54,0,260,59,0,1,34,1,31,2,326,1,2,0,1,97,13
SK_581658,Praznovce,775,515,7,0,0,14,34,52,1,16,5,46,0,97,17,1,0,24,0,16,3,122,0,0,0,0,58,2
SK_505404,Preselany,1233,807,11,0,1,21,31,84,0,30,3,44,2,162,37,1,0,58,1,22,0,217,3,0,1,1,74,3
SK_505421,Radosina,1637,1154,7,0,7,56,60,107,1,38,4,40,2,288,52,0,0,59,0,13,0,257,2,2,0,0,155,4
SK_505439,Rajcany,430,306,9,0,2,15,13,42,0,11,1,15,0,68,7,0,0,8,0,10,0,75,1,1,0,0,22,6
SK_505498,Solcany,2093,1532,39,0,3,39,55,129,1,30,9,283,4,251,70,1,0,38,0,47,4,318,1,3,0,0,198,9
SK_556327,Solcianky,226,152,1,0,1,2,7,16,0,3,1,6,0,39,4,1,0,7,0,2,0,41,2,0,0,0,19,0
SK_505510,Sulovce,440,283,1,0,2,9,11,35,0,7,1,20,0,59,18,0,0,4,0,9,3,86,0,0,0,0,15,3
SK_556238,Svrbice,169,114,0,0,0,6,2,7,0,2,0,5,0,18,1,0,0,13,0,1,0,33,0,0,0,0,26,0
SK_505536,Salgovce,427,252,1,0,1,10,10,19,0,4,0,9,0,66,18,0,0,10,0,5,0,77,0,2,0,0,20,0
SK_505561,Tesare,629,455,2,0,2,9,16,47,1,14,3,24,0,69,13,0,0,62,0,19,1,112,0,0,0,0,55,6
SK_504998,Topolcany,21446,14028,88,0,27,420,750,1399,10,530,33,566,18,3153,750,3,7,511,4,435,22,3873,22,19,3,5,1254,126
SK_580457,Tovarniky,1203,903,3,0,1,24,64,98,0,37,2,39,0,237,57,0,0,34,0,30,1,213,0,2,0,0,57,4
SK_505617,Tvrdomestice,389,218,5,0,1,5,1,37,0,1,2,12,0,34,5,0,0,5,0,3,0,78,0,0,0,0,29,0
SK_505641,Urmince,1182,840,9,0,2,22,27,91,3,21,2,34,3,136,37,0,0,114,0,22,1,219,0,16,0,0,79,2
SK_505676,Velke Dvorany,605,445,8,0,0,11,9,43,0,10,4,12,3,92,11,1,0,15,0,11,0,175,4,0,1,0,33,2
SK_505714,Velke Ripnany,1705,1128,18,0,5,37,32,154,0,33,1,43,0,256,41,0,1,58,0,14,0,293,4,1,0,2,125,10
SK_505749,Velusovce,429,304,2,0,0,12,13,28,0,7,0,14,0,62,10,0,0,14,0,9,0,101,0,0,0,0,31,1
SK_505757,Vozokany (okres Topoľčany),282,185,0,0,0,6,2,23,0,3,0,7,1,42,4,1,0,3,1,13,0,54,1,1,0,0,23,0
SK_505773,Závada (okres Topoľčany),525,328,0,0,0,12,11,35,0,14,1,18,0,52,11,0,0,12,0,8,1,122,0,1,0,0,28,2
SK_509132,Cadca,19298,12085,179,0,16,396,527,1085,8,379,31,539,26,2448,673,4,2,378,4,469,14,3227,11,10,2,12,1562,83
SK_509159,Cierne,3522,2360,34,0,7,78,69,186,2,44,4,117,1,427,91,3,0,78,2,91,2,763,0,1,0,0,352,8
SK_509167,Dlha nad Kysucou,500,270,7,0,3,6,8,26,0,5,1,14,0,49,5,1,0,4,0,9,1,79,0,1,0,0,50,1
SK_509183,Dunajov,949,636,15,0,4,22,13,69,0,14,2,32,0,90,29,0,0,5,0,36,1,218,1,0,0,0,82,3
SK_509213,Klokočov (okres Čadca),1938,996,13,0,4,16,24,69,1,17,1,39,0,186,39,1,0,30,0,20,0,384,1,1,1,0,149,0
SK_509221,Klubina,437,325,4,0,3,12,8,25,0,2,5,17,0,55,9,1,1,5,0,15,0,119,2,0,0,1,40,1
SK_509230,Korna,1659,1043,16,0,1,39,32,99,1,21,6,42,1,216,49,1,0,22,0,33,0,299,0,0,0,1,163,1
SK_509248,Krasno nad Kysucou,5415,3613,37,0,12,104,100,424,0,92,6,187,3,688,165,1,1,101,0,122,1,1156,2,3,1,1,386,20
SK_509299,Makov,1571,1092,19,0,6,41,47,90,0,54,4,26,0,204,148,2,0,36,0,40,2,286,1,0,0,0,82,4
SK_509311,Nova Bystrica,2267,1450,20,0,3,87,61,98,3,12,5,80,0,264,28,0,0,25,0,49,1,473,2,1,0,0,236,2
SK_509337,Olesna,1612,1040,14,0,3,24,48,85,0,21,4,55,0,181,50,0,0,14,0,26,2,358,0,0,0,2,145,8
SK_509345,Oscadnica,4851,3188,33,0,4,95,129,281,1,79,4,171,0,662,213,1,1,150,2,127,3,835,2,3,2,1,372,17
SK_509361,Podvysoka,1060,718,12,0,0,30,16,59,0,16,1,45,0,106,45,0,0,15,0,36,2,211,0,0,0,0,120,4
SK_509396,Radostka,658,428,5,0,0,21,5,35,0,3,2,26,1,68,12,0,0,3,0,14,0,168,1,0,0,0,61,3
SK_509400,Rakova,4448,2974,178,0,3,99,122,290,1,70,6,144,3,559,154,2,2,125,1,106,1,773,1,3,0,4,315,12
SK_509451,Skalite,4096,2661,32,0,3,51,61,185,1,48,6,94,1,533,85,1,0,101,5,103,4,959,4,0,0,0,373,11
SK_509477,Stara Bystrica,2238,1620,35,0,0,68,47,144,0,19,2,48,0,256,36,0,0,33,0,65,2,714,0,0,0,0,148,3
SK_509485,Staskov,2235,1451,9,0,4,74,60,116,5,25,6,74,0,229,61,0,1,56,1,63,1,474,1,1,0,5,183,2
SK_509493,Svrcinovec,2792,1750,31,0,8,88,43,136,0,58,16,93,2,309,67,0,0,58,0,71,6,499,2,1,1,0,251,10
SK_509507,Turzovka,6109,3761,48,0,11,178,177,291,1,81,6,180,4,563,182,1,1,92,0,133,5,1151,3,1,0,1,635,16
SK_509515,Vysoka nad Kysucou,2144,1389,16,0,1,58,35,122,1,33,10,45,3,204,49,0,0,42,1,55,4,484,2,2,0,3,216,3
SK_509523,Zakopcie,1399,875,7,0,2,26,23,47,1,20,0,41,0,167,28,0,1,39,1,36,1,285,0,0,0,0,149,1
SK_509531,Zborov nad Bystricou,1784,1183,15,0,1,17,22,126,0,11,1,66,1,205,37,2,0,17,0,64,1,419,0,0,0,0,172,6
SK_580813,Bziny,445,340,0,0,3,7,17,23,1,20,4,20,0,97,14,0,0,52,0,8,0,32,0,1,0,0,40,1
SK_509639,Dlha nad Oravou,1146,834,13,0,1,20,26,78,0,47,2,32,0,284,34,1,0,104,0,17,0,123,0,0,0,0,51,1
SK_509540,Dolny Kubin,14833,10594,107,0,23,332,864,678,9,686,31,313,10,2922,808,7,1,1055,5,321,24,1712,10,9,5,4,588,70
SK_509671,Horná Lehota (okres Dolný Kubín),439,321,0,0,3,14,22,23,0,11,2,10,0,96,16,1,0,50,0,12,0,42,0,0,0,1,18,0
SK_509698,Chlebnice,1258,873,11,0,3,8,13,60,0,25,3,23,0,409,16,0,0,196,1,12,1,49,1,0,0,0,40,2
SK_509701,Istebne,1171,801,14,0,5,24,40,65,1,28,9,28,0,202,42,0,0,38,0,22,0,204,0,0,0,0,78,1
SK_509710,Jasenova,358,266,0,0,0,14,24,28,0,16,1,11,1,52,28,0,0,3,0,11,1,57,1,0,1,0,13,4
SK_509744,Kralovany,361,275,6,0,1,5,15,26,0,7,1,15,0,39,14,0,0,13,1,13,2,81,0,0,0,0,35,1
SK_509761,Kriva,650,532,6,0,2,9,22,29,0,14,1,20,0,163,15,0,0,105,0,15,2,78,0,0,0,0,49,2
SK_509787,Lestiny,234,184,2,0,0,6,9,8,0,3,3,7,0,61,16,0,1,6,0,7,0,45,0,0,3,0,7,0
SK_509825,Malatina,639,454,2,0,1,7,3,27,0,13,1,9,0,116,8,0,0,133,0,10,0,69,0,0,0,2,53,0
SK_509833,Medzibrodie nad Oravou,419,320,3,0,1,8,4,18,0,11,0,5,2,141,13,0,0,69,0,7,0,19,1,0,0,2,16,0
SK_509922,Oravska Poruba,853,683,4,0,2,19,40,66,0,46,6,14,2,210,38,0,0,29,0,6,1,140,0,0,0,0,52,8
SK_509957,Oravsky Podzamok,1138,859,11,0,2,27,49,40,0,80,4,33,0,289,50,0,0,89,0,19,1,103,0,0,0,1,59,2
SK_509965,Osadka,153,118,0,0,2,6,10,4,1,1,0,9,2,25,8,0,0,6,0,3,2,21,0,0,1,0,11,6
SK_509973,Parnica,739,545,3,0,3,17,26,34,0,22,5,41,0,160,37,0,0,7,0,14,1,116,1,0,0,0,56,2
SK_509990,Pokryvac,139,98,1,0,0,4,2,13,0,2,1,2,1,22,10,0,0,9,0,0,0,25,0,0,0,0,6,0
SK_510009,Pribis,367,267,3,0,0,4,7,8,0,10,0,15,0,93,6,0,0,72,1,1,0,28,0,0,0,0,18,1
SK_510017,Pucov,643,498,5,0,2,8,19,25,0,23,0,5,1,180,16,0,0,107,0,7,0,57,1,0,0,0,42,0
SK_510041,Sedliacka Dubova,423,313,2,0,0,5,13,19,0,20,2,14,0,101,13,1,0,46,0,11,0,45,0,2,0,2,15,2
SK_510165,Velicna,1057,806,2,0,1,25,59,46,0,57,7,26,0,229,69,0,0,57,0,30,0,122,1,1,0,0,70,4
SK_510181,Vysny Kubin,605,476,0,0,0,10,50,29,0,46,0,15,0,152,34,0,0,33,0,18,4,63,2,0,0,0,16,4
SK_510211,Zazriva,2293,1547,17,0,5,32,79,129,3,75,4,56,1,407,116,0,1,163,0,42,0,277,1,0,0,1,136,2
SK_510254,Zaskov,1327,927,18,0,0,30,51,76,0,49,3,26,5,301,39,1,0,71,0,20,0,128,2,1,0,1,100,5
SK_510271,Benadikova,424,298,5,0,1,6,20,52,0,13,3,10,1,62,14,0,0,3,0,14,1,64,0,0,0,1,27,1
SK_510319,Bobrovcek,158,120,0,0,0,11,4,11,0,2,0,1,6,27,10,0,0,9,0,4,0,20,0,1,0,0,14,0
SK_510327,Bobrovec,1616,1209,13,0,5,32,68,102,0,55,4,40,1,358,67,0,2,165,0,29,2,137,0,4,1,0,116,8
SK_510335,Bobrovnik,127,77,9,0,0,0,4,5,0,2,0,3,0,12,5,0,0,1,0,0,0,22,0,0,0,0,13,1
SK_510351,Bukovina,97,68,0,0,0,2,3,12,0,2,0,1,0,15,3,0,0,1,0,0,0,21,0,0,0,0,8,0
SK_510386,Demänovská Dolina,797,720,6,0,0,22,120,32,0,76,2,14,0,224,122,0,0,19,0,14,3,39,0,1,8,0,15,3
SK_510408,Dúbrava (okres Liptovský Mikuláš),1066,760,8,0,1,27,27,81,1,18,6,74,1,145,50,1,1,27,0,24,1,182,0,6,1,3,73,2
SK_510416,Galovany,237,176,0,0,0,7,4,27,0,11,0,13,0,48,9,0,0,0,0,3,0,37,0,0,0,0,17,0
SK_510424,Gotovany,387,258,4,0,2,7,9,34,0,13,4,14,1,50,9,0,1,1,0,4,0,64,0,0,0,0,37,4
SK_510459,Huty,170,114,0,0,0,5,2,6,0,6,0,7,1,32,8,0,0,2,0,3,0,35,0,0,0,0,7,0
SK_510467,Hybe,1239,870,7,0,0,37,41,116,0,51,4,47,3,168,37,0,0,25,0,26,1,209,1,1,0,0,93,3
SK_556807,Izipovce,82,62,0,0,0,0,2,5,0,4,3,1,0,20,3,0,0,5,0,1,1,7,1,0,0,0,9,0
SK_510505,Jakubovany (okres Liptovský Mikuláš),342,257,1,0,1,9,18,31,1,8,1,14,0,62,18,0,0,3,0,11,1,56,0,0,0,0,21,1
SK_510513,Jalovec (okres Liptovský Mikuláš),265,206,2,0,0,6,27,20,0,15,1,13,1,47,15,0,0,7,0,8,0,24,0,0,0,0,18,2
SK_510521,Jamník (okres Liptovský Mikuláš),388,261,5,0,0,5,16,37,1,14,1,12,1,59,16,0,0,3,0,11,1,56,0,1,0,0,18,4
SK_507393,Konská (okres Liptovský Mikuláš),186,126,1,0,0,3,2,21,0,4,1,9,0,26,2,0,0,3,0,8,0,34,0,0,0,0,11,1
SK_510564,Kralova Lehota,476,323,5,0,1,9,9,60,0,17,1,8,2,58,9,0,0,2,0,17,0,72,0,0,0,0,52,1
SK_510572,Kvačany (okres Liptovský Mikuláš),447,312,0,0,2,10,8,39,3,22,2,19,0,75,11,0,0,26,0,5,1,65,0,0,1,0,21,2
