country_code,parliament_name,election_date,round,vote_type,file_path
AT,European Parliament,2004-06-13,,,elections/AT/EU_2004_06.csv
BE,European Parliament,2004-06-13,,,elections/BE/EU_2004_06.csv
CY,European Parliament,2004-06-13,,,elections/CY/EU_2004_06.csv
CZ,European Parliament,2004-06-13,,,elections/CZ/EU_2004_06.csv
DE,European Parliament,2004-06-13,,,elections/DE/EU_2004_06.csv
DK,European Parliament,2004-06-13,,,elections/DK/EU_2004_06.csv
EE,European Parliament,2004-06-13,,,elections/EE/EU_2004_06.csv
EL,European Parliament,2004-06-13,,,elections/EL/EU_2004_06.csv
ES,European Parliament,2004-06-13,,,elections/ES/EU_2004_06.csv
FI,European Parliament,2004-06-13,,,elections/FI/EU_2004_06.csv
FR,European Parliament,2004-06-13,,,elections/FR/EU_2004_06.csv
HU,European Parliament,2004-06-13,,,elections/HU/EU_2004_06.csv
IE,European Parliament,2004-06-13,,,elections/IE/EU_2004_06.csv
IT,European Parliament,2004-06-13,,,elections/IT/EU_2004_06.csv
LT,European Parliament,2004-06-13,,,elections/LT/EU_2004_06.csv
LU,European Parliament,2004-06-13,,,elections/LU/EU_2004_06.csv
LU,Chambre des Députés,2004-06-13,,,elections/LU/2004_06.csv
LV,European Parliament,2004-06-13,,,elections/LV/EU_2004_06.csv
MT,European Parliament,2004-06-13,,,elections/MT/EU_2004_06.csv
NL,European Parliament,2004-06-13,,,elections/NL/EU_2004_06.csv
PL,European Parliament,2004-06-13,,,elections/PL/EU_2004_06.csv
PT,European Parliament,2004-06-13,,,elections/PT/EU_2004_06.csv
SE,European Parliament,2004-06-13,,,elections/SE/EU_2004_06.csv
SI,European Parliament,2004-06-13,,,elections/SI/EU_2004_06.csv
SK,European Parliament,2004-06-13,,,elections/SK/EU_2004_06.csv
SI,Državni zbor,2004-10-03,,,elections/SI/2004_10.csv
LT,Seimas,2004-10-10,,,elections/LT/2004_10.csv
DK,Folketing,2005-02-08,,,elections/DK/2005_02.csv
PT,Assembleia da República,2005-02-20,,,elections/PT/2005_02.csv
LI,Landtag,2005-03-13,,,elections/LI/2005_03.csv
BG,Народно събрание,2005-06-25,,,elections/BG/2005_06.csv
DE,Bundestag,2005-09-18,,Erststimme,elections/DE/2005_09_Erststimme.csv
DE,Bundestag,2005-09-18,,Zweitstimme,elections/DE/2005_09_Zweitstimme.csv
PL,Sejm,2005-09-25,,,elections/PL/2005_09.csv
HU,Országgyűlés,2006-04-09,1.0,party,elections/HU/2006_04_1_party.csv
HU,Országgyűlés,2006-04-09,1.0,single_member,elections/HU/2006_04_1_single_member.csv
IT,Camera dei Deputati,2006-04-10,,,elections/IT/2006_04.csv
HU,Országgyűlés,2006-04-23,2.0,single_member,elections/HU/2006_04_2_single_member.csv
CY,Βουλή των Αντιπροσώπων,2006-05-21,,,elections/CY/2006_05.csv
CZ,Poslanecká sněmovna,2006-06-03,,,elections/CZ/2006_06.csv
SE,Riksdagen,2006-09-17,,,elections/SE/2006_09.csv
AT,Nationalrat,2006-10-01,,,elections/AT/2006_10.csv
NL,Tweede Kamer,2006-11-22,,,elections/NL/2006_11.csv
EE,Riigikogu,2007-03-04,,,elections/EE/2007_03.csv
FI,Eduskunta,2007-03-18,,,elections/FI/2007_03.csv
IS,Alþingi,2007-05-12,,,elections/IS/2007_05.csv
BG,European Parliament,2007-05-20,,,elections/BG/EU_2007_05.csv
IE,Dáil Éireann,2007-05-24,,,elections/IE/2007_05.csv
BE,Chambre des Représentants,2007-06-10,,,elections/BE/2007_06.csv
FR,Assemblée nationale,2007-06-10,1.0,,elections/FR/2007_06_1.csv
FR,Assemblée nationale,2007-06-17,2.0,,elections/FR/2007_06_2.csv
EL,Βουλή των Ελλήνων,2007-09-16,,,elections/EL/2007_09.csv
CH,Nationalrat,2007-10-21,,,elections/CH/2007_10.csv
PL,Sejm,2007-10-21,,,elections/PL/2007_10.csv
DK,Folketing,2007-11-13,,,elections/DK/2007_11.csv
HR,Hrvatski sabor,2007-11-25,,,elections/HR/2007_11.csv
RO,European Parliament,2007-11-25,,,elections/RO/EU_2007_11.csv
MT,Parlament ta' Malta,2008-03-08,,,elections/MT/2008_03.csv
ES,Congreso de los Diputados,2008-03-09,,,elections/ES/2008_03.csv
IT,Camera dei Deputati,2008-04-14,,,elections/IT/2008_04.csv
SI,Državni zbor,2008-09-21,,,elections/SI/2008_09.csv
AT,Nationalrat,2008-09-28,,,elections/AT/2008_09.csv
LT,Seimas,2008-10-12,,,elections/LT/2008_10.csv
LI,Landtag,2009-02-08,,,elections/LI/2009_02.csv
IS,Alþingi,2009-04-25,,,elections/IS/2009_04.csv
AT,European Parliament,2009-06-07,,,elections/AT/EU_2009_06.csv
BE,European Parliament,2009-06-07,,,elections/BE/EU_2009_06.csv
BG,European Parliament,2009-06-07,,,elections/BG/EU_2009_06.csv
CY,European Parliament,2009-06-07,,,elections/CY/EU_2009_06.csv
CZ,European Parliament,2009-06-07,,,elections/CZ/EU_2009_06.csv
DE,European Parliament,2009-06-07,,,elections/DE/EU_2009_06.csv
DK,European Parliament,2009-06-07,,,elections/DK/EU_2009_06.csv
EE,European Parliament,2009-06-07,,,elections/EE/EU_2009_06.csv
EL,European Parliament,2009-06-07,,,elections/EL/EU_2009_06.csv
ES,European Parliament,2009-06-07,,,elections/ES/EU_2009_06.csv
FI,European Parliament,2009-06-07,,,elections/FI/EU_2009_06.csv
FR,European Parliament,2009-06-07,,,elections/FR/EU_2009_06.csv
HU,European Parliament,2009-06-07,,,elections/HU/EU_2009_06.csv
IE,European Parliament,2009-06-07,,,elections/IE/EU_2009_06.csv
IT,European Parliament,2009-06-07,,,elections/IT/EU_2009_06.csv
LT,European Parliament,2009-06-07,,,elections/LT/EU_2009_06.csv
LU,European Parliament,2009-06-07,,,elections/LU/EU_2009_06.csv
LU,Chambre des Députés,2009-06-07,,,elections/LU/2009_06.csv
LV,European Parliament,2009-06-07,,,elections/LV/EU_2009_06.csv
MT,European Parliament,2009-06-07,,,elections/MT/EU_2009_06.csv
NL,European Parliament,2009-06-07,,,elections/NL/EU_2009_06.csv
PL,European Parliament,2009-06-07,,,elections/PL/EU_2009_06.csv
PT,European Parliament,2009-06-07,,,elections/PT/EU_2009_06.csv
SE,European Parliament,2009-06-07,,,elections/SE/EU_2009_06.csv
SI,European Parliament,2009-06-07,,,elections/SI/EU_2009_06.csv
SK,European Parliament,2009-06-07,,,elections/SK/EU_2009_06.csv
