gisco_id,name,registered,turnout,invalid,blank,Changement citoyen,Décidons nous-mêmes,REC,LFI,RN,LÉ,Free Palestine,PA,Communistes,ENS,PACE,Équinoxe,Écologie positive,UPR,Paix et Décroissance,LR,LO,ND-AE,RS,NPA-R,PT,LP-VIA,Rester libre,Les Nationalistes,PS-PP,ANC,Résistons,France Libre,ETÉ,La Ruche citoyenne,PCF,Défendre les enfants,ÉAC,Démocratie représentative,EDE,LDF
FR_31173,Esperce,266,163,1,1,0,0,10,8,55,18,0,1,0,7,0,1,0,2,0,10,0,0,0,0,0,1,0,0,32,0,7,0,0,1,5,0,2,0,0,0
FR_12097,Espeyrac,228,163,5,5,0,0,3,10,37,15,0,0,0,26,0,0,0,0,0,8,1,0,0,2,0,0,0,0,17,0,26,0,0,0,5,0,2,0,0,0
FR_46096,Espeyroux,101,63,3,0,0,0,3,4,21,2,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,0,4,0,0,0,2,0,1,0,0,0
FR_11130,Espezel,180,135,3,2,0,0,10,8,48,8,0,0,0,13,0,0,0,4,0,4,0,0,1,0,0,2,0,0,10,0,15,0,1,0,3,0,2,0,0,0
FR_65167,Espieilh,39,28,1,0,0,0,3,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,8,0,0,0,0,0,0,0,0,0
FR_47090,Espiens,275,185,1,4,0,0,12,11,74,4,0,0,0,17,0,1,1,2,0,15,0,0,0,0,0,1,0,0,17,0,17,0,0,0,0,0,1,0,0,0
FR_33157,Espiet,586,322,5,3,0,0,13,14,141,24,0,0,0,31,0,0,1,1,0,8,1,0,0,1,0,10,0,0,26,0,8,0,2,0,20,0,7,0,1,0
FR_82056,Espinas,166,125,3,1,0,0,4,7,15,13,0,0,0,11,0,1,0,0,0,8,3,0,0,1,0,4,0,0,22,0,27,0,0,0,1,0,1,0,0,0
FR_15065,Espinasse,68,44,0,1,0,0,2,0,15,2,0,0,0,5,0,0,0,0,0,10,1,0,0,0,0,0,0,0,1,0,2,0,0,0,4,0,0,0,0,0
FR_63152,Espinasse,277,162,0,2,0,0,7,11,58,6,0,0,0,17,0,0,0,1,0,13,2,0,0,0,0,2,0,0,18,0,13,0,0,0,7,0,1,0,0,0
