gisco_id,name,registered,turnout,invalid,blank,PSD-PC,PDL,PNL,UDMR/RMDSZ,PRM,PDL,PNȚCD,Pavel,FC
RO_002309,Almaşu Mare,1186,569,9,0,30,6,359,97,7,1,36,24,0
RO_002381,Arieşeni,1469,682,35,0,149,3,345,103,10,1,22,11,3
RO_002577,Avram Iancu,1437,1037,25,0,37,5,814,74,16,7,32,25,2
RO_002915,Oraş Baia de Arieş,3508,1039,34,0,131,7,471,214,19,11,124,25,3
RO_002988,Berghin,1785,881,32,0,75,4,609,95,11,7,33,12,3
RO_003039,Bistra,4007,650,26,0,124,2,152,156,13,3,115,53,6
RO_003397,Blandiana,882,544,21,0,81,2,313,76,6,2,21,19,3
RO_003459,Bucium,1454,558,14,0,57,3,173,201,5,2,73,27,3
RO_003761,Cenade,758,418,17,0,24,3,320,34,6,0,7,5,2
RO_003805,Cergău,1287,831,17,0,194,1,491,67,6,3,40,9,3
RO_003841,Ceru-Băcăinţi,261,142,1,0,6,3,94,29,2,0,3,4,0
RO_003958,Cetatea de Baltă,2459,1112,41,0,55,104,515,314,13,1,43,18,8
RO_004008,Ciuruleasa,1059,395,17,0,13,1,148,161,4,2,37,10,2
RO_004106,Câlnic,1405,752,35,0,49,4,473,166,2,1,11,6,5
RO_004142,Cricău,1715,1038,24,0,243,1,566,166,3,2,17,12,4
RO_004188,Crăciunelu de Jos,1707,797,32,0,81,10,540,93,8,0,15,13,5
RO_004240,Daia Română,2515,479,23,0,107,1,202,99,14,1,15,15,2
RO_004268,Doştat,779,216,11,0,45,1,62,53,19,2,13,9,1
RO_004302,Fărău,1429,729,26,0,46,93,456,72,2,1,21,7,5
RO_004366,Galda de Jos,3693,1281,41,0,362,85,476,161,14,14,74,46,8
RO_004482,Gârbova,1642,759,31,0,66,4,333,272,1,0,25,17,10
RO_004525,Gârda de Sus,1497,506,17,0,30,3,278,96,7,6,43,22,4
RO_004703,Hopârta,972,772,26,0,71,12,505,116,7,1,14,13,7
RO_004767,Horea,1732,1078,8,0,50,2,689,125,12,4,75,103,10
