gisco_id,name,registered,turnout,invalid,blank,PR,PUSL,USR-PMP-FD,S.O.S. România,ARS,SENS,REPER,AUR,PDU,UDMR/RMDSZ,AD,PRM,CNR,Pîrvănescu,Gheorghe
RO_033952,Monor,1030,793,59,0,1,9,150,24,1,7,15,140,2,8,0,3,365,1,8
RO_033989,Nimigea,4247,2805,196,0,13,14,92,106,7,31,27,271,37,253,5,8,1708,7,30
RO_034075,Nuseni,2278,1654,68,0,11,2,103,47,5,11,22,110,12,269,3,4,973,3,11
RO_034155,Parva,1964,1248,118,0,11,8,48,16,2,8,6,270,2,5,1,2,739,3,9
RO_034173,Petru Rareş,2828,1614,128,0,15,7,64,116,5,15,9,271,9,247,0,6,697,6,19
RO_034235,Prundu Bargaului,5190,2849,94,0,22,11,143,145,11,34,80,363,40,23,5,15,1783,15,65
RO_034262,Rebra,2112,1305,148,0,6,11,91,60,0,23,15,361,8,12,2,4,551,6,7
RO_034280,Rebrisoara,3738,2352,139,0,7,5,44,81,5,48,44,404,30,14,3,3,1476,11,38
RO_034333,Rodna,4874,3057,213,0,17,15,363,194,12,36,45,517,46,93,1,17,1442,11,35
RO_034360,Romuli,1384,1049,48,0,5,3,14,20,1,22,10,195,12,10,4,1,689,2,13
RO_034397,Salva,2227,1751,107,0,8,7,48,90,6,29,24,214,34,7,4,11,1133,5,24
