gisco_id,name,registered,turnout,invalid,blank,UUR,FCER,Andreicuț,Puiu-Barraud,USR (2016),FD,UDMR/RMDSZ,PSD,AUR,SENS,REPER,RîA,S.O.S. România,PER,PNCR,ANC,PSDI,ARS,POT,DREPT,USR (1989),UPR,UBBR,UCRR,CRLR,ALAR (1999),UDSCR,UAR,UDTR,AMR,RO.AS.IT.,UER,FCR,APR-PE,UCR,FDGR/DFDR,UDTTMR,PNL,PNR [Partidul Nouă Românie],PPR,PRR,ADN,PLAN,PD,Hagimă,Banu-Muscel,PUGD,PP,Stoian,Secară,Curtean,Szűcs,Baciu [Gheorghe-Damian Baciu],PV,Iusein,Negoiță,Ion,Iancu,Toader,Karani,Sărmaș,Boșneagu,Tîrnoveanu,Ciobanu,POC,Dan [Aurelian-Leonard Dan],Dămureanu,Ștefan,Fanaca,Rusu,PNȚCD,Dumitrică,Olărașu,Cazacu,Moldovanu,Stegaru,Burlea,PPU,Voinea,Vlașin,Cirț,Măneanu,Tița,Renghea,Dan [Roberto Dan],David,Dumitru [Bogdan Dumitru],Dinulescu,Andrei-Ionuț Neșculescu,Bodnar,Drăgan,Balaș,Abrudan,Mocanu Gollent,Spiru,Spiridon [Silvian-Andrei Spiridon],Lisaru,Stancu,Pîrvulescu,Aga
RO_061283,Ciocarlia,2584,1163,30,3,0,0,0,0,58,39,4,139,309,21,3,0,197,6,4,0,3,2,81,7,1,1,0,0,1,1,4,2,4,6,0,2,0,0,0,1,44,179,2,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO_061318,Cobadin,7562,2707,72,22,1,3,0,0,130,59,6,445,744,81,8,3,435,8,8,6,11,14,219,38,2,1,0,1,2,2,3,1,79,11,0,1,1,6,3,3,78,156,2,12,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO_061372,Cogealac,4409,1690,32,7,1,1,0,0,72,23,6,341,537,41,12,2,290,4,3,7,5,8,140,26,0,0,1,1,2,3,1,1,3,11,0,1,0,3,2,0,0,88,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO_061452,Comana,1577,570,12,3,0,0,0,0,28,2,3,77,160,5,2,1,68,0,4,1,1,1,36,3,2,0,0,0,0,1,0,0,3,3,0,1,0,1,0,1,8,130,3,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO_061513,Corbu,5553,2388,40,7,0,2,0,0,188,43,4,474,646,49,16,5,357,10,8,5,10,6,237,54,1,1,0,1,2,3,0,1,1,5,1,2,0,2,0,1,0,150,8,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO_061559,Crucea,2542,954,25,6,2,1,0,0,44,17,1,111,257,14,4,4,104,3,2,4,4,2,43,10,1,1,0,1,1,1,0,1,1,4,1,0,0,1,2,1,0,269,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO_061620,Cumpăna,13546,6763,129,25,1,6,0,0,892,181,10,1322,1366,267,78,11,814,52,25,24,15,19,571,170,4,1,2,0,3,5,0,3,58,7,2,6,2,6,2,3,24,535,14,39,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO_061675,Deleni,1912,855,25,6,0,0,0,0,39,26,4,254,246,2,2,1,120,5,6,3,5,1,42,3,2,0,0,0,0,2,0,3,1,1,0,0,0,0,1,1,0,42,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO_061737,Dobromir,2661,1139,65,41,0,1,0,0,19,9,2,94,93,4,1,1,66,6,5,2,0,1,15,0,0,0,1,1,3,2,0,1,126,5,0,4,1,3,1,0,0,559,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO_061808,Garliciu,1241,520,13,5,0,2,0,0,10,4,0,51,121,4,0,0,82,1,0,0,1,1,34,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,176,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
