gisco_id,name,registered,turnout,invalid,blank,PSD,USR+,PRO,UDMR/RMDSZ,PNL,ALDE,Prodemo,PMP,PSR,PSDI,PRU,UNPR,BUN,Tudoran,AUR,Costea [Peter Costea]
RO_021098,Ardeoani,1982,1081,40,0,308,103,32,3,499,33,5,26,2,3,2,1,4,6,13,1
RO_107001,Ardusat,2129,848,29,0,188,151,55,11,253,21,5,92,7,1,3,3,2,2,7,18
RO_014049,Arefu,2004,985,36,0,238,188,95,9,271,42,3,67,5,2,10,5,1,6,6,1
ROZZAR,ARGENTINA,0,57,0,0,4,30,7,2,7,1,0,2,0,0,0,0,1,0,2,1
RO_070744,Argetoaia,3631,1704,84,0,693,105,109,4,522,112,3,36,14,3,2,5,2,1,5,4
RO_132075,Ariceştii Rahtivani,6706,4019,108,0,946,927,223,34,1239,106,31,172,14,17,29,20,9,57,53,34
RO_132137,Ariceştii Zeletin,944,450,15,0,109,40,10,2,221,20,2,12,1,2,2,2,2,2,2,6
RO_002381,Arieşeni,1399,1009,35,0,368,81,26,6,394,22,4,42,3,3,0,13,2,0,7,3
RO_107047,Ariniş,860,617,12,0,233,60,22,40,137,11,0,67,1,0,4,7,3,1,0,19
ROZZAM,ARMENIA,0,20,0,0,0,16,0,0,1,0,1,1,0,0,0,0,0,0,1,0
RO_051243,Armenis,2000,1426,26,0,193,41,472,4,626,12,18,20,2,0,2,1,0,1,5,3
RO_100870,Armăşeşti,1808,625,36,0,189,78,72,8,136,32,2,33,2,1,5,8,1,9,6,7
RO_095747,Aroneanu,3241,1949,39,0,228,430,79,14,767,34,13,174,14,6,8,16,6,79,25,17
RO_143959,Arpaşu de Jos,2237,1276,40,0,132,126,41,8,814,14,4,65,6,0,1,14,0,5,4,2
RO_162149,Arsura,1252,519,37,0,165,64,25,6,132,43,5,12,3,2,5,7,2,5,5,1
RO_107083,Asuaju de Sus,1016,557,13,0,217,46,34,6,143,14,3,55,2,0,2,7,1,0,3,11
RO_021123,Asau,5652,2531,121,0,805,320,129,25,745,110,16,123,13,11,16,7,14,23,38,15
RO_083785,Atid,2240,839,30,0,22,12,13,733,9,4,3,3,1,3,0,1,0,3,2,0
RO_042498,Augustin,1289,515,31,0,76,19,36,5,243,72,2,9,2,4,3,5,0,0,5,3
ROZZAU,Australia,0,929,14,0,26,528,6,2,173,16,7,53,0,0,5,5,1,14,12,67
ROZZAT,AUSTRIA,0,12309,111,0,161,5280,272,116,4220,146,35,641,40,14,60,44,24,104,243,793
RO_027212,Auseu,2361,1226,31,0,232,95,61,24,646,25,1,27,2,0,3,3,0,2,5,69
RO_002577,Avram Iancu,1243,588,10,0,99,32,10,1,338,24,5,29,3,3,2,10,0,4,8,10
RO_027285,Avram Iancu,2627,1141,52,0,303,80,24,72,515,23,1,17,6,2,8,4,0,2,3,29
RO_036202,Avrameni,2898,1296,52,0,620,56,50,13,398,25,11,26,6,11,5,1,1,7,5,9
RO_083847,Avramesti,2149,883,51,0,16,2,5,779,10,3,6,1,0,1,0,3,2,3,0,1
RO_144116,Axente Sever,3506,1529,45,0,196,173,41,15,871,67,1,49,6,4,6,9,1,10,22,13
RO_100923,Axintele,1820,663,40,0,272,67,34,7,167,17,2,27,2,3,2,7,2,7,3,4
ROZZAZ,AZERBAIDJAN,0,52,0,0,4,25,2,1,8,6,0,2,0,0,0,0,0,0,1,3
RO_055776,Aschileu,1203,649,26,0,185,56,53,27,201,33,4,39,0,2,5,2,1,6,3,6
RO_026742,Astileu,2987,1614,37,0,306,113,39,15,942,34,0,38,7,1,0,2,0,2,4,74
RO_143995,Aţel,1347,502,15,0,53,61,20,4,251,53,4,14,2,1,2,1,0,0,1,20
RO_115236,Aţintiş,1230,578,15,0,79,32,31,124,222,17,1,29,1,4,3,1,0,2,1,16
RO_132164,Baba Ana,3286,1509,58,0,291,198,179,18,548,45,11,67,8,10,7,26,3,12,13,15
RO_055838,Baciu,9623,6150,85,0,445,1850,184,1183,1733,95,16,221,12,10,15,21,11,30,42,197
RO_121153,Bahna,2654,1131,90,0,415,55,29,7,434,15,4,36,9,12,4,4,3,7,4,3
RO_115307,Bahnea,2812,1099,57,0,112,105,24,284,417,15,11,13,3,4,4,3,0,3,5,39
RO_146904,Baia,5748,2069,137,0,978,179,101,19,450,39,8,60,8,14,15,4,9,17,25,6
RO_159785,Baia,3709,1842,103,0,393,150,496,12,403,64,33,98,9,3,7,2,5,15,11,4
RO_087745,Baia De Cris,2183,1309,37,0,505,126,86,21,325,34,10,104,7,3,10,2,6,5,10,18
RO_078711,Baia De Fier,3512,1671,54,0,439,256,320,7,336,67,17,131,5,6,11,9,0,7,6,0
RO_110296,Bala,3111,1818,56,0,878,140,110,19,368,152,13,43,7,3,6,1,1,4,4,13
RO_151996,Balaci,1336,879,26,0,568,37,33,3,101,24,0,66,3,2,1,2,1,4,7,1
RO_092907,Balaciu,1265,595,35,0,204,67,28,5,183,13,4,26,6,0,5,1,1,5,8,4
RO_027329,Balc,2521,1265,79,0,233,89,52,234,409,100,12,12,7,1,6,6,3,2,7,13
RO_021196,Balcani,6520,2384,140,0,755,236,67,37,857,117,6,94,11,5,12,8,7,12,14,6
