gisco_id,name,registered,turnout,invalid,blank,PSD-PC,PDL,PNL,UDMR/RMDSZ,PRM,PNȚCD,Pavel,FC
ROZZLU,LUXEMBURG,0,208,2,0,52,6,101,29,7,5,4,2
ROZZMK,MACEDONIA,0,24,0,0,2,0,5,9,1,6,1,0
ROZZMY,MALAEZIA,0,12,0,0,3,0,7,1,0,0,0,1
ROZZMT,MALTA,0,10,0,0,3,0,1,0,0,5,1,0
ROZZGB,MAREA BRITANIE,0,289,6,0,43,10,87,59,4,38,35,7
ROZZMA,MAROC,0,49,1,0,8,0,18,19,0,3,0,0
ROZZMX,MEXIC,0,20,2,0,6,0,3,5,1,2,1,0
ROZZME,MUNTENEGRU,0,8,1,0,2,0,1,2,0,1,1,0
ROZZNG,NIGERIA,0,29,0,0,5,1,10,1,1,1,8,2
ROZZNO,NORVEGIA,0,44,1,0,8,4,11,13,0,3,4,0
ROZZNL,OLANDA,0,140,2,0,33,6,60,24,3,5,5,2
ROZZPK,PAKISTAN,0,10,0,0,2,0,4,2,1,0,0,1
ROZZPE,PERU,0,18,2,0,2,0,4,4,0,1,2,3
ROZZPL,POLONIA,0,59,1,0,15,1,15,18,2,2,5,0
ROZZPT,PORTUGALIA,0,148,4,0,19,3,57,9,3,24,24,5
ROZZQA,QATAR,0,57,2,0,7,1,30,11,0,1,4,1
ROZZKR,South Korea,0,5,0,0,0,0,2,0,0,1,1,1
ROZZMD,REP. MOLDOVA,0,1409,13,0,150,7,795,55,6,49,329,5
ROZZCN,China,0,70,0,0,12,1,18,25,1,5,8,0
ROZZKP,North Korea,0,9,2,0,0,2,1,2,0,2,0,0
ROZZRU,RUSIA,0,89,2,0,19,1,17,30,7,4,3,6
ROZZSM,SAN MARINO,0,28,3,0,1,0,13,3,2,6,0,0
ROZZUS,S.U.A.,0,723,18,0,128,32,332,80,34,30,60,9
ROZZSN,SENEGAL,0,16,1,0,5,0,7,2,0,0,1,0
ROZZRS,SERBIA,0,62,3,0,8,0,19,23,1,4,3,1
ROZZSG,SINGAPORE,0,25,2,0,6,0,7,5,1,2,1,1
ROZZSY,Syria,6931,996,65,0,96,43,452,202,13,60,54,11
ROZZSK,SLOVACIA,0,28,0,0,9,2,6,11,0,0,0,0
ROZZSI,SLOVENIA,0,21,1,0,4,0,4,4,0,6,2,0
ROZZES,SPANIA,0,1125,95,0,150,11,356,118,20,222,139,14
ROZZLK,SRI LANKA,0,5,0,0,1,1,0,3,0,0,0,0
ROZZSD,SUDAN,0,9,0,0,2,0,4,1,0,1,0,1
ROZZSE,SUEDIA,0,44,2,0,9,6,9,9,0,8,1,0
ROZZTH,THAILANDA,0,25,1,0,11,1,5,4,1,1,0,1
ROZZTN,TUNISIA,0,32,1,0,3,0,10,13,0,3,2,0
ROZZTR,TURCIA,0,156,2,0,34,3,41,42,4,11,10,9
ROZZTM,TURKMENISTAN,0,8,0,0,1,0,4,2,0,1,0,0
ROZZUA,UCRAINA,0,48,3,0,8,0,15,13,0,6,2,1
ROZZHU,UNGARIA,0,841,8,0,36,700,45,25,2,11,12,2
ROZZUY,URUGUAY,0,22,2,0,2,4,11,3,0,0,0,0
ROZZUZ,UZBEKISTAN,0,9,0,0,0,0,2,6,0,0,0,1
ROZZVE,VENEZUELA,0,28,0,0,19,0,6,3,0,0,0,0
ROZZVN,VIETNAM,0,33,1,0,3,1,11,9,2,5,1,0
ROZZZW,ZIMBABWE,0,9,0,0,1,0,6,1,1,0,0,0
ROZZXK,Kosovo,0,187,50,0,18,3,33,41,0,21,19,2
ROZZAF,AFGANISTAN,0,469,82,0,32,6,116,83,4,35,99,12
RO_001017,Municipiul Alba Iulia,60457,12337,423,0,1783,420,4749,2496,360,1227,743,136
RO_001071,Ciugud,2337,1200,51,0,115,5,298,631,22,41,32,5
RO_001151,Oraş Abrud,4885,1303,54,0,188,25,354,401,16,195,56,14
RO_001213,Municipiul Aiud,23225,5143,175,0,910,1109,1172,947,108,417,251,54
RO_001348,Municipiul Blaj,17299,5809,242,0,431,300,3271,878,190,318,142,37
RO_001455,Oraş Câmpeni,6706,1475,44,0,239,17,417,391,38,247,68,14
RO_001696,Oraş Cugir,24189,6666,258,0,1312,94,1819,2280,98,540,210,55
RO_001794,Oraş Ocna Mureş,12711,2548,81,0,329,297,891,542,80,196,102,30
RO_001874,Municipiul Sebeş,25445,4741,183,0,694,46,1932,1278,73,298,206,31
RO_001936,Oraş Zlatna,7026,2603,85,0,158,35,1090,827,124,184,84,16
RO_002130,Albac,1779,645,17,0,33,6,404,98,16,38,29,4
RO_002309,Almaşu Mare,1186,569,9,0,30,7,359,97,7,36,24,0
RO_002381,Arieşeni,1469,682,35,0,149,4,345,103,10,22,11,3
RO_002577,Avram Iancu,1437,1037,25,0,37,12,814,74,16,32,25,2
RO_002915,Oraş Baia de Arieş,3508,1039,34,0,131,18,471,214,19,124,25,3
RO_002988,Berghin,1785,881,32,0,75,11,609,95,11,33,12,3
RO_003039,Bistra,4007,650,26,0,124,5,152,156,13,115,53,6
RO_003397,Blandiana,882,544,21,0,81,4,313,76,6,21,19,3
RO_003459,Bucium,1454,558,14,0,57,5,173,201,5,73,27,3
RO_003761,Cenade,758,418,17,0,24,3,320,34,6,7,5,2
RO_003805,Cergău,1287,831,17,0,194,4,491,67,6,40,9,3
RO_003841,Ceru-Băcăinţi,261,142,1,0,6,3,94,29,2,3,4,0
RO_003958,Cetatea de Baltă,2459,1112,41,0,55,105,515,314,13,43,18,8
RO_004008,Ciuruleasa,1059,395,17,0,13,3,148,161,4,37,10,2
RO_004106,Câlnic,1405,752,35,0,49,5,473,166,2,11,6,5
RO_004142,Cricău,1715,1038,24,0,243,3,566,166,3,17,12,4
RO_004188,Crăciunelu de Jos,1707,797,32,0,81,10,540,93,8,15,13,5
RO_004240,Daia Română,2515,479,23,0,107,2,202,99,14,15,15,2
RO_004268,Doştat,779,216,11,0,45,3,62,53,19,13,9,1
RO_004302,Fărău,1429,729,26,0,46,94,456,72,2,21,7,5
RO_004366,Galda de Jos,3693,1281,41,0,362,99,476,161,14,74,46,8
RO_004482,Gârbova,1642,759,31,0,66,4,333,272,1,25,17,10
RO_004525,Gârda de Sus,1497,506,17,0,30,9,278,96,7,43,22,4
RO_004703,Hopârta,972,772,26,0,71,13,505,116,7,14,13,7
RO_004767,Horea,1732,1078,8,0,50,6,689,125,12,75,103,10
RO_004927,Ighiu,5365,1942,80,0,214,7,1143,304,23,73,86,12
RO_004981,Întregalde,656,225,8,0,27,8,62,77,9,20,10,4
RO_005103,Jidvei,4220,1011,36,0,147,31,462,227,15,45,34,14
RO_005167,Livezile,1290,455,22,0,68,5,251,50,5,35,16,3
RO_005210,Lopadea Nouă,2445,1258,33,0,33,459,607,73,9,24,15,5
RO_005309,Lunca Mureşului,2055,729,17,0,53,164,293,129,9,45,16,3
RO_005336,Lupşa,2792,781,14,0,74,5,352,193,22,90,25,6
RO_005577,Meteş,2515,1180,44,0,116,18,653,266,13,39,27,4
RO_005700,Mihalţ,2872,1270,34,0,162,9,336,583,57,47,33,9
RO_005755,Mirăslău,1903,740,18,0,118,185,246,75,24,35,34,5
RO_005826,Mogoş,854,277,14,0,116,5,75,35,6,16,8,2
RO_006048,Noşlac,1554,623,20,0,34,107,342,77,4,21,13,5
RO_006119,Ocoliş,624,324,13,0,75,3,146,42,2,29,9,5
RO_006164,Ohaba,707,517,30,0,51,1,293,104,7,11,15,5
RO_006217,Pianu,2859,1057,46,0,171,4,568,189,9,43,22,5
RO_006271,Poiana Vadului,964,341,19,0,39,1,209,42,0,18,12,1
RO_006397,Ponor,526,351,21,0,53,0,140,127,1,4,3,2
RO_006468,Poşaga,1063,330,17,0,70,15,107,57,10,35,17,2
RO_006547,Rădeşti,1141,621,15,0,115,92,310,57,6,17,6,3
RO_006592,Râmetea,980,564,7,0,12,433,75,20,2,9,6,0
RO_006627,Râmeţ,620,463,33,0,54,3,185,159,2,18,7,2
RO_006761,Roşia Montană,2499,1037,33,0,62,14,488,275,1,118,39,7
RO_006930,Roşia de Secaş,1269,500,14,0,64,2,250,138,3,21,6,2
RO_006976,Sălciua,1424,404,11,0,56,7,200,80,7,23,16,4
RO_007044,Săliştea,1869,1060,32,0,416,5,360,166,3,53,22,3
RO_007099,Săsciori,4539,1588,81,0,123,6,841,428,18,45,33,13
RO_007197,Scărişoara,1462,544,22,0,121,13,188,119,1,46,28,6
RO_007348,Sâncel,2220,691,37,0,153,6,331,78,14,40,25,7
RO_007384,Sântimbru,1998,842,34,0,66,15,541,92,14,48,28,4
RO_007446,Sohodol,1599,283,6,0,33,6,68,99,5,45,18,3
RO_007767,Stremţ,2172,760,25,0,66,7,224,351,7,43,27,10
RO_007810,Şibot,2099,1023,18,0,172,2,591,161,10,43,21,5
RO_007865,Şona,3641,1025,54,0,85,232,441,115,12,48,31,7
RO_007945,Şpring,2088,965,35,0,67,5,473,315,2,37,29,2
RO_008014,Şugag,2344,658,15,0,325,7,169,89,8,17,22,6
RO_008096,Oraş Teiuş,6356,1866,83,0,341,73,651,503,23,85,84,23
RO_008158,Unirea,4298,1028,35,0,223,183,311,156,10,66,36,8
RO_008229,Vadu Moţilor,1187,389,18,0,131,0,124,78,1,26,8,3
RO_008354,Valea Lungă,2526,1172,35,0,82,20,807,110,31,53,28,6
RO_008425,Vidra,1514,636,12,0,56,5,310,168,7,36,36,6
RO_008826,Vinţu de Jos,4335,1240,60,0,203,23,599,192,12,84,58,9
RO_009019,Cut,1038,360,14,0,45,2,152,103,18,14,8,4
RO_009026,Bucerdea Grânoasă,1863,991,45,0,262,171,332,154,6,7,7,7
RO_009262,Municipiul Arad,153994,27506,893,0,2871,4051,10023,4291,810,2658,1588,321
RO_009280,Fântânele,2905,562,28,0,37,63,230,150,4,29,16,5
RO_009333,Livada,2750,515,22,0,38,71,235,73,9,46,18,3
RO_009360,Şofronea,2165,652,24,0,26,232,138,181,3,19,22,7
RO_009397,Vladimirescu,9691,1668,74,0,150,52,417,680,47,153,73,22
RO_009459,Oraş Chişineu-Criş,7072,2704,83,0,100,303,1310,759,17,69,50,13
RO_009495,Oraş Curtici,6648,867,40,0,83,36,378,129,48,72,71,10
RO_009538,Oraş Ineu,8218,2987,83,0,418,126,1146,723,31,374,65,21
RO_009574,Oraş Lipova,9749,2164,75,0,171,72,926,545,36,186,127,26
RO_009627,Oraş Nădlac,6773,1352,68,0,111,59,705,222,12,77,73,25
RO_009654,Oraş Pâncota,6059,964,42,0,103,65,305,288,8,83,54,16
RO_009690,Oraş Sebiş,5523,1672,75,0,122,58,800,372,43,107,82,13
RO_009743,Almaş,2269,806,41,0,62,6,380,164,20,81,48,4
RO_009798,Apateu,2850,1005,26,0,117,10,537,164,19,82,42,8
RO_009832,Archiş,1287,774,24,0,50,5,232,393,8,45,12,5
RO_009887,Bata,871,577,28,0,32,6,331,116,8,21,34,1
RO_009930,Beliu,2658,1150,38,0,106,10,586,228,31,102,34,15
RO_010006,Birchis,1516,688,30,0,70,1,268,232,15,46,22,4
RO_010051,Barsa,1571,734,18,0,66,7,491,76,11,37,23,5
RO_010104,Barzava,2311,713,23,0,92,19,196,276,21,42,34,10
RO_010195,Bocsig,2858,915,34,0,36,15,498,167,31,86,39,9
RO_010239,Brazii,1017,470,8,0,52,4,163,183,11,34,12,3
RO_010293,Buteni,2841,1099,46,0,316,13,278,293,23,86,36,8
RO_010346,Carand,1002,523,20,0,28,7,296,70,9,62,19,12
RO_010373,Cermei,2301,822,46,0,174,36,296,184,19,32,26,9
RO_010417,Chisindia,1229,496,14,0,53,2,238,105,18,43,21,2
RO_010453,Conop,1839,583,21,0,44,21,274,147,9,36,27,4
RO_010514,Covasint,2055,553,23,0,29,4,334,88,4,22,43,6
RO_010532,Craiva,2486,1537,41,0,797,6,317,214,81,48,28,5
RO_010649,Dezna,1174,765,18,0,41,10,189,436,16,27,24,4
RO_010701,Dieci,1351,754,25,0,69,3,279,286,20,52,13,7
RO_010765,Ususău,990,596,22,0,48,3,350,98,10,29,30,6
RO_010827,Felnac,2368,1059,30,0,53,8,568,299,44,23,24,10
RO_010872,Ghioroc,3423,710,18,0,61,126,241,137,11,52,58,6
RO_010916,Graniceri,1998,478,18,0,115,4,219,67,9,24,15,7
RO_010943,Gurahont,3472,1515,49,0,368,17,529,387,24,85,43,13
RO_011058,Halmagiu,2785,573,20,0,58,6,184,124,49,56,69,7
RO_011174,Halmagel,1274,530,18,0,40,1,234,168,19,35,15,0
RO_011236,Hasmas,1072,660,19,0,61,3,338,151,13,45,28,2
RO_011307,Ignesti,627,277,10,0,28,9,67,112,6,32,11,2
RO_011352,Iratosu,2061,589,17,0,9,357,103,69,2,11,18,3
RO_011398,Macea,5504,1115,72,0,59,16,548,282,15,73,41,9
RO_011423,Misca,2691,1226,49,0,41,628,351,87,7,40,19,4
RO_011478,Moneasa,888,686,23,0,78,12,244,241,12,41,27,8
RO_011502,Olari,1605,526,14,0,28,122,203,113,4,28,12,2
RO_011539,Paulis,3405,854,41,0,174,36,327,145,16,69,29,17
RO_011584,Pecica,11282,3617,99,0,326,763,1504,674,22,111,92,26
RO_011637,Peregu Mare,1614,647,8,0,16,416,116,59,3,9,13,7
RO_011664,Petris,1233,466,19,0,34,2,200,117,8,53,30,3
RO_011735,Pilu,1541,507,12,0,79,9,286,74,4,27,10,6
RO_011762,Plescuta,1156,496,17,0,97,4,129,148,9,80,12,0
RO_011842,Savarsin,2517,1002,37,0,115,22,288,422,26,54,32,6
RO_011940,Secusigiu,4695,1293,46,0,45,106,741,145,70,70,59,11
RO_011995,Seleus,2454,887,24,0,232,1,403,80,12,49,83,3
RO_012037,Semlac,3249,778,40,0,115,7,302,196,14,50,48,6
RO_012055,Sintea Mare,2987,1086,39,0,28,322,397,206,9,42,32,11
RO_012091,Sântana,11982,2245,107,0,166,28,979,605,43,183,103,31
RO_012126,Socodor,1807,563,11,0,298,28,137,63,1,15,10,0
RO_012144,Sagu,3295,1167,41,0,59,12,761,178,35,40,29,12
RO_012206,Seitin,2394,676,16,0,22,7,251,227,69,43,34,7
RO_012224,Sepreus,2081,593,10,0,104,3,332,84,8,27,20,5
RO_012242,Sicula,3698,897,31,0,120,9,488,149,4,50,42,4
RO_012288,Silindia,687,445,10,0,13,28,302,42,4,15,29,2
RO_012340,Simand,3259,709,32,0,134,16,330,137,5,31,17,7
RO_012402,Sistarovat,263,225,2,0,11,0,22,169,7,4,5,5
RO_012457,Taut,1587,740,19,0,32,3,506,127,4,27,19,3
RO_012509,Tarnova,4799,2455,68,0,1239,44,497,391,34,125,49,8
RO_012572,Varadia De Mures,1521,625,11,0,74,5,197,242,18,50,21,7
RO_012643,Vinga,5234,1245,54,0,51,413,379,207,9,73,45,14
RO_012689,Varfurile,2526,1000,37,0,87,3,517,212,13,60,60,11
RO_012778,Zabrani,3732,1026,39,0,49,10,619,179,27,57,38,8
RO_012812,Zarand,2026,1871,12,0,41,20,995,275,60,77,391,0
RO_012849,Zerind,1188,481,25,0,4,266,142,26,6,5,5,2
RO_012876,Zimandu Nou,3938,1392,42,0,441,329,263,223,9,45,32,8
RO_012912,Dorobanţi,1407,755,18,0,7,669,27,26,1,2,5,0
RO_012920,Frumuşeni,2220,663,21,0,23,12,420,109,6,41,27,4
RO_012938,Zădăreni,2145,732,29,0,342,8,165,126,7,29,24,2
RO_013169,Piteşti,151924,25209,764,0,3448,149,6275,7074,729,5369,1166,235
RO_013187,Bascov,7899,1915,71,0,159,3,455,881,15,265,55,11
RO_013276,Bradu,5229,2538,74,0,115,3,1612,406,106,170,36,16
RO_013301,Mioveni,28734,5130,169,0,420,17,889,2136,93,1094,261,51
RO_013365,Maracineni,3720,1255,39,0,141,1,410,464,9,156,26,9
RO_013392,Ştefăneşti,11072,3016,113,0,274,8,852,1175,42,409,107,36
RO_013490,Câmpulung,33620,5780,187,0,1004,29,1320,1483,119,1180,400,58
RO_013524,Valea Mare Pravat,3279,1288,112,0,69,4,677,230,9,128,46,13
RO_013622,Curtea de Argeş,29602,5140,176,0,751,34,1112,1627,97,970,314,59
RO_013668,Costeşti,9178,2601,75,0,406,12,761,983,39,204,96,25
RO_013757,Topoloveni,8106,2056,79,0,148,8,484,892,27,323,75,20
RO_013819,Albestii De Arges,4910,1785,40,0,121,10,584,764,10,215,28,13
RO_013891,Albestii De Muscel,1489,692,14,0,65,2,385,145,6,59,14,2
RO_013935,Albota,3073,1048,26,0,100,6,80,711,9,86,24,6
RO_013999,Aninoasa,2659,905,27,0,166,3,183,379,10,98,33,6
RO_014049,Arefu,2156,581,18,0,67,1,179,218,5,69,17,7
RO_014085,Babana,2340,939,36,0,300,1,105,380,11,71,28,7
RO_014165,Baiculesti,5037,1704,53,0,202,4,434,652,8,277,62,12
RO_014272,Balilesti,3530,1182,31,0,147,7,263,574,8,111,29,12
RO_014352,Beleti-Negresti,1564,365,9,0,39,1,44,187,6,60,15,4
RO_014405,Berevoesti,2737,829,37,0,138,3,199,328,3,80,31,10
RO_014450,Barla,4320,846,32,0,61,5,239,288,13,144,58,6
RO_014584,Bogati,3961,1391,25,0,81,8,494,539,6,170,61,7
RO_014673,Boteni,2178,1053,31,0,167,3,282,490,2,53,17,8
RO_014726,Botesti,1027,713,27,0,109,1,105,401,18,32,18,2
RO_014753,Bradulet,1663,834,37,0,105,3,231,349,7,75,21,6
RO_014851,Budeasa,3175,676,23,0,82,3,196,243,5,93,23,8
RO_014922,Bughea De Jos,2390,519,20,0,122,3,103,145,3,87,32,4
RO_014940,Buzoesti,4913,1542,48,0,97,13,239,726,30,321,55,13
RO_015064,Caldararu,2222,897,25,0,171,4,302,266,14,79,30,6
RO_015108,Calinesti,8391,1771,64,0,383,14,302,534,13,380,71,10
RO_015233,Cateasca,2995,958,31,0,93,6,461,230,6,108,18,5
RO_015313,Cepari,1963,647,11,0,69,5,107,369,7,49,23,7
RO_015402,Cetateni,2418,819,33,0,98,2,343,255,11,47,14,16
RO_015448,Cicanesti,1833,717,5,0,58,2,54,549,3,34,8,4
RO_015493,Ciofrangeni,2139,1127,50,0,46,1,134,820,9,41,12,14
RO_015554,Ciomagesti,1002,452,9,0,41,3,63,277,5,38,12,4
RO_015652,Cocu,1985,493,14,0,42,2,168,206,10,35,13,3
RO_015741,Corbeni,4654,1002,47,0,83,5,283,407,9,111,45,12
RO_015830,Corbi,3459,1325,33,0,305,8,236,560,13,108,48,14
RO_015901,Cosesti,4447,1407,52,0,86,7,392,580,19,211,40,20
RO_015983,Cotmeana,1713,993,12,0,170,2,165,602,0,36,6,0
RO_016132,Cuca,1806,897,32,0,57,5,140,541,8,76,24,14
RO_016285,Davidesti,2294,931,28,0,30,4,150,612,4,80,20,3
RO_016329,Dambovicioara,857,824,19,0,80,3,254,377,3,64,16,8
RO_016365,Darmanesti,3014,803,18,0,49,2,166,453,7,82,22,4
RO_016427,Dobresti,1483,565,6,0,257,1,98,100,12,72,18,1
RO_016454,Domnesti,2714,1239,22,0,226,2,218,641,8,90,20,12
RO_016472,Dragoslavele,2057,944,19,0,51,4,176,591,4,69,25,5
RO_016506,Draganu,1583,426,7,0,69,0,134,153,7,40,10,6
RO_016551,Godeni,2695,959,38,0,131,2,168,481,13,83,34,9
RO_016613,Harsesti,2155,770,43,0,50,1,308,229,42,71,11,15
RO_016659,Hartiesti,1652,880,34,0,40,3,78,668,1,35,16,5
RO_016739,Izvoru,2043,422,21,0,34,2,66,225,0,70,1,3
RO_016757,Leordeni,4941,1768,95,0,254,6,210,921,11,196,56,19
RO_016908,Leresti,4131,1158,47,0,235,10,187,440,10,167,47,15
RO_016944,Lunca Corbului,2492,1229,34,0,113,3,539,376,11,134,13,6
RO_017049,Malureni,3528,1472,48,0,150,10,236,882,11,90,25,20
RO_017101,Merisani,3395,980,37,0,113,2,255,416,14,107,26,10
RO_017209,Micesti,3326,1305,64,0,129,5,295,685,2,85,32,8
RO_017254,Mihaesti,4724,1366,46,0,193,1,297,642,10,113,54,10
RO_017334,Mioarele,1415,641,7,0,37,4,114,369,5,69,26,10
RO_017398,Mirosi,2291,520,25,0,31,3,223,171,3,41,16,7
RO_017423,Moraresti,1667,911,37,0,67,1,260,488,2,37,16,3
RO_017496,Mosoaia,3869,748,16,0,49,4,182,346,6,114,24,7
RO_017575,Mozaceni,1974,653,27,0,104,2,151,288,1,62,16,2
RO_017619,Musatesti,3299,935,23,0,96,1,340,350,4,77,33,11
RO_017726,Negrasi,1994,851,27,0,75,1,196,471,3,58,15,5
RO_017771,Nucsoara,1305,887,30,0,46,5,294,408,1,74,25,4
RO_017824,Oarja,2206,641,14,0,42,2,314,152,7,81,25,4
RO_017851,Pietrosani,4812,1644,43,0,131,1,500,727,5,190,38,9
RO_017913,Poienarii De Arges,918,357,14,0,73,3,57,183,2,17,6,2
RO_017968,Poienarii De Muscel,2978,984,42,0,95,4,352,337,7,82,56,9
RO_018028,Poiana Lacului,5283,1078,39,0,157,5,421,212,15,191,30,8
RO_018162,Popeşti,1973,1431,14,0,70,11,320,880,6,89,34,7
RO_018242,Priboieni,2988,1407,28,0,193,2,186,876,11,83,17,11
RO_018331,Ratesti,2562,1058,27,0,129,3,186,568,9,95,35,6
RO_018411,Recea,2543,1695,79,0,96,1,443,838,4,207,25,2
RO_018475,Rociu,2361,1318,24,0,118,4,100,968,2,73,20,9
RO_018527,Rucar,5205,1924,42,0,207,1,511,891,13,183,54,22
RO_018554,Salatrucu,1841,758,37,0,44,3,98,485,13,57,11,10
RO_018581,Sapata,1518,741,20,0,26,4,170,423,4,71,14,9
RO_018670,Schitu Golesti,3980,752,33,0,140,3,169,257,12,105,25,8
RO_018741,Slobozia,4078,1135,64,0,63,4,328,580,4,51,27,14
RO_018778,Stalpeni,4222,1426,33,0,164,4,225,796,6,139,44,15
RO_018858,Stoenesti,3703,1204,28,0,99,3,170,751,20,86,40,7
RO_018938,Stolnici,2871,678,22,0,125,3,185,253,14,57,13,6
RO_019007,Suseni,2695,898,31,0,471,4,153,147,7,62,14,9
RO_019114,Stefan Cel Mare,1830,562,18,0,149,6,137,155,5,73,13,6
RO_019141,Suici,2253,871,38,0,135,3,100,483,1,75,27,9
RO_019212,Teiu,1314,569,23,0,78,3,91,142,2,188,36,6
RO_019249,Tigveni,2719,872,55,0,220,8,114,388,5,61,16,5
RO_019338,Titesti,3546,919,28,0,108,2,92,564,4,85,25,11
RO_019392,Uda,1971,773,23,0,16,2,305,319,5,72,23,8
RO_019560,Ungheni,2760,1130,30,0,57,2,777,137,15,88,17,7
RO_019631,Valea Danului,2523,1158,46,0,108,6,439,431,3,85,30,10
RO_019695,Valea Iasului,2308,614,18,0,98,2,106,266,7,89,15,13
RO_019793,Vedea,3336,1189,27,0,202,3,378,346,5,161,60,7
RO_019999,Vladesti,2516,824,27,0,54,1,475,188,4,54,16,5
RO_020048,Răca,1008,913,0,0,92,1,162,606,5,32,8,7
RO_020055,Vultureşti,2226,782,23,0,49,1,120,429,3,125,25,7
RO_020063,Burghea de Sus,2360,751,20,0,221,6,190,218,6,66,21,3
RO_020297,Bacău,163417,30974,1525,0,7510,326,7609,6866,567,4057,1981,533
RO_020313,Hemeius,3437,754,48,0,214,6,256,130,2,63,23,12
RO_020359,Letea Veche,4689,1326,87,0,463,13,374,185,22,84,81,17
RO_020411,Magura,3474,617,31,0,87,2,291,123,1,39,31,12
RO_020466,Margineni,6870,1725,124,0,158,10,457,694,14,122,113,33
RO_020563,Oneşti,46620,7165,268,0,906,82,1795,2442,135,943,499,95
RO_020607,Gura Vaii,4243,1361,60,0,475,7,543,185,15,49,20,7
RO_020670,Stefan Cel Mare,3876,1314,106,0,106,5,201,759,18,75,34,10
RO_020778,Buhuşi,17437,3171,192,0,322,27,633,1273,14,442,219,49
RO_020821,Comăneşti,19856,4905,298,0,1989,36,644,1101,35,524,228,50
RO_020876,Moineşti,20372,3985,284,0,625,40,827,1136,81,650,274,68
RO_020910,Slănic Moldova,4127,1110,48,0,92,3,213,592,16,68,66,12
