gisco_id,name,registered,turnout,invalid,blank,ИТН,ГН,СБ (2024),НГ,Кузман,БГ,КнР,Център,Единение,БНО,Възраждане,МЕЧ,ПП-ДБ,ИИСИ,БВ,ГБ [Граждански Блок],ОНБ,Левицата!,ЗД,ИБГ-НИ,ГЕРБ-СДС,БНС-НД,БСП-ОЛ,Величие,ВМРО,ПД,ДПС,ЗВБ,БСДД
BG_BGS27,Приморско,4897,1922,55,67,99,7,89,2,6,0,2,10,9,1,265,55,164,1,27,0,2,3,9,8,751,3,74,62,27,8,108,7,1
BG_BLG01,Банско,10861,4474,168,225,236,19,169,9,17,13,3,80,7,3,472,89,533,2,6,9,1,9,47,10,1554,5,407,129,82,7,158,5,0
BG_BLG02,Белица,7925,4670,99,66,33,5,11,1,4,2,2,16,1,3,94,22,38,1,0,1,4,1,14,3,309,5,180,11,16,4,3723,1,0
BG_BLG03,Благоевград,65709,22923,593,809,1774,88,554,47,121,45,16,421,40,16,3054,479,3389,21,56,39,15,136,209,47,6127,30,1322,744,878,52,1898,10,13
BG_BLG11,Гоце Делчев,26893,10219,418,313,293,17,112,14,32,7,5,238,6,2,832,148,654,4,26,18,2,40,58,7,1931,7,1826,254,255,10,2676,11,3
BG_BLG13,Гърмен,13025,6953,156,97,119,5,28,3,2,2,2,55,6,0,208,75,163,1,5,4,5,11,15,5,1263,2,188,31,58,9,4434,0,1
BG_BLG28,Кресна,4265,1626,75,50,46,1,40,1,2,6,2,20,3,0,140,40,202,0,8,17,1,7,8,3,647,1,218,24,25,2,35,0,2
BG_BLG33,Петрич,46157,15395,757,398,934,59,275,30,42,19,10,132,25,3,1371,397,1217,13,25,34,11,42,110,63,6333,23,688,420,645,24,1277,14,5
BG_BLG37,Разлог,17098,7804,308,309,434,38,97,18,23,12,13,142,11,6,700,140,698,9,24,17,5,24,63,8,2233,9,663,156,227,7,1399,11,2
BG_BLG40,Сандански,34253,10944,483,311,519,37,176,31,17,16,8,117,24,5,1140,477,1253,3,28,5,7,21,71,27,2611,10,608,355,2087,33,473,5,2
BG_BLG42,Сатовча,14465,6847,90,94,160,12,9,4,1,2,0,22,1,4,161,37,142,1,3,1,4,2,14,2,1179,1,257,39,67,7,4528,1,1
BG_BLG44,Симитли,12060,6199,260,166,169,26,41,3,8,23,5,445,6,0,318,90,183,0,5,6,1,17,46,17,3701,8,249,51,76,4,269,3,3
BG_BLG49,Струмяни,4120,1149,50,31,52,1,9,1,1,2,0,8,2,0,122,20,84,1,0,1,1,2,7,4,296,3,92,17,63,3,274,2,0
BG_BLG52,Хаджидимово,8299,2774,106,89,121,7,24,2,3,2,1,43,6,3,209,65,154,2,3,19,2,6,5,2,661,4,296,55,26,8,845,3,2
BG_BLG53,Якоруда,8704,5572,167,85,63,2,9,2,3,1,1,43,2,0,121,26,58,2,3,1,8,3,11,2,205,0,60,17,6,10,4659,0,2
BG_DOB03,Балчик,16954,4838,185,166,272,18,59,11,13,8,7,27,5,0,807,162,377,6,15,4,9,8,41,6,946,6,275,145,65,11,1182,2,0
BG_DOB12,Генерал Тошево,11445,3124,153,84,217,12,39,7,2,4,2,52,2,1,469,104,202,3,16,1,1,14,33,8,552,2,573,117,36,10,401,4,3
BG_DOB15,Добрич - селска,18423,6212,352,106,213,19,37,5,8,6,4,26,2,1,503,153,285,3,19,5,13,9,39,9,1083,8,1283,95,40,21,1858,3,4
BG_DOB17,Каварна,12368,3330,123,86,226,17,43,12,15,3,3,44,5,1,482,118,357,6,13,3,2,13,36,5,1059,6,256,137,72,12,172,3,0
BG_DOB20,Крушари,3777,1702,76,13,38,3,9,2,2,1,0,3,1,1,59,14,34,1,2,0,2,3,5,2,288,4,48,16,5,6,1062,0,2
BG_DOB27,Тервел,14574,4925,239,85,119,13,25,5,3,3,2,54,4,0,248,83,175,3,17,2,7,8,18,12,1938,7,248,69,34,7,1490,5,2
BG_DOB28,Добрич,77847,20908,572,601,1595,80,453,40,87,47,23,264,38,4,4092,612,2491,30,102,18,7,89,334,31,4956,9,1578,1106,532,52,1040,17,8
BG_DOB29,Шабла,3783,1167,29,43,81,2,13,2,0,1,0,4,2,0,253,44,116,2,6,1,0,6,15,3,338,0,128,42,19,2,15,0,0
BG_GAB05,Габрово,54230,15590,327,524,1055,68,374,45,79,14,17,138,40,6,2797,408,1847,10,67,19,6,109,189,40,4925,11,915,867,354,58,251,16,14
BG_GAB12,Дряново,7560,2025,61,78,120,7,52,10,8,1,4,18,2,3,367,37,216,3,10,2,2,14,17,2,396,1,377,115,41,1,57,1,2
BG_GAB29,Севлиево,31182,8107,246,237,528,31,147,14,11,11,8,61,8,5,1228,239,718,13,40,12,7,28,104,15,2008,13,564,361,94,27,1317,11,1
BG_GAB35,Трявна,9560,2386,59,59,171,9,73,10,6,1,3,63,3,1,503,43,268,1,8,0,3,34,58,6,632,1,171,111,64,5,20,0,0
BG_HKV09,Димитровград,46163,12566,437,410,775,37,240,76,66,12,12,70,35,10,2401,435,1361,19,73,11,18,34,149,32,3292,17,881,543,196,25,849,17,33
BG_HKV11,Ивайловград,5214,2328,74,44,88,7,40,4,3,2,2,5,7,1,260,35,178,3,15,3,0,12,16,4,919,4,161,44,15,0,381,0,1
BG_HKV17,Любимец,7716,3509,233,73,150,25,25,3,4,2,2,14,10,2,290,68,156,4,5,0,0,14,28,8,1974,2,202,53,14,4,136,5,3
BG_HKV18,Маджарово,2102,1105,30,13,13,0,1,0,2,0,0,1,4,1,69,4,41,1,1,1,2,1,5,0,100,1,39,12,5,1,757,0,0
BG_HKV19,Минерални бани,5673,3224,104,55,43,2,13,1,1,1,1,6,6,2,152,21,65,3,2,1,4,4,22,9,225,1,89,40,5,5,2339,1,1
BG_HKV28,Свиленград,18332,7846,377,148,386,41,82,17,11,20,5,42,18,4,908,188,483,5,18,9,4,23,111,17,3751,18,449,291,56,14,347,3,0
BG_HKV29,Симеоновград,6704,2553,232,37,58,10,11,2,5,2,2,15,3,2,220,68,87,2,5,4,2,9,24,8,1298,5,141,44,13,1,240,2,1
BG_HKV30,Стамболово,6886,3821,101,54,31,1,13,2,1,0,0,3,4,0,87,28,92,3,2,0,10,1,6,4,149,0,115,19,5,4,3082,2,2
BG_HKV32,Тополовград,8249,3031,187,80,551,16,28,5,7,4,2,13,10,2,327,84,175,9,6,2,3,9,17,13,757,4,253,91,32,6,332,4,2
BG_HKV33,Харманли,19800,6454,399,186,271,24,100,61,17,3,4,68,15,3,772,202,406,8,16,6,6,19,81,20,2006,8,375,223,82,14,1048,10,1
BG_HKV34,Хасково,107701,35502,1231,990,1859,104,564,83,138,26,32,286,149,15,4822,844,3443,24,138,12,30,216,343,129,9631,36,1935,1623,455,73,6222,16,33
BG_JAM03,Болярово,2648,1405,101,40,44,1,9,7,1,7,1,6,0,1,138,27,65,0,7,4,1,0,8,1,165,3,668,28,6,1,61,2,2
BG_JAM07,Елхово,12326,3187,166,83,186,14,66,7,12,4,5,41,5,2,509,91,282,7,23,2,10,11,29,4,713,1,664,100,34,7,106,2,1
BG_JAM22,Стралджа,9404,2663,156,74,122,10,42,8,4,4,1,15,4,0,290,74,140,4,49,2,2,6,13,8,816,2,493,94,58,5,165,1,1
BG_JAM25,Тунджа,17348,5339,275,161,322,22,89,14,10,11,3,86,3,1,890,203,385,6,50,4,3,38,50,13,1274,17,886,172,79,13,250,4,6
BG_JAM26,Ямбол,63773,15868,470,484,1264,41,417,58,78,16,16,281,21,7,2934,433,1865,12,177,28,18,62,226,27,3080,9,1967,940,353,54,519,6,8
BG_KNL04,Бобов дол,6585,2283,114,93,129,16,33,3,8,3,4,5,3,1,325,58,147,4,13,15,1,4,25,4,645,4,210,41,60,6,306,2,1
BG_KNL05,Бобошево,1986,680,34,22,38,0,22,2,1,1,1,5,0,0,94,24,61,1,2,43,1,1,9,0,163,1,56,17,9,3,68,0,1
BG_KNL27,Кочериново,3074,1156,47,22,167,2,56,0,3,1,3,29,3,1,125,16,91,0,9,7,4,4,6,2,291,1,108,26,16,1,114,1,0
BG_KNL29,Кюстендил,52729,14891,466,480,943,74,403,22,57,25,28,110,28,8,2392,406,1702,19,57,9,12,69,210,38,3975,11,1163,540,549,36,1044,8,7
BG_KNL31,Невестино,1561,658,34,19,37,2,10,2,0,2,0,3,4,1,104,10,46,1,7,0,0,0,5,2,139,0,126,8,30,2,63,1,0
BG_KNL38,Рила,2295,711,32,38,34,3,17,0,0,1,3,6,2,0,68,15,52,0,3,3,0,3,2,0,228,0,69,11,13,2,103,2,1
BG_KNL41,Сапарева баня,6161,2238,113,84,136,12,58,2,4,1,2,32,1,0,298,49,179,3,1,6,1,8,9,7,945,3,112,83,27,6,53,3,0
BG_KNL48,Дупница,39052,11199,379,346,668,53,300,20,47,24,10,149,12,7,1531,335,1052,4,23,45,8,40,112,48,2878,13,1049,444,306,29,1252,13,2
BG_KNL50,Трекляно,504,303,17,7,14,1,2,1,2,0,0,1,0,0,37,3,22,0,0,0,0,1,3,0,58,1,112,4,5,0,12,0,0
BG_KRZ02,Ардино,15199,6182,125,62,30,3,15,0,1,3,2,13,5,0,127,32,151,0,22,2,8,0,13,5,466,3,112,20,8,14,4936,1,4
BG_KRZ08,Джебел,10806,5023,73,35,34,3,6,2,1,1,2,4,2,0,71,12,61,0,3,0,4,3,6,1,337,2,104,7,3,9,4233,0,2
BG_KRZ14,Кирково,23407,9695,280,105,118,6,38,2,9,3,7,23,6,3,156,46,246,2,15,3,16,13,6,11,825,10,206,14,13,13,7497,3,3
BG_KRZ15,Крумовград,18425,8765,198,124,105,5,29,4,9,5,3,9,6,3,117,60,198,1,29,4,19,11,27,4,527,6,295,43,15,22,6880,2,2
BG_KRZ16,Кърджали,72614,24039,878,495,566,30,175,32,43,17,12,55,23,9,1726,248,1393,7,102,10,42,33,112,23,2141,14,892,352,112,36,14458,7,2
BG_KRZ21,Момчилград,19074,7796,185,94,139,4,15,2,6,2,2,12,4,0,87,37,151,5,21,1,15,3,7,5,479,7,124,25,16,7,6338,0,3
BG_KRZ35,Черноочене,8956,4576,104,49,16,0,8,1,0,0,2,7,0,0,46,10,60,2,1,1,7,0,6,0,182,5,56,8,6,7,3992,0,0
BG_LOV02,Априлци,2336,840,9,33,45,0,10,2,2,1,1,5,1,2,169,16,86,0,4,0,0,2,14,5,312,1,60,34,14,4,8,0,0
BG_LOV17,Летница,4053,863,36,27,32,1,22,0,4,1,2,0,1,2,72,23,48,1,21,1,1,3,11,1,176,0,109,17,4,3,240,2,2
BG_LOV18,Ловеч,41772,12285,333,386,1179,37,248,40,35,28,20,68,25,7,1796,244,1364,6,56,22,6,52,120,39,3404,8,1090,532,224,25,880,7,4
BG_LOV19,Луковит,14919,3913,275,80,233,11,53,9,5,5,1,34,7,1,339,101,197,3,7,3,7,13,28,7,1158,2,276,97,31,11,915,2,2
BG_LOV33,Тетевен,17434,6348,294,122,258,5,54,10,10,4,7,27,8,3,477,116,393,5,13,10,9,120,31,16,2131,11,452,87,143,9,1516,3,4
BG_LOV34,Троян,26357,7425,200,268,510,21,159,21,39,16,10,43,7,4,1200,306,775,8,53,3,3,23,75,30,1899,4,744,383,186,16,412,4,3
BG_LOV36,Угърчин,4691,1878,150,45,76,6,17,5,5,1,0,14,1,1,138,56,88,4,8,0,2,0,6,10,967,4,145,19,13,2,91,1,3
BG_LOV38,Ябланица,4602,1533,121,34,60,6,18,2,7,0,0,16,1,1,140,38,69,1,5,1,2,3,11,4,580,0,86,21,6,10,288,1,1
BG_MON02,Берковица,15285,4821,202,167,230,16,126,6,20,4,11,37,11,5,740,82,347,5,19,15,9,13,36,6,820,11,358,150,64,10,1297,4,0
BG_MON04,Бойчиновци,6834,2812,226,62,96,8,40,3,4,2,3,17,1,0,280,63,56,1,14,7,3,7,30,4,987,4,131,34,98,0,625,4,1
BG_MON07,Брусарци,3665,1726,174,53,47,5,30,1,3,3,0,6,2,1,119,50,49,0,14,2,3,5,9,1,669,3,69,20,9,4,374,1,0
BG_MON11,Вълчедръм,6968,1954,159,51,78,5,24,5,2,1,1,9,0,1,178,32,67,2,5,1,2,16,6,1,431,2,151,30,12,3,674,5,0
BG_MON12,Вършец,6203,2248,110,78,112,8,28,5,6,1,2,8,4,1,253,46,226,2,4,3,7,2,14,6,750,6,160,39,18,4,341,2,2
BG_MON14,Георги Дамяново,1853,1022,63,39,46,1,22,2,1,0,1,3,0,3,121,15,66,1,5,1,2,1,14,5,434,4,96,18,8,2,47,1,0
BG_MON24,Лом,23384,6245,452,184,288,24,185,15,9,6,11,17,9,3,778,157,400,5,22,8,9,13,80,13,2243,11,340,147,64,17,722,11,1
BG_MON26,Медковец,2865,1203,114,17,43,4,18,1,4,1,2,6,1,2,90,31,36,5,2,0,1,0,33,4,356,0,96,25,4,2,305,0,0
BG_MON29,Монтана,44505,13860,398,453,878,48,388,35,124,12,18,186,16,7,2437,427,1250,15,105,41,6,58,195,25,3638,14,934,522,258,29,1321,16,6
BG_MON36,Чипровци,2945,1607,74,73,54,10,23,3,9,3,2,10,1,1,314,21,109,1,5,6,0,1,24,1,667,2,108,38,14,3,28,0,2
BG_MON38,Якимово,3071,919,51,32,33,3,35,2,0,1,0,4,0,1,63,20,69,1,2,1,0,6,4,1,267,5,57,5,2,3,251,0,0
BG_PAZ03,Батак,4746,2064,65,65,58,2,21,4,3,3,0,19,3,2,174,26,85,1,8,4,1,15,4,2,387,0,109,47,16,2,937,1,0
BG_PAZ04,Белово,7057,2623,105,94,99,2,28,9,8,0,2,25,5,2,335,110,154,3,7,2,5,6,17,8,1050,1,301,112,20,3,108,2,0
BG_PAZ06,Брацигово,7304,1948,92,43,82,3,28,2,3,3,4,32,3,2,268,62,145,0,5,20,5,8,30,7,706,3,190,72,42,5,81,1,1
BG_PAZ08,Велинград,31026,9289,352,193,342,21,80,10,31,9,6,651,7,2,840,156,689,4,18,9,6,21,60,12,2812,6,430,188,89,13,2222,7,3
BG_PAZ14,Лесичово,3923,1463,80,42,71,3,7,2,2,4,1,16,2,1,183,59,73,0,3,0,4,5,13,6,315,2,179,28,30,1,330,1,0
BG_PAZ19,Пазарджик,100337,23946,669,739,1670,84,527,72,114,42,26,481,43,9,3739,945,3145,26,143,19,22,90,330,46,5706,20,1821,1059,509,56,1931,20,15
BG_PAZ20,Панагюрище,20193,5645,204,171,403,21,105,15,25,3,8,57,26,0,851,206,603,4,18,3,5,32,69,11,1730,2,608,267,91,11,91,5,0
BG_PAZ21,Пещера,18215,5459,370,163,208,23,64,10,31,4,5,49,8,1,549,119,310,21,7,17,8,11,47,9,1783,13,702,153,136,2,625,8,3
BG_PAZ24,Ракитово,12762,4057,245,71,92,10,27,10,13,1,2,69,0,4,294,97,115,5,5,14,6,10,20,5,1151,8,266,62,14,4,1432,4,1
BG_PAZ29,Септември,20332,7102,414,181,203,13,66,13,18,7,4,103,4,3,733,256,332,8,25,6,21,11,60,6,1661,9,516,138,70,15,2201,4,1
BG_PAZ32,Стрелча,4006,1342,71,41,76,3,72,2,8,1,0,13,1,0,155,32,85,1,9,0,5,20,13,4,275,1,118,47,7,6,272,3,1
BG_PAZ39,Сърница,4291,2973,36,16,11,0,1,0,0,0,0,13,0,0,10,13,32,1,0,1,0,0,1,0,117,0,32,5,1,2,2681,0,0
BG_PDV01,Асеновград,53999,16588,461,476,852,55,354,30,63,8,19,133,60,3,2159,465,1643,16,330,23,16,36,202,18,3795,17,1213,669,257,27,3158,11,6
BG_PDV07,Брезово,4985,1579,75,43,64,7,39,5,8,0,4,9,3,2,248,87,100,5,17,4,1,5,25,1,404,1,360,38,14,3,3,2,2
BG_PDV12,Калояново,8987,2487,110,59,136,7,31,8,1,1,2,21,63,0,355,118,259,1,12,0,0,6,24,3,715,3,239,89,29,4,185,4,2
BG_PDV13,Карлово,42719,11008,394,409,784,27,207,30,39,13,19,257,41,8,1729,322,1127,5,55,29,3,54,144,115,2332,25,1384,376,271,20,769,10,4
BG_PDV15,Лъки,2197,674,30,22,44,1,9,4,1,0,0,1,0,0,91,14,66,2,4,0,0,2,9,1,138,0,137,24,9,1,61,0,1
BG_SFO39,Самоков,54930,14330,537,563,949,59,410,21,74,21,11,166,28,4,2071,572,1345,17,74,53,6,43,178,30,4478,13,1081,597,375,36,495,14,8
BG_PDV22,Пловдив,300198,95008,2341,3134,6462,378,2348,272,568,110,105,849,244,44,14512,2782,17712,60,616,67,70,299,1313,295,23287,96,5387,5107,2458,314,3661,72,45
BG_PDV23,Първомай,21918,5004,139,154,282,11,113,13,20,3,6,53,6,1,930,217,461,12,48,2,9,29,54,7,967,5,605,222,63,15,551,3,2
BG_PDV25,Раковски,21530,4159,212,154,213,16,72,9,13,6,5,18,9,1,554,250,355,6,12,2,4,4,48,7,1492,4,443,170,36,3,26,5,5
BG_PDV28,Садово,12041,2299,108,74,164,9,89,8,6,3,2,26,1,1,316,98,215,3,37,3,0,8,33,1,462,3,434,93,56,1,38,3,1
BG_PDV33,Съединение,7779,2001,58,73,145,7,36,5,5,3,1,25,6,2,336,129,181,2,35,9,2,6,26,5,523,4,201,81,25,11,52,6,1
BG_PDV37,Хисаря,9865,2820,100,95,206,11,63,8,14,4,7,38,11,3,510,137,287,3,28,0,1,16,17,7,561,2,360,169,58,3,97,4,0
BG_PDV39,Кричим,6639,1259,30,55,73,5,22,1,9,1,3,14,0,0,200,60,107,0,2,1,0,8,16,1,217,1,85,52,17,2,274,1,0
BG_PDV40,Перущица,4093,875,38,30,27,1,24,1,0,1,0,3,0,0,126,33,108,1,4,1,2,3,6,2,208,1,177,44,12,1,21,0,0
BG_PDV41,Стамболийски,17325,4401,190,133,250,14,110,8,11,2,4,43,5,1,686,178,661,3,19,3,4,10,58,9,1266,7,399,239,58,17,6,5,2
BG_PDV42,Куклен,5463,1484,55,41,76,5,57,4,7,1,4,21,4,0,171,30,144,0,12,0,1,14,9,6,295,2,116,75,18,2,313,1,0
BG_PDV43,Сопот,8437,2345,62,114,233,4,68,4,4,11,6,27,8,1,401,70,263,2,9,2,2,14,44,16,398,1,335,118,55,7,61,4,1
BG_PER08,Брезник,5017,1484,36,62,103,6,96,3,6,3,1,14,1,2,216,44,126,1,10,1,2,16,18,5,437,3,163,41,31,4,28,2,3
BG_PER19,Земен,1909,879,46,37,53,2,23,1,2,0,3,4,3,0,99,14,60,0,5,2,1,4,6,2,239,1,161,16,7,3,83,2,0
BG_PER22,Ковачевци,1099,620,37,23,31,0,21,0,2,1,0,4,0,0,86,7,40,0,0,1,2,6,18,5,155,2,155,9,6,0,9,0,0
BG_PER32,Перник,76868,23203,640,1003,1629,89,1011,47,131,96,48,275,46,14,3749,694,2634,27,99,15,22,226,357,41,7105,26,1404,927,564,42,182,31,29
BG_PER36,Радомир,15922,4334,161,152,301,12,217,11,12,4,8,40,5,1,720,132,451,9,12,3,2,31,47,14,1355,4,326,140,99,8,54,1,2
BG_PER51,Трън,3202,1220,62,49,115,6,19,4,2,0,2,7,1,0,140,32,67,1,6,1,3,5,10,2,469,1,142,21,8,5,30,7,3
BG_PVN03,Белене,7621,2024,52,120,179,8,46,2,3,4,5,11,3,2,435,70,194,3,11,1,0,16,29,2,324,3,304,82,46,1,66,2,0
BG_PVN08,Гулянци,9219,2367,130,86,160,12,33,3,2,2,3,198,4,1,309,58,120,2,12,3,2,30,25,2,501,4,204,100,29,4,324,4,0
BG_PVN10,Долна Митрополия,15486,3515,170,123,418,13,75,8,6,6,7,51,11,3,500,89,247,5,15,5,5,24,30,9,874,2,365,114,63,10,264,2,1
BG_PVN11,Долни Дъбник,11657,2169,108,69,166,11,40,6,14,0,2,16,3,2,341,60,143,2,3,1,3,6,23,2,415,6,312,71,53,0,289,1,1
BG_PVN16,Левски,16472,4318,202,106,246,12,78,8,15,3,4,33,13,1,576,87,350,7,12,3,5,19,44,3,763,7,571,125,119,7,893,3,3
BG_PVN21,Никопол,7602,2969,107,84,113,8,39,5,6,2,3,44,3,3,222,39,105,1,8,1,6,9,34,2,307,3,350,51,57,4,1351,1,1
BG_PVN23,Искър,5711,1308,67,37,83,3,30,3,2,3,1,12,3,0,139,115,69,4,23,3,2,5,7,2,188,0,202,27,42,1,235,0,0
BG_PVN24,Плевен,115279,32146,726,1175,3735,91,973,58,172,26,32,421,241,7,5531,781,3904,30,182,30,20,182,389,46,6883,26,2349,1490,841,65,1726,13,1
BG_PVN27,Пордим,4556,1300,71,41,88,3,10,3,1,2,1,3,2,0,158,27,57,1,1,0,3,36,9,2,363,0,151,46,45,3,173,1,0
BG_PVN37,Червен бряг,24016,5983,313,167,393,23,99,10,15,5,3,68,9,5,679,187,418,3,32,0,8,97,50,5,1423,3,501,142,71,14,1227,3,2
BG_PVN39,Кнежа,11196,3946,324,134,194,26,46,7,7,1,3,28,10,2,383,142,206,5,11,2,2,8,27,7,1522,6,203,78,24,2,533,1,3
BG_RAZ11,Завет,8948,3363,129,80,31,3,6,1,1,2,2,4,4,0,68,55,268,3,1,4,5,2,17,2,470,1,51,22,11,6,2114,0,0
BG_RAZ14,Исперих,19602,8673,347,183,132,12,38,7,10,4,3,18,2,0,330,92,287,3,4,4,14,4,19,3,1830,7,209,61,21,12,5011,2,4
BG_RAZ16,Кубрат,16016,5814,241,146,146,6,27,8,3,4,2,8,1,3,332,71,362,3,10,3,9,11,26,5,839,4,249,82,20,11,3177,2,1
BG_RAZ17,Лозница,8156,3769,146,68,78,11,7,1,4,4,1,4,2,1,125,54,375,2,1,3,7,2,7,6,511,2,89,26,6,5,2221,0,0
BG_RAZ26,Разград,44897,12978,494,415,598,44,123,20,33,18,10,54,18,5,1608,247,2356,9,30,5,4,25,103,20,2802,8,1059,454,186,21,2201,6,4
BG_RAZ29,Самуил,6597,3264,122,31,34,4,6,3,0,0,0,2,0,0,35,17,132,2,5,2,4,1,3,2,162,2,24,9,2,5,2655,0,0
BG_RAZ36,Цар Калоян,4880,1888,59,36,29,6,8,0,2,0,0,1,1,0,71,30,83,0,0,0,1,4,6,1,158,2,50,18,6,1,1314,0,0
BG_RSE03,Борово,4691,1426,101,43,58,7,12,4,4,4,0,1,5,1,159,57,76,4,3,1,0,3,21,2,399,4,122,34,13,4,282,1,1
BG_RSE04,Бяла,11235,3023,111,78,202,11,40,6,5,4,4,12,2,5,446,98,162,4,7,0,4,10,50,11,1002,7,224,159,49,5,302,2,1
BG_RSE05,Ветово,10832,3884,152,50,58,2,20,1,3,4,2,14,2,0,170,48,71,1,2,1,9,10,10,2,164,7,117,48,22,9,2886,0,1
BG_RSE08,Две могили,7238,1870,80,51,106,7,20,5,2,2,6,9,1,1,218,41,92,1,3,0,4,8,11,3,350,1,146,70,21,3,607,1,0
BG_RSE13,Иваново,6911,2395,84,84,144,8,34,5,11,4,3,14,1,1,284,53,198,5,9,2,3,12,27,8,770,2,302,82,22,2,203,16,2
BG_RSE27,Русе,140860,37729,742,1350,3448,131,792,139,261,47,70,245,66,22,7019,1077,5900,54,330,44,28,183,560,106,7146,17,2867,2382,1004,106,1546,36,13
BG_RSE33,Сливо поле,8845,2607,126,62,85,3,18,2,4,1,5,11,5,8,193,61,108,3,8,2,2,7,20,2,869,3,177,69,17,3,731,2,0
BG_RSE37,Ценово,4230,1608,79,44,60,9,19,1,1,3,1,8,3,2,142,50,77,2,6,1,3,1,9,5,735,0,241,64,12,3,26,1,0
BG_SFO06,Божурище,6814,3577,104,323,263,23,80,7,25,8,4,58,10,2,497,111,457,1,31,5,2,16,121,7,820,4,202,149,81,11,146,8,1
BG_SFO07,Ботевград,28024,7537,225,271,650,28,190,18,76,19,15,74,13,4,1154,238,775,13,77,8,9,32,100,14,1947,13,656,365,160,30,352,6,5
BG_SFO09,Годеч,4155,1374,61,68,58,7,31,3,3,1,2,26,7,0,143,28,95,1,3,1,1,4,13,2,606,1,98,35,15,4,54,3,0
BG_SFO10,Горна Малина,4574,1530,45,74,90,3,40,4,2,9,1,53,2,1,217,44,126,1,7,0,0,9,40,6,373,1,233,42,35,5,64,2,1
BG_SFO16,Драгоман,3934,1538,56,62,75,8,33,7,6,3,0,13,4,2,175,55,107,3,4,1,1,3,14,6,627,3,104,41,99,2,19,4,1
BG_SFO17,Елин Пелин,17823,4900,99,249,393,22,144,14,29,10,2,68,15,3,883,148,607,5,13,2,4,21,80,7,1091,6,293,181,274,21,202,11,1
BG_SFO18,Етрополе,9989,3936,157,106,213,16,52,10,14,10,6,34,19,0,420,121,264,0,17,2,5,9,31,5,551,5,553,147,63,12,1087,4,2
BG_SFO20,Ихтиман,13543,4864,264,120,194,21,63,10,20,1,9,35,13,3,482,134,277,5,12,3,9,12,58,12,1781,4,215,88,64,13,931,10,1
BG_SFO24,Копривщица,1742,628,21,36,28,4,9,0,3,1,1,7,0,0,126,15,87,0,1,0,4,2,5,4,153,0,55,24,18,0,23,1,0
BG_SFO25,Костенец,10767,2946,75,108,139,7,61,3,12,6,1,34,15,0,548,61,264,2,5,3,2,6,40,4,1068,0,191,122,51,6,107,5,0
BG_SFO26,Костинброд,13712,4668,143,180,316,13,94,6,15,4,6,54,8,0,602,114,433,3,11,3,5,22,70,9,1634,6,293,157,142,7,312,4,2
BG_SFO34,Правец,6125,2328,140,93,137,8,39,10,8,13,3,18,9,1,236,47,206,0,17,2,2,6,18,9,437,9,481,49,27,12,285,3,3
BG_SFO43,Своге,15429,4886,177,191,267,25,96,11,21,4,3,54,9,1,725,143,397,4,25,3,2,12,45,8,1198,9,401,127,71,7,836,8,1
