gisco_id,name,registered,turnout,invalid,blank,ФСБ-СБ,ДНБ,БСП-ОЛ,Гранит,KE,НДСВ,ДБ [Достойна България],ДСБ,ДЖБ,Евророма,КнР,БНС-НД,НВ,АТАКА,ФАГО,ОППБ,ДПС,БХК,ОДС,ПСД,ΡΚ,Пенев,Коев,Димов,Събчев,Илиев,Василев,Петров,Ничев,Мумджиев,Бозукова,Чаушев,Велчев,Абаджиев
BG_VID3363255,Ruzhintsi,4464,2919,133,0,1,10,1213,4,5,238,6,65,8,32,26,94,28,64,55,3,839,17,73,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_VID3781757,Chuprene,2180,1401,53,0,2,3,646,5,2,202,6,32,1,11,7,74,46,42,36,5,189,2,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_VRC0505548,Borowan,5416,3629,160,0,3,26,1577,4,5,848,9,71,9,153,61,295,22,125,134,8,21,7,88,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_VRC0807702,Byala Slatina,23885,12812,446,0,16,151,4840,21,13,2696,23,289,32,780,97,474,125,819,423,77,166,18,1296,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_VRC1012259,Wratsa,74081,35649,774,0,105,424,12646,51,33,8470,105,1992,78,714,400,2456,1176,2713,464,108,377,119,2390,15,39,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_VRC2037798,Kozloduj,17969,9679,251,0,8,38,3805,15,6,1938,23,299,24,144,67,554,159,1184,61,23,320,46,703,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_VRC2139846,Kriwodol,9435,5854,236,0,9,70,3372,18,10,860,18,162,15,170,69,324,47,149,30,36,44,42,165,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_VRC2747714,Mezdra,20785,11400,309,0,18,44,4730,16,9,1582,20,349,40,163,277,1337,261,846,146,19,71,56,1088,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_VRC2848043,Miziya,7617,4139,183,0,6,9,2011,7,5,975,21,122,18,36,35,151,42,269,31,13,6,3,195,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_VRC3154020,Oryahowo,12329,6562,187,0,9,72,3115,12,9,1314,15,188,27,89,94,386,91,435,61,31,104,40,275,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_VRC3262997,Roman,6263,3918,171,0,8,125,1465,6,2,628,6,96,5,35,38,405,396,107,34,9,39,13,323,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_VRC3577102,Hajredin,5365,3116,119,0,4,13,1435,8,1,368,9,117,13,137,39,210,27,161,125,7,65,3,248,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_GAB0514218,Gabrowo,64587,34250,606,0,91,158,9649,34,27,9946,0,2507,97,239,321,2125,1351,2563,98,156,606,185,3429,43,19,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_GAB1223947,Dryanowo,9450,5756,131,0,16,16,1936,7,8,1117,0,248,16,17,37,138,88,518,20,39,288,18,1091,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_GAB2965927,Sewliewo,33861,20695,652,0,35,49,6271,34,35,3795,0,927,74,138,174,1061,476,2262,25,95,3067,147,1353,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_GAB3573403,Tryawna,12094,6419,147,0,27,16,1961,13,8,1559,0,343,25,9,50,336,159,960,12,65,80,54,586,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_DOB0302508,Balchik,17725,10240,433,0,20,25,3302,22,18,2374,47,397,45,69,139,435,275,799,15,34,1331,34,416,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_DOB1214711,General Toshewo,15881,9506,339,0,25,29,4792,22,12,1219,25,203,24,20,143,532,227,538,32,32,1012,25,246,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_DOB1580769,Cherna,19627,12208,484,0,27,62,4803,28,18,1442,35,233,27,131,113,673,343,388,21,47,3090,25,209,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_DOB1735064,Kawarna,12925,7767,250,0,50,21,2429,9,12,2093,33,407,29,89,153,446,138,765,9,28,464,25,301,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_DOB2040097,Krushari,4506,3168,121,0,5,2,699,3,1,389,7,42,4,9,48,109,20,111,6,17,1518,2,49,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_DOB2772271,Terwel,14964,10075,328,0,9,18,3212,15,10,1191,27,168,11,16,119,141,125,450,15,53,4014,14,129,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_DOB2872624,Dobrich,87346,46688,762,0,118,92,14643,132,53,12227,187,2456,145,267,394,3414,1931,4462,76,119,2523,184,2456,18,29,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_DOB2983017,Shabla,5329,3183,82,0,4,6,1598,9,5,522,11,96,13,10,34,265,52,235,6,4,106,2,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_KRZ0200607,Ardino,12929,7677,427,0,10,8,1133,0,8,402,28,134,11,15,36,35,37,51,24,30,5156,12,111,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_KRZ0820746,Dzhebel,8202,6209,252,0,5,9,696,0,4,257,21,16,4,5,23,23,6,24,5,22,4761,15,59,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_KRZ1436926,Kirkowo,21721,15193,545,0,11,10,2430,0,3,374,38,23,21,10,144,63,28,67,14,64,10509,17,813,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0
