gisco_id,name,registered,turnout,invalid,blank,Partij van de Arbeid (P.v.d.A.),VVD,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Christen Democratisch Appèl (CDA),GROENLINKS,Democraten 66 (D66),ChristenUnie,Partij voor de Dieren,TROTS OP NEDERLAND LIJST RITA VERDONK,Partij voor Mens en Spirit (MenS),Staatkundig Gereformeerde Partij (SGP),Piratenpartij,Nieuw Nederland,Lijst 17,Partij TTn,Heel NL,Evangelische Partij Nederland
NL_0935,Maastricht,92211,64802,108,86,13940,9463,14806,7039,6964,5026,5044,465,986,429,235,46,75,13,50,17,10,0
NL_0936,Margraten,10407,8360,9,7,1234,1455,1781,827,1815,498,469,63,97,41,36,4,8,2,11,2,2,0
NL_0025,Marum,7915,5999,12,8,1313,1054,812,574,1083,271,251,416,79,38,14,61,6,4,4,4,0,4
NL_0420,Medemblik,20691,15926,17,8,2417,4106,2576,1454,2593,883,989,309,236,150,49,89,16,3,17,5,8,3
NL_0938,Meerssen,15461,12022,15,16,1882,2010,2852,1501,2030,641,637,69,183,108,37,9,10,4,9,4,5,0
NL_0083,Menaldumadeel,10504,8267,10,8,2244,1298,865,985,1566,508,364,266,75,20,14,28,7,3,3,2,0,2
NL_1987,Menterwolde,9815,7129,13,6,2288,989,1166,1004,518,446,285,225,103,31,8,25,6,5,5,5,0,9
NL_0119,Meppel,24830,19354,22,15,4749,4021,2341,1910,2439,1168,1156,1059,208,100,58,67,20,4,11,3,3,0
NL_0687,Middelburg,36230,28088,46,17,6257,3959,3068,2546,3902,2086,1569,1718,455,122,85,2178,35,16,22,7,0,0
NL_0559,Middelharnis,13916,10823,28,5,1383,1929,1626,850,1481,384,381,937,106,53,13,1623,7,2,13,0,2,0
NL_1842,Midden-Delfland,13355,11288,10,5,1230,3139,1453,609,2724,648,840,380,88,70,23,53,9,2,2,3,2,0
NL_1731,Midden-Drenthe,26021,20600,21,17,5258,4216,2309,1859,3361,1246,956,814,207,167,55,75,13,5,16,4,4,0
NL_0815,Mill en Sint Hubert,8516,6645,4,7,746,1217,1044,1359,1646,214,250,25,41,57,12,4,4,0,9,3,3,0
NL_0265,Millingen aan de Rijn,4547,3465,5,3,845,532,582,687,418,146,150,19,43,19,9,2,2,2,2,2,0,0
NL_1709,Moerdijk,28171,20644,19,13,2894,4688,3796,2649,3549,890,951,553,308,184,45,77,14,2,9,3,0,0
NL_1955,Montferland,27339,20253,37,12,3661,3671,3867,2341,4379,845,905,120,195,122,49,7,14,2,12,6,7,2
NL_0335,Montfoort,9934,8167,7,8,973,2127,1160,516,1469,436,487,468,59,40,18,386,8,0,4,4,0,0
NL_0944,Mook en Middelaar,6149,5036,7,3,894,1116,588,680,745,412,430,38,71,15,24,0,2,0,10,2,0,0
NL_0424,Muiden,4851,4067,5,1,837,1177,416,259,428,306,509,28,64,21,6,2,5,0,2,2,0,0
NL_0425,Naarden,12354,10492,6,11,1588,4002,883,539,1068,721,1233,142,187,32,32,33,4,4,6,4,0,0
NL_1740,Neder-Betuwe,16152,13008,13,7,1932,1938,2041,582,1679,258,358,616,75,54,15,3426,7,0,3,2,2,0
NL_0643,Nederlek,10998,8882,9,9,1582,2142,1406,768,1026,398,457,347,129,56,12,519,9,3,8,2,0,0
NL_0946,Nederweert,13013,9788,10,8,1092,1968,2244,1141,2307,393,337,41,92,93,32,6,8,0,12,3,3,0
NL_0304,Neerijnen,8789,7101,8,3,1022,1596,1317,424,1102,218,263,240,66,29,12,786,3,2,8,2,2,0
NL_0412,Niedorp,9106,7062,17,7,1275,2052,1067,680,832,450,427,45,97,57,32,3,8,3,5,4,3,0
NL_0356,Nieuwegein,47108,35004,69,41,7018,7543,6587,3952,3566,2310,2139,841,421,206,76,145,44,6,36,2,2,0
NL_0569,Nieuwkoop,20550,16094,21,13,1622,4624,2531,1190,3296,766,955,482,171,113,51,227,8,3,11,4,6,0
NL_0571,Nieuw-Lekkerland,6712,5621,5,2,784,586,713,315,643,123,116,849,53,12,3,1411,2,0,3,2,0,0
NL_0104,Nijefurd,8448,6925,8,4,1356,1107,790,706,1703,485,335,266,74,32,29,16,8,0,4,0,0,2
NL_0267,Nijkerk,29494,23609,35,14,2635,5186,3210,1386,5127,903,1068,2234,175,103,68,1423,16,5,8,5,6,6
NL_0268,Nijmegen,127230,96789,205,108,23924,13068,11131,12724,7879,13997,10515,972,1337,270,301,59,127,15,128,19,10,0
NL_1695,Noord-Beveland,5916,4690,6,1,765,1112,686,424,801,218,212,130,74,39,23,182,9,3,2,3,0,0
NL_1699,Noordenveld,24165,19234,22,10,5492,4117,2132,1749,2007,1349,1175,706,239,67,64,74,15,3,8,4,3,0
NL_0171,Noordoostpolder,33394,25929,37,16,3761,5630,3107,1983,5677,1116,1130,2222,229,147,86,716,15,5,20,3,0,29
NL_0575,Noordwijk,19357,15341,25,14,2101,4957,2421,1063,2232,913,1022,208,188,78,44,36,17,5,15,2,0,0
NL_0576,Noordwijkerhout,11763,9461,15,12,1096,2775,1540,691,1772,584,616,87,112,88,44,7,8,7,12,7,0,0
NL_0820,"Nuenen, Gerwen en Nederwetten",17176,14044,13,15,2200,3428,1844,1563,2502,818,1258,108,135,50,49,8,19,4,25,3,2,0
NL_0302,Nunspeet,19957,16720,21,10,1281,2577,1898,698,3340,372,425,2310,123,57,24,3552,7,2,8,2,2,12
NL_0951,Nuth,12630,9843,14,16,1488,1552,2560,1128,1660,604,388,58,150,172,29,8,7,4,3,3,3,0
NL_0579,Oegstgeest,16294,13872,9,14,2515,4249,1174,734,1513,1118,1834,327,212,36,34,51,26,6,20,0,0,0
NL_0823,Oirschot,13705,10590,13,13,1289,2081,1753,1242,2839,426,610,40,96,126,31,7,7,0,14,2,2,0
NL_0824,Oisterwijk,19707,15308,22,12,2251,4066,2118,1690,2848,757,1122,125,144,67,36,7,7,2,30,2,2,0
NL_1895,Oldambt,31448,22417,41,21,6778,2899,3692,3478,1966,1283,789,844,378,89,48,47,26,2,28,2,0,6
NL_0269,Oldebroek,17135,13242,14,10,1572,1426,1634,607,2929,284,258,2686,71,57,15,1657,5,4,7,0,0,6
NL_0173,Oldenzaal,24447,18912,24,22,3426,3698,2682,2124,4047,1024,1343,157,156,105,53,10,24,3,6,4,4,0
NL_1773,Olst-Wijhe,13345,10493,14,7,2477,1970,1039,994,2301,667,589,173,109,63,27,38,5,3,11,2,4,0
NL_0175,Ommen,13501,11044,10,9,1482,1947,996,738,3354,419,491,1294,94,45,24,124,5,0,12,0,0,0
NL_0881,Onderbanken,6386,4839,5,7,648,640,1641,637,717,250,155,16,56,36,20,2,3,2,3,2,0,0
NL_1586,Oost Gelre,22890,17739,17,7,2773,3943,2050,2015,4802,734,975,132,103,64,71,20,11,3,9,3,5,2
NL_0826,Oosterhout,41207,30196,36,28,5255,7077,5832,3522,3920,1560,2011,241,311,207,97,37,25,3,24,7,3,0
NL_0580,Oostflakkee,8158,6278,9,2,1002,1169,1262,523,867,221,179,423,101,43,15,456,3,3,3,0,3,0
NL_0085,Ooststellingwerf,20323,15381,21,23,4026,2496,2008,1779,2352,963,639,596,211,89,69,75,18,4,7,2,0,3
NL_0431,Oostzaan,6966,5565,4,3,1077,1558,1161,443,323,361,363,90,83,54,16,14,8,2,3,2,2,0
NL_0432,Opmeer,8589,6663,8,2,941,1719,942,621,1422,349,387,41,86,77,34,4,9,4,9,3,3,2
NL_0086,Opsterland,22819,17618,11,11,4754,2746,1631,1994,2704,1143,776,1356,156,67,93,137,14,4,10,2,0,9
NL_0828,Oss,58791,42718,81,52,6783,7701,7883,8209,6101,2113,2657,212,384,336,89,21,36,6,33,9,12,0
NL_0584,Oud-Beijerland,17857,14169,24,16,1944,3339,2157,1188,1707,696,844,762,195,77,50,1138,19,2,10,2,0,0
NL_1509,Oude IJsselstreek,30504,23030,32,23,4393,4032,3445,2914,5108,1034,1259,329,213,107,58,28,15,8,16,6,8,2
NL_0437,Ouder-Amstel,9815,8026,8,2,1617,2230,878,465,941,637,888,108,122,26,14,71,8,3,6,2,0,0
NL_0644,Ouderkerk,6143,5068,5,2,698,1009,706,269,770,158,192,490,55,23,5,683,2,0,2,0,0,0
NL_0589,Oudewater,7501,6063,12,8,626,1604,888,359,1461,241,281,296,48,50,10,170,2,2,4,2,2,0
NL_1734,Overbetuwe,33925,26244,35,13,4314,5877,3769,2601,4391,1554,1977,746,265,122,55,475,16,3,18,2,7,4
NL_0590,Papendrecht,24353,18854,21,15,2969,4343,3121,1766,2405,770,983,1299,246,112,33,735,22,4,8,0,2,0
NL_1894,Peel en Maas,33131,24979,27,36,2595,4599,6447,2673,6072,1016,873,111,229,175,49,14,30,2,23,2,7,0
NL_0765,Pekela,10017,6983,10,9,2059,669,1566,1149,612,371,144,227,90,36,12,20,5,2,2,0,0,2
NL_1926,Pijnacker-Nootdorp,33973,27352,32,18,3342,8354,4314,1750,3836,1698,2233,702,360,400,55,207,18,2,24,2,5,0
NL_0439,Purmerend,60354,43360,104,45,9438,10757,8879,4634,2776,2472,2484,453,649,365,112,46,73,6,39,9,2,17
NL_0273,Putten,17713,14626,19,6,1165,2882,1835,638,3809,420,452,1889,112,74,26,1271,10,3,9,2,2,3
NL_0177,Raalte,28277,22142,30,23,3596,3929,2020,2153,7407,1030,1201,389,134,113,48,21,13,2,21,2,11,0
NL_0595,Reeuwijk,9975,8416,7,4,752,2498,1123,386,1544,350,480,510,73,49,16,613,5,0,4,4,4,0
NL_0703,Reimerswaal,15314,12464,20,13,1258,1606,1754,813,2004,254,235,567,103,81,16,3724,8,3,5,0,0,0
NL_0274,Renkum,24795,19800,35,15,4176,4608,1986,1593,2663,1695,2022,411,299,63,92,91,25,5,9,5,4,3
NL_0339,Renswoude,3357,2891,2,3,174,636,387,125,812,62,69,176,18,16,3,407,3,0,0,0,0,0
NL_1667,Reusel-De Mierden,9861,7209,7,6,864,1386,1176,1103,1916,223,320,37,71,66,12,6,2,3,8,2,2,0
NL_0275,Rheden,34767,26597,51,21,6244,5180,3448,3029,3058,2111,2082,606,423,99,98,70,22,2,23,6,11,13
NL_0340,Rhenen,14178,11472,12,11,1599,2346,1910,595,1448,535,645,552,106,33,13,1652,9,0,3,2,2,0
NL_0597,Ridderkerk,35758,26688,34,18,4325,4694,5258,2485,3137,1105,1110,1625,354,142,50,2299,25,6,20,0,6,0
NL_0196,Rijnwaarden,8515,6127,5,10,1141,982,1404,819,1041,283,267,39,58,32,33,2,4,2,2,2,2,2
NL_1672,Rijnwoude,14171,11548,10,13,1467,2811,1546,888,2125,511,779,514,129,81,27,621,7,2,16,2,0,0
NL_1742,Rijssen-Holten,27031,22984,31,9,2385,2985,2354,1018,4857,487,613,2808,121,106,19,5157,9,6,14,3,2,0
NL_0603,Rijswijk,36766,27353,64,26,4992,6201,5415,2207,2841,1955,2270,510,464,182,64,88,36,7,25,2,4,0
NL_1669,Roerdalen,16638,12460,7,18,1614,1978,3913,1348,2200,517,466,64,176,86,41,7,11,2,6,2,5,0
NL_0957,Roermond,42211,29749,87,33,4883,5563,7932,3282,3686,1667,1623,187,455,184,75,17,31,10,23,4,7,0
NL_1674,Roosendaal,58693,41186,85,29,7234,8888,8867,4666,6098,1908,2114,292,463,323,91,37,32,6,25,16,12,0
NL_0599,Rotterdam,437884,282223,1341,373,73682,48920,53912,26654,17726,21745,22351,6145,4961,1155,538,1906,404,52,169,94,41,54
NL_0277,Rozendaal,1150,1060,0,0,137,461,75,34,116,81,117,12,14,2,5,4,0,0,2,0,2,0
NL_0840,Rucphen,18210,12056,26,9,1453,2127,4652,1059,1754,320,321,36,143,120,16,5,6,0,9,0,0,0
NL_0441,Schagen,14638,11207,14,10,2489,2917,1462,1208,1145,711,797,119,171,72,37,10,12,3,10,14,4,2
NL_0458,Schermer,4025,3302,1,1,586,970,432,254,525,182,208,37,38,40,9,4,3,4,2,0,4,2
NL_0279,Scherpenzeel,6863,5661,7,5,502,1236,701,197,1165,155,180,446,30,18,9,1003,4,4,4,0,0,4
NL_0606,Schiedam,55521,37601,97,53,8369,6879,8331,4261,3077,2356,2371,595,646,237,73,147,62,5,25,12,5,0
NL_0088,Schiermonnikoog,742,914,0,2,237,201,52,64,144,84,72,32,16,3,2,4,0,0,2,0,0,0
NL_0844,Schijndel,17741,12785,16,6,2012,2581,2313,1976,2317,578,666,52,110,94,35,3,10,3,11,3,3,0
NL_0962,Schinnen,10484,8474,8,10,1285,1255,2130,1040,1577,479,395,71,99,71,35,2,8,2,6,2,2,0
NL_0608,Schoonhoven,9084,7193,11,10,1246,1696,985,572,1036,405,476,418,95,41,20,165,12,0,2,2,2,0
NL_1676,Schouwen-Duiveland,26939,22244,23,13,3433,5136,3260,1714,3516,939,904,945,281,134,69,1828,23,5,20,5,0,0
NL_0518,s-Gravenhage,377668,270023,2060,379,63042,59925,43725,18234,18710,22687,28075,4429,4901,1240,740,1054,399,77,252,94,0,0
NL_0796,s-Hertogenbosch,107554,81081,199,84,15401,16720,14356,10209,8228,6364,6761,620,1053,549,265,51,110,9,65,21,16,0
NL_0965,Simpelveld,8493,6413,7,10,1066,716,2003,779,1146,273,211,42,67,42,28,5,7,0,5,3,3,0
NL_1702,Sint Anthonis,8983,7377,2,4,650,1400,754,1760,2144,254,244,35,44,48,23,4,5,3,3,3,3,0
NL_0845,Sint-Michielsgestel,21450,16467,22,16,2494,3620,2568,2149,3029,852,1253,85,146,146,35,16,17,3,12,3,3,0
NL_0846,Sint-Oedenrode,13552,10592,13,8,1491,2161,1478,1517,2678,450,576,45,60,66,20,4,15,3,6,3,0,0
NL_1883,Sittard-Geleen,74877,54398,89,55,9135,7396,15111,6764,8094,3503,2356,345,795,406,213,28,39,10,42,8,9,0
NL_0051,Skarsterlan,20866,16385,10,10,3752,3073,1779,1774,3459,867,758,553,126,84,63,43,18,0,11,2,0,3
NL_0610,Sliedrecht,18338,13887,18,8,2094,2057,1928,1322,1833,469,443,1522,146,59,23,1940,11,4,8,0,2,0
NL_0040,Slochteren,11957,9152,12,9,2236,1601,1143,902,994,626,453,878,126,50,25,82,6,2,5,2,0,2
NL_1714,Sluis,18202,13562,18,12,2534,3130,2367,1330,2231,646,606,220,166,152,26,102,11,10,10,0,0,0
NL_0090,Smallingerland,42340,32513,61,33,8478,4092,3498,3796,5466,1864,1377,3025,272,90,123,259,28,8,17,8,0,25
NL_0091,Sneek,25705,19268,30,18,4760,3401,2251,2447,2888,1234,1127,674,237,68,65,28,20,5,11,0,0,4
NL_0342,Soest,34503,27461,39,21,4178,8318,3758,1799,3358,1689,2336,896,405,130,128,328,36,2,23,11,6,0
NL_0847,Someren,14033,10601,13,8,1141,2081,2099,1316,2862,350,439,68,68,96,34,2,8,2,12,2,2,0
NL_0848,Son en Breugel,11622,9247,10,9,1231,2590,1135,981,1791,487,729,87,94,57,20,10,8,2,2,2,3,0
NL_0612,Spijkenisse,56165,38570,72,45,6995,7838,10438,4926,2634,1790,1646,792,678,344,76,202,46,5,30,5,8,0
NL_0037,Stadskanaal,26062,18157,43,10,4710,2020,2672,2019,3248,670,500,1774,194,107,37,123,14,2,9,2,0,3
NL_0180,Staphorst,11235,9785,11,12,583,1051,901,287,1993,159,171,1675,31,26,12,2860,6,3,4,0,0,0
NL_0532,Stede Broec,16039,12270,20,10,1915,2892,2300,1448,1841,636,652,154,168,115,56,32,8,2,10,6,5,0
NL_0851,Steenbergen,18187,13083,16,5,1940,2820,3149,1371,2043,498,559,186,190,105,38,136,14,2,9,2,2,0
NL_1708,Steenwijkerland,33302,26264,22,18,5385,5196,3399,2264,5052,1258,1163,1768,218,166,100,194,28,6,14,6,7,0
NL_0971,Stein,20649,15537,23,16,2175,2113,4977,2143,2214,705,612,68,240,132,73,12,21,4,5,2,2,0
NL_0617,Strijen,6977,5433,6,6,792,1316,935,475,786,260,230,325,92,33,19,148,5,2,2,2,0,0
NL_0009,Ten Boer,5508,4498,5,5,1132,520,398,506,719,310,178,569,39,10,15,76,10,2,2,2,0,2
NL_0715,Terneuzen,41076,29056,46,19,5443,4834,5580,2880,4440,1280,1183,1479,321,285,54,1148,32,7,22,3,0,0
NL_0093,Terschelling,3797,4420,0,3,1126,995,404,342,528,516,327,85,48,15,15,9,2,0,4,0,0,2
NL_0448,Texel,10548,10161,20,4,2032,2477,1120,945,1519,830,711,216,133,41,25,62,7,4,8,2,2,3
NL_1525,Teylingen,26370,21512,24,26,2961,6659,2833,1395,3574,1263,1846,371,260,125,62,50,36,4,17,3,3,0
NL_0716,Tholen,18793,14740,18,2,1812,2125,2357,1199,2149,352,322,893,150,82,15,3250,7,3,3,3,0,0
NL_0281,Tiel,30157,21597,41,12,4791,5050,4154,1902,1952,1221,1384,423,277,143,50,143,25,0,20,6,3,0
NL_0855,Tilburg,156004,105729,199,137,21691,20666,17014,13759,11489,8100,9044,743,1343,824,268,85,144,19,157,24,23,0
NL_0183,Tubbergen,15633,12415,18,12,1016,2311,1874,809,5368,310,415,67,47,92,35,19,10,2,7,2,2,0
NL_1700,Twenterand,25296,19120,20,13,2624,2110,2814,1452,5969,478,460,2153,140,148,19,690,15,4,6,2,3,0
NL_1730,Tynaarlo,25111,20461,22,22,5466,4828,1926,1666,2040,1669,1673,710,244,81,46,42,13,4,8,4,0,0
NL_0737,Tytsjerksteradiel,24482,19154,23,23,4431,2546,2051,2076,4427,1153,770,1192,165,69,72,126,12,0,8,8,0,9
NL_0282,Ubbergen,7309,5880,4,4,1257,930,644,703,1067,634,430,40,102,16,22,3,8,2,10,2,3,0
NL_0856,Uden,30859,23282,39,26,3216,5529,3564,3829,4005,1023,1423,98,252,144,78,9,17,3,20,6,3,0
NL_0450,Uitgeest,9422,7703,10,3,1407,2114,1014,749,903,554,663,59,113,58,29,5,12,2,7,0,0,2
NL_0451,Uithoorn,20634,16421,41,6,2776,5178,2532,1168,1937,955,1170,234,211,98,46,22,22,4,16,5,0,0
NL_0184,Urk,11656,9314,14,4,57,229,1013,72,2412,21,31,1757,8,17,2,3635,8,3,2,0,0,29
NL_0344,Utrecht,229442,177568,339,230,42952,32746,17035,12079,11517,27237,25190,3879,2396,596,392,451,265,34,174,35,21,0
NL_1581,Utrechtse Heuvelrug,37261,30462,47,18,4757,8202,3396,1759,4252,2439,2549,1126,456,127,149,1127,34,10,11,2,2,0
NL_0981,Vaals,6210,4450,9,5,826,536,1280,520,682,247,179,40,66,18,20,5,12,3,3,0,3,0
NL_0994,Valkenburg aan de Geul,13829,10897,27,8,1513,1929,2752,1044,2075,540,603,75,168,81,50,6,6,15,2,2,2,0
NL_0858,Valkenswaard,24220,17906,20,14,2737,3561,3415,2591,3250,798,1003,112,156,171,37,9,9,3,13,6,3,0
NL_0047,Veendam,22018,15774,29,14,5096,2325,2418,2074,1300,839,706,526,252,96,29,38,8,6,8,4,0,6
NL_0345,Veenendaal,45605,36312,81,27,4745,6772,5598,1981,5884,1241,1495,4727,222,127,60,3299,21,6,12,10,4,0
NL_0717,Veere,16899,15177,14,8,2180,2898,1410,973,3259,701,686,828,240,84,38,1835,8,3,10,2,0,0
NL_0860,Veghel,27788,21033,27,17,2908,4650,3313,2878,4563,957,1193,110,213,127,38,6,8,3,17,3,2,0
NL_0861,Veldhoven,33431,25319,20,34,3808,5505,4593,3481,4110,1313,1584,259,241,185,99,17,32,11,15,11,11,0
NL_0453,Velsen,50885,38750,56,36,7872,8534,7474,3698,3770,2533,2740,838,639,299,98,68,52,7,26,10,0,0
NL_0983,Venlo,75062,53417,99,46,7971,9055,16121,6055,7604,2650,2453,298,553,228,125,33,54,14,33,11,14,0
NL_0984,Venray,32144,23622,27,33,3459,4221,4398,3703,4992,1056,1150,119,186,152,60,13,18,2,24,3,6,0
NL_0620,Vianen,14909,11616,19,26,1998,2664,2044,1085,1595,566,654,375,148,73,30,300,17,3,11,6,2,0
NL_0622,Vlaardingen,54172,38489,69,29,7714,7181,8073,4399,3691,2498,2131,1091,560,295,76,603,33,5,23,14,4,0
NL_0048,Vlagtwedde,12887,9258,23,3,2269,1311,1841,1030,1436,492,280,279,129,67,42,24,12,8,3,4,0,5
NL_0096,Vlieland,855,993,0,0,230,296,76,83,74,94,93,17,13,13,3,3,0,0,0,0,0,0
NL_0718,Vlissingen,34295,24354,40,22,5336,3902,4512,3035,2918,1308,1203,769,479,220,87,455,34,8,21,5,0,0
NL_0623,Vlist,7439,6228,6,2,747,1469,862,393,1187,244,306,306,60,37,5,592,2,2,6,2,2,0
NL_0986,Voerendaal,10154,8049,2,4,1273,1264,1909,902,1589,420,411,50,110,60,33,5,8,0,9,0,0,0
NL_0626,Voorschoten,17336,14297,20,14,2150,4384,1585,895,1912,1120,1562,230,224,70,39,47,22,2,19,2,2,0
NL_0285,Voorst,18710,14520,26,8,2847,3284,1654,1217,3072,729,952,214,140,79,41,227,2,2,10,2,16,0
NL_0865,Vught,19254,14781,16,17,2570,3805,1781,1788,2015,1025,1372,79,165,75,28,7,14,3,18,2,2,0
NL_0866,Waalre,12439,10036,13,12,1401,2760,1310,1100,1662,554,918,90,104,48,22,12,11,4,13,4,4,0
NL_0867,Waalwijk,35499,25973,37,20,3639,5711,5160,3086,4122,1101,1413,679,259,159,67,472,24,5,13,3,3,0
NL_0627,Waddinxveen,19274,15392,22,28,2187,3455,2249,1017,2263,642,876,1347,151,85,26,1018,11,3,5,3,6,0
NL_0289,Wageningen,25926,20567,24,27,4882,2900,1497,1602,1957,3099,3007,874,263,62,66,228,34,6,24,6,4,5
NL_0629,Wassenaar,17596,14453,29,12,1350,6354,1880,656,1928,618,1124,147,178,77,31,34,20,3,7,3,2,0
NL_0852,Waterland,13249,11049,16,7,2143,2875,1706,844,1438,808,800,150,136,69,14,16,12,4,4,6,4,0
NL_0988,Weert,37482,27840,41,28,4092,6186,6404,3600,4119,1163,1393,182,280,219,74,8,18,3,23,4,3,0
NL_0457,Weesp,13578,10465,32,9,2360,2426,1400,999,999,880,910,135,138,89,28,31,12,4,10,3,0,0
NL_0870,Werkendam,19992,15595,20,13,1756,2613,2582,1224,3559,447,449,1064,100,88,29,1632,3,6,5,3,2,0
NL_0459,Wervershoof,6575,5134,13,4,628,1293,838,473,1145,253,287,48,58,48,24,2,7,3,9,0,2,0
NL_0668,West Maas en Waal,14280,11233,9,8,1680,2546,2098,1399,2191,491,526,54,108,69,21,7,8,0,12,2,4,0
NL_1701,Westerveld,15313,12737,13,8,3284,3259,1396,993,1610,893,683,252,175,48,58,48,5,2,8,2,2,0
NL_0293,Westervoort,11773,8821,12,6,1854,1513,1590,1314,1035,619,482,166,127,33,34,12,7,0,11,3,2,2
NL_1783,Westland,75086,59879,71,52,5349,17386,11228,3447,13636,2091,2659,1869,565,401,179,806,47,7,70,11,5,0
NL_0098,Weststellingwerf,20329,15253,28,16,3813,3080,2119,1667,2186,938,614,373,209,89,52,39,9,4,11,4,0,2
NL_0614,Westvoorne,11329,8881,6,3,1215,3257,1579,624,962,364,490,108,134,51,26,43,9,8,8,0,8,0
NL_0189,Wierden,17841,14689,22,9,1544,2776,1937,874,4822,393,567,1168,86,69,32,364,14,0,9,2,2,0
NL_0462,Wieringen,6798,5061,6,5,979,1420,1058,514,398,254,216,57,81,37,16,6,6,2,2,2,3,0
NL_0463,Wieringermeer,9437,7348,16,5,1068,1940,1227,641,1308,304,335,257,79,79,18,39,6,3,6,5,2,10
NL_0296,Wijchen,30603,24094,23,19,4173,4801,4106,3253,3995,1406,1628,186,224,130,32,13,20,2,73,4,6,0
NL_1696,Wijdemeren,18017,14699,10,6,2049,4895,1923,949,2146,839,1184,277,185,89,49,77,14,2,4,2,0,0
NL_0352,Wijk bij Duurstede,17523,14020,20,5,2199,3574,2150,1436,1798,929,966,352,164,53,49,301,6,4,9,2,3,0
NL_0053,Winsum,10635,8797,11,6,2429,1068,657,865,1433,818,433,827,111,22,32,64,11,2,5,0,0,3
NL_0294,Winterswijk,22105,16815,20,14,4113,3971,1901,2132,2274,851,865,322,154,83,58,24,5,5,14,3,4,2
NL_0873,Woensdrecht,16348,11695,25,4,1604,2691,2752,1275,1837,483,504,78,174,199,27,9,14,5,10,3,3,0
NL_0632,Woerden,36741,29963,51,22,4309,7223,3614,2040,5380,1759,2300,1728,298,178,74,924,23,8,25,3,4,0
NL_0880,Wormerland,12061,9363,17,10,1991,2163,1359,1127,947,716,624,143,136,73,23,15,8,3,4,2,2,2
NL_0351,Woudenberg,8782,7244,11,5,730,1512,787,360,1331,240,303,685,62,28,17,1158,8,2,5,0,0,0
NL_0874,Woudrichem,11046,8909,8,3,1023,1582,1197,772,2203,295,279,1100,72,31,14,322,4,0,4,0,0,0
NL_0710,Wunseradiel,8926,6979,5,3,1372,1168,741,772,1822,417,289,230,74,38,28,11,5,2,2,2,0,0
NL_0683,Wymbritseradiel,12054,9787,8,12,1653,1749,909,985,2795,569,528,403,67,36,36,25,5,3,3,3,0,0
NL_0479,Zaanstad,108441,78681,130,71,19615,15544,13762,8977,5878,5834,4920,1333,1428,539,212,206,101,23,59,16,22,11
NL_0297,Zaltbommel,19308,15433,16,10,2312,2845,2115,1063,2214,679,825,1045,146,67,49,2021,6,8,10,2,0,0
NL_0473,Zandvoort,13232,10024,14,7,1559,3482,1913,696,752,538,671,39,202,56,43,4,30,0,7,11,0,0
NL_0707,Zederik,9984,8429,4,9,949,1412,917,491,2227,218,200,937,73,34,4,950,2,2,2,0,0,0
NL_0478,Zeevang,4778,3940,6,6,721,1297,634,289,330,255,241,33,69,41,6,3,2,2,3,2,2,0
NL_0050,Zeewolde,14615,11842,21,5,1280,3787,1584,773,1605,592,678,1086,133,77,46,138,11,4,12,0,0,10
NL_0355,Zeist,45297,35283,81,28,6704,9098,4035,2353,3712,3002,3506,1222,498,110,202,631,51,8,27,8,7,0
NL_0299,Zevenaar,25196,19088,28,4,3824,3676,2894,2336,3458,1073,1189,168,227,99,48,17,13,4,19,2,6,3
NL_0476,Zijpe,8836,7258,7,4,1401,2098,1046,600,1060,395,368,54,106,59,30,8,5,2,6,7,2,2
NL_0637,Zoetermeer,92466,68885,111,77,13171,17036,12516,6417,6061,4132,5056,1873,980,421,208,619,117,12,60,5,13,0
NL_0638,Zoeterwoude,6299,4963,7,2,801,1178,648,387,983,351,394,59,70,23,15,33,5,0,7,0,0,0
NL_0056,Zuidhorn,13735,11475,13,10,2327,1472,814,965,2212,862,569,1828,123,27,41,186,11,3,5,3,0,6
NL_1892,Zuidplas,30230,24252,51,18,3228,6473,3593,1915,3107,1015,1364,1425,275,208,42,1486,18,3,25,3,3,0
NL_0879,Zundert,15924,11190,17,6,1343,2655,2129,1142,2579,431,541,64,112,126,28,3,6,2,5,2,0,0
NL_0301,Zutphen,35610,27133,34,25,7461,4328,2912,3281,2376,2846,2126,770,514,107,235,34,32,8,30,2,8,4
NL_1896,Zwartewaterland,15653,12779,12,2,1530,1447,1193,740,2746,266,278,2171,57,43,12,2270,5,3,2,2,0,0
NL_0642,Zwijndrecht,34397,25471,35,21,4161,5268,4703,2486,3314,1083,1240,1515,358,144,54,1036,20,3,28,3,3,0
NL_0193,Zwolle,91293,69824,78,60,16748,11244,6168,6583,8557,6237,5362,6835,813,249,200,473,115,9,65,18,10,0
