gisco_id,name,registered,turnout,invalid,blank,Partij van de Arbeid (P.v.d.A.),VVD,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Christen Democratisch Appèl (CDA),GROENLINKS,Democraten 66 (D66),ChristenUnie,Partij voor de Dieren,TROTS OP NEDERLAND LIJST RITA VERDONK,Partij voor Mens en Spirit (MenS),Staatkundig Gereformeerde Partij (SGP),Piratenpartij,Nieuw Nederland,Lijst 17,Partij TTn,Heel NL,Evangelische Partij Nederland
NL_1711,Echt-Susteren,25712,19459,18,33,2527,2576,6088,2172,3818,940,625,119,302,116,79,9,17,2,10,3,5,0
NL_0385,Edam-Volendam,21626,17810,22,8,1603,4537,5563,912,3456,612,581,99,176,140,54,22,12,3,5,3,4,0
NL_0228,Ede,80168,64387,110,26,8143,12390,8005,3511,11418,3071,3251,6427,595,257,128,6832,51,85,51,7,13,16
NL_0317,Eemnes,6539,5366,2,10,827,1618,686,360,788,319,429,149,84,32,11,35,4,2,8,0,2,0
NL_1651,Eemsmond,12643,9765,12,11,2651,1189,1040,1063,1599,587,277,1009,148,30,24,101,14,8,8,0,0,8
NL_0770,Eersel,14156,10864,13,8,1342,2201,1558,1213,3082,502,625,70,87,105,22,3,13,4,15,0,3,0
NL_0905,Eijsden,8874,6744,7,8,1127,1189,1524,794,1205,363,339,26,85,40,21,4,2,2,5,2,2,0
NL_0772,Eindhoven,159882,114834,215,142,23448,20950,18490,15729,12199,9088,10049,1548,1465,580,359,114,235,30,139,36,18,0
NL_0230,Elburg,16644,13400,14,7,1189,2018,1572,721,2993,331,350,2273,75,47,15,1769,4,5,3,0,0,14
NL_0114,Emmen,84906,60174,100,39,17409,8297,10414,6635,8690,2902,2430,1753,625,375,188,169,59,28,37,14,10,0
NL_0388,Enkhuizen,13858,10584,18,11,2256,2201,1603,1312,1148,718,659,221,185,54,40,130,14,4,5,4,0,4
NL_0153,Enschede,117830,82438,187,101,19891,14009,12676,8835,9148,5567,6922,3094,920,417,201,184,143,26,76,29,12,0
NL_0232,Epe,25752,19913,39,11,3951,4411,2632,1474,3337,882,1071,1021,233,119,57,640,5,5,17,0,3,5
NL_0233,Ermelo,20295,16137,20,22,1782,3125,1753,1048,3840,743,740,1853,166,55,43,895,10,8,11,2,2,20
NL_0777,Etten-Leur,31614,22803,36,24,3813,5341,4270,2758,3292,1120,1393,208,244,171,58,14,27,2,24,5,3,0
NL_1722,Ferwerderadiel,6739,5039,12,5,950,659,530,586,1422,226,178,344,70,11,15,25,4,2,0,0,0,0
NL_0070,Franekeradeel,15827,11866,10,6,2866,1877,1337,1431,2400,679,484,515,112,46,43,41,8,2,8,0,0,2
NL_0653,Gaasterlan-Sleat,7985,6500,10,4,1106,1113,718,631,1735,351,297,249,72,31,32,144,2,2,4,0,0,0
NL_0779,Geertruidenberg,16577,11827,13,6,1977,2517,2447,1579,1705,592,586,91,121,108,39,22,13,3,6,0,2,0
NL_0236,Geldermalsen,19523,16152,20,19,2208,4054,2812,1005,2334,718,825,424,143,123,29,1402,13,4,13,3,3,0
NL_1771,Geldrop-Mierlo,29315,21962,30,20,3491,4092,3979,3278,3516,1363,1446,211,264,139,62,9,30,7,16,2,7,0
NL_1652,Gemert-Bakel,21961,16372,19,21,1900,2878,3003,2709,4054,724,624,69,138,158,34,6,9,2,17,4,3,0
NL_0907,Gennep,13314,9672,19,6,1486,1619,1590,2074,1605,402,620,48,85,56,34,7,4,0,12,0,5,0
NL_0689,Giessenlanden,10915,9254,12,5,1338,2249,1088,622,1785,294,384,895,63,39,15,449,7,2,5,2,2,0
NL_0784,Gilze en Rijen,19324,14447,17,8,2513,2988,2603,1844,2397,779,869,83,151,119,25,9,14,2,18,4,4,0
NL_0511,Goedereede,8765,7444,10,3,714,1394,944,385,1361,156,202,501,62,32,19,1654,5,5,0,0,5,0
NL_0664,Goes,28652,21759,21,25,4089,3775,2508,2175,3716,1352,1230,940,316,116,61,1391,24,4,15,4,0,0
NL_0785,Goirle,17713,13572,10,25,2416,2916,2101,1963,2003,753,1010,62,148,113,20,3,7,0,16,2,4,0
