gisco_id,name,registered,turnout,invalid,blank,VVD,D66,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),CDA,SP (Socialistische Partij),GROENLINKS,Partij voor de Dieren,Forum voor Democratie,BBB,ChristenUnie,JA21,Volt,50PLUS,Splinter,Staatkundig Gereformeerde Partij (SGP),CODE ORANJE,BIJ1,Piratenpartij,"Blanco (Zeven, A.J.L.B.)",Trots op Nederland (TROTS),JONG,DENK,NLBeter,Lijst Henk Krol,OPRECHT,NIDA,LP (Libertaire Partij),JEZUS LEEFT,Modern Nederland,DE FEESTPARTIJ (DFP),Vrij en Sociaal Nederland,U-Buntu Connected Front,Wij zijn Nederland,Partij voor de Republiek,De Groenen,Partij van de Eenheid
NL_1903,Eijsden-Margraten,20707,17162,34,43,4307,2487,1562,2069,2296,924,738,635,730,113,109,350,306,188,42,21,28,15,21,20,26,24,17,22,15,2,2,5,0,0,11,0,0,0,0,0,2
NL_0772,Eindhoven,164596,123651,276,316,24311,23398,6561,11861,7646,8946,9244,5564,5848,188,1736,1959,5782,1535,406,251,499,1015,454,187,190,233,3902,103,209,56,562,98,61,0,165,0,0,0,0,0,89
NL_0230,Elburg,17956,15152,131,16,2690,835,390,1608,2169,508,245,233,688,176,2584,321,83,90,21,2212,29,15,9,9,31,13,9,7,4,5,4,4,15,0,0,0,4,0,0,0,0
NL_0114,Emmen,85911,64761,120,89,11658,6371,5750,11938,7033,6227,1830,1663,4516,971,1865,1288,646,918,150,319,243,118,99,44,198,105,322,57,63,38,42,31,42,7,0,0,0,0,0,0,0
NL_0388,Enkhuizen,14298,11305,24,19,2373,1837,723,1286,880,907,453,505,738,54,237,332,202,124,54,153,71,40,26,23,23,25,143,16,5,4,7,5,4,0,10,0,0,2,0,0,0
NL_0153,Enschede,120141,90423,206,176,15071,12361,5896,12150,10162,6145,4908,2851,6263,529,2845,1607,3547,722,243,363,282,448,306,83,140,139,2437,68,65,32,202,56,44,0,0,0,15,47,0,0,14
NL_0232,Epe,26733,21717,29,31,5365,2424,1332,2299,2508,1063,665,692,992,420,1329,501,263,225,52,913,44,31,33,18,43,19,297,12,15,56,13,11,22,0,0,0,0,0,0,0,0
NL_0233,Ermelo,21269,17718,24,27,3583,1817,613,1489,2672,631,568,575,890,143,2235,462,235,138,35,1285,50,31,18,14,26,16,70,12,16,7,6,6,22,0,0,0,2,0,0,0,0
NL_0777,Etten-Leur,33511,25699,45,34,7581,3443,1319,3280,2426,1806,989,636,1291,170,273,658,341,342,90,32,92,69,35,19,0,38,471,21,28,15,115,9,10,0,20,0,0,0,0,0,9
NL_0779,Geertruidenberg,17247,13240,21,19,3855,1416,673,2087,1231,1149,346,335,813,116,141,335,147,201,69,26,57,25,23,11,0,21,39,21,15,15,5,5,3,0,19,0,0,0,0,0,3
NL_1771,Geldrop-Mierlo,31024,24843,48,39,6067,3876,1259,3122,2503,1948,1175,865,1313,77,319,502,559,322,74,45,88,75,56,31,55,41,216,17,38,20,39,17,3,0,30,0,0,0,0,0,4
NL_1652,Gemert-Bakel,23600,18778,35,26,4810,2280,652,2338,3428,1541,585,504,780,506,103,386,254,222,45,9,51,33,24,7,46,26,27,16,11,3,5,5,3,0,19,0,0,0,0,0,0
NL_0907,Gennep,13674,10449,23,25,2552,1396,644,1291,1341,1021,395,355,475,116,84,215,160,91,40,9,18,26,30,9,22,10,61,3,10,9,4,7,0,0,6,0,0,0,0,0,3
NL_0784,Gilze en Rijen,20316,16102,36,16,4452,2173,870,1899,1655,1273,596,417,839,162,118,389,250,268,49,19,44,34,28,11,0,35,345,16,26,21,24,9,5,0,19,0,0,0,0,0,4
NL_1924,Goeree-Overflakkee,40054,33088,56,36,6954,2179,1501,4025,3311,1376,601,808,1991,204,2567,1050,279,350,68,5279,175,39,50,27,0,42,20,25,22,5,4,12,19,4,0,0,0,9,0,0,0
NL_0664,Goes,30538,23992,43,31,5192,3130,1638,2067,2693,1319,975,895,1258,205,1242,607,302,306,57,1534,84,88,55,26,0,27,130,22,20,6,27,9,3,0,0,0,0,0,0,0,3
NL_0785,Goirle,18782,15151,20,24,4247,2762,777,1546,1410,1232,688,502,675,52,94,312,270,191,41,8,53,30,22,15,0,25,78,21,10,6,10,8,2,0,18,0,0,0,0,0,2
NL_1942,Gooise Meren,42981,36722,63,71,10247,8765,1748,2231,3002,1205,1784,1679,1348,115,591,838,1562,254,100,107,85,114,112,0,33,53,342,51,34,12,122,17,0,0,18,15,3,3,0,0,0
NL_0512,Gorinchem,28184,21864,82,35,4907,3185,1283,2259,1549,1312,929,706,1208,49,1103,535,402,207,61,497,82,94,40,17,0,25,1031,22,52,12,138,10,25,3,0,0,0,4,0,0,0
NL_0513,Gouda,55733,44473,93,90,7546,7238,2621,3960,3136,2294,2796,1988,1913,112,3029,1090,1161,507,143,1940,152,217,105,48,0,51,1746,45,30,38,314,32,26,4,0,0,8,0,0,0,0
NL_0786,Grave,9736,7994,10,12,2158,1161,343,965,948,744,296,264,372,94,75,184,142,74,26,8,20,20,15,3,13,9,8,8,6,5,3,2,0,0,6,0,0,0,0,0,0
NL_0014,Groningen,178904,146229,280,235,19897,33442,12164,8254,8155,11076,15278,8744,5401,588,5762,2200,8042,794,531,668,419,1702,579,0,194,283,719,132,100,65,214,111,56,0,62,44,38,0,0,0,0
NL_1729,Gulpen-Wittem,11812,9702,11,9,2026,1053,790,1412,1697,621,416,367,455,153,90,167,154,120,18,26,13,13,15,12,11,9,10,5,13,3,3,6,0,0,5,0,0,3,0,0,0
NL_0158,Haaksbergen,19407,16094,35,31,3772,1973,698,1724,3535,947,362,327,704,651,179,363,203,131,30,38,48,24,16,6,20,14,226,6,10,3,3,3,3,0,0,0,3,3,0,0,3
NL_0392,Haarlem,116791,94270,332,138,16491,21519,6443,6865,4356,5155,8780,6136,3593,122,1427,1604,4571,823,330,212,288,1051,286,0,248,107,2734,97,77,30,270,57,0,0,61,35,15,17,0,0,0
NL_0394,Haarlemmermeer,114623,91180,190,172,25857,13710,4007,10562,7863,4015,3571,3218,4725,288,2174,2859,1850,1216,298,628,378,667,201,0,216,204,1571,70,99,45,391,46,0,0,51,15,15,8,0,0,0
NL_1655,Halderberge,28173,17877,35,20,5517,2002,734,2881,1716,1374,477,364,961,153,161,457,197,232,38,21,78,29,25,11,0,27,276,12,17,8,23,7,8,0,13,0,2,0,0,0,2
NL_0160,Hardenberg,47554,39349,70,43,7433,2941,1618,4398,7721,1913,773,602,2233,1976,4594,847,386,506,67,743,122,39,36,21,75,57,31,16,28,15,6,8,23,0,0,0,0,2,0,0,6
NL_0243,Harderwijk,36543,29633,50,46,7162,3611,1128,2695,3536,1085,1107,865,1337,220,3032,800,436,184,74,744,88,72,55,40,50,48,1016,21,19,9,73,10,19,0,0,0,9,0,0,0,0
NL_0523,Hardinxveld-Giessendam,13818,11690,13,1,2041,584,459,1045,1237,346,141,184,609,58,2034,262,71,83,16,2335,26,6,17,9,0,16,34,8,7,4,12,3,24,0,0,0,0,5,0,0,0
NL_0072,Harlingen,12546,9956,9,20,1956,1101,941,1285,1202,820,338,449,666,79,347,220,136,130,23,62,33,24,25,0,17,11,11,4,8,10,7,5,8,0,0,4,0,0,4,4,0
NL_0244,Hattem,9488,8111,13,6,1501,1022,616,607,1140,378,284,197,308,55,1398,145,122,42,18,169,8,9,7,11,4,4,28,7,3,0,4,3,2,0,0,0,0,0,0,0,0
NL_0396,Heemskerk,30743,24093,49,38,5802,3571,1412,2799,2237,1608,1181,999,1463,127,347,662,419,337,91,57,122,86,42,0,72,51,364,37,24,4,52,7,0,0,25,4,0,4,0,0,0
NL_0397,Heemstede,20624,18013,19,11,5634,4401,866,913,1422,578,940,840,449,10,241,386,829,132,33,30,36,55,20,0,21,20,57,13,18,5,12,10,0,0,4,8,0,0,0,0,0
NL_0246,Heerde,14931,12241,23,18,2399,1087,669,1338,1914,547,347,303,555,209,1799,225,124,94,20,423,27,10,7,4,23,14,32,4,3,3,3,3,18,0,0,0,0,0,0,0,0
NL_0074,Heerenveen,39975,32096,61,56,6262,4687,3350,3018,3382,2521,1403,1198,2139,636,1066,576,501,255,88,129,123,76,63,0,65,55,223,31,20,27,32,10,21,0,0,7,0,0,13,2,0
NL_0398,Dijk en Waard,43502,33107,80,57,8460,4863,1760,3396,2926,2226,1483,1175,2197,269,662,898,580,450,163,84,230,142,88,43,98,84,451,37,38,17,68,27,22,0,27,0,4,2,0,0,0
