gisco_id,name,registered,turnout,invalid,blank,VVD,Democraten 66 (D66),SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),CDA,PVV (Partij voor de Vrijheid),GROENLINKS,50PLUS,Partij voor de Dieren,ChristenUnie,Forum voor Democratie,OndernemersPartij,VNL (VoorNederland),Staatkundig Gereformeerde Partij (SGP),Piratenpartij,NIEUWE WEGEN,Lokaal in de Kamer,De Burger Beweging,GeenPeil,DENK,Vrijzinnige Partij,Libertarische Partij (LP),JEZUS LEEFT,Niet Stemmers,Artikel 1,StemNL,MenS en Spirit / Basisinkomen Partij / V-R,Vrije Democratische Partij (VDP)
NL_0384,Diemen,19963,15736,80,31,3112,2267,1148,1295,932,1826,2313,591,678,269,297,11,71,16,107,21,16,6,15,352,5,0,0,15,262,0,0,0
NL_1774,Dinkelland,20388,17739,31,11,4452,1466,1093,554,6560,1975,594,374,186,92,205,11,37,28,26,8,13,8,6,7,6,0,0,6,0,0,0,0
NL_0221,Doesburg,9048,7435,19,7,1354,877,1078,486,824,1054,629,237,248,152,103,3,17,21,14,6,8,5,4,271,4,2,2,2,2,0,6,0
NL_0222,Doetinchem,44645,35753,57,36,7576,4517,4459,2291,4976,4485,2881,1018,869,815,464,67,101,356,107,66,22,6,8,508,9,2,15,19,8,2,13,0
NL_0766,Dongen,19995,16151,44,39,4114,1845,1935,791,2165,2135,1101,548,355,212,237,23,64,54,32,12,82,2,9,326,4,2,7,6,4,3,0,0
NL_0058,Dongeradeel,18521,15176,14,20,1909,1019,1589,827,4556,1702,901,396,382,1190,289,16,51,213,38,23,14,9,5,3,10,0,0,0,0,0,0,0
NL_0505,Dordrecht,89102,69973,310,128,12694,7101,6478,3925,6402,10893,6342,2221,2715,3237,1172,63,271,2121,268,97,50,26,22,3123,19,15,74,45,143,18,0,0
NL_0498,Drechterland,14795,12652,16,10,3929,1497,878,650,1833,1510,812,447,352,139,321,27,90,27,40,22,8,8,4,3,3,0,0,8,14,0,0,4
NL_1719,Drimmelen,21313,17430,27,17,4836,1770,1966,720,2327,2897,1040,689,448,145,296,22,67,47,32,30,13,4,6,15,4,3,3,3,4,3,0,0
NL_0303,Dronten,30200,25465,46,37,6477,2243,1851,1044,4515,2957,1617,793,569,1754,523,53,114,383,81,49,10,12,6,282,11,7,16,10,5,0,0,0
NL_0225,Druten,14451,11949,13,13,3024,1442,1565,582,1525,1674,777,445,249,69,200,16,45,20,26,16,12,5,3,208,0,2,5,5,7,2,0,0
NL_0226,Duiven,19823,16653,40,18,4219,2053,1770,859,2345,2132,1298,643,431,253,303,25,53,36,39,24,13,5,5,57,7,2,2,7,7,2,7,0
NL_1711,Echt-Susteren,25685,20469,37,32,3262,1761,2580,659,3994,4623,1064,1034,601,107,361,34,145,22,48,18,0,5,10,47,2,2,0,10,11,0,0,0
NL_0385,Edam-Volendam,27757,24082,55,20,5517,1657,866,895,5251,5212,1219,678,622,157,1470,30,165,45,46,40,19,9,7,73,2,0,0,15,8,0,0,4
NL_0228,Ede,85244,72633,186,91,13614,6581,3571,2730,10686,7450,4585,1573,1610,7348,1100,74,226,9171,177,65,20,24,26,1532,11,6,63,33,30,8,42,0
NL_0317,Eemnes,6905,6083,13,5,1906,800,344,342,804,640,374,185,207,170,150,10,23,56,18,9,0,5,3,8,0,3,4,4,3,0,3,0
NL_1651,Eemsmond,12320,10257,13,18,1259,738,1667,960,1731,1124,763,272,316,1018,122,13,32,140,26,9,10,4,5,4,0,4,0,10,5,0,0,0
NL_0770,Eersel,14742,12205,23,27,3343,1344,1437,454,2454,1310,661,430,266,88,171,23,52,23,31,13,24,9,6,5,2,4,0,3,2,0,0,0
NL_1903,Eijsden-Margraten,20250,16880,22,18,3414,2020,1615,820,3491,2393,1176,756,482,104,410,28,44,17,21,20,0,2,8,2,3,2,0,9,3,0,0,0
NL_0772,Eindhoven,164406,128729,475,277,24122,20279,14599,6620,10882,15850,15240,4506,5050,1986,2139,123,441,250,811,144,86,78,75,4343,44,29,0,98,172,10,0,0
