gisco_id,name,registered,turnout,invalid,blank,PVV (Partij voor de Vrijheid),GROENLINKS / Partij van de Arbeid (PvdA),VVD,Nieuw Sociaal Contract,BBB,D66,SP (Socialistische Partij),Partij voor de Dieren,CDA,Forum voor Democratie,ChristenUnie,Volt,JA21,BVNL / Groep Van Haga,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,BIJ1,Piratenpartij - De Groenen,Samen voor Nederland,Splinter,LEF - Voor de Nieuwe Generatie,LP (Libertaire Partij),PartijvdSport,Nederland met een PLAN,Politieke Partij voor Basisinkomen
NL_0163,Hellendoorn,28757,24693,42,31,5221,1849,2791,7023,2795,907,567,248,1269,416,601,190,143,154,83,191,87,31,5,6,18,5,4,7,9,0
NL_0794,Helmond,68562,49207,133,107,16663,5304,8098,6285,1148,2463,2285,658,1124,1235,181,615,324,204,362,26,1672,100,34,25,68,22,16,26,23,6
NL_0531,Hendrik-Ido-Ambacht,23920,19729,29,40,5219,1538,3405,2339,372,811,391,221,808,457,798,151,161,96,108,2366,321,35,7,8,24,6,2,5,11,0
NL_0164,Hengelo,65009,50254,105,97,10842,6972,5427,13625,1847,2514,1881,907,1098,1395,651,834,287,219,169,131,933,113,40,31,56,24,19,16,21,0
NL_1966,Het Hogeland,38347,31548,51,73,6438,5448,2658,5148,2878,1236,1465,740,1517,648,1852,260,143,175,114,489,72,33,25,25,27,18,6,0,9,0
NL_0252,Heumen,13343,11382,12,19,2270,2287,2027,1489,455,986,426,254,469,139,68,241,57,34,46,6,46,14,6,3,11,3,3,7,4,0
NL_0797,Heusden,35295,28278,48,49,8235,2736,5507,3760,1251,1778,1170,381,1129,539,178,290,251,142,205,48,435,36,25,4,30,6,12,12,11,10
NL_0534,Hillegom,17044,13928,27,18,3760,1700,2824,1736,462,853,388,329,456,366,125,204,152,114,110,67,123,39,14,7,23,7,8,7,5,4
NL_0798,Hilvarenbeek,12780,10949,14,22,2340,1403,2259,1618,926,769,356,166,512,142,35,132,79,43,57,8,21,7,2,5,16,2,2,12,2,2
NL_0402,Hilversum,65706,51444,120,77,9006,11038,8896,5208,1025,5130,1530,1798,1226,1166,796,1441,311,259,261,231,1350,251,75,21,92,28,33,31,44,0
NL_1963,Hoeksche Waard,71274,58532,104,72,16091,5259,9647,7459,2465,2437,1486,945,2422,1355,1720,486,672,300,255,4886,193,70,46,23,66,13,15,30,15,0
NL_1735,Hof van Twente,28422,24423,37,31,5160,2175,3480,6279,3355,924,468,216,845,431,175,247,123,140,73,109,87,13,13,7,8,7,2,8,10,0
NL_1911,Hollands Kroon,37873,30642,60,54,8614,2752,5348,3708,3724,1290,942,386,1102,892,301,281,281,291,246,136,61,46,29,19,26,11,11,15,16,0
NL_0118,Hoogeveen,43877,34585,70,47,10997,2919,3284,5671,2829,943,1137,377,1831,1143,1386,199,270,258,145,714,193,40,28,48,33,11,12,0,0,0
NL_0405,Hoorn,56761,42629,107,116,10002,7081,7268,5173,1383,3010,1562,1101,1068,1299,358,691,359,283,313,96,866,172,72,35,88,27,24,41,34,0
NL_1507,Horst aan de Maas,33575,27458,41,71,7932,2886,4412,4275,2134,1494,993,382,1331,433,68,266,174,214,134,23,82,36,12,6,27,6,9,10,7,0
NL_0321,Houten,38211,32435,47,48,5834,6157,6197,3825,863,2843,747,674,1109,491,1212,725,221,131,127,665,314,90,16,11,43,6,14,9,11,5
NL_0406,Huizen,32223,25843,58,35,5529,3157,5435,3307,674,1802,644,532,1077,654,892,395,196,156,162,447,531,47,11,12,35,13,9,16,17,0
NL_0677,Hulst,19631,14984,29,14,4333,1502,2506,2129,1321,628,548,195,790,398,78,73,119,99,87,25,49,17,12,10,11,5,6,0,0,0
NL_0353,IJsselstein,25923,20651,38,50,4979,2771,4404,2578,563,1431,572,352,707,421,322,263,189,94,122,141,526,52,8,8,21,9,5,8,14,3
NL_1884,Kaag en Braassem,22391,18805,27,37,4941,1820,4100,2257,1294,1202,399,319,880,421,135,248,179,138,126,62,105,29,11,13,24,3,8,18,4,5
NL_0166,Kampen,41885,35526,54,60,8649,3094,3166,5214,2228,1002,784,410,2017,828,3102,256,215,151,83,3678,370,49,17,15,29,9,13,20,13,0
NL_0678,Kapelle,9927,8462,16,19,1739,729,1355,1032,522,320,182,111,484,161,422,50,82,25,44,1128,15,10,7,3,2,2,3,0,0,0
NL_0537,Katwijk,50162,41823,62,54,13219,2644,5809,5001,1442,1264,652,612,2676,1013,2207,320,345,201,171,3604,328,67,27,17,36,8,6,10,23,5
NL_0928,Kerkrade,34322,23182,85,65,10192,2823,2244,3103,577,575,939,349,502,766,50,126,100,131,169,20,201,44,36,23,19,10,11,12,10,0
NL_1598,Koggenland,18423,15296,31,25,3670,1472,3331,1884,1481,828,411,264,725,364,72,169,157,121,123,29,37,22,20,9,21,3,5,14,8,0
NL_0542,Krimpen aan den IJssel,22796,18248,29,35,4825,1801,2427,2099,371,757,425,282,638,476,796,123,192,68,88,2479,230,39,11,4,22,2,11,5,6,7
NL_1931,Krimpenerwaard,44793,37368,51,64,9042,3578,6221,4328,1961,1599,817,578,1684,764,1511,333,358,204,186,3553,331,59,21,20,48,13,7,12,19,6
NL_1659,Laarbeek,18245,14757,35,36,4467,1296,2747,2056,1080,779,646,192,565,244,31,201,90,68,109,11,41,9,7,6,17,10,5,5,7,5
NL_1982,Land van Cuijk,72874,59820,91,130,15381,6578,10369,8806,4730,3260,2959,896,2705,990,173,652,444,324,349,72,604,78,45,30,61,19,22,24,22,6
NL_0882,Landgraaf,29799,21913,41,66,9203,2675,2244,3225,609,633,949,362,496,617,58,133,95,128,123,23,119,30,15,6,28,10,7,10,8,0
NL_0415,Landsmeer,8813,7404,25,6,1869,1414,1375,676,262,506,226,224,118,200,47,142,46,39,33,12,116,25,8,8,7,7,2,5,6,0
NL_1621,Lansingerland,47295,39179,67,51,9494,4266,8806,4657,1066,2762,673,646,1954,742,1255,552,432,196,193,403,685,95,24,21,61,12,21,21,22,2
NL_0417,Laren,8867,7348,13,9,1067,717,3040,687,134,651,109,173,225,164,42,152,31,48,17,4,20,13,3,3,11,3,3,3,8,0
NL_0080,Leeuwarden,99600,77265,132,204,16623,17171,8662,10715,3290,4809,3066,2183,2591,2055,1599,1117,543,494,349,290,613,311,104,38,125,66,50,0,44,21
NL_0546,Leiden,95572,76793,222,154,11387,23851,8939,6042,976,7845,2303,3385,1558,1252,1087,3536,408,234,212,190,2157,649,80,28,105,41,47,42,46,17
NL_0547,Leiderdorp,21091,17331,33,32,3518,3329,3191,1980,397,1571,475,381,600,304,254,390,130,83,75,114,367,30,14,3,27,5,8,8,10,2
NL_1916,Leidschendam-Voorburg,56246,44078,117,60,8907,7205,9486,4737,1025,4505,1082,1084,1573,893,555,923,292,188,202,123,793,146,19,27,46,24,20,24,19,3
NL_0995,Lelystad,59732,40995,127,89,12145,5179,6182,4706,1419,1822,1545,851,818,1605,883,414,331,268,269,270,1610,202,67,31,58,30,15,0,38,21
NL_1640,Leudal,28718,22801,37,53,7241,2225,3434,3321,2217,1107,700,302,924,362,52,184,190,151,138,36,37,20,12,11,20,4,5,11,7,0
NL_0327,Leusden,24573,21145,25,29,3454,3549,4006,2826,904,1767,543,503,973,345,832,436,156,95,98,324,139,34,26,16,22,10,12,10,3,8
NL_1705,Lingewaard,37516,31163,37,52,8227,4244,6005,4715,1290,2210,1016,451,1103,489,130,386,195,111,183,39,128,37,22,18,36,10,11,0,18,0
NL_0553,Lisse,18015,15239,16,23,3686,1492,3175,2087,523,948,393,274,671,316,264,223,144,105,126,616,67,25,6,13,18,6,2,7,7,6
NL_0262,Lochem,27873,23994,30,32,3421,3967,4070,3464,3519,1730,602,561,821,407,224,439,142,132,74,46,219,22,13,9,23,11,11,0,5,0
NL_0809,Loon op Zand,18715,14895,24,39,4714,1462,2996,1964,696,744,598,184,549,249,68,134,88,58,113,56,82,11,8,10,22,7,3,9,4,3
NL_0331,Lopik,11411,9565,16,15,2764,522,1446,1129,871,289,156,104,531,217,384,72,93,63,39,738,80,9,5,2,10,0,0,5,4,2
NL_0168,Losser,18638,15348,35,20,4189,1060,1701,5048,1305,430,280,129,456,287,50,92,79,70,35,12,35,9,5,3,7,4,2,2,3,0
NL_0263,Maasdriel,19313,16140,15,21,5887,1202,3044,1947,806,633,479,222,559,291,127,158,135,113,91,299,53,8,11,6,15,3,4,6,5,0
NL_1641,Maasgouw,20005,15194,30,38,5303,1583,2379,2388,637,714,492,246,504,341,52,112,101,102,81,14,28,9,14,2,8,2,3,6,6,0
NL_1991,Maashorst,45923,36804,68,49,10028,3602,7039,4845,2091,2687,1974,458,1447,687,96,402,259,178,220,23,420,37,27,17,50,7,11,62,13,7
NL_0556,Maassluis,26636,20136,48,47,5530,2106,3399,2544,475,984,576,317,902,461,469,201,177,108,119,161,1352,53,14,17,38,7,5,18,8,0
NL_0935,Maastricht,86888,63454,124,145,16679,13911,8548,7290,1015,4576,2249,1642,1567,1429,279,1500,352,190,396,47,915,300,49,25,70,60,24,33,39,0
NL_0420,Medemblik,34995,28248,40,66,7457,2737,5357,3680,2103,1460,808,498,1312,764,377,296,298,173,205,284,176,30,35,15,34,9,12,11,11,0
NL_0938,Meerssen,15045,12122,13,27,3582,1840,1926,1947,406,709,375,178,444,225,51,98,77,55,61,11,33,8,5,6,18,7,5,8,11,0
NL_1948,Meierijstad,64323,51909,95,89,14874,5118,9477,7059,3209,3139,2387,613,2247,801,130,652,366,269,301,38,817,42,28,18,61,18,7,26,16,12
NL_0119,Meppel,27588,22638,49,32,5042,3259,3125,3629,1464,1200,782,483,889,547,822,351,160,142,102,157,260,43,15,27,31,17,10,0,0,0
NL_0687,Middelburg,37685,29625,65,50,5248,5402,3933,3476,939,1704,954,841,1236,747,1159,344,201,154,147,2421,418,79,24,13,24,17,29,0,0,0
NL_1842,Midden-Delfland,14888,12975,19,15,2771,1469,2925,1604,715,984,237,201,830,217,323,185,119,71,51,64,98,15,7,8,16,7,5,16,3,0
NL_1731,Midden-Drenthe,27653,23462,43,35,5574,3014,2769,3707,3496,808,594,429,982,474,546,204,112,197,93,233,46,25,19,26,20,4,12,0,0,0
NL_1952,Midden-Groningen,48846,36543,65,76,10115,5052,3838,6056,2760,1412,1839,563,730,885,1194,250,173,202,249,309,537,54,57,39,35,13,16,0,24,0
NL_1709,Moerdijk,29852,22913,28,29,7475,1901,4017,3066,1328,1005,851,312,918,536,367,177,196,135,168,101,164,32,12,8,46,4,5,15,11,6
NL_1978,Molenlanden,34261,30087,34,29,6570,1907,3975,3181,1783,748,468,316,2034,626,2504,172,233,110,93,5094,125,22,18,9,13,4,3,8,8,0
NL_1955,Montferland,29811,24390,53,48,7814,2117,3638,3836,2494,987,666,307,975,462,102,215,152,117,118,27,171,23,15,15,18,8,2,0,10,0
NL_0335,Montfoort,10699,9337,22,8,2145,877,1893,1167,590,481,198,96,455,148,300,138,66,49,37,532,96,9,4,5,7,2,5,4,3,0
NL_0944,Mook en Middelaar,6605,5729,8,11,1161,1264,1055,720,174,502,210,157,174,67,17,100,21,17,24,4,21,7,4,0,5,0,0,4,2,0
NL_NLYY98,NBSB,107669,69396,286,63,4380,19730,12011,8370,2187,7243,1284,2765,1283,2265,1090,3589,560,428,274,498,194,434,110,33,138,94,50,0,13,24
NL_1740,Neder-Betuwe,18137,15549,33,11,3980,775,1431,1356,709,250,224,110,417,338,478,66,73,62,48,5099,56,15,4,4,5,2,0,2,2,0
NL_0946,Nederweert,13892,11056,16,26,3454,1061,1687,1625,1142,505,293,120,496,228,16,85,80,90,42,11,24,17,4,6,12,4,3,8,3,0
NL_0356,Nieuwegein,49904,37856,91,77,10315,5852,5950,4647,870,2227,1429,808,984,922,585,607,245,162,252,198,1241,176,50,21,55,16,15,21,30,10
NL_0569,Nieuwkoop,22875,18920,31,26,4885,1580,3970,2433,1513,997,383,288,1018,370,271,188,218,105,120,308,103,27,10,13,20,10,11,7,15,0
NL_0267,Nijkerk,34253,28913,39,33,6979,2407,4576,3744,1812,1178,475,350,1648,577,1998,329,233,122,111,1797,399,30,20,11,18,8,7,0,12,0
NL_0268,Nijmegen,144277,112854,221,271,16561,38593,10982,10414,1336,11700,4464,4722,2109,1762,825,4046,552,356,273,124,2088,870,142,37,132,83,54,69,68,0
NL_1930,Nissewaard,66710,47108,118,96,17747,4451,6768,5920,1606,1587,1852,772,1160,1440,626,325,445,265,338,299,833,214,27,44,70,21,19,31,34,0
NL_1970,Noardeast-Fryslân,36164,29213,42,49,7817,2471,2311,6094,2961,718,856,436,2209,810,1126,147,196,286,92,433,45,22,21,17,23,9,11,0,5,6
NL_1695,Noord-Beveland,6387,5213,9,12,1359,540,847,683,422,216,157,122,243,131,89,32,43,48,20,191,21,6,3,6,7,3,5,0,0,0
NL_1699,Noordenveld,25687,21720,32,25,4396,4153,2981,3410,1714,1340,680,506,698,416,577,280,117,100,94,107,21,21,12,11,15,8,6,0,0,0
NL_0171,Noordoostpolder,35277,28683,46,44,6892,2208,3736,4329,3385,873,701,367,1559,811,1324,204,199,161,124,1300,265,46,25,29,23,8,12,0,10,2
NL_0575,Noordwijk,34211,28338,39,40,7316,3119,6815,3556,1085,1819,689,546,1034,635,215,415,273,165,141,91,192,31,18,17,28,17,10,19,7,6
NL_0820,"Nuenen, Gerwen en Nederwetten",18819,16050,23,31,3202,2596,3500,2309,464,1412,553,259,609,263,99,342,84,74,75,13,71,26,6,4,17,4,3,5,6,0
NL_0302,Nunspeet,22385,19107,22,30,4000,999,2017,2164,1103,459,254,159,846,361,1695,115,131,66,38,4519,66,23,9,3,14,4,3,0,7,0
NL_0579,Oegstgeest,18111,15714,20,23,1960,3522,3594,1573,227,2039,278,389,597,226,279,474,89,80,50,68,130,46,4,7,20,2,7,8,2,2
NL_0823,Oirschot,15415,12845,24,17,3493,1195,2495,1723,1201,757,403,194,642,198,43,155,106,70,53,11,24,4,7,5,12,4,4,7,4,0
NL_0824,Oisterwijk,25867,21293,35,38,4845,2609,5084,2828,1039,1588,694,348,891,311,72,300,137,104,144,18,107,23,12,9,20,10,5,8,5,9
NL_1895,Oldambt,31919,23715,39,45,7732,2996,2351,3865,1737,716,1313,419,511,743,441,103,119,126,111,131,101,23,17,25,19,6,8,0,18,0
NL_0269,Oldebroek,18470,15708,24,15,3971,785,1230,2267,1300,334,199,95,913,373,1841,76,70,43,44,2058,38,2,8,9,3,0,4,0,6,0
NL_0173,Oldenzaal,25257,21084,40,54,4840,1978,2822,6746,863,954,518,228,561,504,79,249,109,78,57,22,288,13,13,5,14,10,15,10,14,0
NL_1773,Olst-Wijhe,14967,12710,13,31,2515,1886,1553,2113,2049,624,286,276,490,198,144,173,82,50,40,58,45,24,9,3,13,3,8,16,8,0
NL_0175,Ommen,14645,12758,21,15,2343,1019,1449,2458,2016,482,262,177,860,258,802,104,90,55,28,254,21,9,7,9,14,2,2,2,0,0
NL_1586,Oost Gelre,24108,20388,16,26,4282,1695,2910,4459,3201,959,535,207,968,358,62,215,124,104,89,18,76,16,13,18,19,11,6,0,6,0
NL_0826,Oosterhout,44669,33791,51,53,9633,4090,6738,4213,1164,2272,1143,498,982,627,167,451,206,156,189,41,913,53,22,10,45,13,9,30,13,9
NL_0085,Ooststellingwerf,21081,17018,29,38,4572,2110,1763,2584,2200,564,598,387,700,483,344,109,93,151,65,123,24,21,6,15,9,12,9,0,4,5
NL_0431,Oostzaan,7593,6274,15,4,1949,914,1184,591,240,323,189,161,113,187,56,71,55,65,35,21,59,15,3,4,9,2,3,5,2,0
NL_0432,Opmeer,9501,7781,14,14,1986,716,1441,1044,850,369,195,131,361,218,23,109,92,77,60,13,18,16,7,8,5,3,3,7,3,0
NL_0086,Opsterland,24001,19828,21,42,4558,2791,2084,3060,2135,872,740,313,949,505,804,158,89,217,75,309,18,15,15,8,19,12,8,0,4,7
NL_0828,Oss,71774,55963,97,97,17606,6125,8640,6567,2308,2865,4551,738,1749,1112,161,596,381,244,310,49,1472,75,25,17,73,29,16,24,27,9
NL_1509,Oude IJsselstreek,32004,25681,48,29,6243,2696,3509,4542,3293,1059,905,323,1058,486,198,218,173,120,124,50,479,39,13,33,18,7,7,0,11,0
NL_0437,Ouder-Amstel,10292,8352,20,8,1157,1894,1677,876,281,880,193,257,226,145,72,251,59,43,27,58,124,74,5,4,4,4,4,4,5,0
