gisco_id,name,registered,turnout,invalid,blank,PvdA,VVD,CDA,SP,GL,D66,LPF,CU,PvdD,LN,Partij van de Toekomst,Lijst Ratelband,SGP,De Conservatieven.nl,Nieuwe Communistische Partij,Duurzaam Nederland,Alliantie Vernieuwing en Democratie,VIP Vooruitstrevende Integratie Partij,Lijst Veldhoen
NL_1681,Borger-Odoorn,20395,16908,0,13,7121,2860,3645,868,600,565,684,346,70,64,21,7,34,0,9,7,0,0,0
NL_0147,Borne,15313,13217,0,11,3598,2096,5384,656,473,460,378,89,0,38,13,8,5,4,4,0,0,0,0
NL_0654,Borsele,16480,13878,0,16,2441,1853,5376,619,420,302,628,290,79,47,17,10,1772,0,5,3,0,0,0
NL_0499,Boskoop,11176,9629,0,6,1552,2110,3582,380,386,345,604,266,38,38,7,7,301,2,2,3,0,0,0
NL_0756,Boxmeer,21757,18512,0,27,3877,2639,7858,1902,666,500,817,53,59,66,17,5,4,7,6,5,4,0,0
NL_0757,Boxtel,22379,17476,0,13,4549,2674,5965,1737,828,697,748,56,68,59,41,16,10,6,2,3,2,2,0
NL_0758,Breda,124996,94626,0,91,24824,20316,24714,7503,5568,4904,4945,460,441,374,167,84,81,30,22,65,16,21,0
NL_0311,Breukelen,10726,9407,0,5,1599,2155,3175,364,442,460,411,267,44,29,8,7,436,3,3,0,3,0,0
NL_0501,Brielle,12346,10216,0,21,2507,2863,2271,512,360,433,965,79,86,49,13,14,23,10,6,0,2,2,2
NL_0213,Brummen,16325,13656,0,11,4993,2665,3452,687,564,483,539,81,51,43,17,11,30,0,18,8,3,0,0
NL_0899,Brunssum,23351,16980,0,14,5733,1913,5071,1751,632,392,997,166,137,90,27,25,12,5,15,0,0,0,0
NL_0312,Bunnik,10567,9622,0,13,2045,1973,3216,493,710,554,367,85,36,26,4,3,93,2,2,2,0,0,0
NL_0313,Bunschoten,13790,12313,0,7,716,896,6455,166,152,131,394,3100,22,17,9,5,233,3,3,3,4,3,0
NL_0214,Buren,19467,16554,0,11,4536,3916,4343,628,475,591,1016,219,74,55,22,9,651,0,7,7,0,0,0
NL_0381,Bussum,23664,19837,0,23,4387,5533,4801,1036,1138,1449,936,223,115,76,29,16,60,4,7,4,0,0,0
NL_0502,Capelle aan den IJssel,49483,38917,0,60,10240,7716,8565,1866,1405,1497,4045,1013,303,179,40,55,1862,25,16,11,6,13,0
NL_0383,Castricum,26898,23733,0,14,5524,5546,6857,1287,1546,1474,1076,113,125,96,25,28,17,0,3,3,3,0,0
NL_0109,Coevorden,27388,22918,0,20,8670,4264,6187,988,740,663,861,272,80,68,25,11,55,5,9,0,0,0,0
NL_1706,Cranendonck,15326,12282,0,16,2415,2144,5370,689,296,357,763,49,47,80,39,3,5,2,4,0,2,2,0
NL_0611,Cromstrijen,10069,8585,0,5,2169,1956,2342,327,238,253,615,131,48,33,4,6,448,7,2,0,0,2,0
