gisco_id,name,registered,turnout,invalid,blank,KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19,KOMITET WYBORCZY AKCJA ZAWIEDZIONYCH EMERYTÓW RENCISTÓW - ZPOW-601-21/19,KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19,KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19,KOMITET WYBORCZY PRAWICA - ZPOW-601-20/19,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19,KOMITET WYBORCZY SKUTECZNI PIOTRA LIROYA-MARCA - ZPOW-601-17/19,KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19,KOMITET WYBORCZY WYBORCÓW KOALICJA BEZPARTYJNI I SAMORZĄDOWCY - ZPOW-601-10/19,KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA - ZPOW-601-15/19
PL_1003021041803,Miękinia,12564,8028,76,0,2577,0,667,494,0,2840,0,1079,295,0
PL_1003021041804,Środa Śląska,15434,8877,117,0,2373,0,575,671,0,3793,0,1059,289,0
PL_1003021041805,Udanin,4200,2270,33,0,351,0,117,172,0,1353,0,192,52,0
PL_1003021031901,Świdnica,44345,27915,258,0,10137,0,1691,1221,0,9587,0,4512,509,0
PL_1003021031902,Świebodzice,17557,10152,114,0,3295,0,604,492,0,3945,0,1487,215,0
PL_1003021031903,Dobromierz,4170,2144,52,0,501,0,120,127,0,1121,0,183,40,0
PL_1003021031904,Jaworzyna Śląska,8164,4303,72,0,1014,0,269,212,0,2181,0,472,83,0
PL_1003021031905,Marcinowice,5141,2990,50,0,664,0,211,229,0,1484,0,295,57,0
PL_1003021031906,Strzegom,20493,11477,175,0,2993,0,710,630,0,5332,0,1339,298,0
PL_1003021031907,Świdnica,13474,7893,105,0,2244,0,541,547,0,3316,0,986,154,0
PL_1003021031908,Żarów,9918,5484,70,0,1334,0,355,272,0,2435,0,924,94,0
PL_1003021042001,Oborniki Śląskie,15924,10423,114,0,3212,0,754,553,0,4044,0,1380,366,0
PL_1003021042002,Prusice,7484,4046,69,0,846,0,236,295,0,2138,0,327,135,0
PL_1003021042003,Trzebnica,18642,11542,148,0,3017,0,756,723,0,4788,0,1344,766,0
PL_1003021042004,Wisznia Mała,8166,5459,46,0,1621,0,356,381,0,2223,0,634,198,0
PL_1003021042005,Zawonia,4673,2493,42,0,566,0,202,207,0,1149,0,226,101,0
PL_1003021042006,Żmigród,11556,6106,92,0,1381,0,416,547,0,2635,0,711,324,0
PL_1003021032101,Boguszów-Gorce,11849,5812,80,0,2091,0,297,317,0,2062,0,801,164,0
PL_1003021032102,Jedlina-Zdrój,3748,2142,27,0,843,0,101,143,0,688,0,297,43,0
PL_1003021032103,Szczawno-Zdrój,4836,3244,17,0,1414,0,136,142,0,972,0,499,64,0
PL_1003021032104,Czarny Bór,3819,2243,46,0,591,0,141,158,0,1005,0,256,46,0
PL_1003021032105,Głuszyca,6951,3550,54,0,1368,0,172,259,0,1233,0,385,79,0
PL_1003021032106,Mieroszów,5324,2745,51,0,1013,0,161,116,0,1005,0,339,60,0
PL_1003021032107,Stare Bogaczowice,3382,1950,33,0,616,0,89,139,0,808,0,219,46,0
PL_1003021032108,Walim,4475,2372,37,0,733,0,123,268,0,927,0,245,39,0
PL_1003021042201,Brzeg Dolny,12708,7425,109,0,2132,0,507,393,0,2784,0,1265,235,0
PL_1003021042202,Wińsko,6752,3465,63,0,509,0,181,203,0,2186,0,235,88,0
PL_1003021042203,Wołów,18796,10317,147,0,2590,0,655,823,0,4572,0,1189,341,0
PL_1003021042301,Czernica,12096,8889,59,0,3300,0,661,558,0,2917,0,1101,293,0
PL_1003021042302,Długołęka,25356,18116,158,0,5953,0,1356,1201,0,6431,0,2370,647,0
PL_1003021042303,Jordanów Śląski,2530,1519,13,0,306,0,100,132,0,782,0,135,51,0
PL_1003021042304,Kąty Wrocławskie,18404,12324,104,0,3568,0,845,1336,0,4407,0,1468,596,0
PL_1003021042305,Kobierzyce,15369,10676,92,0,4052,0,753,644,0,3205,0,1515,415,0
PL_1003021042306,Mietków,3112,1847,20,0,363,0,122,208,0,849,0,203,82,0
PL_1003021042307,Sobótka,10212,5981,84,0,1615,0,417,415,0,2503,0,708,239,0
PL_1003021042308,Siechnice,16829,12076,92,0,4080,0,925,752,0,3864,0,1653,710,0
PL_1003021042309,Żórawina,8552,5538,55,0,1727,0,424,419,0,2000,0,680,233,0
PL_1003021032401,Bardo,4251,2215,42,0,571,0,89,257,0,958,0,240,58,0
PL_1003021032402,Ciepłowody,2482,1155,24,0,228,0,64,154,0,596,0,68,21,0
PL_1003021032403,Kamieniec Ząbkowicki,6549,3411,73,0,744,0,153,429,0,1584,0,350,78,0
PL_1003021032404,Stoszowice,4359,2261,59,0,308,0,75,632,0,995,0,160,32,0
PL_1003021032405,Ząbkowice Śląskie,17343,9727,118,0,2972,0,385,973,0,4263,0,877,139,0
PL_1003021032406,Ziębice,13603,6839,104,0,1443,0,356,791,0,3393,0,619,133,0
PL_1003021032407,Złoty Stok,3595,1856,32,0,431,0,87,205,0,836,0,222,43,0
PL_1003021012501,Zawidów,3265,1786,36,0,333,0,86,416,0,657,0,227,31,0
PL_1003021012502,Zgorzelec,24942,14763,143,0,4394,0,686,1066,0,5430,0,2631,413,0
PL_1003021012503,Bogatynia,18191,9706,179,0,1652,0,653,1339,0,4082,0,1519,282,0
PL_1003021012504,Pieńsk,6961,3375,64,0,694,0,275,291,0,1416,0,555,80,0
PL_1003021012505,Sulików,4724,2521,72,0,430,0,138,297,0,1298,0,228,58,0
PL_1003021012506,Węgliniec,6602,3310,66,0,745,0,220,289,0,1458,0,446,86,0
PL_1003021012507,Zgorzelec,6710,3613,60,0,827,0,210,305,0,1580,0,498,133,0
PL_1003021012601,Wojcieszów,2905,1438,34,0,375,0,58,76,0,577,0,301,17,0
PL_1003021012602,Złotoryja,12255,7200,82,0,1850,0,305,412,0,2777,0,1683,91,0
PL_1003021012603,Pielgrzymka,3594,1805,52,0,319,0,93,233,0,868,0,214,26,0
PL_1003021012604,Świerzawa,6022,3052,69,0,773,0,154,276,0,1258,0,476,46,0
PL_1003021012605,Zagrodno,4223,2193,36,0,294,0,97,219,0,1303,0,210,34,0
PL_1003021012606,Złotoryja,5455,2966,55,0,574,0,126,295,0,1446,0,400,70,0
PL_1003021016101,Jelenia Góra,61948,38969,336,0,13449,0,2019,2083,0,12020,0,8474,588,0
PL_1003021026201,Legnica,74607,44699,361,0,12557,0,2817,2206,0,17610,0,7719,1429,0
PL_1003021056401,Wrocław,508265,361804,2109,0,133336,0,28799,18235,0,104023,0,65927,9375,0
PL_1003021036501,Wałbrzych,84261,47302,635,0,19671,0,1979,1675,0,15816,0,6109,1417,0
PL_1004041080101,Aleksandrów Kujawski,9708,5343,50,0,1284,0,358,487,0,2021,0,1037,106,0
PL_1004041080102,Ciechocinek,10849,7793,59,0,2249,0,389,466,0,3029,0,1428,173,0
PL_1004041080103,Nieszawa,1535,866,21,0,173,0,62,120,0,366,0,113,11,0
PL_1004041080104,Aleksandrów Kujawski,9103,4657,81,0,817,0,343,575,0,2194,0,567,80,0
PL_1004041080105,Bądkowo,3461,1800,35,0,186,0,104,271,0,950,0,229,25,0
PL_1004041080106,Koneck,2646,1234,37,0,107,0,77,183,0,728,0,95,7,0
PL_1004041080107,Raciążek,2573,1419,23,0,252,0,106,125,0,695,0,177,41,0
PL_1004041080108,Waganiec,3614,1883,30,0,208,0,108,185,0,1131,0,185,36,0
PL_1004041080109,Zakrzewo,2822,1385,43,0,157,0,71,247,0,693,0,156,18,0
PL_1004041070201,Brodnica,21311,12623,102,0,2566,0,594,3466,0,4366,0,1440,89,0
PL_1004041070202,Bobrowo,5038,2596,37,0,259,0,122,702,0,1296,0,160,20,0
PL_1004041070203,Brodnica,6373,3351,40,0,497,0,163,1047,0,1287,0,286,31,0
PL_1004041070204,Brzozie,2924,1602,32,0,96,0,53,378,0,940,0,94,9,0
PL_1004041070205,Górzno,3139,1665,38,0,109,0,49,534,0,819,0,97,19,0
PL_1004041070206,Bartniczka,3620,1885,39,0,128,0,71,539,0,1004,0,92,12,0
PL_1004041070207,Jabłonowo Pomorskie,7055,3407,62,0,414,0,258,794,0,1617,0,234,28,0
PL_1004041070208,Osiek,3123,1518,23,0,94,0,55,451,0,763,0,119,13,0
PL_1004041070209,Świedziebnia,4076,2078,37,0,81,0,90,819,0,960,0,83,8,0
PL_1004041070210,Zbiczno,3878,2112,40,0,263,0,71,705,0,836,0,183,14,0
PL_1004041060301,Białe Błota,16119,11133,106,0,4017,0,905,868,0,3160,0,1949,128,0
PL_1004041060302,Dąbrowa Chełmińska,6367,3455,53,0,887,0,325,336,0,1347,0,459,48,0
PL_1004041060303,Dobrcz,8886,5337,86,0,1517,0,352,669,0,1912,0,744,57,0
PL_1004041060304,Koronowo,18808,10271,195,0,3348,0,678,772,0,3922,0,1250,106,0
PL_1004041060305,Nowa Wieś Wielka,7736,4617,65,0,1376,0,389,402,0,1561,0,766,58,0
PL_1004041060306,Osielsko,10602,8017,43,0,3296,0,598,552,0,1964,0,1470,94,0
PL_1004041060307,Sicienko,7937,4644,97,0,1295,0,431,504,0,1615,0,628,74,0
PL_1004041060308,Solec Kujawski,12447,7619,90,0,2386,0,790,573,0,2385,0,1275,120,0
PL_1004041070401,Chełmno,14452,8184,110,0,2968,0,552,616,0,2616,0,1232,90,0
PL_1004041070402,Chełmno,4550,2128,36,0,510,0,149,360,0,830,0,218,25,0
PL_1004041070403,Kijewo Królewskie,3462,1922,59,0,413,0,116,271,0,826,0,214,23,0
PL_1004041070404,Lisewo,3927,2050,43,0,541,0,119,176,0,988,0,160,23,0
PL_1004041070405,Papowo Biskupie,3359,1516,34,0,278,0,110,231,0,712,0,135,16,0
PL_1004041070406,Stolno,4039,2020,36,0,410,0,148,313,0,903,0,192,18,0
PL_1004041070407,Unisław,5269,2706,42,0,711,0,158,307,0,1163,0,275,50,0
PL_1004041070501,Golub-Dobrzyń,9484,5148,72,0,1429,0,328,447,0,2170,0,662,40,0
PL_1004041070502,Ciechocin,3238,1745,39,0,204,0,106,291,0,925,0,160,20,0
PL_1004041070503,Golub-Dobrzyń,7054,3531,54,0,722,0,152,447,0,1787,0,333,36,0
PL_1004041070504,Kowalewo Pomorskie,8913,4747,53,0,817,0,350,725,0,2254,0,478,70,0
PL_1004041070505,Radomin,3261,1676,31,0,149,0,100,232,0,1040,0,115,9,0
PL_1004041070506,Zbójno,3496,1644,28,0,171,0,93,249,0,927,0,155,21,0
PL_1004041070601,Grudziądz,9501,5258,51,0,1258,0,353,721,0,2077,0,728,70,0
PL_1004041070602,Gruta,5041,2473,43,0,554,0,152,262,0,1224,0,208,30,0
PL_1004041070603,Łasin,6132,2945,56,0,481,0,165,356,0,1487,0,366,34,0
PL_1004041070604,Radzyń Chełmiński,3667,1653,30,0,286,0,93,214,0,826,0,174,30,0
PL_1004041070605,Rogóźno,3203,1558,30,0,211,0,98,235,0,786,0,173,25,0
PL_1004041070606,Świecie nad Osą,3293,1375,33,0,219,0,68,151,0,773,0,120,11,0
PL_1004041670701,Inowrocław,57871,35894,459,0,13205,0,1706,2517,0,11597,0,5871,539,0
PL_1004041670702,Dąbrowa Biskupia,3975,1872,49,0,379,0,99,236,0,939,0,133,37,0
PL_1004041670703,Gniewkowo,11111,5837,123,0,1367,0,577,699,0,2384,0,584,103,0
PL_1004041670704,Inowrocław,9343,5278,110,0,1322,0,360,707,0,2138,0,527,114,0
PL_1004041670705,Janikowo,10461,5808,110,0,1789,0,345,569,0,2302,0,619,74,0
PL_1004041670706,Kruszwica,15428,8177,205,0,1147,0,394,2215,0,3273,0,870,73,0
PL_1004041670707,Pakość,7711,4274,91,0,1111,0,333,472,0,1717,0,476,74,0
PL_1004041670708,Rojewo,3626,1824,48,0,320,0,114,226,0,941,0,145,30,0
PL_1004041670709,Złotniki Kujawskie,7169,3846,102,0,812,0,237,548,0,1638,0,425,84,0
PL_1004041080801,Lipno,11113,5732,109,0,1081,0,330,1172,0,2200,0,782,58,0
PL_1004041080802,Bobrowniki,2440,1213,31,0,239,0,39,303,0,501,0,94,6,0
PL_1004041080803,Chrostkowo,2370,1105,12,0,71,0,45,246,0,664,0,60,7,0
PL_1004041080804,Dobrzyń nad Wisłą,6171,2995,80,0,260,0,135,444,0,1668,0,378,30,0
PL_1004041080805,Kikół,5590,2747,93,0,205,0,113,999,0,1125,0,196,16,0
PL_1004041080806,Lipno,9164,4312,106,0,395,0,178,1158,0,2072,0,377,26,0
PL_1004041080807,Skępe,5936,2976,66,0,502,0,170,485,0,1404,0,320,29,0
PL_1004041080808,Tłuchowo,3628,1839,31,0,135,0,83,381,0,1068,0,121,20,0
PL_1004041080809,Wielgie,5210,2415,80,0,212,0,122,571,0,1073,0,330,27,0
PL_1004041670901,Dąbrowa,3639,1849,39,0,319,0,110,351,0,804,0,205,21,0
PL_1004041670902,Jeziora Wielkie,3819,1939,51,0,153,0,63,606,0,923,0,137,6,0
PL_1004041670903,Mogilno,19548,11065,207,0,2274,0,704,2092,0,4213,0,1436,139,0
PL_1004041670904,Strzelno,9441,4959,109,0,1245,0,215,935,0,1989,0,426,40,0
PL_1004041671001,Kcynia,10300,5318,123,0,838,0,413,823,0,2386,0,655,80,0
PL_1004041671002,Mrocza,6960,3497,94,0,739,0,227,423,0,1537,0,404,73,0
PL_1004041671003,Nakło nad Notecią,24864,14223,230,0,3836,0,960,1547,0,5193,0,2197,260,0
PL_1004041671004,Sadki,5551,2911,64,0,646,0,171,318,0,1367,0,301,44,0
PL_1004041671005,Szubin,18667,10433,147,0,2938,0,841,906,0,3856,0,1568,177,0
PL_1004041081101,Radziejów,4574,2627,39,0,584,0,115,217,0,1230,0,402,40,0
PL_1004041081102,Bytoń,2869,1445,38,0,149,0,84,152,0,913,0,98,11,0
PL_1004041081103,Dobre,4325,2071,46,0,267,0,110,213,0,1193,0,211,31,0
PL_1004041081104,Osięciny,6241,3134,83,0,314,0,135,642,0,1624,0,314,22,0
PL_1004041081105,Piotrków Kujawski,7518,3746,78,0,653,0,122,311,0,2092,0,460,30,0
PL_1004041081106,Radziejów,3552,1836,24,0,310,0,92,227,0,1019,0,149,15,0
PL_1004041081107,Topólka,4005,2084,40,0,226,0,94,276,0,1171,0,231,46,0
PL_1004041071201,Rypin,12548,6972,86,0,1576,0,446,883,0,2817,0,1079,85,0
PL_1004041071202,Brzuze,4226,2096,37,0,255,0,127,346,0,1079,0,228,24,0
PL_1004041071203,Rogowo,3775,1805,24,0,162,0,91,304,0,1094,0,116,14,0
PL_1004041071204,Rypin,5880,2666,39,0,316,0,152,577,0,1312,0,239,31,0
PL_1004041071205,Skrwilno,4669,2296,23,0,247,0,93,362,0,1403,0,157,11,0
PL_1004041071206,Wąpielsk,3228,1475,19,0,169,0,68,268,0,804,0,137,10,0
PL_1004041681301,Kamień Krajeński,5319,2661,62,0,538,0,177,310,0,1080,0,446,48,0
PL_1004041681302,Sępólno Krajeńskie,12155,6635,102,0,1995,0,420,600,0,2505,0,882,131,0
PL_1004041681303,Sośno,3839,1810,60,0,283,0,122,223,0,893,0,191,38,0
PL_1004041681304,Więcbork,10157,5172,79,0,1338,0,262,616,0,2283,0,485,109,0
PL_1004041681401,Bukowiec,3887,1918,54,0,343,0,120,269,0,965,0,157,10,0
PL_1004041681402,Dragacz,5615,2809,58,0,646,0,235,258,0,1145,0,420,47,0
PL_1004041681403,Drzycim,3859,1938,37,0,441,0,129,180,0,974,0,162,15,0
PL_1004041681404,Jeżewo,6131,3117,73,0,754,0,275,207,0,1471,0,299,38,0
PL_1004041681405,Lniano,3296,1859,45,0,387,0,134,224,0,901,0,147,21,0
PL_1004041681406,Nowe,7849,3825,76,0,1059,0,374,370,0,1498,0,389,59,0
PL_1004041681407,Osie,4331,2217,54,0,605,0,172,250,0,876,0,236,24,0
PL_1004041681408,Pruszcz,7363,4152,86,0,1067,0,301,716,0,1646,0,311,25,0
PL_1004041681409,Świecie,25193,14631,233,0,6305,0,843,829,0,4799,0,1484,138,0
PL_1004041681410,Świekatowo,2851,1516,48,0,289,0,114,297,0,618,0,133,17,0
PL_1004041681411,Warlubie,4943,2243,60,0,396,0,161,249,0,1065,0,283,29,0
