gisco_id,name,registered,turnout,invalid,blank,KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY,KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE,KOMITET WYBORCZY NOWA LEWICA,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ,KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ,KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI,KOMITET WYBORCZY POLSKA JEST JEDNA,KOMITET WYBORCZY WYBORCÓW RUCHU DOBROBYTU I POKOJU,KOMITET WYBORCZY NORMALNY KRAJ,KOMITET WYBORCZY ANTYPARTIA,KOMITET WYBORCZY RUCH NAPRAWY POLSKI,KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA
PL_1004281551801,Banie Mazurskie,2717,1588,75,0,46,240,105,624,77,411,10,0,0,0,0,0
PL_1004281551802,Dubeninki,2076,1133,60,0,60,125,73,530,88,180,17,0,0,0,0,0
PL_1004281551803,Gołdap,14088,8982,249,0,308,1427,564,2932,494,2904,104,0,0,0,0,0
PL_1004281551901,Budry,2151,1287,66,0,42,213,63,563,77,243,20,0,0,0,0,0
PL_1004281551902,Pozezdrze,2530,1587,76,0,51,265,91,591,74,413,26,0,0,0,0,0
PL_1004281551903,Węgorzewo,12114,7979,227,0,165,1394,758,2465,486,2387,97,0,0,0,0,0
PL_1004281546101,Elbląg,86152,63470,956,0,717,7949,6646,18222,3281,24820,659,0,220,0,0,0
PL_1004281566201,Olsztyn,127035,99024,1364,0,1482,15277,10863,23636,6370,38726,1306,0,0,0,0,0
PL_1002301600101,Chodzież,13803,10510,243,0,572,1477,987,2243,510,4371,107,0,0,0,0,0
PL_1002301600102,Budzyń,6259,4430,178,0,124,785,354,1177,318,1403,91,0,0,0,0,0
PL_1002301600103,Chodzież,4630,3450,116,0,178,589,267,845,219,1184,52,0,0,0,0,0
PL_1002301600104,Margonin,4826,3690,131,0,71,966,264,970,237,1009,42,0,0,0,0,0
PL_1002301600105,Szamocin,5608,3884,111,0,118,737,242,1234,293,1095,54,0,0,0,0,0
PL_1002301600201,Czarnków,7737,5780,86,0,68,808,414,1418,283,2621,82,0,0,0,0,0
PL_1002301600202,Czarnków,8566,5956,219,0,92,1021,399,1871,464,1774,116,0,0,0,0,0
PL_1002301600203,Drawsko,4419,3126,111,0,69,448,220,1185,242,798,53,0,0,0,0,0
PL_1002301600204,Krzyż Wielkopolski,6297,4223,121,0,58,601,334,1367,235,1432,75,0,0,0,0,0
PL_1002301600205,Lubasz,5696,4269,156,0,72,801,261,1225,322,1373,59,0,0,0,0,0
PL_1002301600206,Połajewo,4676,3429,174,0,56,539,232,1285,278,818,47,0,0,0,0,0
PL_1002301600207,Trzcianka,17381,12553,296,0,153,1989,935,3375,724,4833,248,0,0,0,0,0
PL_1002301600208,Wieleń,9221,6157,271,0,90,1134,410,2081,392,1633,146,0,0,0,0,0
PL_1002301580301,Gniezno,49654,37545,681,0,466,7500,5646,9782,2237,10673,365,195,0,0,0,0
PL_1002301580302,Czerniejewo,6093,4557,168,0,83,675,566,1497,325,1170,45,28,0,0,0,0
PL_1002301580303,Gniezno,10036,7938,155,0,120,1671,927,2112,650,2207,74,22,0,0,0,0
PL_1002301580304,Kiszkowo,4194,3091,97,0,54,563,374,1050,247,635,46,25,0,0,0,0
PL_1002301580305,Kłecko,5546,4103,126,0,64,678,484,1578,321,743,71,38,0,0,0,0
PL_1002301580306,Łubowo,5393,4177,101,0,59,832,449,1254,318,1053,83,28,0,0,0,0
PL_1002301580307,Mieleszyn,2901,2042,62,0,43,277,295,805,129,400,19,12,0,0,0,0
PL_1002301580308,Niechanowo,4510,3487,106,0,64,462,801,1233,228,542,40,11,0,0,0,0
PL_1002301580309,Trzemeszno,10483,7170,247,0,149,1046,1007,2514,547,1545,92,23,0,0,0,0
PL_1002301580310,Witkowo,9972,7478,180,0,123,1030,1211,2761,506,1534,96,37,0,0,0,0
PL_1002301590401,Borek Wielkopolski,5503,3719,120,0,79,628,320,1569,314,622,67,0,0,0,0,0
PL_1002301590402,Gostyń,21006,15446,384,0,354,2244,2377,4914,1295,3557,321,0,0,0,0,0
PL_1002301590403,Krobia,9772,6644,173,0,169,986,544,2808,577,1261,126,0,0,0,0,0
PL_1002301590404,Pępowo,4502,3320,127,0,79,480,282,1447,303,537,65,0,0,0,0,0
