gisco_id,name,registered,turnout,invalid,blank,"Taikos koalicija (Darbo partija, Lietuvos krikščioniškosios demokratijos partija, Žemaičių partija)",Demokratų sąjunga „Vardan Lietuvos“,Laisvės partija,Liberalų sąjūdis,Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga,Lietuvos liaudies partija,Lietuvos regionų partija,Lietuvos socialdemokratų partija,Lietuvos valstiečių ir žaliųjų sąjunga,Lietuvos žaliųjų partija,Nacionalinis susivienijimas,Partija „Laisvė ir teisingumas“,"Tautos ir teisingumo sąjunga (centristai, tautininkai)",Tėvynės sąjunga-Lietuvos krikščionys demokratai,Politinė partija „Nemuno Aušra“
LT_LTZZGB,United Kingdom,18336,10456,198,0,20,57,233,129,7,19,13,97,69,76,31,13,15,325,84
LT_LTZZUS,United States,5296,2920,55,0,7,10,55,38,2,8,2,23,16,19,8,5,5,129,20
LT_LTZZCA,Canada,606,360,3,0,0,6,11,1,1,0,1,2,2,4,3,0,2,23,1
LT_LTZZKZ,Kazakhstan,51,46,0,0,0,13,6,4,2,0,0,3,2,0,0,0,1,10,5
LT_LTZZHR,Croatia,42,38,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0
LT_LTZZLV,Latvia,221,145,1,0,1,6,23,14,5,5,1,12,4,3,8,1,4,48,9
LT_LTZZPL,Poland,425,302,1,0,1,11,2,7,5,0,0,8,7,2,7,0,0,18,3
LT_LTZZMD,Moldova,23,21,1,0,0,3,2,2,0,0,0,2,0,0,0,0,0,9,2
LT_LTZZNO,Norway,3700,2413,29,0,14,26,35,42,2,12,2,33,34,16,15,3,12,151,31
LT_LTZZNL,Netherlands,2033,1421,15,0,0,1,16,6,0,0,0,3,3,8,0,1,0,18,1
LT_LTZZZA,South Africa,374,148,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LT_LTZZKR,South Korea,94,60,0,0,1,0,22,6,0,0,1,5,0,5,0,0,1,19,0
LT_LTZZFR,France,1098,734,9,0,0,4,3,6,0,1,0,3,3,5,0,1,0,12,1
LT_LTZZRO,Romania,57,46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
LT_LTZZRU,Russia,185,107,2,0,2,9,2,9,2,12,2,14,11,3,6,2,3,19,9
LT_LTZZGE,Georgia,56,41,2,0,0,1,5,7,0,1,0,1,2,1,2,0,0,17,2
LT_LTZZSG,Singapore,136,85,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
LT_LTZZFI,Finland,371,264,2,0,0,0,1,4,0,0,0,2,0,3,1,0,0,7,0
LT_LTZZTR,Turkey,142,54,0,0,1,0,2,2,0,0,0,0,1,0,0,2,0,5,0
LT_LTZZUA,Ukraine,94,76,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
LT_LTZZHU,Hungary,74,60,2,0,0,1,9,6,0,0,0,8,2,4,3,0,0,22,3
LT_LTZZDE,Germany,3826,2796,38,0,2,6,23,23,3,3,1,11,9,10,15,4,2,69,6
LT_LTZZCZ,Czech Republic,132,97,0,0,0,0,2,1,0,1,0,1,0,1,0,0,0,4,0
LT_LTZZSE,Sweden,1786,1217,8,0,2,13,17,10,0,1,0,9,5,10,2,1,0,41,4
LT_LTZZCH,Switzerland,1186,856,4,0,0,4,22,15,0,0,1,6,4,5,0,0,0,37,1
LT_0934,Alnykščių,19941,10195,243,0,183,1250,219,704,18,188,235,2419,1393,163,251,35,152,1444,1298
LT_12,Birštono savivaldybė,3570,2084,48,0,24,149,60,118,1,30,226,628,102,11,53,11,29,321,273
LT_36,Biržų rajono savivaldybė,20079,10046,210,0,273,964,245,622,14,276,179,3136,785,128,181,31,162,1219,1621
LT_15,Druskininkų savivaldybė,16996,9164,254,0,135,1905,272,422,43,195,179,1893,563,143,200,36,96,1439,1389
LT_42,Elektrėnų savivaldybė,19103,9569,228,0,198,1596,338,951,86,276,209,2081,542,114,187,36,162,1161,1404
LT_LTZZBR,Brazil,155,50,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
LT_45,Ignalinos rajono savivaldybė,12415,6094,152,0,146,574,159,354,94,198,73,1585,1001,172,156,28,70,700,632
LT_46,Jonavos rajono savivaldybė,34391,15857,315,0,540,1168,500,850,53,442,359,5346,1018,224,341,79,257,1948,2417
LT_94,Jurbarko rajono savivaldybė,21017,10278,238,0,208,1029,262,860,7,205,279,2245,784,114,195,48,151,1324,2329
LT_49,Kaišiadorių rajono savivaldybė,23627,12065,246,0,213,1091,403,1317,20,211,515,3187,840,226,251,39,187,1608,1711
LT_48,Kalvarijos savivaldybė,8166,3655,117,0,108,487,83,149,5,60,137,918,382,40,58,22,131,322,636
LT_53,Kėdainių rajono savivaldybė,365439,198688,3502,0,5138,19314,8843,16907,368,3731,2867,36931,14512,4322,7630,631,3088,42495,28409
LT_58,Kazlų Rūdos savivaldybė,9286,4346,108,0,96,400,117,228,6,100,45,1104,453,49,102,13,104,554,867
LT_54,Kelmės rajono savivaldybė,21978,10589,276,0,178,688,189,552,9,206,257,2699,817,110,122,32,133,889,3432
LT_21,Klaipėdos miesto savivaldybė,120253,56290,1117,0,1515,4363,2115,5442,3103,2401,509,8166,4355,760,1559,224,811,9520,10330
LT_55,Klaipėdos rajono savivaldybė,54005,27168,503,0,502,2426,1024,2889,205,545,326,4917,2670,385,630,68,593,4000,5485
LT_56,Kretingos rajono savivaldybė,31488,15922,357,0,308,1794,406,835,15,362,383,3709,1370,239,321,52,229,2009,3533
LT_57,Kupiškio rajono savivaldybė,13809,7040,156,0,160,591,134,299,13,132,121,1971,999,150,90,22,99,941,1162
LT_59,Lazdijų rajono savivaldybė,15482,7633,202,0,97,1339,148,307,8,111,214,2022,600,99,116,32,199,931,1208
LT_18,Marijampolės savivaldybė,44802,22258,493,0,278,3163,559,951,19,401,744,5707,2136,317,471,37,568,3048,3366
LT_61,Mažeikių rajono savivaldybė,56510,27781,573,0,564,2939,577,1120,57,636,876,6903,2759,340,383,74,567,2767,6646
