gisco_id,name,registered,turnout,invalid,blank,Darbo partija,Lietuvos socialdemokratų partija,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvos Respublikos liberalų sąjūdis,„Drąsos kelias“ politinė partija,Partija Tvarka ir teisingumas,Lietuvos lenkų rinkimų akcija,Lietuvos valstiečių ir žaliųjų sąjunga,Liberalų ir centro sąjunga,Politinė partija „Sąjunga Taip“,Socialistinis liaudies Frontas,Krikščionių partija,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Partija „Jaunoji Lietuva“,Demokratinė darbo ir vienybės partija,Emigrantų partija,Respublikonų partija,Lietuvos žmonių partija
LT_2900,Šiaulių miesto savivaldybė,127859,68114,3436,0,12787,18222,7981,4823,6561,4696,234,5152,853,507,654,563,560,372,296,190,136,91
LT_6647,Panevėžio seniūnija,118855,63249,3015,0,14346,11909,10277,5993,5824,3607,100,3058,685,670,559,1060,746,481,235,317,242,125
LT_0566,Panevėžio,905,400,19,0,92,56,49,14,17,35,0,89,1,2,7,10,2,3,2,0,1,1
LT_1847,Marijampolės,53051,25463,1155,0,4835,7301,3576,1601,2504,1726,27,906,235,188,193,477,297,119,112,100,57,54
LT_1100,Alytaus miesto savivaldybė,77408,40027,1893,0,10583,8473,6539,2767,3392,2397,52,754,1136,343,287,431,283,191,104,155,124,123
LT_6360,Pagėgių seniūnija,8644,4993,305,0,762,507,244,122,148,2501,4,197,30,25,20,19,48,22,17,7,9,6
LT_8801,Šilutės,39848,19178,1149,0,3631,3880,2258,1209,1302,2966,33,878,725,444,93,274,84,87,69,38,29,29
LT_0787,Šilalės,22713,12458,726,0,1317,2525,1963,405,374,3809,6,406,220,90,65,343,83,47,38,20,11,10
LT_7794,Tauragės,38677,18311,890,0,3372,5331,2573,1147,1452,1258,16,806,613,140,88,249,54,84,60,39,112,27
LT_0868,Plungės,32537,15792,746,0,3422,2868,2478,974,1015,1531,12,1008,793,105,120,383,72,113,57,46,27,22
LT_7475,Rietavo seniūnija,7620,3743,142,0,1032,723,582,170,128,367,3,189,172,17,34,104,17,31,16,8,3,5
LT_5651,Kretingos seniūnija,35817,17619,838,0,3337,3828,2740,1498,1303,2495,24,402,217,165,136,291,141,77,44,38,24,21
LT_7579,Skuodo seniūnija,18433,8419,415,0,1760,1465,1278,511,637,1302,3,526,71,57,73,173,41,38,32,20,5,12
LT_6111,Mažeikių seniūnija,48752,23483,989,0,4961,5243,2387,1357,1893,3599,62,895,188,584,238,341,353,168,89,63,31,42
LT_3260,Naujosios Akmenės miesto seniūnija,6962,3706,200,0,1051,984,217,143,180,436,7,111,226,7,41,41,22,7,20,4,7,2
LT_4760,Joniškio seniūnija,26574,13605,580,0,3746,2481,1156,1789,666,1237,18,832,360,179,156,137,78,56,64,28,19,23
LT_3204,Akmenės,7871,4167,159,0,1049,866,271,94,209,333,3,423,582,15,58,31,12,27,13,3,5,14
LT_0252,Kauno,504,264,10,0,84,59,17,5,12,29,0,15,15,0,7,6,3,0,2,0,0,0
LT_0878,Telšių,40089,19378,815,0,5655,3223,1882,795,928,3117,16,775,268,110,228,1165,140,100,63,33,33,32
LT_5401,Kelmės,28671,13959,566,0,2669,3137,1319,814,763,1101,24,1904,1040,50,126,138,136,55,53,19,25,20
LT_7284,Raseinių seniūnija,31875,20301,1005,0,5561,5477,1682,973,1007,2948,20,629,117,99,104,142,126,86,63,106,42,114
LT_0253,Kėdainių,49705,26967,1146,0,12318,3558,2965,1258,1918,857,46,990,673,154,251,215,146,152,93,105,58,64
LT_7135,Radviliškio seniūnija,35381,17900,789,0,4876,4772,2210,637,1039,1143,29,1437,123,155,145,148,153,71,76,35,26,36
LT_0246,Jonavos,38335,18876,676,0,5425,4424,2013,1518,1676,974,127,947,156,242,159,148,133,100,55,42,26,35
LT_6546,Pakruojo seniūnija,20728,10346,504,0,2707,2337,1013,672,553,805,8,786,126,282,149,242,31,32,39,28,16,16
LT_0567,Pasvalio,26304,12841,535,0,3365,2956,2735,470,622,676,21,659,75,70,157,170,116,50,62,44,29,29
LT_0536,Biržų,25582,12913,531,0,3159,2507,1535,840,843,736,8,1717,112,134,105,195,65,68,44,26,261,27
LT_5700,Kupiškio rajono savivaldybė,17590,8862,342,0,2359,1657,1179,468,495,548,4,1188,106,74,65,102,48,43,40,19,110,15
LT_0934,Alnykščių,25849,13969,548,0,3668,2509,1990,1241,699,1044,19,1078,282,117,160,172,72,59,66,33,182,30
LT_0573,Rokiškio,30689,16910,657,0,4461,4026,2295,910,705,1762,18,530,523,198,176,194,184,96,53,37,31,54
LT_8274,Utenos seniūnija,37709,20228,767,0,3909,5765,3457,1380,1418,1317,45,639,223,145,150,444,222,127,78,51,46,45
LT_4330,Zarasų seniūnija,17586,9428,409,0,2750,2083,830,427,288,1183,234,531,112,117,179,114,35,26,46,19,21,24
LT_3000,Visagino savivaldybė,17798,7511,203,0,1567,491,267,216,60,2224,1159,41,470,39,623,21,15,15,13,5,5,77
LT_4525,Ignalinos seniūnija,17210,9612,384,0,2700,1665,861,529,320,827,130,1622,131,71,81,99,47,43,51,12,22,17
LT_8682,Švenčionių seniūnija,23470,12277,571,0,3684,1457,856,461,319,865,1826,577,904,226,196,101,77,45,49,17,31,15
LT_6200,Molėtų rajono savivaldybė,19796,10000,328,0,2692,2006,1732,544,572,418,587,286,225,104,75,194,79,50,43,15,39,11
LT_8900,Širvintų rajono savivaldybė,15236,8312,322,0,3204,1359,846,358,384,308,379,488,256,123,55,68,65,35,22,12,17,11
LT_8575,Šalčininkų seniūnija,28431,16182,838,0,1850,614,316,307,160,1010,10482,88,37,61,177,36,60,28,24,50,20,24
LT_7994,Trakų seniūnija,27463,15269,721,0,4594,1927,1276,594,610,634,2480,276,1436,246,139,104,49,49,30,22,66,16
LT_4215,Elektrėnų seniūnija,21462,10524,425,0,2962,2041,1241,553,583,751,194,315,662,176,113,181,143,62,46,21,40,15
LT_4917,Kaišiadorių miesto seniūnija,13043,6680,257,0,1206,1915,960,612,579,316,15,211,70,83,67,121,90,57,58,17,10,36
LT_4921,Kaišiadorių apylinkės seniūnija,14618,6768,254,0,1860,1830,638,429,476,371,20,332,75,65,49,153,52,28,66,11,38,21
LT_4909,Žąslių seniūnija,807,389,14,0,83,103,40,37,25,20,0,35,6,3,1,19,1,1,1,0,0,0
LT_1081,Ukmergės,33132,17122,748,0,5063,3705,2238,767,1049,1457,32,937,204,123,165,199,128,108,62,34,71,32
LT_0794,Jurbarko,26681,13219,574,0,2834,3539,1748,687,816,1174,9,371,549,139,114,168,287,83,64,19,20,24
LT_5800,Kazlų Rūdos savivaldybė,10437,5105,306,0,990,1288,645,277,631,423,4,169,73,39,52,56,37,36,29,18,17,15
LT_4834,Kalvarijos seniūnija,9971,4895,250,0,1159,922,544,344,340,895,0,210,25,25,16,54,18,20,17,7,4,45
LT_8483,Šakių seniūnija,28802,14597,642,0,3046,3207,2220,509,1148,898,8,1812,425,103,105,159,64,81,83,40,16,31
LT_0439,Vilkaviškio,36574,17876,800,0,2145,9387,1760,507,1325,651,18,512,81,89,150,166,87,81,53,32,16,16
LT_1201,Birštonas,4202,2521,177,0,312,806,295,148,243,238,3,48,58,33,31,56,34,16,8,8,4,3
LT_6901,Prienų seniūnija,25688,13499,820,0,2317,3011,1556,550,1337,1840,18,650,342,122,132,280,273,92,52,34,35,38
LT_3808,Varėnos seniūnija,22614,11700,572,0,3022,2342,1284,1583,619,759,183,163,385,93,89,149,224,45,42,21,100,25
LT_1500,Druskininkų savivaldybė,19039,10198,455,0,1505,3470,1600,623,714,677,132,248,142,133,177,100,66,64,33,32,8,19
LT_5940,Lazdijų seniūnija,17969,9559,449,0,1923,2268,1663,410,502,503,19,927,412,65,94,131,51,56,36,11,21,18
LT_0159,Lazdijų,2001,1073,49,0,195,377,188,36,57,30,0,93,5,7,7,17,6,1,1,1,2,1
