gisco_id,name,registered,turnout,invalid,blank,N-VA,VLAAMS BELANG,open vld,SP.A,CD&V,GROEN,PVDA,DierAnimal,de coöperatie,B.U.B,BUB Belgische Unie,PRO,DéFI,Piratenpartij,Volt,D-SA,PV&S,PS,PTB,MR,CDH,ECOLO,Parti Populaire,COLLECTIF CITOYEN,LISTES DESTEXHE,AGIR,LA DROITE,Lutte Ouvrière,NATION,PCB,LES BELGES D'ABORD,WALLONIE INSOUMISE,PTB*PVDA,Turquoise
BE_42023,Waasmunster,0,7752,242,0,2245,1390,1562,411,1009,551,258,64,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_44073,Wachtebeke,0,5411,333,0,942,1171,871,685,613,304,395,80,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_93088,Walcourt,0,12611,1027,0,0,119,0,0,0,0,0,131,0,0,0,0,532,0,0,0,0,2889,1665,2378,1028,1330,630,332,206,101,141,0,102,0,0,0,0,0
BE_25124,Walhain,0,4789,212,0,0,25,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,769,247,1336,698,947,68,50,153,0,28,0,0,0,0,26,0,5
BE_61072,Wanze,0,9114,570,0,0,35,0,0,0,0,0,111,0,0,0,0,273,0,0,0,0,3225,1188,1251,450,1320,281,77,122,0,41,0,16,0,112,42,0,0
BE_34040,Waregem,0,27504,1552,0,6179,5433,3208,2713,5404,1992,770,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_64074,Waremme / Borgworm,0,10219,881,0,0,56,0,0,0,0,0,121,0,0,0,0,336,0,0,0,0,3293,1346,1681,567,1121,258,151,149,0,37,0,16,0,143,63,0,0
BE_64075,Wasseiges,0,1975,167,0,0,11,0,0,0,0,0,37,0,0,0,0,68,0,0,0,0,380,233,493,137,297,57,19,27,0,10,0,4,0,29,6,0,0
BE_25110,Waterloo,0,18237,746,0,0,141,0,0,0,0,0,0,0,0,0,0,1333,0,0,0,0,1382,669,8605,893,2978,313,169,772,0,87,0,0,0,0,113,0,36
BE_21017,Watermael-Boitsfort / Watermaal-Bosvoorde,0,13785,598,0,255,103,189,0,96,0,0,0,0,0,0,0,1870,0,0,0,0,1529,0,2834,641,4140,253,0,329,0,0,0,0,0,0,0,948,0
BE_25112,Wavre / Waver,0,21350,1205,0,0,112,0,0,0,0,0,0,0,0,0,0,1334,0,0,0,0,2767,1557,7506,1416,3838,521,254,515,0,111,0,0,0,0,154,0,60
BE_63080,Waimes / Weismes,0,4940,521,0,0,41,0,0,0,0,0,40,0,0,0,0,151,0,0,0,0,461,552,1283,741,648,228,54,71,0,45,0,13,0,66,25,0,0
BE_63084,Welkenraedt,0,6367,534,0,0,36,0,0,0,0,0,49,0,0,0,0,226,0,0,0,0,1180,722,1400,609,994,267,73,92,0,39,0,19,0,107,20,0,0
BE_73098,Wellen,0,5596,317,0,1106,1205,857,1066,577,251,193,0,0,0,0,18,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_84075,Wellin,0,2124,158,0,0,14,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,551,218,494,288,238,62,0,17,0,13,0,13,0,0,0,0,0
BE_23102,Wemmel,0,4583,0,0,143,69,90,248,58,510,143,0,0,0,40,19,281,0,0,0,0,623,0,1329,212,756,120,0,188,0,0,0,0,0,0,0,484,0
BE_33029,Wervik,0,12742,876,0,1770,2616,1477,2566,2036,649,582,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_13049,Westerlo,0,18060,910,0,4985,3932,1389,1173,3232,1115,908,266,0,0,0,0,0,104,21,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_42025,Wetteren,0,18045,952,0,3789,3723,3272,1862,1939,1607,676,173,31,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_34041,Wevelgem,0,22852,1190,0,4038,4763,2086,3012,4696,1995,874,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_23103,Wezembeek-Oppem,0,4848,0,0,50,16,43,116,29,444,48,0,0,0,22,3,412,0,0,0,0,307,0,1816,447,898,63,0,248,0,0,0,0,0,0,0,156,0
BE_42026,Wichelen,0,8518,435,0,1816,1893,1790,754,842,559,321,65,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_37017,Wielsbeke,0,6980,388,0,1438,1768,655,574,1625,300,185,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_11050,Wijnegem,0,6681,218,0,2457,1262,536,390,556,668,424,76,0,0,0,0,0,52,11,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_12040,Willebroek,0,16569,640,0,4334,2891,1208,2858,1695,1424,1146,184,0,0,0,0,0,98,22,40,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_37018,Wingene,0,10327,721,0,2010,2242,989,990,2481,532,262,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_21018,Woluwe-Saint-Lambert / Sint-Lambrechts-Woluwe,0,24688,1191,0,705,280,513,0,307,0,0,0,0,0,0,0,6344,0,0,0,0,1907,0,4828,1490,4609,399,0,810,0,0,0,0,0,0,0,1305,0
BE_21019,Woluwe-Saint-Pierre / Sint-Pieters-Woluwe,0,18677,628,0,474,128,527,0,282,0,0,0,0,0,0,0,2465,0,0,0,0,1142,0,5861,1967,3540,208,0,801,0,0,0,0,0,0,0,654,0
BE_11052,Wommelgem,0,8704,245,0,3499,1718,808,454,554,794,474,82,0,0,0,0,0,44,5,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_45061,Wortegem-Petegem,0,4766,203,0,1041,765,1329,432,607,250,103,28,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_11053,Wuustwezel,0,13961,535,0,4306,2989,1236,573,2651,764,673,141,0,0,0,0,0,72,9,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_91141,Yvoir,0,6211,464,0,0,45,0,0,0,0,0,75,0,0,0,0,427,0,0,0,0,807,660,1200,1033,1141,150,38,80,25,41,0,25,0,0,0,0,0
BE_11054,Zandhoven,0,9413,298,0,3336,1901,845,378,1414,630,413,114,0,0,0,0,0,60,13,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_23094,Zaventem,0,17892,1106,0,3971,1271,3155,1229,1755,2234,996,0,0,0,239,101,1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_31040,Zedelgem,0,17974,987,0,3392,3490,1925,2357,3494,1613,444,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_42028,Zele,0,13961,678,0,2929,2893,2015,1060,2631,1034,531,160,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_43018,Zelzate,0,8288,410,0,946,1975,846,1738,506,241,1524,76,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_23096,Zemst,0,16460,600,0,5028,2457,2292,1265,2245,1624,738,0,0,0,45,108,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_11055,Zoersel,0,15554,424,0,6266,2783,1426,695,1840,1240,594,158,0,0,0,0,0,95,19,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_71066,Zonhoven,0,15061,825,0,3554,3044,2694,1555,1684,894,719,0,0,0,0,53,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
