gisco_id,name,registered,turnout,invalid,blank,N-VA,open vld,GROEN!,CD&V,SP.A,VLAAMS BELANG,Lijst Dedecker,PVDA+,LSP,MR,ECOLO,PS,CDH,BELG.UNIE,Parti Populaire,PROBRUXSEL,WALLONIE D'ABORD,Front des gauches,FN,R.W.F.,PTB+PVDA+,PIRATE PARTY,EGALITE,PTB+,FN+,MSplus,W+,Vrijheid,VIVANT,MP Education,Parti Pensionné PP,RESPECT,N,V.I.T.A.L.
BE_K00025,Boom,44682,40045,1742,0,11186,3780,2361,5164,6960,7215,920,624,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00120,Looz,35206,32907,2070,0,7639,5641,1382,5467,6226,3240,917,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00026,Bouillon,4163,3624,338,0,0,0,0,0,0,0,0,0,0,807,384,984,808,84,89,0,54,15,0,40,0,0,0,15,0,6,0,0,0,0,0,0,0,0
BE_K00027,Boussu,46458,40425,3256,0,0,0,0,0,0,0,0,0,0,4351,2660,22943,2869,0,679,0,611,297,921,447,0,0,0,733,533,31,94,0,0,0,0,0,0,0
BE_K00032,Bruxelles,78426,63588,2835,0,1628,1892,1572,1274,1926,1304,236,0,0,11750,5973,17900,8695,357,1786,721,252,430,543,129,1073,193,1119,0,0,0,0,0,0,0,0,0,0,0
BE_K00028,Brakel,16499,15253,874,0,3421,4054,552,2016,2451,1321,373,116,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0
BE_K00029,Brecht,69487,62744,2915,0,20338,6337,3432,11530,6302,9635,1366,766,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00030,Bree,30489,28777,1962,0,7802,3507,1007,7981,2603,2991,625,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00031,Bruges,205831,185094,9550,0,45448,24867,13396,35727,27386,15243,11327,1320,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527
BE_K00033,Celles,6655,6057,540,0,0,0,0,0,0,0,0,0,0,1852,656,1857,763,0,113,0,81,18,64,35,0,0,0,32,35,5,6,0,0,0,0,0,0,0
BE_K00034,Châtelet,61263,53901,4357,0,0,0,0,0,0,0,0,0,0,6558,4071,25125,5680,0,1569,0,1059,335,1809,1121,0,0,0,949,1085,64,119,0,0,0,0,0,0,0
BE_K00035,Charleroi,131430,111754,10911,0,0,0,0,0,0,0,0,0,0,12349,8548,50726,10242,0,3536,0,2276,1029,4501,2063,0,0,0,2615,2566,115,277,0,0,0,0,0,0,0
BE_K00036,Chièvres,7369,6743,468,0,0,0,0,0,0,0,0,0,0,1564,575,2919,568,0,144,0,127,21,112,64,0,0,0,92,62,7,20,0,0,0,0,0,0,0
BE_K00037,Chimay,11098,9917,1008,0,0,0,0,0,0,0,0,0,0,2723,956,3038,1210,0,190,0,168,25,200,164,0,0,0,100,117,7,11,0,0,0,0,0,0,0
BE_K00038,Ciney,24437,21562,1516,0,0,0,0,0,0,0,0,0,0,7097,2698,5253,2802,235,476,0,266,70,390,396,0,0,0,259,0,33,71,0,0,0,0,0,0,0
BE_K00039,Comines-Warneton,10355,9247,1309,0,0,0,0,0,0,0,0,0,0,1501,1088,1993,2598,0,84,0,215,34,170,78,0,0,0,70,74,12,21,0,0,0,0,0,0,0
BE_K00041,Couvin,14802,13036,1233,0,0,0,0,0,0,0,0,0,0,2086,1027,5011,2117,88,250,0,251,59,353,374,0,0,0,135,0,10,42,0,0,0,0,0,0,0
BE_K00042,Deinze,34705,31978,1925,0,8469,5847,1953,5983,3532,2614,1274,220,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0
