gisco_id,name,registered,turnout,invalid,blank,Open VLD,VB (1979),CD&V,Vooruit,N-VA,LDD,Groen,PTB/PVDA,SLP,LSP/PSL,CAP,PS,Ecolo,MR,CSP,AGIR,R.W.F.,WDA,MS,LCR-PSL,PCB-CPB,LE,ProDG,VIVANT,EDW
BE_K00024,Electoral Canton Binche,43930,39031,3862,0,0,0,0,0,0,0,0,355,0,0,134,15174,5513,5926,3262,1753,437,755,1565,165,130,0,0,0,0
BE_K00025,Electoral Canton Boom,44666,40927,1612,0,6103,9156,7905,7094,3478,2078,2734,456,156,82,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00120,Electoral Canton Looz,35012,33280,2087,0,7379,4239,7837,4882,2720,2028,1588,218,203,49,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00026,Electoral Canton Bouillon,4220,3772,444,0,0,0,0,0,0,0,0,12,0,0,9,728,689,993,707,95,41,32,4,12,6,0,0,0,0
BE_K00027,Electoral Canton Boussu,47365,42039,4244,0,0,0,0,0,0,0,0,569,0,0,278,17614,6003,5837,4180,1972,360,653,73,114,142,0,0,0,0
BE_K00032,Electoral Canton Bruxelles,79726,65874,4093,0,3112,1503,1336,1433,495,381,1941,808,65,25,150,16098,11878,11723,0,1257,181,293,64,326,181,8531,0,0,0
BE_K00028,Electoral Canton Brakel,16429,15336,924,0,4485,1793,3010,1917,1114,1152,745,93,62,29,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00029,Electoral Canton Brecht,69115,63266,2840,0,10582,11548,16720,5814,7199,3307,4208,529,312,120,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00030,Electoral Canton Bree,30274,28899,1913,0,5811,3616,9264,2165,3007,1667,1043,186,135,61,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00031,Electoral Canton Bruges,204213,185384,9926,0,35787,22712,42633,22784,16106,17469,14634,1175,1483,456,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00033,Electoral Canton Celles,6723,6182,717,0,0,0,0,0,0,0,0,8,0,0,10,1354,978,2008,845,117,36,79,4,13,13,0,0,0,0
BE_K00034,Electoral Canton Châtelet,61981,55461,5378,0,0,0,0,0,0,0,0,738,0,0,196,19551,8843,8535,6572,3369,896,1098,45,99,141,0,0,0,0
BE_K00035,Electoral Canton Charleroi,134444,115834,12224,0,0,0,0,0,0,0,0,2330,0,0,466,38798,18525,16743,11834,9091,2040,2844,168,264,507,0,0,0,0
BE_K00036,Electoral Canton Chièvres,7371,6806,645,0,0,0,0,0,0,0,0,38,0,0,21,2185,1086,1836,577,204,61,121,3,11,18,0,0,0,0
BE_K00037,Electoral Canton Chimay,11164,10142,1409,0,0,0,0,0,0,0,0,47,0,0,19,1912,1612,2799,1664,332,123,182,13,21,9,0,0,0,0
BE_K00038,Electoral Canton Ciney,24341,21852,2199,0,0,0,0,0,0,0,0,107,0,0,26,4296,4844,6164,3005,485,308,297,49,36,36,0,0,0,0
BE_K00039,Electoral Canton Comines-Warneton,10749,9813,1818,0,0,0,0,0,0,0,0,40,0,0,12,1484,1519,2334,1993,275,68,211,14,21,24,0,0,0,0
BE_K00041,Electoral Canton Couvin,14770,13287,1725,0,0,0,0,0,0,0,0,55,0,0,25,3664,2062,2559,2051,492,342,230,43,20,19,0,0,0,0
BE_K00042,Electoral Canton Deinze,34425,32178,1886,0,8163,3274,8336,2607,2448,2896,2086,147,219,66,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00178,Electoral Canton Termonde,59963,55020,2399,0,11377,9563,11536,6694,5570,3641,3315,370,322,136,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00043,Electoral Canton Destelbergen,13897,12922,526,0,3870,1575,2290,1199,1240,890,1101,111,80,26,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00044,Electoral Canton Diest,47458,44003,2751,0,8530,6507,9147,6343,3648,3973,2238,399,290,95,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00047,Electoral Canton Dixmude,39045,36408,2828,0,6083,3694,11037,3559,2256,4883,1546,193,224,64,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00045,Electoral Canton Dinant,28322,25758,2939,0,0,0,0,0,0,0,0,147,0,0,36,5321,5308,6652,3428,846,571,405,40,34,31,0,0,0,0
BE_K00046,Electoral Canton Dison,9750,8469,991,0,0,0,0,0,0,0,0,61,0,0,19,2891,1449,1241,1073,445,93,154,10,20,22,0,0,0,0
BE_K00048,Electoral Canton Dour,33761,30273,3529,0,0,0,0,0,0,0,0,264,0,0,151,11016,3865,4291,4633,1545,265,458,37,85,134,0,0,0,0
BE_K00049,Electoral Canton Duffel,40102,36469,1535,0,6614,6124,9283,3135,4154,2375,2744,227,149,82,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00050,Electoral Canton Durbuy,8222,7261,441,0,0,0,0,0,0,0,0,32,0,0,8,2188,1380,1478,1387,162,80,71,6,7,21,0,0,0,0
BE_K00051,Electoral Canton Eeklo,38845,36032,2481,0,8108,4268,9152,2776,2476,3499,2565,310,261,82,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00052,Electoral Canton Eghezée,22917,21030,1582,0,0,0,0,0,0,0,0,119,0,0,29,4292,4533,5776,3471,503,369,278,15,38,25,0,0,0,0
BE_K00053,Electoral Canton Enghien,15346,13859,1227,0,0,0,0,0,0,0,0,94,0,0,40,2538,2952,4095,2096,437,128,185,15,25,27,0,0,0,0
BE_K00054,Electoral Canton Erezée,4758,4352,361,0,0,0,0,0,0,0,0,22,0,0,9,909,888,1069,769,102,150,54,0,4,15,0,0,0,0
BE_K00055,Electoral Canton Estaimpuis,9889,9023,1149,0,0,0,0,0,0,0,0,42,0,0,13,2913,1593,1693,1111,295,56,104,9,22,23,0,0,0,0
BE_K00056,Electoral Canton Etalle,12259,11387,1286,0,0,0,0,0,0,0,0,30,0,0,16,1859,2521,3025,2125,228,116,140,12,18,11,0,0,0,0
BE_K00057,Electoral Canton Eupen,26620,23614,2262,0,0,0,0,0,0,0,0,0,0,0,0,3067,4106,4192,7331,0,0,0,0,0,0,0,1576,875,205
BE_K00058,Electoral Canton Evergem,25860,23633,1187,0,4652,3429,5588,2220,2000,2259,1542,266,366,83,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00059,Electoral Canton Fauvillers,1539,1452,163,0,0,0,0,0,0,0,0,8,0,0,2,177,301,423,320,32,10,14,0,2,0,0,0,0,0
BE_K00060,Electoral Canton Ferrières,3534,3235,209,0,0,0,0,0,0,0,0,28,0,0,5,733,822,794,463,84,34,47,4,7,5,0,0,0,0
BE_K00061,Electoral Canton Fléron,63439,56704,3376,0,0,0,0,0,0,0,0,654,0,0,151,17445,11638,13477,6661,1600,631,796,36,130,109,0,0,0,0
BE_K00062,Electoral Canton Flobecq,7021,6387,727,0,0,0,0,0,0,0,0,24,0,0,14,1674,957,1745,912,156,51,96,4,9,18,0,0,0,0
BE_K00063,Electoral Canton Florennes,8404,7699,916,0,0,0,0,0,0,0,0,39,0,0,20,1650,1217,1775,1360,354,157,163,22,10,16,0,0,0,0
BE_K00064,Electoral Canton Florenville,7982,7332,768,0,0,0,0,0,0,0,0,12,0,0,5,1968,1323,1842,1093,140,89,68,7,12,5,0,0,0,0
BE_K00065,Electoral Canton Fontaine-l'Evêque,49558,44304,4281,0,0,0,0,0,0,0,0,540,0,0,181,15312,7375,8076,4099,2468,754,843,64,58,253,0,0,0,0
BE_K00066,Electoral Canton Fosses-la-Ville,30657,27602,2427,0,0,0,0,0,0,0,0,258,0,0,47,6017,6078,6490,3981,1056,534,612,28,35,39,0,0,0,0
BE_K00068,Electoral Canton Frameries,20687,18642,1885,0,0,0,0,0,0,0,0,246,0,0,131,6900,2663,2752,2525,923,197,260,24,72,64,0,0,0,0
BE_K00069,Electoral Canton Frasnes-Lez-Anvaing,8551,7720,591,0,0,0,0,0,0,0,0,26,0,0,18,1673,1293,2994,808,171,46,66,2,24,8,0,0,0,0
BE_K00072,Electoral Canton Gedinne,7894,7311,838,0,0,0,0,0,0,0,0,31,0,0,19,1232,1164,2253,1292,216,125,111,10,12,8,0,0,0,0
BE_K00073,Electoral Canton Gembloux,55642,49983,4727,0,0,0,0,0,0,0,0,329,0,0,125,12918,10492,10762,6362,1920,1006,1152,40,81,69,0,0,0,0
BE_K00074,Electoral Canton Genappe,18041,16456,1049,0,0,0,0,0,0,0,0,65,0,0,39,2447,3981,5520,2354,400,249,284,10,36,22,0,0,0,0
BE_K00075,Electoral Canton Genk,62402,58403,2750,0,7586,9103,16196,8818,5779,3186,3133,1471,178,115,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00071,Electoral Canton Gand,174718,159781,6857,0,41179,20110,21551,24751,9853,8116,23089,2076,1301,477,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00079,Electoral Canton Grammont,25030,23130,1362,0,6294,3682,3674,3329,1688,1664,1088,154,96,49,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00076,Electoral Canton Gistel,27034,25469,1667,0,4636,2632,6124,3104,1758,3838,1276,140,216,58,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00077,Electoral Canton Glabbeek,14892,13888,688,0,3048,1449,3301,1448,1514,977,1249,110,58,30,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00078,Electoral Canton Grâce-Hollogne,39418,34998,2329,0,0,0,0,0,0,0,0,758,0,0,139,15431,6444,4831,2853,1067,296,536,87,83,144,0,0,0,0
BE_K00081,Electoral Canton Haacht,59937,54914,2628,0,12222,6898,11150,6355,6167,3685,4956,407,255,132,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00082,Electoral Canton Hal,88420,79337,5861,0,12449,9019,10921,4369,6903,3545,4181,422,208,87,158,3223,5417,9438,1760,452,123,646,30,72,53,0,0,0,0
BE_K00083,Electoral Canton Hamme,26580,24888,1012,0,5386,4215,5621,2707,2159,1776,1526,157,232,53,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00084,Electoral Canton Hannut,19880,18343,1265,0,0,0,0,0,0,0,0,100,0,0,34,3909,3888,6459,1807,355,224,217,31,19,35,0,0,0,0
BE_K00085,Electoral Canton Harelbeke,58556,55115,3221,0,8949,6676,16794,6179,4178,5352,2967,311,359,83,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00086,Electoral Canton Hasselt,87305,80915,3808,0,13285,10769,17059,15292,9229,4645,5399,733,442,151,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00087,Electoral Canton Heist-op-den-Berg,61929,57728,3184,0,10278,9680,14837,5466,5330,4298,3504,586,361,100,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00089,Electoral Canton Herentals,78539,73641,3977,0,11075,11513,20804,7566,7903,4624,4865,635,405,137,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00088,Electoral Canton Herck-la-Ville,28027,26381,1759,0,4516,3438,6503,3868,2714,1819,1296,179,197,60,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00090,Electoral Canton Herstal,24970,21364,1293,0,0,0,0,0,0,0,0,1522,0,0,86,9518,3262,2795,1684,694,145,241,23,46,55,0,0,0,0
BE_K00091,Electoral Canton Herve,16561,15134,1109,0,0,0,0,0,0,0,0,95,0,0,17,2523,3230,4513,2911,389,115,182,11,25,14,0,0,0,0
BE_K00092,Electoral Canton Herzele,38545,33103,1983,0,8426,5037,6528,3316,3057,2665,1647,182,170,56,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00093,Electoral Canton Hooglede,16446,15304,1020,0,2470,1421,5310,1224,1283,1582,791,62,81,44,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00094,Electoral Canton Hoogstraten,27500,25707,1318,0,4820,3724,8600,1703,2258,1293,1641,174,116,39,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00095,Electoral Canton Horebeke,7943,7423,432,0,2389,748,1426,809,524,463,526,37,54,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00096,Electoral Canton Houffalize,3647,3345,354,0,0,0,0,0,0,0,0,7,0,0,3,614,598,877,708,97,37,40,2,3,5,0,0,0,0
BE_K00097,Electoral Canton Huy,39363,34973,2657,0,0,0,0,0,0,0,0,297,0,0,58,10437,10790,5605,2791,1014,402,440,277,69,136,0,0,0,0
BE_K00202,Electoral Canton Ypres,33487,30680,1967,0,4028,3265,10901,3189,2058,3106,1691,147,227,70,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00098,Electoral Canton Ixelles,74581,62524,2624,0,2566,564,770,504,221,147,829,576,21,15,141,8860,18532,18805,0,839,282,303,44,495,221,5165,0,0,0
BE_K00099,Electoral Canton Izegem,29815,27711,1828,0,3535,3518,7137,3556,3407,2625,1654,173,180,68,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00100,Electoral Canton Jodoigne,30783,28389,1843,0,0,0,0,0,0,0,0,110,0,0,53,4873,5916,11291,2889,573,367,367,23,56,28,0,0,0,0
BE_K00101,Electoral Canton Kapellen,86362,78063,2748,0,16947,17378,12917,7751,9397,3489,5763,858,538,169,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00102,Electoral Canton Kaprijke,4901,4545,278,0,898,433,1401,343,402,383,268,51,69,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00103,Electoral Canton Kontich,93271,85170,2273,0,17327,14370,17285,8477,10657,3827,9470,729,485,158,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00040,Electoral Canton Courtrai,101563,94160,5206,0,16885,10934,26952,9937,7774,7979,6786,725,650,205,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00104,Electoral Canton Kruishoutem,11924,11193,634,0,3175,1008,3237,666,741,862,751,47,42,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00121,Electoral Canton Louvain,137459,125070,4837,0,25474,11787,25271,17944,12359,5997,18273,1512,1080,350,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00114,Electoral Canton Liège,128372,107674,5791,0,0,0,0,0,0,0,0,2270,0,0,315,36845,25315,20431,9693,3229,1083,1387,144,677,494,0,0,0,0
BE_K00106,Electoral Canton La Louvière,50103,44593,4414,0,0,0,0,0,0,0,0,1301,0,0,202,17514,6427,6655,4117,2100,427,886,108,119,323,0,0,0,0
BE_K00107,Electoral Canton La Roche-en-Ardenne,7052,6628,547,0,0,0,0,0,0,0,0,32,0,0,12,1435,1189,1842,1289,138,55,66,3,10,10,0,0,0,0
BE_K00108,Electoral Canton Landen,12106,11233,773,0,2375,1264,2321,1993,821,740,717,98,87,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00109,Electoral Canton Le Roeulx,6065,5527,483,0,0,0,0,0,0,0,0,57,0,0,22,1421,1032,1439,620,187,62,92,7,10,95,0,0,0,0
BE_K00110,Electoral Canton Lennik,35691,33037,2262,0,6757,4789,7941,1973,3380,2164,1770,149,108,25,38,284,460,576,194,58,16,54,17,8,14,0,0,0,0
BE_K00111,Electoral Canton Lens,9801,9173,514,0,0,0,0,0,0,0,0,75,0,0,17,2255,1568,3439,827,249,98,95,7,17,12,0,0,0,0
BE_K00112,Electoral Canton Lessines,13699,12115,1384,0,0,0,0,0,0,0,0,82,0,0,36,3854,1887,2437,1349,444,285,260,26,39,32,0,0,0,0
BE_K00113,Electoral Canton Leuze-en-Hainaut,10225,9177,952,0,0,0,0,0,0,0,0,39,0,0,19,2381,1520,2580,1117,288,79,155,5,13,29,0,0,0,0
BE_K00115,Electoral Canton Lichtervelde,6665,6265,449,0,1063,515,2152,565,438,659,318,41,43,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00116,Electoral Canton Lierre,35308,32479,1501,0,6273,6051,6486,3828,3016,2051,2634,298,232,61,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00117,Electoral Canton Limbourg,20218,18080,1625,0,0,0,0,0,0,0,0,106,0,0,31,3561,4083,4691,2880,588,226,218,18,23,30,0,0,0,0
BE_K00118,Electoral Canton Lochristi,26417,24607,1036,0,7419,3113,5241,1830,1954,1939,1525,314,145,51,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00119,Electoral Canton Lokeren,28770,26996,1383,0,6634,4289,5436,3130,1923,1776,1830,273,216,68,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00122,Electoral Canton Maaseik,39335,37559,2601,0,7222,6291,9547,4627,3342,2016,1338,259,191,67,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00123,Electoral Canton Maasmechelen,39015,37037,2060,0,8699,6143,7901,5671,2903,1587,1389,410,152,51,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00125,Electoral Canton Malmedy,14218,12771,1429,0,0,0,0,0,0,0,0,35,0,0,25,1470,2706,4004,2392,359,148,148,13,15,27,0,0,0,0
BE_K00126,Electoral Canton Marche-en-Famenne,16542,15026,1295,0,0,0,0,0,0,0,0,56,0,0,11,4843,2503,2807,2797,383,131,157,8,18,17,0,0,0,0
BE_K00124,Electoral Canton Malines,76327,69633,2659,0,12322,12977,11877,12763,6083,3367,6301,602,380,197,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00127,Electoral Canton Meise,71547,65022,3897,0,12097,8569,11691,4318,6518,3062,4269,323,202,49,67,1325,2758,4271,912,305,68,252,22,33,14,0,0,0,0
BE_K00128,Electoral Canton Menin,48416,44884,3187,0,6266,5532,11520,6736,3171,4346,3170,435,337,102,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00129,Electoral Canton Merbes-le-Château,18240,14180,1407,0,0,0,0,0,0,0,0,63,0,0,25,4224,1979,2570,2532,754,201,289,70,27,39,0,0,0,0
BE_K00132,Electoral Canton Messines,6666,6233,553,0,1036,626,2009,480,355,668,388,53,43,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00131,Electoral Canton Messancy,15065,13550,1887,0,0,0,0,0,0,0,0,46,0,0,18,2899,2994,2475,2305,513,122,194,21,34,42,0,0,0,0
BE_K00133,Electoral Canton Meulebeke,15063,14113,961,0,2099,1635,4811,1084,1284,1436,633,55,82,18,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00134,Electoral Canton Mol,78421,72953,4320,0,9147,11882,19571,9603,8982,4294,4039,558,292,161,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00135,Electoral Canton Molenbeek-Saint-Jean,100275,84369,5557,0,3901,2390,1542,1932,563,453,1370,1109,53,50,224,20216,14534,16749,0,1997,246,380,87,289,189,10538,0,0,0
BE_K00136,Electoral Canton Mons,62508,54045,4357,0,0,0,0,0,0,0,0,751,0,0,316,20986,9684,9037,4795,2323,576,691,67,253,209,0,0,0,0
BE_K00137,Electoral Canton Mouscron,35196,31894,4340,0,0,0,0,0,0,0,0,261,0,0,58,7672,6295,5023,5617,1429,219,781,34,70,95,0,0,0,0
BE_K00138,Electoral Canton Namur,86839,75595,5511,0,0,0,0,0,0,0,0,657,0,0,115,16799,19190,17390,10965,1999,1481,1133,73,169,113,0,0,0,0
BE_K00139,Electoral Canton Nandrin,24309,22231,1454,0,0,0,0,0,0,0,0,231,0,0,48,6309,5556,5111,2321,559,289,256,24,34,39,0,0,0,0
BE_K00140,Electoral Canton Nassogne,3824,3466,277,0,0,0,0,0,0,0,0,25,0,0,2,881,822,721,579,76,33,34,1,8,7,0,0,0,0
BE_K00141,Electoral Canton Nazareth,23377,21776,805,0,7324,1699,4946,1413,1894,1605,1799,121,118,33,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00142,Electoral Canton Neerpelt,51632,48551,2897,0,6183,6463,13667,8370,5130,2489,2230,794,195,70,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00143,Electoral Canton Neufchâteau,15763,14686,1362,0,0,0,0,0,0,0,0,33,0,0,13,2584,2839,4241,3063,274,105,115,10,28,19,0,0,0,0
BE_K00144,Electoral Canton Nevele,24157,22593,1268,0,4978,2100,6624,1704,1978,1595,1890,151,220,57,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00145,Electoral Canton Nieuport,9300,8338,521,0,1576,958,1667,935,670,1400,474,49,67,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00146,Electoral Canton Ninove,42853,39769,2328,0,8560,8004,6574,5217,3440,2965,2115,251,202,75,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00147,Electoral Canton Nivelles,100459,89550,5905,0,0,0,0,0,0,0,0,517,0,0,676,15726,21703,30298,9178,2450,1331,1363,80,194,129,0,0,0,0
BE_K00149,Electoral Canton Ostende,93402,83425,4751,0,15660,11130,11526,14107,6004,12280,5994,587,1032,232,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00209,Electoral Canton Oosterzele,46506,43135,2066,0,12627,4454,8678,3670,3730,3180,4011,288,294,71,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00148,Electoral Canton Oostrozebeke,12879,12199,875,0,1735,1597,4282,741,1024,1420,389,45,56,16,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00013,Electoral Canton Audenarde,33351,31127,1634,0,9312,3039,7385,2858,2137,2317,2052,155,165,41,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00150,Electoral Canton Péruwelz,11808,10680,1336,0,0,0,0,0,0,0,0,58,0,0,15,3357,1672,2496,950,483,82,170,8,23,30,0,0,0,0
BE_K00151,Electoral Canton Paliseul,11262,10425,1149,0,0,0,0,0,0,0,0,33,0,0,9,1928,1892,2433,2510,273,67,94,4,23,10,0,0,0,0
BE_K00152,Electoral Canton Peer,42261,39799,2340,0,5637,6297,9932,6403,4139,2375,2040,354,158,63,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00153,Electoral Canton Perwez,20138,18532,1114,0,0,0,0,0,0,0,0,62,0,0,34,3007,4712,6023,2727,315,202,274,9,36,17,0,0,0,0
BE_K00154,Electoral Canton Philippeville,12467,11496,1225,0,0,0,0,0,0,0,0,73,0,0,15,2634,1891,3286,1396,461,273,200,13,15,14,0,0,0,0
BE_K00155,Electoral Canton Poperinge,15469,14271,972,0,2376,1480,4489,1269,960,1739,759,69,99,31,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00156,Electoral Canton Puurs,35315,32654,1104,0,5242,5008,11088,3315,2642,1559,2280,240,104,35,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00158,Electoral Canton Riemst,11062,10414,665,0,2041,1248,3274,755,1482,453,391,32,38,24,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00159,Electoral Canton Rochefort,9157,8329,938,0,0,0,0,0,0,0,0,21,0,0,9,1605,1718,2497,1103,182,109,93,25,16,13,0,0,0,0
BE_K00160,Electoral Canton Roulers,60694,56547,3490,0,8208,6691,17053,6289,4945,5573,3396,328,405,107,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00157,Electoral Canton Renaix,22948,20895,2122,0,4402,3384,3432,3561,964,1154,1480,167,123,68,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
