gisco_id,name,registered,turnout,invalid,blank,Open VLD,sp.a-spirit,CD&V,VB (1979),N-VA,Groen,VIVANT,LA,MARIA,B.U.B.,UFE,RESIST,MR,Ecolo,PS,LE,CDF,AGIR,R.W.F.,PCB-CPB,PCP,NATION,PC-RDS,NOOR,VB (2003),PH,PTB/PVDA,OMNIUM,VITAL,LSP/PSL,FRANCE,DL,MS,MDT,PDA,PPR,CHOPE
BE_K00117,Electoral Canton Limbourg,18810,17200,1393,0,0,0,0,0,0,0,260,0,0,0,0,0,5718,1212,4453,2914,218,641,163,0,0,0,33,0,0,0,57,0,0,0,48,0,18,14,58,0,0
BE_K00118,Electoral Canton Lochristi,24756,23412,904,0,8712,3837,4485,3382,762,823,171,101,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,54,0,0,0,0,0,0,0
BE_K00119,Electoral Canton Lokeren,27624,26292,1021,0,8331,5109,4779,4686,763,1056,201,131,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,65,0,0,0,0,0,0,0
BE_K00120,Electoral Canton Looz,33812,32418,1563,0,8493,9464,6446,4113,1155,750,266,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0
BE_K00121,Electoral Canton Louvain,134811,124395,4167,0,29352,31685,21777,15047,7056,9338,2459,480,969,453,1612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00122,Electoral Canton Maaseik,38154,36629,1910,0,8188,8727,9774,5513,1208,574,485,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0
BE_K00123,Electoral Canton Maasmechelen,37445,35739,1319,0,10156,9588,6502,5567,1133,894,283,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0
BE_K00124,Electoral Canton Malines,73140,68614,2152,0,14953,15751,10696,16963,2822,3000,826,496,0,134,0,821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00125,Electoral Canton Malmedy,13295,12276,1120,0,0,0,0,0,0,0,249,0,0,0,0,0,5543,773,1697,1966,159,384,77,0,0,0,18,0,0,0,37,0,0,0,17,0,216,4,16,0,0
BE_K00126,Electoral Canton Marche-en-Famenne,15793,14623,1253,0,0,0,0,0,0,0,124,0,0,0,0,0,2832,754,3908,4928,174,542,66,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,19,0
BE_K00127,Electoral Canton Meise,70577,65843,3468,0,12634,11475,11117,11155,2802,1559,641,228,200,154,0,0,5527,831,1997,1081,173,515,49,0,49,21,25,43,84,15,0,0,0,0,0,0,0,0,0,0,0
BE_K00128,Electoral Canton Menin,48149,45256,3078,0,7475,11968,10971,6600,2537,1440,338,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,183,309,99,0,0,0,0,0,0,0,0
BE_K00129,Electoral Canton Merbes-le-Château,15087,13945,1216,0,0,0,0,93,0,0,89,0,0,0,0,0,2552,587,5216,2540,116,886,225,83,0,30,0,0,0,0,48,0,0,0,43,14,207,0,0,0,0
BE_K00130,Electoral Canton Merelbeke,44918,42372,1755,0,14539,7799,8259,5111,1887,2227,390,160,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,63,0,0,0,0,0,0,0
BE_K00131,Electoral Canton Messancy,14913,13780,1665,0,0,0,0,0,0,0,128,0,0,0,0,0,2437,977,4210,3356,218,604,104,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,37,0
BE_K00132,Electoral Canton Messines,6806,6534,514,0,1473,1203,1957,769,247,238,54,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,15,5,8,0,0,0,0,0,0,0,0
BE_K00133,Electoral Canton Meulebeke,14791,14109,897,0,2430,2342,5088,1842,1043,262,85,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,36,20,14,0,0,0,0,0,0,0,0
BE_K00134,Electoral Canton Mol,74434,70187,3348,0,12831,16130,18324,12921,2856,2210,885,361,0,115,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00135,Electoral Canton Molenbeek-Saint-Jean,92845,79051,3009,0,2979,2906,1587,6922,513,550,707,211,511,246,0,0,19669,4680,20621,6697,719,3539,257,0,2112,210,167,129,60,50,0,0,0,0,0,0,0,0,0,0,0
BE_K00136,Electoral Canton Mons,69245,59069,4462,0,0,0,0,436,0,0,450,0,0,0,0,0,11313,4396,25574,5497,628,4030,722,444,0,132,0,0,0,0,487,0,0,0,312,62,124,0,0,0,0
BE_K00137,Electoral Canton Mouscron,34870,32374,3700,0,0,0,0,485,0,0,476,0,0,0,0,0,4685,3131,9135,6697,300,2563,303,180,0,430,0,0,0,0,96,0,0,0,127,37,29,0,0,0,0
BE_K00138,Electoral Canton Namur,86764,76266,5280,0,0,0,0,0,0,0,1067,0,0,273,0,0,19290,8180,21691,12708,1761,3951,798,0,0,0,0,0,0,0,302,0,0,0,0,0,133,0,0,0,832
BE_K00139,Electoral Canton Nandrin,22834,21168,1284,0,0,0,0,0,0,0,345,0,0,0,0,0,6840,1567,7016,2671,168,780,221,0,0,0,49,0,0,0,77,0,0,0,79,0,30,14,27,0,0
BE_K00140,Electoral Canton Nassogne,3543,3306,231,0,0,0,0,0,0,0,37,0,0,0,0,0,753,294,867,943,51,85,27,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,7,0
BE_K00141,Electoral Canton Nazareth,22776,21397,682,0,8222,3413,4260,2092,1142,1111,244,112,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,30,0,0,0,0,0,0,0
BE_K00142,Electoral Canton Neerpelt,50091,47710,2154,0,8649,14503,12253,6199,1864,1136,433,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,0,0,0,0,0,0,0,0,0,0
BE_K00143,Electoral Canton Neufchâteau,14415,13509,1029,0,0,0,0,0,0,0,95,0,0,0,0,0,4250,754,3181,3365,368,336,83,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,21,0
