gisco_id,name,registered,turnout,invalid,blank,VB (1979),N-VA,Open VLD,CD&V,Vooruit,Groen,PTB/PVDA,Volt,PS,Ecolo,MR,LE,PP (2009),DéFI,CSP,VIVANT,ProDG,DierAnimal
BE_51065,Frasnes-lez-Anvaing,0,8118,769,0,0,0,0,0,0,0,720,0,1547,1222,2083,706,326,745,0,0,0,0
BE_56029,Froidchapelle,0,2711,276,0,0,0,0,0,0,0,364,0,693,251,622,231,144,130,0,0,0,0
BE_23023,Galmaarden / Gammerages,0,6290,381,0,1380,1348,832,1199,425,520,162,43,0,0,0,0,0,0,0,0,0,0
BE_21008,Ganshoren,0,12579,957,0,310,593,618,218,153,352,1394,22,2028,1946,1594,1116,352,926,0,0,0,0
BE_44020,Gavere,0,9587,569,0,1685,1832,2343,1047,757,1030,282,42,0,0,0,0,0,0,0,0,0,0
BE_91054,Gedinne,0,3187,349,0,0,0,0,0,0,0,299,0,806,404,724,366,98,141,0,0,0,0
BE_13008,Geel,0,28124,1205,0,6015,7194,2813,4580,1993,2623,1612,89,0,0,0,0,0,0,0,0,0,0
BE_64029,Geer,0,1336,89,0,0,0,0,0,0,0,153,0,409,173,314,70,74,54,0,0,0,0
BE_24028,Geetbets,0,4459,240,0,943,843,874,641,538,218,150,12,0,0,0,0,0,0,0,0,0,0
BE_92142,Gembloux,0,17293,1149,0,0,0,0,0,0,0,1449,0,3134,4357,3377,2195,630,1002,0,0,0,0
BE_25031,Genappe / Genepiën,0,10257,694,0,0,0,0,0,0,0,780,0,1622,2428,3123,627,386,597,0,0,0,0
BE_71016,Genk,0,42164,2079,0,6622,7849,3274,8743,6573,3127,3799,98,0,0,0,0,0,0,0,0,0,0
BE_44021,Gent / Gand,0,164620,8427,0,18630,21594,31506,12774,18493,39500,12627,1069,0,0,0,0,0,0,0,0,0,0
BE_41018,Geraardsbergen / Grammont,0,23769,1511,0,6194,3899,3618,2690,3062,1642,990,163,0,0,0,0,0,0,0,0,0,0
BE_52025,Gerpinnes,0,8908,641,0,0,0,0,0,0,0,983,0,2137,1262,1730,1227,461,467,0,0,0,0
BE_92054,Gesves,0,4920,318,0,0,0,0,0,0,0,467,0,794,1182,1124,514,173,348,0,0,0,0
BE_71017,Gingelom,0,6059,466,0,1101,891,983,651,1342,396,202,27,0,0,0,0,0,0,0,0,0,0
BE_35005,Gistel,0,8831,524,0,1961,1367,1536,1424,980,724,275,40,0,0,0,0,0,0,0,0,0,0
BE_24137,Glabbeek,0,3916,177,0,544,1121,543,591,378,393,150,19,0,0,0,0,0,0,0,0,0,0
BE_23024,Gooik,0,6807,405,0,1223,1700,1086,1361,298,566,142,26,0,0,0,0,0,0,0,0,0,0
BE_82037,Gouvy,0,3440,349,0,0,0,0,0,0,0,356,0,483,510,453,1056,115,118,0,0,0,0
BE_62118,Grâce-Hollogne,0,14974,1396,0,0,0,0,0,0,0,3145,0,4825,1755,1634,733,893,593,0,0,0,0
BE_25037,Grez-Doiceau / Graven,0,9015,525,0,0,0,0,0,0,0,545,0,1182,2215,3020,618,330,580,0,0,0,0
BE_23025,Grimbergen,0,23296,1208,0,2662,4983,4799,2276,2132,3846,1243,147,0,0,0,0,0,0,0,0,0,0
BE_13010,Grobbendonk,0,8254,327,0,1769,2094,1365,936,637,769,331,26,0,0,0,0,0,0,0,0,0,0
BE_25118,Hélécine,0,2404,209,0,0,0,0,0,0,0,246,0,516,346,597,256,111,123,0,0,0,0
BE_61028,Héron,0,3609,283,0,0,0,0,0,0,0,442,0,899,705,625,311,137,207,0,0,0,0
BE_24033,Haacht,0,10325,420,0,1502,2408,1889,1314,935,1446,369,42,0,0,0,0,0,0,0,0,0,0
BE_41024,Haaltert,0,13318,707,0,3676,2890,2195,1449,1129,896,331,45,0,0,0,0,0,0,0,0,0,0
BE_85046,Habay,0,5457,609,0,0,0,0,0,0,0,353,0,808,1147,1214,965,162,199,0,0,0,0
BE_71020,Halen,0,7403,468,0,1222,1412,1097,1401,783,668,300,52,0,0,0,0,0,0,0,0,0,0
BE_23027,Halle / Hal,0,25269,1241,0,3851,6230,3347,2568,3259,3352,1298,123,0,0,0,0,0,0,0,0,0,0
BE_71069,Ham,0,7601,380,0,1930,1403,969,1154,769,501,455,40,0,0,0,0,0,0,0,0,0,0
BE_56086,Ham-sur-Heure-Nalinnes,0,9644,601,0,0,0,0,0,0,0,858,0,2074,1626,3062,552,452,419,0,0,0,0
BE_42008,Hamme,0,17332,776,0,4156,3589,2307,2737,1535,1532,608,92,0,0,0,0,0,0,0,0,0,0
BE_61024,Hamoir,0,2669,262,0,0,0,0,0,0,0,376,0,668,358,459,255,155,136,0,0,0,0
BE_91059,Hamois,0,4910,363,0,0,0,0,0,0,0,520,0,781,1066,1100,468,167,445,0,0,0,0
BE_72037,Hamont-Achel,0,7246,357,0,1518,1654,698,1651,542,514,295,17,0,0,0,0,0,0,0,0,0,0
BE_64034,Hannut / Hannuit,0,11283,918,0,0,0,0,0,0,0,1076,0,2101,1747,3475,927,492,547,0,0,0,0
BE_34013,Harelbeke,0,20187,1200,0,4590,3279,2425,3148,3004,1729,709,103,0,0,0,0,0,0,0,0,0,0
BE_71022,Hasselt,0,54569,2409,0,7534,11715,7887,8046,6775,6876,3142,185,0,0,0,0,0,0,0,0,0,0
