gisco_id,name,registered,turnout,invalid,blank,Open VLD,VB (1979),CD&V,Groen,sp.a-spirit,LDD,PTB/PVDA,CAP,NP-FN,MR,Ecolo,PS,LE,AGIR,CDF,R.W.F.,B.U.B.,PCB-CPB,VÉLO,FDB,PJM,Trefle,RW,PW,WDA,VIVANT,DLC,MP Education,UMP-B,Pluralis,GSCD,BP,VITAL
BE_K00173,Electoral Canton Sint-Gillis-Waas,26971,25446,1137,0,4328,5485,7718,1705,2972,1791,208,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00167,Electoral Canton Saint-Trond,42461,39880,2226,0,7725,6718,10596,1501,9064,1644,178,95,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0
BE_K00174,Electoral Canton Soignies,40423,36643,2295,0,0,0,0,0,0,0,148,65,0,11797,3950,10425,4734,1887,131,371,29,391,0,0,0,0,115,97,94,96,18,0,0,0,0,0,0
BE_K00175,Electoral Canton Spa,23799,21153,1396,0,0,0,0,0,0,0,50,25,0,7678,2803,4877,2499,1030,68,312,0,159,0,0,0,0,61,0,46,109,0,28,12,0,0,0,0
BE_K00176,Electoral Canton Stavelot,11703,10577,699,0,0,0,0,0,0,0,27,10,0,4061,1304,2164,1678,339,29,137,0,44,0,0,0,0,28,0,13,32,0,6,6,0,0,0,0
BE_K00177,Electoral Canton Tamise,32292,30097,1195,0,4944,6968,8364,1895,4679,1653,272,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00179,Electoral Canton Thuin,25701,23365,1253,0,0,0,0,0,0,0,108,28,0,7722,3104,5654,3098,1286,55,518,26,184,0,0,0,0,106,99,58,59,7,0,0,0,0,0,0
BE_K00180,Electoral Canton Tielt,28010,26452,1488,0,4374,2922,10932,1165,2875,2396,153,74,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
BE_K00181,Electoral Canton Tirlemont,38312,35134,1773,0,6853,5376,7954,2267,8684,1746,232,114,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00182,Electoral Canton Tongres,26886,24852,1448,0,6588,3472,6344,958,4828,863,178,64,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0
