gisco_id,name,registered,turnout,invalid,blank,N-VA,Open VLD,CD&V,Vooruit,VB (1979),Groen,SD&P,PTB/PVDA,PP (2009),ROSSEM,B.U.B.,PVGW,DéFI,PS,MR,LE,PTB-GO,Ecolo,R!,FPN,La Droite,WDA,LO,RW,P+,NATION,R.W.F.,FW,NWA,MGJOD,LDD,VLC,PP [Parti Pensionnés],ISLAM,CIM,VPB,GC,Égalitaires !,P-Lib,Agora Erasmus,La Lutte,MOVE
BE_51014,Chièvres,0,4590,337,0,0,0,0,0,0,0,0,0,146,0,3,0,55,1879,1225,389,101,223,83,41,30,17,8,11,4,9,14,5,8,2,0,0,0,0,0,0,0,0,0,0,0,0
BE_56016,Chimay,0,6683,734,0,0,0,0,0,0,0,0,0,207,0,7,0,114,1905,1746,991,169,402,64,80,53,30,25,16,27,14,28,9,59,3,0,0,0,0,0,0,0,0,0,0,0,0
BE_85007,Chiny,0,1831,120,0,0,0,0,0,0,0,0,0,41,0,6,0,26,706,420,325,32,118,16,0,13,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_91030,Ciney,0,10765,830,0,0,0,0,0,0,0,0,0,345,0,21,0,170,2359,3967,1298,424,966,141,0,101,0,0,0,0,22,63,11,15,0,0,0,0,0,0,32,0,0,0,0,0,0
BE_61012,Clavier,0,2998,184,0,0,0,0,0,0,0,0,0,119,0,10,0,70,599,819,638,177,260,34,0,31,20,0,0,0,5,10,0,0,0,0,6,12,1,3,0,0,0,0,0,0,0
BE_53082,Colfontaine,0,12002,1567,0,0,0,0,0,0,0,0,0,553,0,17,0,291,5124,1182,805,643,402,671,208,110,72,81,25,80,89,28,24,24,6,0,0,0,0,0,0,0,0,0,0,0,0
BE_62026,Comblain-au-Pont,0,3321,215,0,0,0,0,0,0,0,0,0,133,0,5,0,62,1084,756,346,251,287,46,0,42,39,0,0,0,11,12,5,0,0,0,6,13,2,6,0,0,0,0,0,0,0
BE_54010,Comines-Warneton / Komen-Waasten,0,9222,1405,0,0,0,0,0,0,0,0,0,149,0,11,0,71,2348,1885,2118,156,619,114,82,82,69,44,8,11,14,12,7,13,4,0,0,0,0,0,0,0,0,0,0,0,0
BE_52015,Courcelles,0,18506,1596,0,0,0,0,0,0,0,0,0,731,0,12,0,301,6318,5188,932,1008,760,609,286,149,156,67,53,61,84,44,71,70,10,0,0,0,0,0,0,0,0,0,0,0,0
BE_25023,Court-Saint-Étienne,0,5458,283,0,0,0,0,0,0,0,0,0,215,0,16,0,184,1230,1740,599,190,826,67,0,57,0,0,0,0,13,20,0,9,0,0,2,0,0,0,0,0,0,0,0,0,7
BE_93014,Couvin,0,9368,966,0,0,0,0,0,0,0,0,0,414,0,24,0,161,2797,1952,1475,463,473,294,0,130,0,0,0,0,64,78,27,15,0,0,0,0,0,0,35,0,0,0,0,0,0
BE_64021,Crisnée,0,2186,89,0,0,0,0,0,0,0,0,0,73,0,0,0,30,473,1062,196,95,114,15,0,11,11,0,0,0,3,4,1,0,0,0,7,2,0,0,0,0,0,0,0,0,0
BE_62027,Dalhem,0,4776,213,0,0,0,0,0,0,0,0,0,151,0,5,0,101,929,2150,529,227,307,44,0,40,29,0,0,0,20,12,3,0,0,0,0,8,7,1,0,0,0,0,0,0,0
BE_31006,Damme,0,9575,742,0,2734,1361,2251,943,360,725,0,124,0,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,0,0,0,0,0,0,0,0,0,0,0
BE_84016,Daverdisse,0,1022,69,0,0,0,0,0,0,0,0,0,38,0,5,0,25,215,236,327,24,57,12,0,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_35029,De Haan,0,9586,389,0,2872,1991,1187,1523,352,701,0,103,0,31,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412,0,0,0,0,0,0,0,0,0,0,0
BE_38008,De Panne / La Panne,0,7454,444,0,1755,1290,874,2004,307,394,0,82,0,20,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0
