gisco_id,name,registered,turnout,invalid,blank,VB (1979),N-VA,Vooruit,CD&V,Open VLD,PTB/PVDA,Groen,Voor U,Volt,PS,MR,LE,Ecolo,GA/SAP,DéFI,CSP,VIVANT,ProDG
BE_82003,Bastogne / Bastenaken,0,11106,1195,0,0,0,0,0,0,966,0,0,0,951,4120,2874,651,200,149,0,0,0
BE_56005,Beaumont,0,5002,503,0,0,0,0,0,0,514,0,0,0,809,1759,1020,209,104,84,0,0,0
BE_91013,Beauraing,0,6754,695,0,0,0,0,0,0,658,0,0,0,928,2392,1485,373,101,122,0,0,0
BE_25005,Beauvechain / Bevekom,0,5135,283,0,0,0,0,0,0,322,0,0,0,456,2227,920,747,62,118,0,0,0
BE_31003,Beernem,0,12092,594,0,2599,2557,1678,2169,825,431,1043,142,54,0,0,0,0,0,0,0,0,0
BE_13004,Beerse,0,13232,451,0,3969,3501,1316,1881,618,540,774,115,67,0,0,0,0,0,0,0,0,0
BE_23003,Beersel,0,16853,854,0,2193,3138,1599,1972,2964,1436,2166,286,245,0,0,0,0,0,0,0,0,0
BE_24007,Begijnendijk,0,8289,413,0,2132,1804,1106,1137,529,369,619,122,58,0,0,0,0,0,0,0,0,0
BE_24008,Bekkevoort,0,4906,244,0,1277,993,623,737,417,229,292,65,29,0,0,0,0,0,0,0,0,0
BE_51008,Beloeil,0,9625,1016,0,0,0,0,0,0,1329,0,0,0,2093,3162,1032,556,198,239,0,0,0
BE_21003,Berchem-Sainte-Agathe / Sint-Agatha-Berchem,0,13335,934,0,448,382,168,185,221,3142,261,31,53,2118,2963,1040,898,101,390,0,0,0
BE_71004,Beringen,0,33678,1784,0,7923,6471,4554,4928,1353,4535,1639,357,134,0,0,0,0,0,0,0,0,0
BE_12002,Berlaar,0,8912,413,0,2302,2200,1110,1099,547,471,621,108,41,0,0,0,0,0,0,0,0,0
BE_42003,Berlare,0,11622,443,0,3324,2344,1345,1382,1580,459,606,82,57,0,0,0,0,0,0,0,0,0
BE_64008,Berloz,0,2354,201,0,0,0,0,0,0,265,0,0,0,492,825,318,153,49,51,0,0,0
BE_51009,Bernissart,0,7748,831,0,0,0,0,0,0,1111,0,0,0,1924,2350,789,387,196,160,0,0,0
BE_24009,Bertem,0,7172,246,0,1102,1519,958,1009,987,315,890,81,65,0,0,0,0,0,0,0,0,0
BE_82005,Bertogne,0,2596,326,0,0,0,0,0,0,177,0,0,0,162,1108,571,144,65,43,0,0,0
BE_84009,Bertrix,0,6193,692,0,0,0,0,0,0,538,0,0,0,753,2565,1052,400,103,90,0,0,0
BE_46003,Beveren (Sint-Niklaas) / Beveren (Saint-Nicolas),0,35928,1442,0,9790,9487,3986,4454,1862,1756,2604,352,195,0,0,0,0,0,0,0,0,0
BE_62015,Beyne-Heusay,0,7623,615,0,0,0,0,0,0,1296,0,0,0,1899,2071,938,454,163,187,0,0,0
BE_91015,Bièvre,0,2522,290,0,0,0,0,0,0,220,0,0,0,250,1228,350,103,48,33,0,0,0
BE_23009,Bever / Biévène,0,1714,104,0,322,232,153,325,226,79,174,83,16,0,0,0,0,0,0,0,0,0
BE_24011,Bierbeek,0,7605,228,0,879,1624,991,1298,803,310,1264,82,126,0,0,0,0,0,0,0,0,0
BE_73006,Bilzen,0,23989,1237,0,6297,4986,2281,3949,2053,1521,1341,200,124,0,0,0,0,0,0,0,0,0
BE_58002,Binche,0,21958,2208,0,0,0,0,0,0,3142,0,0,0,6432,6027,2448,879,414,408,0,0,0
BE_31004,Blankenberge,0,14888,930,0,3814,3100,2485,1141,1639,772,721,202,84,0,0,0,0,0,0,0,0,0
BE_62119,Blégny,0,9510,555,0,0,0,0,0,0,965,0,0,0,1750,3640,1581,660,169,190,0,0,0
BE_72003,Bocholt,0,9096,431,0,2662,1939,733,1963,471,407,395,60,35,0,0,0,0,0,0,0,0,0
BE_11004,Boechout,0,10026,287,0,1628,3107,1010,975,810,476,1565,69,99,0,0,0,0,0,0,0,0,0
BE_12005,Bonheiden,0,11431,337,0,1988,3046,1171,1587,1265,495,1333,103,106,0,0,0,0,0,0,0,0,0
BE_11005,Boom,0,12019,638,0,2708,2434,1575,952,542,2117,888,88,77,0,0,0,0,0,0,0,0,0
BE_24014,Boortmeerbeek,0,9626,334,0,1686,2374,1250,1158,1109,468,1009,139,99,0,0,0,0,0,0,0,0,0
BE_73009,Borgloon / Looz,0,8637,530,0,2178,1427,1187,1028,1303,458,395,94,37,0,0,0,0,0,0,0,0,0
BE_12007,Bornem,0,16865,614,0,4089,3840,2132,2377,1016,985,1539,160,113,0,0,0,0,0,0,0,0,0
BE_11007,Borsbeek,0,7030,333,0,1629,1872,645,468,290,963,718,55,57,0,0,0,0,0,0,0,0,0
BE_84010,Bouillon,0,3523,436,0,0,0,0,0,0,310,0,0,0,464,1577,406,179,83,68,0,0,0
BE_53014,Boussu,0,12197,1600,0,0,0,0,0,0,2155,0,0,0,3905,2546,997,512,279,203,0,0,0
BE_24016,Boutersem,0,6376,260,0,1048,1259,1005,995,535,335,798,85,56,0,0,0,0,0,0,0,0,0
BE_31005,Brugge / Bruges,0,84908,3137,0,16452,15335,14044,11767,6661,4328,11748,758,678,0,0,0,0,0,0,0,0,0
