gisco_id,name,registered,turnout,invalid,blank,VB (1979),VIVANT,CD&V-N-VA,sp.a-spirit,Groen,PTB/PVDA,LSP/PSL,Vooruit,MR,CSP,Ecolo,AGIR,R.W.F.,CDF,PS,LE,ProDG
BE_K00021,Electoral Canton Beringen,83431,77940,3888,0,19804,11254,18915,19522,3933,377,247,0,0,0,0,0,0,0,0,0,0
BE_K00022,Electoral Canton Beveren,35385,32918,1111,0,9241,5331,10035,4551,2352,160,137,0,0,0,0,0,0,0,0,0,0
BE_K00023,Electoral Canton Bilzen,29860,28322,1598,0,6105,5303,9653,4199,1238,130,96,0,0,0,0,0,0,0,0,0,0
BE_K00024,Electoral Canton Binche,42277,37535,2820,0,0,0,0,0,0,283,67,17181,6163,3897,2083,4322,576,143,0,0,0
BE_K00025,Electoral Canton Boom,43509,39862,1514,0,11866,6117,8849,8706,2459,243,108,0,0,0,0,0,0,0,0,0,0
BE_K00120,Electoral Canton Looz,34027,32463,1811,0,6297,7730,8897,5851,1646,125,106,0,0,0,0,0,0,0,0,0,0
BE_K00026,Electoral Canton Bouillon,4125,3781,360,0,0,0,0,0,0,9,3,951,1252,635,226,282,25,38,0,0,0
BE_K00027,Electoral Canton Boussu,46121,41420,3172,0,0,0,0,0,0,375,95,19985,5874,4275,2558,4448,475,163,0,0,0
BE_K00032,Electoral Canton Bruxelles,76836,62923,2512,0,3140,2450,1803,2079,1861,501,212,0,13611,0,5405,3050,227,477,18824,6771,0
BE_K00028,Electoral Canton Brakel,16204,15225,936,0,2646,4545,3874,2307,802,56,59,0,0,0,0,0,0,0,0,0,0
BE_K00029,Electoral Canton Brecht,65857,60557,2773,0,14454,11092,19303,7882,4552,346,155,0,0,0,0,0,0,0,0,0,0
BE_K00030,Electoral Canton Bree,29119,28077,1633,0,4827,6712,10361,3237,1106,104,97,0,0,0,0,0,0,0,0,0,0
BE_K00031,Electoral Canton Bruges,201008,185068,9019,0,34395,40094,52919,31500,15687,716,738,0,0,0,0,0,0,0,0,0,0
BE_K00033,Electoral Canton Celles,6620,6104,570,0,0,0,0,0,0,13,5,1686,1911,1114,421,312,28,44,0,0,0
BE_K00034,Electoral Canton Châtelet,60507,54226,3818,0,0,0,0,0,0,599,104,21619,9212,7214,3424,7335,569,332,0,0,0
BE_K00035,Electoral Canton Charleroi,134387,115208,8978,0,0,0,0,0,0,1711,247,44695,17809,12891,7969,18791,1470,647,0,0,0
BE_K00036,Electoral Canton Chièvres,6754,6534,454,0,0,0,0,0,0,23,10,2593,1700,716,394,553,54,37,0,0,0
BE_K00037,Electoral Canton Chimay,10849,10030,1069,0,0,0,0,0,0,31,10,2479,2744,2114,619,796,127,41,0,0,0
BE_K00038,Electoral Canton Ciney,22899,20821,1566,0,0,0,0,0,0,60,19,5721,6186,3892,1943,1132,140,162,0,0,0
BE_K00039,Electoral Canton Comines-Warneton,10987,10054,1504,0,0,0,0,0,0,47,18,2003,2383,2552,745,693,56,53,0,0,0
BE_K00041,Electoral Canton Couvin,14321,13039,1282,0,0,0,0,0,0,65,7,4299,2680,2626,897,1032,105,46,0,0,0
BE_K00042,Electoral Canton Deinze,33269,31201,1579,0,5210,8400,9452,4066,2269,119,106,0,0,0,0,0,0,0,0,0,0
BE_K00178,Electoral Canton Termonde,59088,54642,2216,0,12734,12092,13932,9833,3473,229,133,0,0,0,0,0,0,0,0,0,0
BE_K00043,Electoral Canton Destelbergen,13452,12554,421,0,2310,3909,2887,1652,1266,63,46,0,0,0,0,0,0,0,0,0,0
BE_K00044,Electoral Canton Diest,46339,43437,2469,0,9737,9600,10410,8434,2359,233,195,0,0,0,0,0,0,0,0,0,0
BE_K00047,Electoral Canton Dixmude,37622,35313,2715,0,6180,7150,12398,5025,1610,123,112,0,0,0,0,0,0,0,0,0,0
BE_K00045,Electoral Canton Dinant,27058,24540,1938,0,0,0,0,0,0,69,25,7283,6827,4186,2041,1792,197,182,0,0,0
BE_K00046,Electoral Canton Dison,9490,8301,706,0,0,0,0,0,0,46,14,3619,1369,977,579,855,91,45,0,0,0
BE_K00048,Electoral Canton Dour,33756,30162,2610,0,0,0,0,0,0,208,62,13328,4844,3313,1672,3592,344,189,0,0,0
BE_K00049,Electoral Canton Duffel,38801,35457,1443,0,8596,6914,11432,4007,2813,155,97,0,0,0,0,0,0,0,0,0,0
BE_K00050,Electoral Canton Durbuy,7720,6884,343,0,0,0,0,0,0,25,13,2289,1777,1324,625,376,52,60,0,0,0
BE_K00051,Electoral Canton Eeklo,38008,35427,2089,0,6033,9019,10689,4442,2769,226,160,0,0,0,0,0,0,0,0,0,0
BE_K00052,Electoral Canton Eghezée,21348,19638,1178,0,0,0,0,0,0,64,31,5249,6003,3593,1980,1205,189,146,0,0,0
BE_K00053,Electoral Canton Enghien,14460,13253,900,0,0,0,0,0,0,47,20,3642,3881,2321,1098,1079,101,164,0,0,0
BE_K00054,Electoral Canton Erezée,4408,4079,290,0,0,0,0,0,0,11,5,950,1303,905,372,177,51,15,0,0,0
BE_K00055,Electoral Canton Estaimpuis,9967,9240,928,0,0,0,0,0,0,33,21,3215,1845,1578,746,751,46,77,0,0,0
BE_K00056,Electoral Canton Etalle,11552,10767,1025,0,0,0,0,0,0,25,9,2499,3116,2322,1027,475,138,131,0,0,0
BE_K00057,Electoral Canton Eupen,25649,22568,2498,0,0,0,0,0,0,0,0,2904,4164,9059,2570,0,0,0,0,0,1373
BE_K00058,Electoral Canton Evergem,24918,22883,1018,0,4554,4737,6293,4110,1907,178,86,0,0,0,0,0,0,0,0,0,0
BE_K00059,Electoral Canton Fauvillers,1357,1289,111,0,0,0,0,0,0,1,2,219,445,314,108,64,5,20,0,0,0
BE_K00060,Electoral Canton Ferrières,3321,3050,161,0,0,0,0,0,0,15,3,863,923,532,348,174,17,14,0,0,0
BE_K00061,Electoral Canton Fléron,60921,54657,2517,0,0,0,0,0,0,367,101,20210,14621,7900,4256,3815,489,381,0,0,0
BE_K00062,Electoral Canton Flobecq,6815,6291,540,0,0,0,0,0,0,28,9,2058,1907,817,404,429,46,53,0,0,0
BE_K00063,Electoral Canton Florennes,8142,7757,888,0,0,0,0,0,0,33,5,2349,1850,1287,461,790,58,36,0,0,0
BE_K00064,Electoral Canton Florenville,7795,7065,687,0,0,0,0,0,0,15,9,1903,2046,1278,562,398,95,72,0,0,0
BE_K00065,Electoral Canton Fontaine-l'Evêque,47549,42635,2879,0,0,0,0,0,0,420,76,17700,7955,4557,2940,5391,508,209,0,0,0
BE_K00066,Electoral Canton Fosses-la-Ville,29087,26330,1771,0,0,0,0,0,0,129,34,7777,6476,4576,2581,2578,235,173,0,0,0
BE_K00068,Electoral Canton Frameries,20469,18496,1280,0,0,0,0,0,0,170,41,8408,2508,2527,1094,2178,184,106,0,0,0
BE_K00069,Electoral Canton Frasnes-Lez-Anvaing,8406,7437,539,0,0,0,0,0,0,23,19,2046,2523,1137,511,535,34,70,0,0,0
BE_K00072,Electoral Canton Gedinne,7773,7147,680,0,0,0,0,0,0,23,11,1548,2402,1437,443,500,52,51,0,0,0
BE_K00073,Electoral Canton Gembloux,53328,48430,3294,0,0,0,0,0,0,257,99,17678,11100,6481,4300,4519,402,300,0,0,0
BE_K00074,Electoral Canton Genappe,17176,15626,747,0,0,0,0,0,0,64,15,3875,5437,2271,1713,1199,169,136,0,0,0
BE_K00075,Electoral Canton Genk,59379,55900,2444,0,11539,8386,15268,14097,2924,1070,172,0,0,0,0,0,0,0,0,0,0
BE_K00071,Electoral Canton Gand,172735,158292,5758,0,31184,39061,26665,30061,23606,1206,751,0,0,0,0,0,0,0,0,0,0
BE_K00079,Electoral Canton Grammont,24607,22773,1269,0,5279,5399,4914,4588,1133,87,104,0,0,0,0,0,0,0,0,0,0
BE_K00076,Electoral Canton Gistel,25985,24591,1569,0,4405,5296,7417,4306,1418,79,101,0,0,0,0,0,0,0,0,0,0
BE_K00077,Electoral Canton Glabbeek,14635,13631,739,0,2390,3315,4005,1906,1183,57,36,0,0,0,0,0,0,0,0,0,0
BE_K00078,Electoral Canton Grâce-Hollogne,38831,34763,1778,0,0,0,0,0,0,483,114,17217,5885,3689,2482,2648,272,195,0,0,0
BE_K00081,Electoral Canton Haacht,57444,52776,2675,0,10630,12052,13968,8445,4651,239,116,0,0,0,0,0,0,0,0,0,0
BE_K00082,Electoral Canton Hal,87122,78662,5276,0,13734,12601,14070,6814,3781,271,186,5359,10040,2190,2484,1123,139,594,0,0,0
BE_K00083,Electoral Canton Hamme,25936,24426,771,0,5669,5691,6564,3801,1739,107,84,0,0,0,0,0,0,0,0,0,0
BE_K00084,Electoral Canton Hannut,18633,17228,1065,0,0,0,0,0,0,67,31,4846,6687,2107,1413,807,131,74,0,0,0
BE_K00085,Electoral Canton Harelbeke,57468,54614,2737,0,10653,9265,19742,8727,3077,223,190,0,0,0,0,0,0,0,0,0,0
BE_K00086,Electoral Canton Hasselt,83910,78288,3333,0,14891,13406,20192,20579,5139,469,279,0,0,0,0,0,0,0,0,0,0
BE_K00087,Electoral Canton Heist-op-den-Berg,59417,55628,2871,0,13248,10784,17509,7196,3432,337,251,0,0,0,0,0,0,0,0,0,0
BE_K00089,Electoral Canton Herentals,75791,71044,3550,0,15650,12312,23600,10184,5187,400,161,0,0,0,0,0,0,0,0,0,0
BE_K00088,Electoral Canton Herck-la-Ville,26825,25463,1518,0,5140,4514,7793,5023,1252,123,100,0,0,0,0,0,0,0,0,0,0
BE_K00080,Electoral Canton Héron,5215,4833,291,0,0,0,0,0,0,20,9,1497,1396,758,521,265,53,23,0,0,0
BE_K00090,Electoral Canton Herstal,23907,20830,1130,0,0,0,0,0,0,1163,58,9607,3447,2134,1181,1855,163,92,0,0,0
BE_K00091,Electoral Canton Herve,15941,14667,897,0,0,0,0,0,0,42,32,3553,4502,3351,1276,824,101,89,0,0,0
BE_K00092,Electoral Canton Herzele,34524,32232,1656,0,7088,8736,8053,4668,1789,117,125,0,0,0,0,0,0,0,0,0,0
BE_K00093,Electoral Canton Hooglede,16103,15256,988,0,2213,2989,6302,1793,872,56,43,0,0,0,0,0,0,0,0,0,0
BE_K00094,Electoral Canton Hoogstraten,26235,24771,1190,0,4752,5448,9034,2389,1779,128,51,0,0,0,0,0,0,0,0,0,0
BE_K00095,Electoral Canton Horebeke,7652,7314,413,0,1069,2504,1825,912,532,27,32,0,0,0,0,0,0,0,0,0,0
BE_K00096,Electoral Canton Houffalize,3419,3141,224,0,0,0,0,0,0,8,1,799,918,744,188,199,27,33,0,0,0
BE_K00097,Electoral Canton Huy,38030,34160,2278,0,0,0,0,0,0,234,52,13915,7326,3943,3714,2127,410,161,0,0,0
BE_K00202,Electoral Canton Ypres,33243,30768,1933,0,5309,5437,11383,4788,1701,115,102,0,0,0,0,0,0,0,0,0,0
BE_K00098,Electoral Canton Ixelles,75552,62732,1833,0,1225,1388,1102,750,787,374,208,0,21309,0,10398,2344,347,550,13944,6173,0
BE_K00099,Electoral Canton Izegem,29624,27753,1613,0,5107,4058,10434,4612,1717,99,113,0,0,0,0,0,0,0,0,0,0
BE_K00100,Electoral Canton Jodoigne,28910,26729,1236,0,0,0,0,0,0,85,30,6776,10882,3333,2584,1362,236,205,0,0,0
BE_K00101,Electoral Canton Kapellen,84689,77015,2712,0,22914,16473,16550,11341,6321,512,192,0,0,0,0,0,0,0,0,0,0
BE_K00102,Electoral Canton Kaprijke,4813,4492,273,0,604,995,1638,575,376,21,10,0,0,0,0,0,0,0,0,0,0
BE_K00103,Electoral Canton Kontich,92134,83932,2284,0,20303,17707,22024,11554,9454,412,194,0,0,0,0,0,0,0,0,0,0
BE_K00040,Electoral Canton Courtrai,100848,94115,4626,0,17318,17545,32453,14291,7068,408,406,0,0,0,0,0,0,0,0,0,0
BE_K00104,Electoral Canton Kruishoutem,11604,10989,553,0,1640,3351,3627,984,772,42,20,0,0,0,0,0,0,0,0,0,0
BE_K00121,Electoral Canton Louvain,135423,123183,4925,0,18759,26392,31543,22840,17591,726,407,0,0,0,0,0,0,0,0,0,0
BE_K00114,Electoral Canton Liège,126140,106012,4580,0,0,0,0,0,0,1519,437,40477,23635,13504,11625,8479,1050,706,0,0,0
BE_K00106,Electoral Canton La Louvière,48361,43387,3393,0,0,0,0,0,0,837,98,20610,6558,4567,2329,4370,463,162,0,0,0
BE_K00107,Electoral Canton La Roche-en-Ardenne,6732,6321,438,0,0,0,0,0,0,18,7,1645,2036,1369,418,322,30,38,0,0,0
BE_K00108,Electoral Canton Landen,11702,10956,680,0,2066,2559,2336,2657,526,52,80,0,0,0,0,0,0,0,0,0,0
BE_K00109,Electoral Canton Le Roeulx,5758,5287,314,0,0,0,0,0,0,28,7,1919,1287,749,384,499,69,31,0,0,0
BE_K00110,Electoral Canton Lennik,34988,32519,2186,0,6656,7197,9525,3220,1798,86,53,512,557,279,228,140,16,66,0,0,0
BE_K00111,Electoral Canton Lens,9379,8671,318,0,0,0,0,0,0,53,16,2804,2955,974,652,786,76,37,0,0,0
BE_K00112,Electoral Canton Lessines,13232,11969,1037,0,0,0,0,0,0,72,20,4902,2548,1406,754,1047,107,76,0,0,0
BE_K00113,Electoral Canton Leuze-en-Hainaut,9919,8911,688,0,0,0,0,0,0,37,6,2849,2577,1389,607,630,69,59,0,0,0
BE_K00115,Electoral Canton Lichtervelde,6478,6149,421,0,830,1259,2397,855,352,13,22,0,0,0,0,0,0,0,0,0,0
BE_K00116,Electoral Canton Lierre,34106,31628,1158,0,8194,6643,8049,4946,2351,168,119,0,0,0,0,0,0,0,0,0,0
BE_K00117,Electoral Canton Limbourg,19128,17278,1326,0,0,0,0,0,0,75,30,4952,4980,2971,1520,1179,152,93,0,0,0
BE_K00118,Electoral Canton Lochristi,24842,23171,859,0,4378,7051,6056,2775,1751,220,81,0,0,0,0,0,0,0,0,0,0
BE_K00119,Electoral Canton Lokeren,27843,26318,1097,0,6010,6409,6526,3854,2160,161,101,0,0,0,0,0,0,0,0,0,0
BE_K00122,Electoral Canton Maaseik,38333,36801,2178,0,8024,7761,10851,6199,1428,233,127,0,0,0,0,0,0,0,0,0,0
BE_K00123,Electoral Canton Maasmechelen,38178,36186,1835,0,7570,9047,7928,7870,1609,240,87,0,0,0,0,0,0,0,0,0,0
BE_K00125,Electoral Canton Malmedy,13521,12281,1255,0,0,0,0,0,0,65,21,2182,4138,2395,1097,933,137,58,0,0,0
BE_K00126,Electoral Canton Marche-en-Famenne,15974,14659,1148,0,0,0,0,0,0,37,12,5001,3223,3280,947,875,59,77,0,0,0
BE_K00124,Electoral Canton Malines,74340,67880,2524,0,18931,11860,14384,14243,5336,390,212,0,0,0,0,0,0,0,0,0,0
BE_K00127,Electoral Canton Meise,70710,64554,3708,0,12520,12037,15196,6327,4106,201,124,2257,5034,1092,1035,568,60,289,0,0,0
BE_K00128,Electoral Canton Menin,48330,45078,2886,0,8875,7044,13428,9183,3144,271,247,0,0,0,0,0,0,0,0,0,0
BE_K00129,Electoral Canton Merbes-le-Château,15177,13975,937,0,0,0,0,0,0,67,25,5182,2504,2572,736,1669,241,42,0,0,0
BE_K00132,Electoral Canton Messines,6785,6433,491,0,1021,1391,2268,797,401,33,31,0,0,0,0,0,0,0,0,0,0
BE_K00131,Electoral Canton Messancy,14810,13425,1675,0,0,0,0,0,0,43,16,3785,2580,2887,1238,1024,95,82,0,0,0
BE_K00133,Electoral Canton Meulebeke,14913,14146,839,0,2593,2360,5887,1663,710,49,45,0,0,0,0,0,0,0,0,0,0
BE_K00134,Electoral Canton Mol,74987,70077,3909,0,15557,10678,23512,11587,4255,393,186,0,0,0,0,0,0,0,0,0,0
BE_K00135,Electoral Canton Molenbeek-Saint-Jean,94921,79211,3346,0,4957,2909,2101,2192,1112,585,243,0,18493,0,5571,5144,240,539,22831,8948,0
BE_K00136,Electoral Canton Mons,62063,54130,3589,0,0,0,0,0,0,652,203,23580,8976,5892,4224,6113,569,332,0,0,0
BE_K00137,Electoral Canton Mouscron,35467,32400,3269,0,0,0,0,0,0,135,79,9395,5537,5862,3671,4015,206,231,0,0,0
BE_K00138,Electoral Canton Namur,84368,74103,4682,0,0,0,0,0,0,422,106,22058,17727,12931,9378,5415,781,603,0,0,0
BE_K00139,Electoral Canton Nandrin,23196,21224,1116,0,0,0,0,0,0,121,25,7732,5852,2798,2047,1202,230,101,0,0,0
BE_K00140,Electoral Canton Nassogne,3577,3307,226,0,0,0,0,0,0,10,2,1001,823,695,355,153,20,22,0,0,0
BE_K00141,Electoral Canton Nazareth,22831,21263,707,0,2828,7255,5889,2291,2163,75,55,0,0,0,0,0,0,0,0,0,0
BE_K00142,Electoral Canton Neerpelt,50492,47712,2528,0,8863,7026,16274,9775,2435,690,121,0,0,0,0,0,0,0,0,0,0
BE_K00143,Electoral Canton Neufchâteau,14586,13620,1065,0,0,0,0,0,0,21,19,3239,4089,3203,1075,676,80,153,0,0,0
BE_K00144,Electoral Canton Nevele,23112,21663,1220,0,3041,5008,7207,2724,2352,70,41,0,0,0,0,0,0,0,0,0,0
BE_K00145,Electoral Canton Nieuport,8625,7846,544,0,1707,1988,1777,1332,444,25,29,0,0,0,0,0,0,0,0,0,0
BE_K00146,Electoral Canton Ninove,41496,38642,1959,0,9875,9405,8273,6596,2220,135,179,0,0,0,0,0,0,0,0,0,0
BE_K00147,Electoral Canton Nivelles,95751,85610,4376,0,0,0,0,0,0,436,156,22788,28393,12390,9212,6313,864,682,0,0,0
BE_K00149,Electoral Canton Ostende,90597,81832,4440,0,17887,19173,15146,18767,5642,308,469,0,0,0,0,0,0,0,0,0,0
BE_K00209,Electoral Canton Oosterzele,45022,42145,1847,0,6991,12768,10663,5404,4163,172,137,0,0,0,0,0,0,0,0,0,0
BE_K00148,Electoral Canton Oostrozebeke,12532,11943,708,0,2440,1975,5089,1201,454,47,29,0,0,0,0,0,0,0,0,0,0
BE_K00013,Electoral Canton Audenarde,32001,30090,1508,0,4599,8941,8517,4275,2075,99,76,0,0,0,0,0,0,0,0,0,0
BE_K00150,Electoral Canton Péruwelz,11548,10547,1028,0,0,0,0,0,0,35,20,4131,2591,1002,656,941,82,61,0,0,0
BE_K00151,Electoral Canton Paliseul,11035,10176,919,0,0,0,0,0,0,27,11,2633,2771,2195,735,735,70,80,0,0,0
BE_K00152,Electoral Canton Peer,40251,38280,1922,0,8639,5613,10950,8844,1964,245,103,0,0,0,0,0,0,0,0,0,0
BE_K00153,Electoral Canton Perwez,18886,17426,793,0,0,0,0,0,0,52,18,4382,5853,3004,2178,861,157,128,0,0,0
BE_K00154,Electoral Canton Philippeville,11675,10708,828,0,0,0,0,0,0,44,15,3204,2952,1675,692,1140,111,47,0,0,0
BE_K00155,Electoral Canton Poperinge,14958,13914,914,0,2386,2611,4705,2413,777,62,46,0,0,0,0,0,0,0,0,0,0
BE_K00156,Electoral Canton Puurs,34222,31722,1054,0,6985,5567,10622,4811,2490,148,45,0,0,0,0,0,0,0,0,0,0
BE_K00158,Electoral Canton Riemst,11099,10610,606,0,1896,2464,3938,1281,349,40,36,0,0,0,0,0,0,0,0,0,0
BE_K00159,Electoral Canton Rochefort,8973,8231,712,0,0,0,0,0,0,17,9,2052,2782,1374,753,437,45,50,0,0,0
BE_K00160,Electoral Canton Roulers,59312,55527,3256,0,10349,9717,19363,8971,3503,203,165,0,0,0,0,0,0,0,0,0,0
BE_K00157,Electoral Canton Renaix,22655,20720,1710,0,4916,4744,3927,4043,1080,111,189,0,0,0,0,0,0,0,0,0,0
BE_K00161,Electoral Canton Ruiselede,14096,13273,977,0,2244,2456,5308,1385,797,70,36,0,0,0,0,0,0,0,0,0,0
BE_K00162,Electoral Canton Saint-Gilles,20641,17300,632,0,320,293,165,258,384,185,95,0,2718,0,2820,695,51,91,7304,1289,0
BE_K00163,Electoral Canton Saint-Hubert,7640,7049,603,0,0,0,0,0,0,24,4,2248,1868,1361,510,320,33,78,0,0,0
BE_K00164,Electoral Canton Saint-Josse,86058,73098,2246,0,1736,1774,1646,1029,1006,327,153,0,24424,0,8771,2880,355,1141,14574,11036,0
BE_K00165,Electoral Canton Saint-Nicolas,86306,78156,3314,0,12197,8320,11797,10173,4016,648,212,15115,5164,3006,1852,1979,213,150,0,0,0
BE_K00169,Electoral Canton Sainte-Ode,4943,4630,346,0,0,0,0,0,0,7,2,900,1590,1241,280,216,22,26,0,0,0
BE_K00168,Electoral Canton Saint-Vith,21265,19143,2208,0,0,0,0,0,0,0,0,2623,4270,6663,1310,0,0,0,0,0,2069
BE_K00170,Electoral Canton Schaerbeek,79556,66754,2952,0,2674,1707,1146,1667,1209,579,227,0,15598,0,7026,3491,232,533,20349,7364,0
BE_K00171,Electoral Canton Seneffe,40618,37471,2944,0,0,0,0,0,0,281,68,14652,7169,4850,2845,4002,455,205,0,0,0
BE_K00172,Electoral Canton Seraing,47967,42185,2124,0,0,0,0,0,0,923,151,21084,7316,3820,3004,3265,312,186,0,0,0
BE_K00173,Electoral Canton Sint-Gillis-Waas,26190,24653,1092,0,5822,4841,7297,3447,1846,201,107,0,0,0,0,0,0,0,0,0,0
BE_K00167,Electoral Canton Saint-Trond,41776,39263,2097,0,8413,7654,10160,9140,1520,135,144,0,0,0,0,0,0,0,0,0,0
BE_K00174,Electoral Canton Soignies,39640,35771,2244,0,0,0,0,0,0,206,58,12552,9046,5091,3041,3011,306,216,0,0,0
BE_K00175,Electoral Canton Spa,23443,20729,1535,0,0,0,0,0,0,116,48,6009,6431,2529,2039,1605,319,98,0,0,0
BE_K00176,Electoral Canton Stavelot,11531,10367,782,0,0,0,0,0,0,55,22,2704,3202,1818,950,595,185,54,0,0,0
BE_K00177,Electoral Canton Tamise,31541,29376,1168,0,7865,5469,7203,5332,2113,166,60,0,0,0,0,0,0,0,0,0,0
BE_K00179,Electoral Canton Thuin,25445,22946,1275,0,0,0,0,0,0,145,34,7067,5959,3504,2057,2350,474,81,0,0,0
BE_K00180,Electoral Canton Tielt,27832,26189,1581,0,4009,5127,10626,3163,1474,123,86,0,0,0,0,0,0,0,0,0,0
BE_K00181,Electoral Canton Tirlemont,36287,33570,1977,0,6744,8069,7017,7193,2229,170,171,0,0,0,0,0,0,0,0,0,0
BE_K00182,Electoral Canton Tongres,23662,22260,1434,0,3813,5635,5578,4815,819,73,93,0,0,0,0,0,0,0,0,0,0
BE_K00183,Electoral Canton Torhout,15320,14456,980,0,2296,2542,4970,2613,946,53,56,0,0,0,0,0,0,0,0,0,0
BE_K00184,Electoral Canton Tournai,49807,43906,3882,0,0,0,0,0,0,197,119,15261,9817,6302,4304,3162,436,426,0,0,0
BE_K00185,Electoral Canton Turnhout,58728,54781,2265,0,12580,9043,17223,8474,4713,306,177,0,0,0,0,0,0,0,0,0,0
BE_K00186,Electoral Canton Uccle,74270,61785,1885,0,1406,1148,865,566,379,278,176,0,22102,0,7738,2612,300,503,15017,6810,0
BE_K00187,Electoral Canton Verlaine,6933,6328,273,0,0,0,0,0,0,50,14,2283,1797,853,627,343,40,48,0,0,0
BE_K00188,Electoral Canton Verviers,39642,34138,2639,0,0,0,0,0,0,205,80,11193,8263,5193,2890,3016,429,230,0,0,0
BE_K00070,Electoral Canton Furnes,37538,33870,1983,0,5728,8953,9229,5625,2122,108,122,0,0,0,0,0,0,0,0,0,0
BE_K00189,Electoral Canton Vielsalm,8801,8048,761,0,0,0,0,0,0,28,14,2152,2028,1841,650,434,80,60,0,0,0
BE_K00190,Electoral Canton Vilvorde,58271,52500,2210,0,11681,9619,10368,7162,3489,248,117,2376,2678,1072,686,538,55,201,0,0,0
BE_K00191,Electoral Canton Virton,16365,14923,1510,0,0,0,0,0,0,52,28,3923,3168,3376,1525,927,301,113,0,0,0
BE_K00192,Electoral Canton Visé,16586,15139,793,0,0,0,0,0,0,105,27,5081,4637,2401,1039,908,91,57,0,0,0
BE_K00193,Electoral Canton Vleteren,2788,2601,182,0,453,522,1051,257,124,4,8,0,0,0,0,0,0,0,0,0,0
BE_K00067,Electoral Canton Fourons,2644,1359,95,0,259,187,644,109,60,4,1,0,0,0,0,0,0,0,0,0,0
BE_K00194,Electoral Canton Waarschoot,6280,5819,340,0,940,1259,1753,981,484,44,18,0,0,0,0,0,0,0,0,0,0
BE_K00195,Electoral Canton Walcourt,12862,11737,868,0,0,0,0,0,0,82,13,3780,2545,2033,906,1333,115,62,0,0,0
BE_K00196,Electoral Canton Waremme,35076,32394,1949,0,0,0,0,0,0,179,50,13230,8217,4115,2404,1893,214,143,0,0,0
BE_K00197,Electoral Canton Wavre,95036,84809,3539,0,0,0,0,0,0,280,135,17111,33726,12107,11789,4189,894,1039,0,0,0
BE_K00198,Electoral Canton Wellin,4921,4558,351,0,0,0,0,0,0,13,8,1123,1489,875,350,305,27,17,0,0,0
BE_K00199,Electoral Canton Wervik,13478,12521,895,0,2472,1803,3718,2708,775,77,73,0,0,0,0,0,0,0,0,0,0
