gisco_id,name,registered,turnout,invalid,blank,VB (1979),N-VA,Vooruit,CD&V,Open VLD,PTB/PVDA,Groen,Voor U,BLANCO,GV,B.U.B.,L’Unie,DierAnimal,Volt,PS,MR,LE,Ecolo,Chez Nous,DéFI,CC,LO,RMC,Agora,TFA
BE_92048,Fosses-la-Ville,0,6928,579,0,0,122,0,0,0,639,0,0,99,0,16,0,0,0,1082,1970,1678,249,223,126,133,0,0,12,0
BE_73109,Voeren / Fourons,0,1511,96,0,305,419,96,243,161,65,91,15,7,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_53028,Frameries,0,12198,1285,0,0,170,0,0,0,1882,0,0,239,0,35,0,0,0,3434,2682,1361,434,324,196,82,74,0,0,0
BE_51065,Frasnes-lez-Anvaing,0,8235,604,0,0,215,0,0,0,644,0,0,131,0,54,0,0,0,1325,1944,2391,495,169,151,80,32,0,0,0
BE_56029,Froidchapelle,0,2833,255,0,0,46,0,0,0,268,0,0,40,0,5,0,0,0,481,923,489,95,116,71,27,17,0,0,0
BE_23023,Galmaarden / Gammerages,0,6558,299,0,1591,1622,651,1203,413,256,336,90,58,0,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_KAE005,Foreign Voters - Flandre Orientale,18711,10092,748,0,1524,1434,982,673,1690,585,2110,113,127,57,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_21008,Ganshoren,0,12206,819,0,454,507,0,0,0,1903,0,50,96,0,31,24,0,49,2059,2651,1409,783,0,603,110,47,0,18,593
BE_44020,Gavere,0,9864,422,0,1871,2287,1159,1097,1608,353,904,89,56,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_91054,Gedinne,0,3218,250,0,0,51,0,0,0,233,0,0,61,0,8,0,0,0,407,1194,739,101,84,40,37,0,0,13,0
BE_13008,Geel,0,28854,1140,0,7128,8280,2993,3923,1254,2012,1376,242,168,0,39,0,215,84,0,0,0,0,0,0,0,0,0,0,0
BE_64029,Geer,0,2519,179,0,0,34,0,0,0,232,0,0,37,0,5,0,0,0,414,780,527,136,80,61,20,0,14,0,0
BE_24028,Geetbets,0,4510,193,0,1255,949,632,686,414,203,112,35,22,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_92142,Gembloux,0,17746,901,0,0,212,0,0,0,1286,0,0,289,0,51,0,0,0,2245,4185,5293,1929,411,594,273,0,0,77,0
BE_25031,Genappe / Genepiën,0,10695,536,0,0,213,0,0,0,822,0,0,198,0,38,44,0,0,1280,3560,2346,901,190,344,183,0,18,22,0
BE_71016,Genk,0,43584,2306,0,8132,9134,5257,7059,1371,7945,1659,347,295,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_44021,Gent / Gand,0,166547,6393,0,18533,26823,22916,13961,19434,20161,35228,1203,1480,250,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_41018,Geraardsbergen / Grammont,0,24253,1203,0,7232,4213,2714,2774,2677,1467,1413,211,246,63,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_52025,Gerpinnes,0,8111,775,0,0,150,0,0,0,1233,0,0,127,0,19,0,0,0,2486,1635,931,247,242,160,74,32,0,0,0
BE_92054,Gesves,0,5174,278,0,0,88,0,0,0,374,0,0,78,0,7,0,0,0,549,1364,1606,484,100,136,91,0,0,19,0
BE_71017,Gingelom,0,6272,303,0,1327,1191,1589,609,477,365,248,51,81,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_35005,Gistel,0,8963,445,0,2319,1943,1365,1197,709,417,390,104,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_24137,Glabbeek,0,4004,138,0,898,955,534,625,301,175,250,99,19,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_23024,Gooik,0,6836,274,0,1503,1892,518,1367,619,234,261,79,61,0,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_82037,Gouvy,0,3471,336,0,0,99,0,0,0,0,0,0,69,0,0,0,0,0,366,702,1350,232,147,78,92,0,0,0,0
BE_62118,Grâce-Hollogne,0,12643,1280,0,0,203,0,0,0,2539,0,0,240,0,21,0,0,0,3236,2182,1451,512,516,276,131,0,56,0,0
BE_25037,Grez-Doiceau / Graven,0,9171,390,0,0,242,0,0,0,549,0,0,168,0,27,16,0,0,805,3240,2343,729,152,254,205,0,36,15,0
BE_23025,Grimbergen,0,23848,1226,0,3049,5357,2600,2485,3395,3160,1535,389,261,0,227,164,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_13010,Grobbendonk,0,8498,300,0,2073,2599,856,745,901,405,366,60,61,0,21,0,94,17,0,0,0,0,0,0,0,0,0,0,0
BE_25118,Hélécine,0,2563,196,0,0,60,0,0,0,270,0,0,48,0,12,9,0,0,453,716,500,101,82,54,49,0,3,10,0
BE_61028,Héron,0,3754,247,0,0,61,0,0,0,375,0,0,62,0,8,0,0,0,638,1038,789,296,69,105,53,0,13,0,0
BE_24033,Haacht,0,11072,418,0,1850,2960,1656,1330,1028,527,975,186,109,0,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_41024,Haaltert,0,13847,541,0,4160,3011,1407,1750,1447,555,741,93,95,35,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_85046,Habay,0,5562,488,0,0,113,0,0,0,0,0,0,85,0,0,0,0,0,676,2002,1367,453,129,132,117,0,0,0,0
BE_71020,Halen,0,6886,333,0,1530,1537,796,1438,388,363,332,63,91,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_23027,Halle (Halle-Vilvoorde) / Hal (Hal-Vilvorde),0,26926,1381,0,4821,6590,3789,2784,2145,2770,1792,315,237,0,189,113,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_71069,Ham,0,8067,377,0,2293,1821,891,953,504,706,339,100,68,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_56086,Ham-sur-Heure-Nalinnes,0,9720,498,0,0,128,0,0,0,650,0,0,164,0,20,0,0,0,1623,3975,1698,448,201,188,96,31,0,0,0
BE_42008,Hamme (Dendermonde) / Hamme (Termonde),0,17852,632,0,4801,4254,2108,2327,1446,985,1013,100,136,37,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_61024,Hamoir,0,2600,200,0,0,49,0,0,0,288,0,0,53,0,5,0,0,0,403,718,512,159,94,61,45,0,13,0,0
BE_91059,Hamois,0,5070,320,0,0,79,0,0,0,345,0,0,85,0,11,0,0,0,578,1431,1536,395,126,102,52,0,0,10,0
BE_72037,Hamont-Achel,0,7009,338,0,1759,1679,579,1578,338,391,253,45,40,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_64034,Hannut / Hannuit,0,10501,780,0,0,227,0,0,0,869,0,0,151,0,21,0,0,0,1406,3812,1934,634,265,181,154,0,67,0,0
BE_34013,Harelbeke,0,20985,1080,0,5112,3993,4695,2429,1303,1137,816,195,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_71022,Hasselt,0,56419,2239,0,9315,14609,8064,6696,4638,5113,4655,459,522,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_KAE008,Foreign Voters - Limbourg,30942,4709,352,0,800,744,508,448,594,318,792,56,70,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_91142,Hastière,0,4075,455,0,0,113,0,0,0,495,0,0,83,0,15,0,0,0,1103,740,665,155,131,65,51,0,0,4,0
BE_91064,Havelange,0,3609,228,0,0,55,0,0,0,313,0,0,61,0,9,0,0,0,412,1098,873,332,86,68,67,0,0,7,0
BE_72038,Hechtel-Eksel,0,8653,385,0,2291,2017,865,1378,528,561,487,75,58,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_73022,Heers,0,5603,294,0,1408,993,712,641,967,281,197,46,44,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_12014,Heist-op-den-Berg,0,32344,1337,0,8171,8995,3564,4102,1701,2003,1500,280,266,0,53,0,287,85,0,0,0,0,0,0,0,0,0,0,0
BE_11018,Hemiksem,0,7918,267,0,1925,2154,1154,576,316,884,450,40,48,0,5,0,80,19,0,0,0,0,0,0,0,0,0,0,0
BE_53039,Hensies,0,4461,398,0,0,61,0,0,0,515,0,0,52,0,3,0,0,0,1856,905,423,103,73,41,17,14,0,0,0
BE_84029,Herbeumont,0,1170,117,0,0,42,0,0,0,0,0,0,25,0,0,0,0,0,162,336,293,92,48,15,40,0,0,0,0
BE_24038,Herent,0,15861,455,0,1764,4106,2876,1991,1436,866,2041,168,126,0,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_13011,Herentals,0,20488,826,0,4561,5670,3231,2140,984,1296,1221,144,128,0,31,0,202,54,0,0,0,0,0,0,0,0,0,0,0
BE_13012,Herenthout,0,6899,291,0,1645,1985,811,967,388,323,315,53,44,0,11,0,48,18,0,0,0,0,0,0,0,0,0,0,0
BE_71024,Herk-de-Stad / Herck-la-Ville,0,9450,488,0,1820,2384,1574,1279,749,444,526,64,104,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_23032,Herne,0,4921,246,0,890,1033,444,1234,466,184,265,76,44,0,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_13013,Herselt,0,10925,460,0,3274,2975,968,1400,467,552,462,117,65,0,28,0,130,27,0,0,0,0,0,0,0,0,0,0,0
BE_62051,Herstal,0,21258,1863,0,0,277,0,0,0,4814,0,0,303,0,40,0,0,0,6352,3395,1973,782,830,334,219,0,76,0,0
BE_73028,Herstappe,0,55,2,0,9,5,6,11,14,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_63035,Herve,0,12125,699,0,0,125,0,0,0,865,0,0,172,0,12,0,0,0,1369,5320,2235,630,326,178,110,0,84,0,0
BE_41027,Herzele,0,13670,616,0,3524,2660,1451,1332,2500,539,844,81,101,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_71070,Heusden-Zolder,0,23281,1018,0,4629,5350,3677,2682,1060,2862,987,833,162,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_33039,Heuvelland,0,5653,369,0,1442,884,754,1048,450,265,294,67,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_24041,Hoegaarden,0,4953,204,0,682,1249,739,819,434,286,419,57,40,0,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_23033,Hoeilaart,0,6866,255,0,592,1386,699,662,1931,348,699,102,68,0,59,65,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_73032,Hoeselt,0,7349,334,0,1957,1933,653,958,646,434,307,38,80,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_24043,Holsbeek,0,7383,215,0,992,2017,1126,1072,638,349,784,121,53,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_53083,Honnelles,0,3561,317,0,0,56,0,0,0,333,0,0,57,0,3,0,0,0,830,1042,545,173,81,88,23,13,0,0,0
BE_36006,Hooglede,0,7372,345,0,1645,1774,1090,1337,484,246,296,84,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_13014,Hoogstraten,0,11595,439,0,2284,3415,898,2057,1046,395,709,193,56,0,17,0,64,22,0,0,0,0,0,0,0,0,0,0,0
BE_45062,Horebeke,0,1505,51,0,260,314,105,164,337,46,195,18,10,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_83028,Hotton,0,3868,435,0,0,85,0,0,0,0,0,0,54,0,0,0,0,0,1378,840,725,133,111,49,58,0,0,0,0
BE_82014,Houffalize,0,3540,338,0,0,99,0,0,0,0,0,0,58,0,0,0,0,0,439,974,1182,187,125,61,77,0,0,0,0
BE_72039,Houthalen-Helchteren,0,20664,1187,0,4674,3894,3590,2341,601,3137,895,209,102,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_32006,Houthulst,0,7256,435,0,2438,1162,795,1489,387,266,155,74,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_91072,Houyet,0,3488,246,0,0,68,0,0,0,325,0,0,61,0,9,0,0,0,409,1108,871,187,92,60,41,0,0,11,0
BE_11021,Hove (Antwerpen) / Hove (Anvers),0,5997,80,0,578,2489,625,699,532,258,601,27,40,0,5,0,45,18,0,0,0,0,0,0,0,0,0,0,0
BE_24045,Huldenberg,0,6753,262,0,931,1721,731,877,1143,309,561,110,54,0,30,24,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_13016,Hulshout,0,7825,376,0,2415,2055,806,902,336,435,294,55,47,0,11,0,77,16,0,0,0,0,0,0,0,0,0,0,0
BE_61031,Huy / Hoei,0,13360,1138,0,0,215,0,0,0,1664,0,0,197,0,27,0,0,0,3097,2817,1997,1244,386,350,174,0,54,0,0
BE_35006,Ichtegem,0,10554,582,0,3076,1775,1705,1451,930,420,322,186,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_33011,Ieper / Ypres,0,24900,1308,0,5594,4617,4457,4246,1800,1121,1200,262,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_25043,Incourt,0,3768,196,0,0,96,0,0,0,236,0,0,79,0,19,14,0,0,490,1248,879,251,51,97,90,0,11,11,0
BE_36007,Ingelmunster,0,8252,399,0,2452,1804,1223,1143,412,379,295,74,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_25044,Ittre / Itter,0,4352,255,0,0,88,0,0,0,312,0,0,90,0,11,12,0,0,713,1400,868,300,86,132,72,0,6,7,0
BE_21009,Ixelles / Elsene,0,30726,1333,0,436,880,0,0,0,4290,0,61,174,0,75,104,0,181,5014,7256,2821,4987,0,1981,411,123,0,142,457
BE_36008,Izegem,0,20224,940,0,5594,4668,3299,2462,1009,981,918,156,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_31012,Jabbeke,0,11092,340,0,2276,2947,1701,1969,774,293,537,133,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_63038,Jalhay,0,6129,347,0,0,100,0,0,0,346,0,0,122,0,5,0,0,0,511,3016,928,409,152,102,53,0,38,0,0
BE_92140,Jemeppe-sur-Sambre,0,12931,1137,0,0,196,0,0,0,1495,0,0,186,0,42,0,0,0,2843,2935,2648,596,380,299,139,0,0,35,0
BE_21010,Jette,0,25435,1791,0,897,861,0,0,0,4253,0,81,219,0,86,73,0,103,4222,4636,2423,2290,0,1508,256,76,0,66,1594
BE_25048,Jodoigne / Geldenaken,0,9744,636,0,0,304,0,0,0,844,0,0,228,0,47,31,0,0,1063,3281,2061,607,237,208,155,0,17,25,0
BE_62060,Juprelle,0,6497,330,0,0,129,0,0,0,718,0,0,93,0,8,0,0,0,1097,2035,1350,263,246,147,57,0,24,0,0
BE_53044,Jurbise / Jurbeke,0,7008,333,0,0,89,0,0,0,465,0,0,129,0,23,0,0,0,1252,3051,1013,334,117,145,44,13,0,0,0
BE_11022,Kalmthout,0,12955,343,0,2307,4357,1380,1889,739,592,1043,84,79,0,8,0,97,37,0,0,0,0,0,0,0,0,0,0,0
